ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;ProducerPriceIndexPPI_1;YearOnYearChangePPI_2;MonthOnMonthChangePPI_3
7415;Total output prices;1042 Margarine and similar edible...;2016 June;118.1;5.8;0.4
7416;Total output prices;1042 Margarine and similar edible...;2016 July;122.2;10.3;3.5
7417;Total output prices;1042 Margarine and similar edible...;2016 August;120.1;10.2;-1.7
7418;Total output prices;1042 Margarine and similar edible...;2016 September;120.3;7.8;0.2
7419;Total output prices;1042 Margarine and similar edible...;2016 October;121.6;9.6;1.1
7420;Total output prices;1042 Margarine and similar edible...;2016 November;121.4;9.4;-0.2
7421;Total output prices;1042 Margarine and similar edible...;2016 December;122.8;11.6;1.2
7422;Total output prices;1042 Margarine and similar edible...;2016;117.8;6.9;
7423;Total output prices;1042 Margarine and similar edible...;2017 January;124.3;14.2;1.2
7424;Total output prices;1042 Margarine and similar edible...;2017 February;125.2;13.2;0.7
7425;Total output prices;1042 Margarine and similar edible...;2017 March;123.0;8.1;-1.8
7426;Total output prices;1042 Margarine and similar edible...;2017 April;121.9;4.7;-0.9
7427;Total output prices;1042 Margarine and similar edible...;2017 May;120.8;2.6;-0.9
7428;Total output prices;1042 Margarine and similar edible...;2017 June;115.5;-2.2;-4.4
7429;Total output prices;1042 Margarine and similar edible...;2017 July;113.9;-6.8;-1.4
7430;Total output prices;1042 Margarine and similar edible...;2017 August;113.3;-5.7;-0.5
7431;Total output prices;1042 Margarine and similar edible...;2017 September;114.9;-4.5;1.5
7432;Total output prices;1042 Margarine and similar edible...;2017 October;113.9;-6.3;-0.9
7433;Total output prices;1042 Margarine and similar edible...;2017 November;112.9;-7.0;-0.9
7434;Total output prices;1042 Margarine and similar edible...;2017 December;114.9;-6.5;1.7
7435;Total output prices;1042 Margarine and similar edible...;2017;117.9;0.0;
7436;Total output prices;105 Dairy products;2005 January;83.3;1.6;1.1
7437;Total output prices;105 Dairy products;2005 February;83.1;1.4;-0.3
7438;Total output prices;105 Dairy products;2005 March;83.0;1.6;-0.1
7439;Total output prices;105 Dairy products;2005 April;83.3;2.7;0.4
7440;Total output prices;105 Dairy products;2005 May;83.7;2.9;0.5
7441;Total output prices;105 Dairy products;2005 June;83.7;2.5;-0.1
7442;Total output prices;105 Dairy products;2005 July;84.5;3.6;1.0
7443;Total output prices;105 Dairy products;2005 August;84.1;3.5;-0.5
7444;Total output prices;105 Dairy products;2005 September;84.4;2.9;0.3
7445;Total output prices;105 Dairy products;2005 October;84.5;2.7;0.1
7446;Total output prices;105 Dairy products;2005 November;85.0;3.3;0.6
7447;Total output prices;105 Dairy products;2005 December;85.0;3.2;0.0
7448;Total output prices;105 Dairy products;2005;84.0;2.6;
7449;Total output prices;105 Dairy products;2006 January;85.6;2.7;0.6
7450;Total output prices;105 Dairy products;2006 February;85.5;2.9;-0.1
7451;Total output prices;105 Dairy products;2006 March;85.7;3.3;0.2
7452;Total output prices;105 Dairy products;2006 April;85.8;2.9;0.1
7453;Total output prices;105 Dairy products;2006 May;85.2;1.7;-0.7
7454;Total output prices;105 Dairy products;2006 June;84.8;1.4;-0.4
7455;Total output prices;105 Dairy products;2006 July;84.6;0.1;-0.3
7456;Total output prices;105 Dairy products;2006 August;85.0;1.0;0.4
7457;Total output prices;105 Dairy products;2006 September;86.0;1.9;1.2
7458;Total output prices;105 Dairy products;2006 October;87.0;2.9;1.2
7459;Total output prices;105 Dairy products;2006 November;87.5;2.9;0.6
7460;Total output prices;105 Dairy products;2006 December;87.9;3.4;0.5
7461;Total output prices;105 Dairy products;2006;85.9;2.2;
7462;Total output prices;105 Dairy products;2007 January;89.2;4.2;1.4
7463;Total output prices;105 Dairy products;2007 February;89.4;4.6;0.2
7464;Total output prices;105 Dairy products;2007 March;90.0;5.0;0.7
7465;Total output prices;105 Dairy products;2007 April;94.9;10.6;5.5
7466;Total output prices;105 Dairy products;2007 May;95.5;12.2;0.7
7467;Total output prices;105 Dairy products;2007 June;96.3;13.6;0.8
7468;Total output prices;105 Dairy products;2007 July;106.1;25.4;10.1
7469;Total output prices;105 Dairy products;2007 August;107.8;26.9;1.6
7470;Total output prices;105 Dairy products;2007 September;109.9;27.8;1.9
7471;Total output prices;105 Dairy products;2007 October;112.3;29.1;2.2
7472;Total output prices;105 Dairy products;2007 November;111.7;27.6;-0.6
7473;Total output prices;105 Dairy products;2007 December;111.1;26.3;-0.5
7474;Total output prices;105 Dairy products;2007;101.2;17.8;
7475;Total output prices;105 Dairy products;2008 January;104.3;17.0;-6.1
7476;Total output prices;105 Dairy products;2008 February;102.3;14.4;-2.0
7477;Total output prices;105 Dairy products;2008 March;100.8;12.0;-1.4
7478;Total output prices;105 Dairy products;2008 April;100.0;5.4;-0.8
7479;Total output prices;105 Dairy products;2008 May;99.9;4.6;0.0
7480;Total output prices;105 Dairy products;2008 June;100.7;4.5;0.8
7481;Total output prices;105 Dairy products;2008 July;96.8;-8.8;-3.9
7482;Total output prices;105 Dairy products;2008 August;96.5;-10.5;-0.4
7483;Total output prices;105 Dairy products;2008 September;97.1;-11.6;0.7
7484;Total output prices;105 Dairy products;2008 October;93.2;-17.0;-4.1
7485;Total output prices;105 Dairy products;2008 November;92.3;-17.3;-0.9
7486;Total output prices;105 Dairy products;2008 December;91.9;-17.3;-0.5
7487;Total output prices;105 Dairy products;2008;98.0;-3.2;
7488;Total output prices;105 Dairy products;2009 January;88.7;-15.0;-3.4
7489;Total output prices;105 Dairy products;2009 February;88.3;-13.7;-0.5
7490;Total output prices;105 Dairy products;2009 March;87.5;-13.2;-0.9
7491;Total output prices;105 Dairy products;2009 April;82.6;-17.4;-5.6
7492;Total output prices;105 Dairy products;2009 May;82.7;-17.2;0.1
7493;Total output prices;105 Dairy products;2009 June;82.4;-18.2;-0.4
7494;Total output prices;105 Dairy products;2009 July;83.3;-13.9;1.1
7495;Total output prices;105 Dairy products;2009 August;83.2;-13.7;-0.1
7496;Total output prices;105 Dairy products;2009 September;84.7;-12.8;1.8
7497;Total output prices;105 Dairy products;2009 October;87.4;-6.2;3.2
7498;Total output prices;105 Dairy products;2009 November;90.2;-2.3;3.2
7499;Total output prices;105 Dairy products;2009 December;90.2;-1.9;-0.1
7500;Total output prices;105 Dairy products;2009;85.9;-12.3;
7501;Total output prices;105 Dairy products;2010 January;94.1;6.0;4.3
7502;Total output prices;105 Dairy products;2010 February;93.3;5.7;-0.8
7503;Total output prices;105 Dairy products;2010 March;94.2;7.6;0.9
7504;Total output prices;105 Dairy products;2010 April;96.5;16.8;2.5
7505;Total output prices;105 Dairy products;2010 May;99.9;20.8;3.6
7506;Total output prices;105 Dairy products;2010 June;101.4;23.1;1.5
7507;Total output prices;105 Dairy products;2010 July;103.4;24.1;2.0
7508;Total output prices;105 Dairy products;2010 August;103.6;24.5;0.2
7509;Total output prices;105 Dairy products;2010 September;103.6;22.4;0.0
7510;Total output prices;105 Dairy products;2010 October;103.6;18.5;0.0
7511;Total output prices;105 Dairy products;2010 November;103.1;14.2;-0.5
7512;Total output prices;105 Dairy products;2010 December;103.2;14.5;0.2
7513;Total output prices;105 Dairy products;2010;100.0;16.4;
7514;Total output prices;105 Dairy products;2011 January;104.6;11.2;1.4
7515;Total output prices;105 Dairy products;2011 February;107.6;15.3;2.8
7516;Total output prices;105 Dairy products;2011 March;108.5;15.2;0.9
7517;Total output prices;105 Dairy products;2011 April;108.8;12.7;0.2
7518;Total output prices;105 Dairy products;2011 May;108.9;9.0;0.2
7519;Total output prices;105 Dairy products;2011 June;111.5;9.9;2.3
7520;Total output prices;105 Dairy products;2011 July;112.1;8.4;0.5
7521;Total output prices;105 Dairy products;2011 August;111.3;7.4;-0.7
7522;Total output prices;105 Dairy products;2011 September;111.5;7.5;0.1
7523;Total output prices;105 Dairy products;2011 October;110.9;7.0;-0.5
7524;Total output prices;105 Dairy products;2011 November;109.8;6.5;-1.0
7525;Total output prices;105 Dairy products;2011 December;109.0;5.6;-0.7
7526;Total output prices;105 Dairy products;2011;109.5;9.5;
7527;Total output prices;105 Dairy products;2012 January;109.8;4.9;0.7
7528;Total output prices;105 Dairy products;2012 February;109.0;1.3;-0.7
7529;Total output prices;105 Dairy products;2012 March;108.1;-0.4;-0.8
7530;Total output prices;105 Dairy products;2012 April;105.5;-3.0;-2.4
7531;Total output prices;105 Dairy products;2012 May;104.8;-3.8;-0.7
7532;Total output prices;105 Dairy products;2012 June;105.2;-5.6;0.4
7533;Total output prices;105 Dairy products;2012 July;106.9;-4.6;1.6
7534;Total output prices;105 Dairy products;2012 August;107.4;-3.5;0.5
7535;Total output prices;105 Dairy products;2012 September;108.3;-2.8;0.9
7536;Total output prices;105 Dairy products;2012 October;110.3;-0.5;1.8
7537;Total output prices;105 Dairy products;2012 November;111.1;1.3;0.8
7538;Total output prices;105 Dairy products;2012 December;110.7;1.5;-0.4
7539;Total output prices;105 Dairy products;2012;108.1;-1.3;
7540;Total output prices;105 Dairy products;2013 January;110.9;1.0;0.2
7541;Total output prices;105 Dairy products;2013 February;111.1;2.0;0.2
7542;Total output prices;105 Dairy products;2013 March;110.7;2.5;-0.3
7543;Total output prices;105 Dairy products;2013 April;113.0;7.1;2.1
7544;Total output prices;105 Dairy products;2013 May;114.5;9.3;1.3
7545;Total output prices;105 Dairy products;2013 June;116.2;10.4;1.5
7546;Total output prices;105 Dairy products;2013 July;118.2;10.6;1.7
7547;Total output prices;105 Dairy products;2013 August;119.8;11.5;1.3
7548;Total output prices;105 Dairy products;2013 September;120.7;11.4;0.8
7549;Total output prices;105 Dairy products;2013 October;119.0;7.8;-1.5
7550;Total output prices;105 Dairy products;2013 November;118.8;6.9;-0.1
7551;Total output prices;105 Dairy products;2013 December;120.5;8.9;1.4
7552;Total output prices;105 Dairy products;2013;116.1;7.4;
7553;Total output prices;105 Dairy products;2014 January;121.8;9.9;1.1
7554;Total output prices;105 Dairy products;2014 February;121.3;9.2;-0.4
7555;Total output prices;105 Dairy products;2014 March;120.2;8.6;-0.9
7556;Total output prices;105 Dairy products;2014 April;119.1;5.3;-1.0
7557;Total output prices;105 Dairy products;2014 May;118.0;3.1;-0.9
7558;Total output prices;105 Dairy products;2014 June;117.8;1.4;-0.2
7559;Total output prices;105 Dairy products;2014 July;117.9;-0.3;0.1
7560;Total output prices;105 Dairy products;2014 August;115.6;-3.5;-2.0
7561;Total output prices;105 Dairy products;2014 September;114.5;-5.1;-0.9
7562;Total output prices;105 Dairy products;2014 October;112.4;-5.5;-1.9
7563;Total output prices;105 Dairy products;2014 November;111.3;-6.3;-1.0
7564;Total output prices;105 Dairy products;2014 December;109.1;-9.5;-2.0
7565;Total output prices;105 Dairy products;2014;116.6;0.4;
7566;Total output prices;105 Dairy products;2015 January;108.5;-10.9;-0.5
7567;Total output prices;105 Dairy products;2015 February;108.1;-10.9;-0.5
7568;Total output prices;105 Dairy products;2015 March;108.9;-9.4;0.7
7569;Total output prices;105 Dairy products;2015 April;108.1;-9.2;-0.7
7570;Total output prices;105 Dairy products;2015 May;106.3;-10.0;-1.7
7571;Total output prices;105 Dairy products;2015 June;103.9;-11.8;-2.2
7572;Total output prices;105 Dairy products;2015 July;101.3;-14.1;-2.5
7573;Total output prices;105 Dairy products;2015 August;98.5;-14.7;-2.7
7574;Total output prices;105 Dairy products;2015 September;99.2;-13.4;0.7
7575;Total output prices;105 Dairy products;2015 October;99.7;-11.3;0.5
7576;Total output prices;105 Dairy products;2015 November;100.0;-10.1;0.3
7577;Total output prices;105 Dairy products;2015 December;99.4;-8.9;-0.7
7578;Total output prices;105 Dairy products;2015;103.5;-11.2;
7579;Total output prices;105 Dairy products;2016 January;98.5;-9.2;-0.8
7580;Total output prices;105 Dairy products;2016 February;97.2;-10.1;-1.4
7581;Total output prices;105 Dairy products;2016 March;96.2;-11.7;-1.0
7582;Total output prices;105 Dairy products;2016 April;94.7;-12.4;-1.5
7583;Total output prices;105 Dairy products;2016 May;93.4;-12.1;-1.4
7584;Total output prices;105 Dairy products;2016 June;95.1;-8.5;1.8
7585;Total output prices;105 Dairy products;2016 July;96.0;-5.2;1.0
7586;Total output prices;105 Dairy products;2016 August;98.9;0.4;3.0
7587;Total output prices;105 Dairy products;2016 September;104.0;4.8;5.1
7588;Total output prices;105 Dairy products;2016 October;107.3;7.6;3.2
7589;Total output prices;105 Dairy products;2016 November;108.4;8.3;1.0
7590;Total output prices;105 Dairy products;2016 December;109.5;10.2;1.0
7591;Total output prices;105 Dairy products;2016;99.9;-3.4;
7592;Total output prices;105 Dairy products;2017 January;111.6;13.3;1.9
7593;Total output prices;105 Dairy products;2017 February;114.8;18.1;2.8
7594;Total output prices;105 Dairy products;2017 March;114.2;18.7;-0.5
7595;Total output prices;105 Dairy products;2017 April;114.6;20.9;0.4
7596;Total output prices;105 Dairy products;2017 May;116.8;25.1;1.9
7597;Total output prices;105 Dairy products;2017 June;119.0;25.2;1.9
7598;Total output prices;105 Dairy products;2017 July;121.9;27.0;2.5
7599;Total output prices;105 Dairy products;2017 August;122.4;23.7;0.4
7600;Total output prices;105 Dairy products;2017 September;122.7;18.0;0.2
7601;Total output prices;105 Dairy products;2017 October;119.8;11.7;-2.3
7602;Total output prices;105 Dairy products;2017 November;117.3;8.2;-2.1
7603;Total output prices;105 Dairy products;2017 December;117.5;7.4;0.2
7604;Total output prices;105 Dairy products;2017;117.7;17.8;
7605;Total output prices;1051 Dairy and cheese products;2005 January;83.2;1.5;1.1
7606;Total output prices;1051 Dairy and cheese products;2005 February;82.9;1.3;-0.3
7607;Total output prices;1051 Dairy and cheese products;2005 March;82.8;1.6;-0.1
7608;Total output prices;1051 Dairy and cheese products;2005 April;83.2;2.7;0.4
7609;Total output prices;1051 Dairy and cheese products;2005 May;83.6;2.9;0.5
7610;Total output prices;1051 Dairy and cheese products;2005 June;83.5;2.4;-0.1
7611;Total output prices;1051 Dairy and cheese products;2005 July;84.4;3.6;1.0
7612;Total output prices;1051 Dairy and cheese products;2005 August;84.0;3.5;-0.5
7613;Total output prices;1051 Dairy and cheese products;2005 September;84.3;2.9;0.3
7614;Total output prices;1051 Dairy and cheese products;2005 October;84.3;2.7;0.1
7615;Total output prices;1051 Dairy and cheese products;2005 November;84.9;3.2;0.6
7616;Total output prices;1051 Dairy and cheese products;2005 December;84.9;3.1;0.0
7617;Total output prices;1051 Dairy and cheese products;2005;83.8;2.6;
7618;Total output prices;1051 Dairy and cheese products;2006 January;85.4;2.7;0.6
7619;Total output prices;1051 Dairy and cheese products;2006 February;85.3;3.0;-0.1
7620;Total output prices;1051 Dairy and cheese products;2006 March;85.5;3.3;0.2
7621;Total output prices;1051 Dairy and cheese products;2006 April;85.6;2.9;0.1
7622;Total output prices;1051 Dairy and cheese products;2006 May;85.0;1.7;-0.7
7623;Total output prices;1051 Dairy and cheese products;2006 June;84.6;1.4;-0.4
7624;Total output prices;1051 Dairy and cheese products;2006 July;84.4;0.1;-0.3
7625;Total output prices;1051 Dairy and cheese products;2006 August;84.8;1.0;0.4
7626;Total output prices;1051 Dairy and cheese products;2006 September;85.8;1.9;1.2
7627;Total output prices;1051 Dairy and cheese products;2006 October;86.8;3.0;1.2
7628;Total output prices;1051 Dairy and cheese products;2006 November;87.4;3.0;0.7
7629;Total output prices;1051 Dairy and cheese products;2006 December;87.9;3.5;0.5
7630;Total output prices;1051 Dairy and cheese products;2006;85.7;2.3;
7631;Total output prices;1051 Dairy and cheese products;2007 January;89.1;4.3;1.4
7632;Total output prices;1051 Dairy and cheese products;2007 February;89.3;4.7;0.3
7633;Total output prices;1051 Dairy and cheese products;2007 March;89.9;5.1;0.7
7634;Total output prices;1051 Dairy and cheese products;2007 April;94.9;10.9;5.5
7635;Total output prices;1051 Dairy and cheese products;2007 May;95.6;12.4;0.7
7636;Total output prices;1051 Dairy and cheese products;2007 June;96.4;13.9;0.8
7637;Total output prices;1051 Dairy and cheese products;2007 July;106.3;25.9;10.3
7638;Total output prices;1051 Dairy and cheese products;2007 August;108.0;27.3;1.6
7639;Total output prices;1051 Dairy and cheese products;2007 September;110.1;28.3;1.9
7640;Total output prices;1051 Dairy and cheese products;2007 October;112.6;29.6;2.3
7641;Total output prices;1051 Dairy and cheese products;2007 November;111.9;28.0;-0.6
7642;Total output prices;1051 Dairy and cheese products;2007 December;111.3;26.6;-0.5
7643;Total output prices;1051 Dairy and cheese products;2007;101.3;18.1;
7644;Total output prices;1051 Dairy and cheese products;2008 January;104.3;17.1;-6.3
7645;Total output prices;1051 Dairy and cheese products;2008 February;102.2;14.5;-2.0
7646;Total output prices;1051 Dairy and cheese products;2008 March;100.8;12.0;-1.5
7647;Total output prices;1051 Dairy and cheese products;2008 April;99.9;5.3;-0.8
7648;Total output prices;1051 Dairy and cheese products;2008 May;99.9;4.5;0.0
7649;Total output prices;1051 Dairy and cheese products;2008 June;100.7;4.5;0.8
7650;Total output prices;1051 Dairy and cheese products;2008 July;96.7;-9.0;-3.9
7651;Total output prices;1051 Dairy and cheese products;2008 August;96.4;-10.8;-0.4
7652;Total output prices;1051 Dairy and cheese products;2008 September;97.0;-11.8;0.7
7653;Total output prices;1051 Dairy and cheese products;2008 October;93.0;-17.4;-4.1
7654;Total output prices;1051 Dairy and cheese products;2008 November;92.1;-17.6;-0.9
7655;Total output prices;1051 Dairy and cheese products;2008 December;91.7;-17.6;-0.5
7656;Total output prices;1051 Dairy and cheese products;2008;97.9;-3.3;
7657;Total output prices;1051 Dairy and cheese products;2009 January;88.5;-15.1;-3.4
7658;Total output prices;1051 Dairy and cheese products;2009 February;88.1;-13.9;-0.5
7659;Total output prices;1051 Dairy and cheese products;2009 March;87.3;-13.3;-0.9
7660;Total output prices;1051 Dairy and cheese products;2009 April;82.3;-17.6;-5.7
7661;Total output prices;1051 Dairy and cheese products;2009 May;82.5;-17.4;0.1
7662;Total output prices;1051 Dairy and cheese products;2009 June;82.1;-18.4;-0.4
7663;Total output prices;1051 Dairy and cheese products;2009 July;83.1;-14.1;1.2
7664;Total output prices;1051 Dairy and cheese products;2009 August;83.0;-13.9;-0.1
7665;Total output prices;1051 Dairy and cheese products;2009 September;84.5;-13.0;1.8
7666;Total output prices;1051 Dairy and cheese products;2009 October;87.2;-6.3;3.2
7667;Total output prices;1051 Dairy and cheese products;2009 November;90.1;-2.3;3.3
7668;Total output prices;1051 Dairy and cheese products;2009 December;90.0;-1.8;-0.1
7669;Total output prices;1051 Dairy and cheese products;2009;85.7;-12.4;
7670;Total output prices;1051 Dairy and cheese products;2010 January;94.0;6.1;4.4
7671;Total output prices;1051 Dairy and cheese products;2010 February;93.2;5.9;-0.8
7672;Total output prices;1051 Dairy and cheese products;2010 March;94.1;7.8;0.9
7673;Total output prices;1051 Dairy and cheese products;2010 April;96.5;17.2;2.5
7674;Total output prices;1051 Dairy and cheese products;2010 May;100.0;21.2;3.6
7675;Total output prices;1051 Dairy and cheese products;2010 June;101.4;23.5;1.5
7676;Total output prices;1051 Dairy and cheese products;2010 July;103.4;24.5;2.0
7677;Total output prices;1051 Dairy and cheese products;2010 August;103.7;24.9;0.2
7678;Total output prices;1051 Dairy and cheese products;2010 September;103.7;22.8;0.0
7679;Total output prices;1051 Dairy and cheese products;2010 October;103.6;18.9;0.0
7680;Total output prices;1051 Dairy and cheese products;2010 November;103.1;14.5;-0.5
7681;Total output prices;1051 Dairy and cheese products;2010 December;103.3;14.7;0.2
7682;Total output prices;1051 Dairy and cheese products;2010;100.0;16.7;
7683;Total output prices;1051 Dairy and cheese products;2011 January;104.6;11.3;1.3
7684;Total output prices;1051 Dairy and cheese products;2011 February;107.6;15.4;2.8
7685;Total output prices;1051 Dairy and cheese products;2011 March;108.6;15.4;0.9
7686;Total output prices;1051 Dairy and cheese products;2011 April;108.8;12.8;0.2
7687;Total output prices;1051 Dairy and cheese products;2011 May;109.0;9.0;0.2
7688;Total output prices;1051 Dairy and cheese products;2011 June;111.6;10.0;2.3
7689;Total output prices;1051 Dairy and cheese products;2011 July;112.1;8.4;0.5
7690;Total output prices;1051 Dairy and cheese products;2011 August;111.4;7.4;-0.7
7691;Total output prices;1051 Dairy and cheese products;2011 September;111.5;7.6;0.1
7692;Total output prices;1051 Dairy and cheese products;2011 October;110.9;7.0;-0.6
7693;Total output prices;1051 Dairy and cheese products;2011 November;109.8;6.5;-1.0
7694;Total output prices;1051 Dairy and cheese products;2011 December;109.1;5.6;-0.7
7695;Total output prices;1051 Dairy and cheese products;2011;109.6;9.6;
7696;Total output prices;1051 Dairy and cheese products;2012 January;109.8;4.9;0.7
7697;Total output prices;1051 Dairy and cheese products;2012 February;109.0;1.3;-0.7
7698;Total output prices;1051 Dairy and cheese products;2012 March;108.1;-0.4;-0.8
7699;Total output prices;1051 Dairy and cheese products;2012 April;105.5;-3.0;-2.4
7700;Total output prices;1051 Dairy and cheese products;2012 May;104.8;-3.9;-0.7
7701;Total output prices;1051 Dairy and cheese products;2012 June;105.2;-5.7;0.4
7702;Total output prices;1051 Dairy and cheese products;2012 July;106.9;-4.7;1.6
7703;Total output prices;1051 Dairy and cheese products;2012 August;107.4;-3.6;0.5
7704;Total output prices;1051 Dairy and cheese products;2012 September;108.3;-2.9;0.9
7705;Total output prices;1051 Dairy and cheese products;2012 October;110.3;-0.5;1.9
7706;Total output prices;1051 Dairy and cheese products;2012 November;111.2;1.3;0.8
7707;Total output prices;1051 Dairy and cheese products;2012 December;110.7;1.5;-0.4
7708;Total output prices;1051 Dairy and cheese products;2012;108.1;-1.4;
7709;Total output prices;1051 Dairy and cheese products;2013 January;110.9;1.0;0.2
7710;Total output prices;1051 Dairy and cheese products;2013 February;111.2;2.0;0.2
7711;Total output prices;1051 Dairy and cheese products;2013 March;110.7;2.5;-0.4
7712;Total output prices;1051 Dairy and cheese products;2013 April;113.1;7.2;2.1
7713;Total output prices;1051 Dairy and cheese products;2013 May;114.6;9.3;1.3
7714;Total output prices;1051 Dairy and cheese products;2013 June;116.2;10.5;1.5
7715;Total output prices;1051 Dairy and cheese products;2013 July;118.3;10.7;1.7
7716;Total output prices;1051 Dairy and cheese products;2013 August;119.9;11.6;1.4
7717;Total output prices;1051 Dairy and cheese products;2013 September;120.8;11.5;0.8
7718;Total output prices;1051 Dairy and cheese products;2013 October;119.0;7.9;-1.5
7719;Total output prices;1051 Dairy and cheese products;2013 November;118.9;6.9;-0.1
7720;Total output prices;1051 Dairy and cheese products;2013 December;120.6;8.9;1.5
7721;Total output prices;1051 Dairy and cheese products;2013;116.2;7.5;
7722;Total output prices;1051 Dairy and cheese products;2014 January;122.0;9.9;1.1
7723;Total output prices;1051 Dairy and cheese products;2014 February;121.5;9.3;-0.4
7724;Total output prices;1051 Dairy and cheese products;2014 March;120.3;8.7;-0.9
7725;Total output prices;1051 Dairy and cheese products;2014 April;119.2;5.4;-1.0
7726;Total output prices;1051 Dairy and cheese products;2014 May;118.1;3.1;-0.9
7727;Total output prices;1051 Dairy and cheese products;2014 June;117.8;1.4;-0.2
7728;Total output prices;1051 Dairy and cheese products;2014 July;118.0;-0.2;0.1
7729;Total output prices;1051 Dairy and cheese products;2014 August;115.6;-3.6;-2.0
7730;Total output prices;1051 Dairy and cheese products;2014 September;114.6;-5.2;-0.9
7731;Total output prices;1051 Dairy and cheese products;2014 October;112.4;-5.6;-1.9
7732;Total output prices;1051 Dairy and cheese products;2014 November;111.3;-6.4;-1.0
7733;Total output prices;1051 Dairy and cheese products;2014 December;109.0;-9.6;-2.0
7734;Total output prices;1051 Dairy and cheese products;2014;116.6;0.4;
7735;Total output prices;1051 Dairy and cheese products;2015 January;108.5;-11.0;-0.5
7736;Total output prices;1051 Dairy and cheese products;2015 February;108.0;-11.1;-0.5
7737;Total output prices;1051 Dairy and cheese products;2015 March;108.8;-9.6;0.7
7738;Total output prices;1051 Dairy and cheese products;2015 April;108.0;-9.3;-0.7
7739;Total output prices;1051 Dairy and cheese products;2015 May;106.2;-10.1;-1.7
7740;Total output prices;1051 Dairy and cheese products;2015 June;103.8;-11.9;-2.2
7741;Total output prices;1051 Dairy and cheese products;2015 July;101.1;-14.3;-2.6
7742;Total output prices;1051 Dairy and cheese products;2015 August;98.3;-14.9;-2.8
7743;Total output prices;1051 Dairy and cheese products;2015 September;99.0;-13.6;0.7
7744;Total output prices;1051 Dairy and cheese products;2015 October;99.5;-11.5;0.5
7745;Total output prices;1051 Dairy and cheese products;2015 November;99.9;-10.2;0.3
7746;Total output prices;1051 Dairy and cheese products;2015 December;99.2;-9.0;-0.7
7747;Total output prices;1051 Dairy and cheese products;2015;103.4;-11.4;
7748;Total output prices;1051 Dairy and cheese products;2016 January;98.3;-9.4;-0.9
7749;Total output prices;1051 Dairy and cheese products;2016 February;96.9;-10.2;-1.4
7750;Total output prices;1051 Dairy and cheese products;2016 March;95.9;-11.9;-1.1
7751;Total output prices;1051 Dairy and cheese products;2016 April;94.5;-12.5;-1.5
7752;Total output prices;1051 Dairy and cheese products;2016 May;93.1;-12.3;-1.4
7753;Total output prices;1051 Dairy and cheese products;2016 June;94.8;-8.7;1.8
7754;Total output prices;1051 Dairy and cheese products;2016 July;95.8;-5.3;1.0
7755;Total output prices;1051 Dairy and cheese products;2016 August;98.7;0.4;3.1
7756;Total output prices;1051 Dairy and cheese products;2016 September;103.9;4.8;5.2
7757;Total output prices;1051 Dairy and cheese products;2016 October;107.2;7.7;3.2
7758;Total output prices;1051 Dairy and cheese products;2016 November;108.3;8.4;1.0
7759;Total output prices;1051 Dairy and cheese products;2016 December;109.4;10.3;1.0
7760;Total output prices;1051 Dairy and cheese products;2016;99.7;-3.5;
7761;Total output prices;1051 Dairy and cheese products;2017 January;111.5;13.4;2.0
7762;Total output prices;1051 Dairy and cheese products;2017 February;114.7;18.4;2.9
7763;Total output prices;1051 Dairy and cheese products;2017 March;114.1;19.0;-0.5
7764;Total output prices;1051 Dairy and cheese products;2017 April;114.6;21.2;0.4
7765;Total output prices;1051 Dairy and cheese products;2017 May;116.8;25.4;2.0
7766;Total output prices;1051 Dairy and cheese products;2017 June;119.0;25.6;1.9
7767;Total output prices;1051 Dairy and cheese products;2017 July;122.0;27.4;2.5
7768;Total output prices;1051 Dairy and cheese products;2017 August;122.5;24.1;0.4
7769;Total output prices;1051 Dairy and cheese products;2017 September;122.7;18.2;0.2
7770;Total output prices;1051 Dairy and cheese products;2017 October;119.9;11.8;-2.3
7771;Total output prices;1051 Dairy and cheese products;2017 November;117.3;8.3;-2.1
7772;Total output prices;1051 Dairy and cheese products;2017 December;117.5;7.5;0.2
7773;Total output prices;1051 Dairy and cheese products;2017;117.7;18.0;
7774;Total output prices;10511 Processed liquid milk and cream;2005 January;79.9;-0.2;1.9
7775;Total output prices;10511 Processed liquid milk and cream;2005 February;79.5;-0.7;-0.4
7776;Total output prices;10511 Processed liquid milk and cream;2005 March;79.5;-0.7;0.0
7777;Total output prices;10511 Processed liquid milk and cream;2005 April;79.8;0.7;0.3
7778;Total output prices;10511 Processed liquid milk and cream;2005 May;79.8;0.6;0.0
7779;Total output prices;10511 Processed liquid milk and cream;2005 June;79.8;0.7;0.0
7780;Total output prices;10511 Processed liquid milk and cream;2005 July;80.2;3.1;0.6
7781;Total output prices;10511 Processed liquid milk and cream;2005 August;80.2;2.8;0.0
7782;Total output prices;10511 Processed liquid milk and cream;2005 September;80.2;2.8;0.0
7783;Total output prices;10511 Processed liquid milk and cream;2005 October;80.2;2.3;0.0
7784;Total output prices;10511 Processed liquid milk and cream;2005 November;80.2;2.3;0.0
7785;Total output prices;10511 Processed liquid milk and cream;2005 December;80.2;2.4;0.0
7786;Total output prices;10511 Processed liquid milk and cream;2005;80.0;1.3;
7787;Total output prices;10511 Processed liquid milk and cream;2006 January;81.2;1.6;1.1
7788;Total output prices;10511 Processed liquid milk and cream;2006 February;81.2;2.0;0.0
