ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
360;Total;30 Manufacture of other transport;2013;2060.0;1292.0;106.0;140.0
361;Total;30 Manufacture of other transport;2014;1905.0;1241.0;104.0;165.0
362;Total;30 Manufacture of other transport;2015;1679.0;1029.0;91.0;120.0
363;Total;30 Manufacture of other transport;2016;1508.0;953.0;92.0;115.0
364;Total;30 Manufacture of other transport;2017;1608.0;1015.0;93.0;110.0
365;Total;30 Manufacture of other transport;2018;1725.0;1025.0;93.0;110.0
366;Total;30 Manufacture of other transport;2019;1739.0;1013.0;82.0;120.0
367;Total;30 Manufacture of other transport;2020;1781.0;1067.0;79.0;130.0
368;Total;30 Manufacture of other transport;2021;1689.0;996.0;74.0;140.0
369;Total;30 Manufacture of other transport;2022;1756.0;1132.0;95.0;
370;Total;31 Manufacture of furniture;2013;808.0;223.0;10.0;175.0
371;Total;31 Manufacture of furniture;2014;647.0;249.0;13.0;150.0
372;Total;31 Manufacture of furniture;2015;604.0;231.0;14.0;85.0
373;Total;31 Manufacture of furniture;2016;584.0;292.0;17.0;100.0
374;Total;31 Manufacture of furniture;2017;641.0;288.0;15.0;100.0
375;Total;31 Manufacture of furniture;2018;730.0;337.0;18.0;95.0
376;Total;31 Manufacture of furniture;2019;680.0;301.0;16.0;105.0
377;Total;31 Manufacture of furniture;2020;746.0;339.0;17.0;110.0
378;Total;31 Manufacture of furniture;2021;727.0;320.0;15.0;95.0
379;Total;31 Manufacture of furniture;2022;313.0;171.0;12.0;
380;Total;32 Manufacture of other products;2013;629.0;340.0;17.0;130.0
381;Total;32 Manufacture of other products;2014;738.0;439.0;30.0;110.0
382;Total;32 Manufacture of other products;2015;771.0;448.0;33.0;130.0
383;Total;32 Manufacture of other products;2016;948.0;596.0;43.0;150.0
384;Total;32 Manufacture of other products;2017;1022.0;741.0;58.0;155.0
385;Total;32 Manufacture of other products;2018;1089.0;829.0;59.0;160.0
386;Total;32 Manufacture of other products;2019;1264.0;775.0;62.0;170.0
387;Total;32 Manufacture of other products;2020;1296.0;829.0;64.0;165.0
388;Total;32 Manufacture of other products;2021;1259.0;832.0;73.0;165.0
389;Total;32 Manufacture of other products;2022;1383.0;975.0;81.0;
390;Total;33 Repair and installation of machinery;2013;933.0;554.0;35.0;235.0
391;Total;33 Repair and installation of machinery;2014;1336.0;700.0;41.0;240.0
392;Total;33 Repair and installation of machinery;2015;1177.0;577.0;40.0;245.0
393;Total;33 Repair and installation of machinery;2016;1488.0;618.0;40.0;255.0
394;Total;33 Repair and installation of machinery;2017;1364.0;628.0;48.0;220.0
395;Total;33 Repair and installation of machinery;2018;1394.0;515.0;37.0;195.0
396;Total;33 Repair and installation of machinery;2019;1346.0;457.0;39.0;190.0
397;Total;33 Repair and installation of machinery;2020;1377.0;709.0;52.0;225.0
398;Total;33 Repair and installation of machinery;2021;1112.0;594.0;49.0;205.0
399;Total;33 Repair and installation of machinery;2022;1355.0;760.0;69.0;
400;Total;D Energy supply;2013;311.0;203.0;15.0;35.0
401;Total;D Energy supply;2014;456.0;278.0;25.0;40.0
402;Total;D Energy supply;2015;503.0;307.0;23.0;50.0
403;Total;D Energy supply;2016;747.0;382.0;34.0;55.0
404;Total;D Energy supply;2017;684.0;386.0;49.0;45.0
405;Total;D Energy supply;2018;702.0;370.0;49.0;55.0
406;Total;D Energy supply;2019;570.0;346.0;42.0;60.0
407;Total;D Energy supply;2020;616.0;376.0;47.0;60.0
408;Total;D Energy supply;2021;712.0;383.0;45.0;60.0
409;Total;D Energy supply;2022;743.0;436.0;72.0;
410;Total;35 Energy supply;2013;311.0;203.0;15.0;35.0
411;Total;35 Energy supply;2014;456.0;278.0;25.0;40.0
412;Total;35 Energy supply;2015;503.0;307.0;23.0;50.0
413;Total;35 Energy supply;2016;747.0;382.0;34.0;55.0
414;Total;35 Energy supply;2017;684.0;386.0;49.0;45.0
415;Total;35 Energy supply;2018;702.0;370.0;49.0;55.0
416;Total;35 Energy supply;2019;570.0;346.0;42.0;60.0
417;Total;35 Energy supply;2020;616.0;376.0;47.0;60.0
418;Total;35 Energy supply;2021;712.0;383.0;45.0;60.0
419;Total;35 Energy supply;2022;743.0;436.0;72.0;
420;Total;E Water supply and waste management;2013;631.0;306.0;24.0;80.0
421;Total;E Water supply and waste management;2014;704.0;366.0;27.0;130.0
422;Total;E Water supply and waste management;2015;688.0;329.0;32.0;105.0
423;Total;E Water supply and waste management;2016;488.0;190.0;18.0;90.0
424;Total;E Water supply and waste management;2017;577.0;236.0;22.0;115.0
425;Total;E Water supply and waste management;2018;575.0;278.0;25.0;105.0
426;Total;E Water supply and waste management;2019;651.0;276.0;24.0;100.0
427;Total;E Water supply and waste management;2020;583.0;249.0;25.0;85.0
428;Total;E Water supply and waste management;2021;702.0;331.0;36.0;100.0
429;Total;E Water supply and waste management;2022;728.0;393.0;35.0;
430;Total;F Construction;2013;2466.0;1455.0;97.0;625.0
431;Total;F Construction;2014;2305.0;1113.0;80.0;640.0
432;Total;F Construction;2015;2905.0;1456.0;90.0;660.0
433;Total;F Construction;2016;3093.0;1234.0;84.0;740.0
434;Total;F Construction;2017;2892.0;1139.0;92.0;710.0
435;Total;F Construction;2018;3147.0;1244.0;88.0;670.0
436;Total;F Construction;2019;3152.0;1288.0;100.0;710.0
437;Total;F Construction;2020;3164.0;1349.0;99.0;685.0
438;Total;F Construction;2021;3190.0;1603.0;117.0;655.0
439;Total;F Construction;2022;2744.0;1527.0;118.0;
440;Total;G-I Trade, transport, hotels, catering;2013;13360.0;7723.0;629.0;2645.0
441;Total;G-I Trade, transport, hotels, catering;2014;13727.0;8630.0;670.0;2650.0
442;Total;G-I Trade, transport, hotels, catering;2015;13099.0;7797.0;619.0;2705.0
443;Total;G-I Trade, transport, hotels, catering;2016;12331.0;8338.0;693.0;2680.0
444;Total;G-I Trade, transport, hotels, catering;2017;13592.0;8783.0;739.0;2685.0
445;Total;G-I Trade, transport, hotels, catering;2018;14112.0;8578.0;729.0;2645.0
446;Total;G-I Trade, transport, hotels, catering;2019;14468.0;9282.0;790.0;2750.0
447;Total;G-I Trade, transport, hotels, catering;2020;14748.0;9654.0;758.0;2580.0
448;Total;G-I Trade, transport, hotels, catering;2021;14809.0;9751.0;786.0;2470.0
449;Total;G-I Trade, transport, hotels, catering;2022;15671.0;10448.0;913.0;
450;Total;G Wholesale and retail trade;2013;11383.0;6818.0;544.0;2410.0
451;Total;G Wholesale and retail trade;2014;11545.0;7613.0;572.0;2410.0
452;Total;G Wholesale and retail trade;2015;10925.0;6655.0;514.0;2465.0
453;Total;G Wholesale and retail trade;2016;10139.0;7157.0;589.0;2455.0
454;Total;G Wholesale and retail trade;2017;11239.0;7334.0;614.0;2355.0
455;Total;G Wholesale and retail trade;2018;12026.0;7192.0;599.0;2395.0
456;Total;G Wholesale and retail trade;2019;11909.0;7636.0;647.0;2360.0
457;Total;G Wholesale and retail trade;2020;12259.0;7989.0;649.0;2270.0
458;Total;G Wholesale and retail trade;2021;12386.0;7994.0;650.0;2200.0
459;Total;G Wholesale and retail trade;2022;13141.0;8573.0;747.0;
460;Total;H Transportation and storage;2013;1939.0;891.0;84.0;225.0
461;Total;H Transportation and storage;2014;2130.0;994.0;97.0;225.0
462;Total;H Transportation and storage;2015;2118.0;1119.0;103.0;220.0
463;Total;H Transportation and storage;2016;2120.0;1149.0;102.0;205.0
464;Total;H Transportation and storage;2017;2295.0;1415.0;123.0;315.0
465;Total;H Transportation and storage;2018;2032.0;1359.0;128.0;230.0
466;Total;H Transportation and storage;2019;2468.0;1608.0;140.0;350.0
467;Total;H Transportation and storage;2020;2385.0;1621.0;106.0;280.0
468;Total;H Transportation and storage;2021;2288.0;1696.0;128.0;240.0
469;Total;H Transportation and storage;2022;2299.0;1774.0;156.0;
470;Total;I Accommodation and food serving;2013;37.0;13.0;1.0;15.0
471;Total;I Accommodation and food serving;2014;52.0;23.0;1.0;10.0
472;Total;I Accommodation and food serving;2015;56.0;23.0;2.0;20.0
473;Total;I Accommodation and food serving;2016;72.0;32.0;3.0;15.0
474;Total;I Accommodation and food serving;2017;59.0;34.0;3.0;15.0
475;Total;I Accommodation and food serving;2018;54.0;27.0;2.0;20.0
476;Total;I Accommodation and food serving;2019;90.0;38.0;3.0;40.0
477;Total;I Accommodation and food serving;2020;104.0;44.0;3.0;30.0
478;Total;I Accommodation and food serving;2021;135.0;61.0;8.0;30.0
479;Total;I Accommodation and food serving;2022;232.0;102.0;10.0;
480;Total;J Information and communication;2013;28370.0;18896.0;1364.0;3320.0
481;Total;J Information and communication;2014;27283.0;17989.0;1352.0;3605.0
482;Total;J Information and communication;2015;29180.0;19533.0;1409.0;3740.0
483;Total;J Information and communication;2016;31331.0;21117.0;1472.0;3820.0
484;Total;J Information and communication;2017;31203.0;21773.0;1499.0;3715.0
485;Total;J Information and communication;2018;32976.0;23017.0;1547.0;3690.0
486;Total;J Information and communication;2019;34708.0;23341.0;1690.0;3665.0
487;Total;J Information and communication;2020;33835.0;23972.0;1709.0;3765.0
488;Total;J Information and communication;2021;35017.0;24077.0;1785.0;3675.0
489;Total;J Information and communication;2022;39724.0;27775.0;2053.0;
490;Total;58-60 Publishing, movie, radio and  TV;2013;635.0;321.0;26.0;90.0
491;Total;58-60 Publishing, movie, radio and  TV;2014;;;;95.0
492;Total;58-60 Publishing, movie, radio and  TV;2015;;;;100.0
493;Total;58-60 Publishing, movie, radio and  TV;2016;;;;90.0
494;Total;58-60 Publishing, movie, radio and  TV;2017;;;;125.0
495;Total;58-60 Publishing, movie, radio and  TV;2018;;;;130.0
496;Total;58-60 Publishing, movie, radio and  TV;2019;;;;105.0
497;Total;58-60 Publishing, movie, radio and  TV;2020;;;;100.0
498;Total;58-60 Publishing, movie, radio and  TV;2021;;;;95.0
499;Total;58-60 Publishing, movie, radio and  TV;2022;;;;
500;Total;58 Publishing;2013;369.0;246.0;21.0;40.0
501;Total;58 Publishing;2014;512.0;352.0;31.0;45.0
502;Total;58 Publishing;2015;482.0;355.0;28.0;55.0
503;Total;58 Publishing;2016;614.0;433.0;52.0;45.0
504;Total;58 Publishing;2017;772.0;568.0;65.0;65.0
505;Total;58 Publishing;2018;1007.0;706.0;67.0;65.0
506;Total;58 Publishing;2019;1116.0;663.0;67.0;55.0
507;Total;58 Publishing;2020;849.0;576.0;80.0;45.0
508;Total;58 Publishing;2021;915.0;648.0;90.0;50.0
509;Total;58 Publishing;2022;1338.0;947.0;126.0;
510;Total;59 Film, TV and music production etc;2013;174.0;59.0;3.0;45.0
511;Total;59 Film, TV and music production etc;2014;167.0;52.0;3.0;40.0
512;Total;59 Film, TV and music production etc;2015;143.0;70.0;4.0;35.0
513;Total;59 Film, TV and music production etc;2016;;;;40.0
514;Total;59 Film, TV and music production etc;2017;249.0;110.0;5.0;50.0
515;Total;59 Film, TV and music production etc;2018;248.0;164.0;10.0;55.0
516;Total;59 Film, TV and music production etc;2019;164.0;117.0;9.0;45.0
517;Total;59 Film, TV and music production etc;2020;216.0;152.0;12.0;50.0
518;Total;59 Film, TV and music production etc;2021;150.0;96.0;10.0;40.0
519;Total;59 Film, TV and music production etc;2022;;;;
520;Total;60 Programming and broadcasting;2013;92.0;16.0;1.0;5.0
521;Total;60 Programming and broadcasting;2014;;;;10.0
522;Total;60 Programming and broadcasting;2015;;;;
523;Total;60 Programming and broadcasting;2016;98.0;37.0;3.0;5.0
524;Total;60 Programming and broadcasting;2017;;;;10.0
525;Total;60 Programming and broadcasting;2018;;;;10.0
526;Total;60 Programming and broadcasting;2019;;;;
527;Total;60 Programming and broadcasting;2020;;;;
528;Total;60 Programming and broadcasting;2021;;;;
529;Total;60 Programming and broadcasting;2022;;;;
530;Total;61 Telecommunications;2013;;;;75.0
531;Total;61 Telecommunications;2014;;;;100.0
532;Total;61 Telecommunications;2015;;;;75.0
533;Total;61 Telecommunications;2016;;;;65.0
534;Total;61 Telecommunications;2017;;;;60.0
535;Total;61 Telecommunications;2018;;;;85.0
536;Total;61 Telecommunications;2019;;;;60.0
537;Total;61 Telecommunications;2020;;;;55.0
538;Total;61 Telecommunications;2021;;;;50.0
539;Total;61 Telecommunications;2022;;;;
540;Total;62-63 IT- and information services;2013;;;;3155.0
541;Total;62-63 IT- and information services;2014;21783.0;14104.0;881.0;3415.0
542;Total;62-63 IT- and information services;2015;24265.0;15799.0;964.0;3565.0
543;Total;62-63 IT- and information services;2016;24299.0;15624.0;1034.0;3665.0
544;Total;62-63 IT- and information services;2017;24288.0;16375.0;1062.0;3530.0
545;Total;62-63 IT- and information services;2018;25742.0;17361.0;1143.0;3480.0
546;Total;62-63 IT- and information services;2019;26460.0;16976.0;1206.0;3500.0
547;Total;62-63 IT- and information services;2020;25787.0;17634.0;1288.0;3610.0
548;Total;62-63 IT- and information services;2021;27166.0;17879.0;1356.0;3530.0
549;Total;62-63 IT- and information services;2022;32008.0;21628.0;1599.0;
550;Total;62 Support activities in the field of IT;2013;21904.0;14447.0;886.0;2840.0
551;Total;62 Support activities in the field of IT;2014;20437.0;13246.0;833.0;3055.0
552;Total;62 Support activities in the field of IT;2015;22530.0;15102.0;924.0;3265.0
553;Total;62 Support activities in the field of IT;2016;22692.0;14849.0;992.0;3385.0
554;Total;62 Support activities in the field of IT;2017;22556.0;15446.0;1012.0;3265.0
555;Total;62 Support activities in the field of IT;2018;23828.0;16423.0;1091.0;3210.0
556;Total;62 Support activities in the field of IT;2019;24673.0;16070.0;1152.0;3240.0
557;Total;62 Support activities in the field of IT;2020;23870.0;16416.0;1206.0;3360.0
558;Total;62 Support activities in the field of IT;2021;25212.0;16646.0;1274.0;3275.0
559;Total;62 Support activities in the field of IT;2022;29993.0;20285.0;1505.0;
560;Total;63 Information service activities;2013;;;;320.0
561;Total;63 Information service activities;2014;1346.0;859.0;48.0;360.0
562;Total;63 Information service activities;2015;1735.0;697.0;40.0;300.0
563;Total;63 Information service activities;2016;1606.0;775.0;42.0;285.0
564;Total;63 Information service activities;2017;1732.0;929.0;50.0;265.0
565;Total;63 Information service activities;2018;1913.0;938.0;52.0;270.0
566;Total;63 Information service activities;2019;1787.0;907.0;54.0;260.0
567;Total;63 Information service activities;2020;1917.0;1218.0;82.0;255.0
568;Total;63 Information service activities;2021;1954.0;1233.0;82.0;255.0
569;Total;63 Information service activities;2022;2015.0;1343.0;94.0;
570;Total;K Financial institutions;2013;4244.0;2886.0;255.0;2185.0
571;Total;K Financial institutions;2014;4727.0;3298.0;295.0;2120.0
572;Total;K Financial institutions;2015;4402.0;2876.0;284.0;2105.0
573;Total;K Financial institutions;2016;4878.0;3152.0;301.0;2040.0
574;Total;K Financial institutions;2017;4961.0;3343.0;348.0;1765.0
575;Total;K Financial institutions;2018;6337.0;4446.0;416.0;1720.0
576;Total;K Financial institutions;2019;7420.0;4429.0;439.0;1685.0
577;Total;K Financial institutions;2020;6563.0;4326.0;462.0;1765.0
578;Total;K Financial institutions;2021;6795.0;4684.0;498.0;1695.0
579;Total;K Financial institutions;2022;8527.0;4949.0;533.0;
580;Total;L Renting, buying, selling real estate;2013;147.0;84.0;6.0;70.0
581;Total;L Renting, buying, selling real estate;2014;146.0;86.0;5.0;75.0
582;Total;L Renting, buying, selling real estate;2015;142.0;93.0;6.0;70.0
583;Total;L Renting, buying, selling real estate;2016;178.0;99.0;7.0;70.0
584;Total;L Renting, buying, selling real estate;2017;206.0;143.0;10.0;65.0
585;Total;L Renting, buying, selling real estate;2018;215.0;149.0;9.0;55.0
586;Total;L Renting, buying, selling real estate;2019;157.0;87.0;8.0;55.0
587;Total;L Renting, buying, selling real estate;2020;169.0;92.0;7.0;60.0
588;Total;L Renting, buying, selling real estate;2021;92.0;62.0;4.0;55.0
589;Total;L Renting, buying, selling real estate;2022;72.0;53.0;4.0;
590;Total;68 Renting, buying, selling real estate;2013;147.0;84.0;6.0;70.0
591;Total;68 Renting, buying, selling real estate;2014;146.0;86.0;5.0;75.0
592;Total;68 Renting, buying, selling real estate;2015;142.0;93.0;6.0;70.0
593;Total;68 Renting, buying, selling real estate;2016;178.0;99.0;7.0;70.0
594;Total;68 Renting, buying, selling real estate;2017;206.0;143.0;10.0;65.0
595;Total;68 Renting, buying, selling real estate;2018;215.0;149.0;9.0;55.0
596;Total;68 Renting, buying, selling real estate;2019;157.0;87.0;8.0;55.0
597;Total;68 Renting, buying, selling real estate;2020;169.0;92.0;7.0;60.0
598;Total;68 Renting, buying, selling real estate;2021;92.0;62.0;4.0;55.0
599;Total;68 Renting, buying, selling real estate;2022;72.0;53.0;4.0;
600;Total;M-N Business services;2013;29420.0;18618.0;1760.0;4325.0
601;Total;M-N Business services;2014;28805.0;18398.0;1734.0;4450.0
602;Total;M-N Business services;2015;30638.0;19415.0;1815.0;4410.0
603;Total;M-N Business services;2016;31177.0;19540.0;1855.0;4610.0
604;Total;M-N Business services;2017;31167.0;20257.0;1943.0;4380.0
605;Total;M-N Business services;2018;31457.0;20561.0;1938.0;4265.0
606;Total;M-N Business services;2019;33988.0;21469.0;2124.0;4555.0
607;Total;M-N Business services;2020;37526.0;23359.0;2269.0;4780.0
608;Total;M-N Business services;2021;39327.0;25310.0;2467.0;4720.0
609;Total;M-N Business services;2022;42370.0;27808.0;2713.0;
610;Total;M Other specialised business services;2013;27359.0;17636.0;1687.0;3775.0
611;Total;M Other specialised business services;2014;26824.0;17429.0;1664.0;3895.0
612;Total;M Other specialised business services;2015;28195.0;18301.0;1745.0;3775.0
613;Total;M Other specialised business services;2016;28552.0;18244.0;1762.0;3925.0
614;Total;M Other specialised business services;2017;27890.0;18807.0;1843.0;3720.0
615;Total;M Other specialised business services;2018;27808.0;18994.0;1823.0;3645.0
616;Total;M Other specialised business services;2019;30203.0;19943.0;2004.0;3785.0
617;Total;M Other specialised business services;2020;33133.0;21525.0;2136.0;3865.0
618;Total;M Other specialised business services;2021;35437.0;23644.0;2339.0;3870.0
619;Total;M Other specialised business services;2022;37598.0;25512.0;2539.0;
620;Total;69-71 Management,  technical consultancy;2013;12261.0;5589.0;354.0;2750.0
621;Total;69-71 Management,  technical consultancy;2014;11920.0;5540.0;374.0;2815.0
622;Total;69-71 Management,  technical consultancy;2015;13060.0;6283.0;384.0;2650.0
623;Total;69-71 Management,  technical consultancy;2016;13228.0;5791.0;377.0;2725.0
624;Total;69-71 Management,  technical consultancy;2017;11697.0;5721.0;404.0;2530.0
625;Total;69-71 Management,  technical consultancy;2018;11842.0;6009.0;427.0;2480.0
626;Total;69-71 Management,  technical consultancy;2019;12794.0;6186.0;465.0;2580.0
627;Total;69-71 Management,  technical consultancy;2020;14276.0;6661.0;534.0;2660.0
628;Total;69-71 Management,  technical consultancy;2021;14248.0;6577.0;548.0;2640.0
629;Total;69-71 Management,  technical consultancy;2022;15550.0;7576.0;616.0;
630;Total;69 Legal services, administration etc.;2013;308.0;137.0;10.0;65.0
631;Total;69 Legal services, administration etc.;2014;311.0;140.0;13.0;60.0
632;Total;69 Legal services, administration etc.;2015;272.0;148.0;13.0;50.0
633;Total;69 Legal services, administration etc.;2016;269.0;150.0;13.0;50.0
634;Total;69 Legal services, administration etc.;2017;216.0;159.0;18.0;45.0
635;Total;69 Legal services, administration etc.;2018;331.0;193.0;20.0;45.0
636;Total;69 Legal services, administration etc.;2019;285.0;178.0;16.0;45.0
637;Total;69 Legal services, administration etc.;2020;393.0;274.0;42.0;45.0
638;Total;69 Legal services, administration etc.;2021;499.0;218.0;30.0;40.0
