ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankruptcies_1
1860;Total entities with/without legal pers.;West-Nederland (LD);2021 January;57
1861;Total entities with/without legal pers.;West-Nederland (LD);2021 February;72
1862;Total entities with/without legal pers.;West-Nederland (LD);2021 March;90
1863;Total entities with/without legal pers.;West-Nederland (LD);2021 1st quarter;219
1864;Total entities with/without legal pers.;West-Nederland (LD);2021 April;74
1865;Total entities with/without legal pers.;West-Nederland (LD);2021 May;74
1866;Total entities with/without legal pers.;West-Nederland (LD);2021 June;77
1867;Total entities with/without legal pers.;West-Nederland (LD);2021 2nd quarter;225
1868;Total entities with/without legal pers.;West-Nederland (LD);2021 July;62
1869;Total entities with/without legal pers.;West-Nederland (LD);2021 August;55
1870;Total entities with/without legal pers.;West-Nederland (LD);2021 September;62
1871;Total entities with/without legal pers.;West-Nederland (LD);2021 3rd quarter;179
1872;Total entities with/without legal pers.;West-Nederland (LD);2021 October;55
1873;Total entities with/without legal pers.;West-Nederland (LD);2021 November;104
1874;Total entities with/without legal pers.;West-Nederland (LD);2021 December;85
1875;Total entities with/without legal pers.;West-Nederland (LD);2021 4th quarter;244
1876;Total entities with/without legal pers.;West-Nederland (LD);2021;867
1877;Total entities with/without legal pers.;West-Nederland (LD);2022 January;55
1878;Total entities with/without legal pers.;West-Nederland (LD);2022 February;70
1879;Total entities with/without legal pers.;West-Nederland (LD);2022 March;107
1880;Total entities with/without legal pers.;West-Nederland (LD);2022 1st quarter;232
1881;Total entities with/without legal pers.;West-Nederland (LD);2022 April;59
1882;Total entities with/without legal pers.;West-Nederland (LD);2022 May;125
1883;Total entities with/without legal pers.;West-Nederland (LD);2022 June;82
1884;Total entities with/without legal pers.;West-Nederland (LD);2022 2nd quarter;266
1885;Total entities with/without legal pers.;West-Nederland (LD);2022 July;72
1886;Total entities with/without legal pers.;West-Nederland (LD);2022 August;91
1887;Total entities with/without legal pers.;West-Nederland (LD);2022 September;78
1888;Total entities with/without legal pers.;West-Nederland (LD);2022 3rd quarter;241
1889;Total entities with/without legal pers.;West-Nederland (LD);2022 October;98
1890;Total entities with/without legal pers.;West-Nederland (LD);2022 November;120
1891;Total entities with/without legal pers.;West-Nederland (LD);2022 December;139
1892;Total entities with/without legal pers.;West-Nederland (LD);2022 4th quarter;357
1893;Total entities with/without legal pers.;West-Nederland (LD);2022;1096
1894;Total entities with/without legal pers.;West-Nederland (LD);2023 January;119
1895;Total entities with/without legal pers.;West-Nederland (LD);2023 February;133
1896;Total entities with/without legal pers.;West-Nederland (LD);2023 March;97
1897;Total entities with/without legal pers.;West-Nederland (LD);2023 1st quarter;350
1898;Total entities with/without legal pers.;West-Nederland (LD);2023 April;108
1899;Total entities with/without legal pers.;West-Nederland (LD);2023 May;133
1900;Total entities with/without legal pers.;West-Nederland (LD);2023 June;145
1901;Total entities with/without legal pers.;West-Nederland (LD);2023 2nd quarter;386
1902;Total entities with/without legal pers.;West-Nederland (LD);2023 July;107
1903;Total entities with/without legal pers.;West-Nederland (LD);2023 August;148
1904;Total entities with/without legal pers.;West-Nederland (LD);2023 September;108
1905;Total entities with/without legal pers.;West-Nederland (LD);2023 3rd quarter;363
1906;Total entities with/without legal pers.;West-Nederland (LD);2023 October;141
1907;Total entities with/without legal pers.;West-Nederland (LD);2023 November;128
1908;Total entities with/without legal pers.;West-Nederland (LD);2023 December;123
1909;Total entities with/without legal pers.;West-Nederland (LD);2023 4th quarter;392
1910;Total entities with/without legal pers.;West-Nederland (LD);2023;1490
1911;Total entities with/without legal pers.;West-Nederland (LD);2024 January;186
1912;Total entities with/without legal pers.;West-Nederland (LD);2024 February;148
1913;Total entities with/without legal pers.;West-Nederland (LD);2024 March;133
1914;Total entities with/without legal pers.;West-Nederland (LD);2024 1st quarter;467
1915;Total entities with/without legal pers.;West-Nederland (LD);2024 April;178
1916;Total entities with/without legal pers.;West-Nederland (LD);2024 May;143
1917;Total entities with/without legal pers.;West-Nederland (LD);2024 June;169
1918;Total entities with/without legal pers.;West-Nederland (LD);2024 2nd quarter;490
1919;Total entities with/without legal pers.;West-Nederland (LD);2024 July;233
1920;Total entities with/without legal pers.;West-Nederland (LD);2024 August;130
1921;Total entities with/without legal pers.;West-Nederland (LD);2024 September;160
1922;Total entities with/without legal pers.;West-Nederland (LD);2024 3rd quarter;523
1923;Total entities with/without legal pers.;West-Nederland (LD);2024 October;176
1924;Total entities with/without legal pers.;West-Nederland (LD);2024 November;133
1925;Total entities with/without legal pers.;West-Nederland (LD);2024 December;185
1926;Total entities with/without legal pers.;West-Nederland (LD);2024 4th quarter;494
1927;Total entities with/without legal pers.;West-Nederland (LD);2024;1974
1928;Total entities with/without legal pers.;West-Nederland (LD);2025 January;130
1929;Total entities with/without legal pers.;West-Nederland (LD);2025 February;162
1930;Total entities with/without legal pers.;West-Nederland (LD);2025 March;129
1931;Total entities with/without legal pers.;West-Nederland (LD);2025 1st quarter;421
1932;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 January;118
1933;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 February;152
1934;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 March;181
1935;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 1st quarter;451
1936;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 April;197
1937;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 May;139
1938;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 June;196
1939;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 2nd quarter;532
1940;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 July;197
1941;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 August;122
1942;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 September;152
1943;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 3rd quarter;471
1944;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 October;127
1945;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 November;179
1946;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 December;131
1947;Total entities with/without legal pers.;Zuid-Nederland (LD);2009 4th quarter;437
1948;Total entities with/without legal pers.;Zuid-Nederland (LD);2009;1891
1949;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 January;114
1950;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 February;149
1951;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 March;165
1952;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 1st quarter;428
1953;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 April;139
1954;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 May;117
1955;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 June;174
1956;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 2nd quarter;430
1957;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 July;143
1958;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 August;133
1959;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 September;109
1960;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 3rd quarter;385
1961;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 October;107
1962;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 November;163
1963;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 December;111
1964;Total entities with/without legal pers.;Zuid-Nederland (LD);2010 4th quarter;381
1965;Total entities with/without legal pers.;Zuid-Nederland (LD);2010;1624
1966;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 January;142
1967;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 February;120
1968;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 March;145
1969;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 1st quarter;407
1970;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 April;132
1971;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 May;140
1972;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 June;107
1973;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 2nd quarter;379
1974;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 July;108
1975;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 August;150
1976;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 September;129
1977;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 3rd quarter;387
1978;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 October;148
1979;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 November;192
1980;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 December;129
1981;Total entities with/without legal pers.;Zuid-Nederland (LD);2011 4th quarter;469
1982;Total entities with/without legal pers.;Zuid-Nederland (LD);2011;1642
1983;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 January;161
1984;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 February;192
1985;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 March;148
1986;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 1st quarter;501
1987;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 April;164
1988;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 May;196
1989;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 June;165
1990;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 2nd quarter;525
1991;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 July;200
1992;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 August;141
1993;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 September;135
1994;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 3rd quarter;476
1995;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 October;197
1996;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 November;167
1997;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 December;129
1998;Total entities with/without legal pers.;Zuid-Nederland (LD);2012 4th quarter;493
1999;Total entities with/without legal pers.;Zuid-Nederland (LD);2012;1995
2000;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 January;203
2001;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 February;185
2002;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 March;191
2003;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 1st quarter;579
2004;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 April;158
2005;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 May;206
2006;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 June;181
2007;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 2nd quarter;545
2008;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 July;169
2009;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 August;159
2010;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 September;170
2011;Total entities with/without legal pers.;Zuid-Nederland (LD);2013 3rd quarter;498
