ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
334;Laag;Ondergrens 95%-interval;Kerkelanden;          ;550.0
335;Laag;Ondergrens 95%-interval;Aalderinkshoek Noordoost;          ;200.0
336;Laag;Ondergrens 95%-interval;Aalderinkshoek Zuidoost;          ;50.0
337;Laag;Ondergrens 95%-interval;Aalderinkshoek Noordwest;          ;570.0
338;Laag;Ondergrens 95%-interval;Aalderinkshoek Zuidwest;          ;110.0
339;Laag;Ondergrens 95%-interval;Verspreide huizen wijk 14;          ;20.0
340;Laag;Ondergrens 95%-interval;Nieuwstraat-Kwartier;          ;1370.0
341;Laag;Ondergrens 95%-interval;Nieuwstraat -Witvoet en omgeving;          ;410.0
342;Laag;Ondergrens 95%-interval;Wonde en omgeving;          ;670.0
343;Laag;Ondergrens 95%-interval;Achterlanden en omgeving;          ;260.0
344;Laag;Ondergrens 95%-interval;Ossenkoppelerhoek;          ;1930.0
345;Laag;Ondergrens 95%-interval;Boomplaats;          ;310.0
346;Laag;Ondergrens 95%-interval;Ossenkoppelerhoek Oost;          ;270.0
347;Laag;Ondergrens 95%-interval;Beeklust;          ;290.0
348;Laag;Ondergrens 95%-interval;Ossenkoppelerhoek Midden Noord;          ;250.0
349;Laag;Ondergrens 95%-interval;Ossenkoppelerhoek West;          ;410.0
350;Laag;Ondergrens 95%-interval;Ossenkoppelerhoek Midden Zuid;          ;250.0
351;Laag;Ondergrens 95%-interval;Hofkamp;          ;520.0
352;Laag;Ondergrens 95%-interval;Hofkamp West;          ;70.0
353;Laag;Ondergrens 95%-interval;Hofkamp Oost;          ;170.0
354;Laag;Ondergrens 95%-interval;Paradijs;          ;40.0
355;Laag;Ondergrens 95%-interval;Kollenveld;          ;150.0
356;Laag;Ondergrens 95%-interval;Verspreide huizen wijk 17;          ;30.0
357;Laag;Ondergrens 95%-interval;Schelfhorst;          ;2540.0
358;Laag;Ondergrens 95%-interval;Schelfhorst Zuidwest;          ;
359;Laag;Ondergrens 95%-interval;Drakensteyn en omgeving;          ;440.0
360;Laag;Ondergrens 95%-interval;Schelfhorst Noordwest;          ;440.0
361;Laag;Ondergrens 95%-interval;Havezathe;          ;460.0
362;Laag;Ondergrens 95%-interval;Schelfhorst Noordoost;          ;190.0
363;Laag;Ondergrens 95%-interval;Schelfhorst Zuidoost;          ;570.0
364;Laag;Ondergrens 95%-interval;Veenelanden;          ;
365;Laag;Ondergrens 95%-interval;Windmolenbroek;          ;2670.0
366;Laag;Ondergrens 95%-interval;Groeneveld;          ;10.0
367;Laag;Ondergrens 95%-interval;Kanaalzijde;          ;360.0
368;Laag;Ondergrens 95%-interval;Leemslagen Noord;          ;360.0
