ID;Perioden;HypothekenInMlnEuro_1;AantalHypotheken_2;HypothekenInMlnEuro_3;AantalHypotheken_4;HypothekenInMlnEuro_5;AantalHypotheken_6;HypothekenInMlnEuro_7;AantalHypotheken_8;HypothekenInMlnEuro_9;AantalHypotheken_10;Marktaandelen_11;HypothekenInMlnEuro_12;AantalHypotheken_13;Marktaandelen_14;HypothekenInMlnEuro_15;AantalHypotheken_16;Marktaandelen_17;HypothekenInMlnEuro_18;AantalHypotheken_19;Marktaandelen_20;HypothekenInMlnEuro_21;AantalHypotheken_22;Marktaandelen_23;HypothekenInMlnEuro_24;AantalHypotheken_25;Marktaandelen_26;HypothekenInMlnEuro_27;AantalHypotheken_28;Marktaandelen_29;HypothekenInMlnEuro_30;AantalHypotheken_31;HypothekenInMlnEuro_32;AantalHypotheken_33;HypothekenInMlnEuro_34;AantalHypotheken_35;HypothekenInMlnEuro_36;AantalHypotheken_37;HypothekenInMlnEuro_38;AantalHypotheken_39;HypothekenInMlnEuro_40;AantalHypotheken_41;HypothekenInMlnEuro_42;AantalHypotheken_43;HypothekenInMlnEuro_44;AantalHypotheken_45;HypothekenInMlnEuro_46;AantalHypotheken_47;HypothekenInMlnEuro_48;AantalHypotheken_49;HypothekenInMlnEuro_50;AantalHypotheken_51;HypothekenInMlnEuro_52;AantalHypotheken_53;HypothekenInMlnEuro_54;AantalHypotheken_55;HypothekenInMlnEuro_56;AantalHypotheken_57;HypothekenInMlnEuro_58;AantalHypotheken_59;HypothekenInMlnEuro_60;AantalHypotheken_61;HypothekenInMlnEuro_62;AantalHypotheken_63;HypothekenInMlnEuro_64;AantalHypotheken_65;HypothekenInMlnEuro_66;AantalHypotheken_67;HypothekenInMlnEuro_68;AantalHypotheken_69;HypothekenInMlnEuro_70;AantalHypotheken_71;HypothekenInMlnEuro_72;AantalHypotheken_73;HypothekenInMlnEuro_74;AantalHypotheken_75;HypothekenInMlnEuro_76;AantalHypotheken_77;HypothekenInMlnEuro_78;AantalHypotheken_79;HypothekenInMlnEuro_80;AantalHypotheken_81;HypothekenInMlnEuro_82;AantalHypotheken_83;HypothekenInMlnEuro_84;AantalHypotheken_85;HypothekenInMlnEuro_86;AantalHypotheken_87;HypothekenInMlnEuro_88;AantalHypotheken_89;HypothekenInMlnEuro_90;AantalHypotheken_91;HypothekenInMlnEuro_92;AantalHypotheken_93;HypothekenInMlnEuro_94;AantalHypotheken_95;HypothekenInMlnEuro_96;AantalHypotheken_97;HypothekenInMlnEuro_98;AantalHypotheken_99;HypothekenInMlnEuro_100;AantalHypotheken_101;HypothekenInMlnEuro_102;AantalHypotheken_103;HypothekenInMlnEuro_104;AantalHypotheken_105;HypothekenInMlnEuro_106;AantalHypotheken_107;HypothekenInMlnEuro_108;AantalHypotheken_109;HypothekenInMlnEuro_110;AantalHypotheken_111;HypothekenInMlnEuro_112;AantalHypotheken_113;HypothekenInMlnEuro_114;AantalHypotheken_115;HypothekenInMlnEuro_116;AantalHypotheken_117;HypothekenInMlnEuro_118;AantalHypotheken_119;HypothekenInMlnEuro_120;AantalHypotheken_121;HypothekenInMlnEuro_122;AantalHypotheken_123;HypothekenInMlnEuro_124;AantalHypotheken_125;HypothekenInMlnEuro_126;AantalHypotheken_127;HypothekenInMlnEuro_128;AantalHypotheken_129;HypothekenInMlnEuro_130;AantalHypotheken_131;HypothekenInMlnEuro_132;AantalHypotheken_133;HypothekenInMlnEuro_134;AantalHypotheken_135;HypothekenInMlnEuro_136;AantalHypotheken_137;HypothekenInMlnEuro_138;AantalHypotheken_139
108;2002 januari;8152;35481;2631;1490;5503;33986;19.0;5;2583;11672;32;819;4430;10;0;0;0;3634;15441;45;386;2476;5;383;629;5;347;833;4;220;340;109;64;111;276;;0;127;199;8;10;0;0;67;95;10;17;9;19;;0;5345;32906;454;585;4890;32317;0.0;4;1823;10533;678;4287;0;0;2352;14437;273;2326;61;516;158;807;422;920;200;254;221;666;;0;219;430;25;49;0;0;133;349;13;46;30;44;;2;2008;924;1795;552;195;371;;1;347;349;95;33;0;0;1030;418;70;64;278;41;188.0;19;157;391;72;35;85;356;;0;67;161;13;51;0;0;52;142;20;23;5;9;1.0;5
109;2002 februari;9225;40369;2761;1553;6463;38811;1.0;5;2925;13084;32;865;5188;9;0;0;0;4188;17889;45;509;2545;6;108;587;1;630;1076;7;209;358;91;66;118;292;;0;100;202;4;15;0;0;69;108;33;19;3;14;;0;6317;37689;540;629;5777;37055;1.0;5;2091;11883;785;5018;0;0;2865;16838;302;2404;62;498;212;1048;432;894;201;250;231;644;;0;201;399;18;51;0;0;161;361;15;41;7;33;29.0;9;2085;896;1876;576;209;320;;0;448;353;41;37;0;0;1036;398;155;67;17;30;387.0;11;182;532;53;32;129;500;;0;84;247;17;67;0;0;56;184;4;14;19;12;2.0;8
110;2002 maart;10403;49041;2426;1748;7950;47286;27.0;7;3554;15701;34;1084;6562;10;0;0;0;4524;21911;43;641;2831;6;141;685;1;460;1351;4;306;459;168;98;138;361;;0;156;252;11;26;0;0;76;143;31;16;32;21;;1;7914;45914;754;670;7160;45239;1.0;5;2639;14295;1008;6369;0;0;3536;20682;325;2674;70;581;335;1313;610;1122;313;326;296;796;;0;297;536;30;68;0;0;195;427;70;49;8;32;10.0;10;1161;1044;916;612;219;430;;2;365;424;18;35;0;0;528;448;112;75;26;45;112.0;17;412;502;275;42;137;460;;0;97;194;17;64;0;0;188;211;103;17;5;6;2.0;10
111;2002 april;9549;44670;2483;1595;7023;43068;43.0;7;3432;14461;36;911;5612;10;0;0;0;4032;19559;42;605;3062;6;143;642;1;426;1334;4;290;423;151;78;140;345;;0;119;230;3;11;0;0;100;133;61;30;7;15;1.0;4;7033;41737;731;635;6301;41096;2.0;6;2429;13114;840;5436;0;0;3109;18452;345;2884;86;558;223;1293;532;984;262;266;270;718;;0;252;478;21;60;0;0;186;372;22;47;11;19;40.0;8;1434;944;1221;573;171;370;;1;551;394;32;36;0;0;566;390;138;77;24;30;124.0;17;259;582;118;43;141;539;;0;80;245;16;69;0;0;71;212;39;24;15;20;38.0;12
112;2002 mei;10140;48261;2246;1607;7889;46647;4.0;7;3467;15440;34;944;5741;9;0;0;0;4382;21343;43;795;3454;8;129;735;1;424;1548;4;300;502;138;105;162;397;;0;170;293;3;14;0;0;88;149;31;26;8;18;;2;7669;45146;556;629;7112;44511;1.0;6;2493;14067;881;5562;0;0;3329;20103;610;3268;87;629;271;1517;593;1093;315;272;278;821;;0;288;487;21;59;0;0;229;421;32;69;11;47;13.0;10;1299;958;1092;556;204;401;;1;419;384;21;36;0;0;591;434;113;60;18;33;139.0;11;278;562;145;45;133;517;;0;98;209;18;70;0;0;145;236;9;31;6;8;2.0;8
113;2002 juni;9819;44606;2411;1519;7388;43074;20.0;13;3201;13965;33;881;5196;9;0;0;0;4478;19884;46;662;3383;7;144;705;1;454;1473;5;292;451;145;91;146;360;;0;145;244;8;19;0;0;103;145;25;22;12;19;;2;7060;41612;430;556;6629;41045;1.0;11;2312;12680;803;5031;0;0;3178;18677;416;3198;96;600;255;1426;635;1107;330;267;305;840;;0;238;499;21;53;0;0;271;450;47;54;19;40;39.0;11;1586;959;1398;562;169;395;;2;402;350;37;51;0;0;811;427;165;79;16;35;155.0;17;247;477;108;43;139;434;;0;104;192;12;42;0;0;116;185;9;30;2;11;4.0;17
114;2002 juli;13084;50430;4370;1782;8697;48632;17.0;16;3812;16099;29;1125;5674;9;0;0;0;6742;21887;52;754;4208;6;180;795;1;470;1767;4;347;513;120;78;227;435;;0;142;286;4;22;0;0;106;162;49;22;46;17;1.0;4;8316;47127;520;669;7795;46444;2.0;14;2745;14623;923;5491;0;0;3718;20573;531;4039;87;677;313;1724;1134;1190;799;324;335;866;;0;283;543;121;63;0;0;661;460;45;62;15;53;8.0;9;2972;1088;2743;661;214;425;;2;560;437;61;45;0;0;2063;492;116;63;29;35;143.0;16;315;512;188;50;127;462;;0;82;210;17;53;0;0;194;200;13;22;3;13;5.0;14
115;2002 augustus;9366;42422;1797;1291;7167;41115;402.0;16;3021;13482;32;946;4622;10;0;0;0;3756;18716;40;694;3615;7;116;658;1;832;1329;9;198;380;64;57;134;323;;0;111;224;6;15;0;0;59;113;14;18;8;9;;1;6902;39829;396;484;6504;39333;2.0;12;2337;12352;751;4496;0;0;3010;17688;462;3437;82;574;260;1282;520;996;224;213;295;782;;1;228;441;20;50;0;0;228;390;16;63;13;39;15.0;13;1453;825;964;504;135;318;355.0;3;298;314;158;25;0;0;396;366;88;68;9;31;504.0;21;292;392;194;33;98;359;;0;47;151;10;36;0;0;63;159;114;29;5;5;53.0;12
116;2002 september;9284;41103;2236;1370;6957;39723;91.0;10;2987;13190;32;807;4476;9;0;0;0;4194;18142;45;694;3346;7;163;717;2;440;1232;5;179;360;54;51;124;309;;0;94;179;4;15;0;0;57;126;11;24;13;14;;2;6704;38426;392;495;6300;37923;12.0;8;2291;12081;722;4307;0;0;2935;17074;451;3149;91;614;214;1201;498;937;260;224;238;713;;0;180;417;33;73;0;0;167;350;31;57;18;34;69.0;6;1717;912;1463;553;175;357;;2;341;318;32;43;0;0;971;410;191;87;29;39;153.0;15;185;468;66;47;119;421;;0;80;195;15;38;0;0;63;182;10;29;15;16;2.0;8
117;2002 oktober;9650;44992;2056;1461;7588;43523;6.0;8;3370;14662;35;867;4832;9;0;0;0;4034;19672;42;778;3873;8;133;696;1;467;1257;5;319;444;152;68;167;376;;0;125;237;6;17;0;0;104;139;38;30;15;16;31.0;5;7281;42032;437;554;6841;41471;2.0;7;2454;13352;797;4648;0;0;3201;18581;518;3642;74;591;237;1218;545;1039;282;250;263;789;;0;253;472;16;55;0;0;180;388;57;77;11;37;28.0;10;1179;953;995;560;181;392;;1;333;376;26;42;0;0;470;382;151;94;31;42;169.0;17;326;524;190;29;136;495;;0;206;225;22;70;0;0;79;182;15;30;2;10;2.0;7
118;2002 november;9533;44083;1928;1239;7604;42834;2.0;10;3320;14844;35;881;4858;9;0;0;0;3877;18424;41;908;4022;10;135;653;1;413;1282;4;267;424;110;62;158;362;;0;109;229;2;8;0;0;104;138;49;33;4;15;;1;7155;41271;316;410;6837;40852;2.0;9;2535;13600;804;4705;0;0;2943;17386;576;3803;73;542;224;1235;725;1062;425;238;301;823;;1;287;491;27;54;0;0;308;395;74;71;22;41;8.0;10;1207;874;1023;499;184;375;;0;325;324;34;37;0;0;465;365;199;87;33;44;152.0;17;178;452;54;30;124;422;;0;64;200;15;54;0;0;58;140;9;28;3;11;30.0;19
119;2002 december;16152;57743;5521;2533;10616;55207;15.0;3;4784;19605;30;1203;6308;7;0;0;0;5856;23885;36;1492;5306;9;243;993;2;2574;1646;16;537;681;227;76;310;605;;0;208;387;4;23;0;0;172;188;144;45;8;35;1.0;3;9957;53392;727;1282;9230;52108;;2;3519;17695;1084;6082;0;0;4071;22260;852;4961;120;801;311;1593;1734;1643;1173;292;561;1351;;0;502;764;26;73;0;0;391;621;74;107;31;63;709.0;15;3665;1445;3297;806;354;638;;1;474;534;64;55;0;0;1113;607;384;148;79;77;1551.0;24;259;582;98;77;161;505;;0;81;225;25;75;0;0;109;209;38;45;3;17;3.0;11
120;2003 januari;8163;34993;2124;1521;6039;33472;;0;2651;11108;32;618;3530;8;0;0;0;3223;15159;39;1204;3512;15;122;572;1;344;1112;4;195;377;59;51;136;326;;0;91;202;7;14;0;0;72;113;18;34;4;10;3.0;4;5546;32347;226;671;5320;31676;;0;1811;9966;555;3406;0;0;2432;14131;491;3299;63;473;193;1072;475;920;169;163;306;757;;0;210;425;12;35;0;0;176;364;52;55;17;31;7.0;10;1740;987;1553;587;187;400;;0;416;357;31;40;0;0;485;424;634;96;36;54;138.0;16;208;362;117;49;90;313;;0;124;158;12;35;0;0;58;127;10;28;2;4;3.0;10
121;2003 februari;10705;38836;3848;1592;6850;37240;7.0;4;3050;12449;28;758;3588;7;0;0;0;3706;16650;35;1781;4199;17;167;600;2;1243;1350;12;275;401;134;55;141;346;;0;127;196;3;12;0;0;73;134;51;32;21;25;;2;6601;36075;564;746;6031;35326;6.0;3;2338;11352;590;3455;0;0;2697;15509;665;3961;79;482;232;1316;612;1036;270;192;342;843;;1;217;424;42;48;0;0;208;438;51;77;47;42;47.0;7;2748;965;2501;554;247;411;;0;293;341;116;42;0;0;680;434;1005;94;18;37;636.0;17;469;359;380;45;90;314;;0;75;136;8;31;0;0;47;135;10;35;3;14;327.0;8
122;2003 maart;11839;42524;4526;1656;7313;40867;;1;3045;13156;26;707;3787;6;0;0;0;4296;18617;36;1044;4688;9;150;660;1;2596;1616;22;359;482;172;63;188;419;;0;112;226;3;15;0;0;158;173;61;41;23;21;1.0;6;7112;39813;555;822;6557;38990;;1;2262;12067;606;3648;0;0;3136;17508;719;4453;88;559;303;1578;1731;1010;1423;188;308;822;;0;195;392;25;52;0;0;296;452;86;68;19;37;1111.0;9;2428;912;2243;543;185;369;;0;323;333;65;37;0;0;673;399;166;91;18;32;1182.0;20;209;307;134;40;75;267;;0;153;138;8;35;0;0;33;85;11;35;3;11;1.0;3
123;2003 april;10600;46886;2138;1678;8461;45204;0.0;4;3383;14446;32;817;4384;8;0;0;0;4520;20256;43;1275;5307;12;144;696;1;460;1797;4;469;514;257;58;212;456;;0;162;256;2;7;0;0;249;196;52;40;4;12;1.0;3;7832;43904;446;881;7386;43019;0.0;4;2466;13249;696;4247;0;0;3396;18964;872;5075;92;596;309;1773;671;1133;234;160;437;973;;0;323;468;67;56;0;0;220;483;46;76;14;43;2.0;7;1507;1009;1164;533;343;476;;0;388;350;40;37;0;0;614;484;299;90;20;38;148.0;10;120;326;36;46;84;280;;0;45;123;12;37;0;0;42;129;7;26;14;7;1.0;4
124;2003 mei;11424;52266;2185;1889;9238;50374;1.0;3;3543;15657;31;835;4731;7;0;0;0;5097;23143;45;1274;5877;11;196;795;2;479;2063;4;403;540;204;72;198;468;;0;147;279;6;18;0;0;212;193;25;27;12;22;;1;8731;49158;447;985;8283;48170;1.0;3;2682;14428;753;4590;0;0;3802;21802;1019;5632;120;673;356;2033;738;1257;307;222;430;1035;;0;288;475;31;63;0;0;336;576;42;92;10;41;31.0;10;1427;1039;1168;569;259;470;;0;392;370;38;37;0;0;698;473;169;93;41;53;90.0;13;126;272;58;41;67;231;;0;35;105;7;23;0;0;49;99;20;33;14;6;2.0;6
125;2003 juni;10476;46936;2087;1653;8335;45277;54.0;6;3159;13489;30;726;4161;7;0;0;0;4483;21042;43;1192;5428;11;216;693;2;699;2123;7;276;459;109;69;167;390;;0;116;220;3;14;0;0;87;161;48;34;8;26;13.0;4;7855;44059;415;806;7439;43250;1.0;3;2418;12424;631;4014;0;0;3405;19766;894;5200;85;572;424;2083;557;1120;169;177;388;942;;1;227;427;40;67;0;0;252;512;28;69;7;36;3.0;9;1596;973;1283;543;262;428;;2;350;313;42;41;0;0;679;466;192;86;78;48;257.0;19;192;325;112;58;79;267;;0;48;105;11;25;0;0;60;137;31;39;39;11;2.0;8
126;2003 juli;13502;52229;3950;2019;9541;50201;11.0;9;4143;15848;31;800;4645;6;0;0;0;5370;22826;40;1307;5941;10;626;814;5;1256;2155;9;360;475;149;53;211;422;;0;133;205;6;23;0;0;187;195;27;27;6;19;1.0;6;9351;49134;734;1053;8615;48073;2.0;8;3159;14657;745;4490;0;0;3932;21480;1010;5686;117;704;386;2117;809;1177;385;182;425;995;;0;363;479;16;53;0;0;266;504;71;99;8;34;85.0;8;2854;1117;2637;689;207;427;;1;430;381;21;44;0;0;941;533;189;96;490;45;783.0;18;129;326;46;42;83;284;;0;57;126;11;35;0;0;44;114;10;33;5;12;1.0;6
127;2003 augustus;14408;45894;5975;1510;8433;44382;;2;3299;14253;23;783;3795;5;0;0;0;6090;19992;42;1225;5428;8;164;679;1;2848;1747;20;282;428;123;72;160;356;;0;119;231;5;16;0;0;133;135;15;30;10;14;;2;8021;43432;336;785;7686;42646;;1;2571;13262;627;3670;0;0;3420;18940;977;5232;92;605;336;1723;1429;979;1087;145;341;834;;0;203;357;29;47;0;0;280;451;32;85;17;32;868.0;7;4534;846;4348;477;185;368;;1;346;313;117;42;0;0;2215;397;173;58;49;26;1635.0;10;141;209;80;31;61;178;;0;60;90;5;20;0;0;41;69;29;23;0;2;6.0;5
128;2003 september;14774;51721;5016;1523;9607;49961;151.0;237;3978;16005;27;798;4491;5;0;0;0;5126;22664;35;1187;5804;8;149;777;1;3536;1980;24;249;404;85;49;164;354;;1;139;209;4;13;0;0;89;144;10;22;6;14;;2;9097;48899;320;709;8730;47982;47.0;208;2941;14877;750;4369;0;0;3922;21451;1021;5563;111;693;351;1946;765;1212;314;182;440;1014;12.0;16;260;480;18;56;0;0;277;538;68;92;10;37;132.0;9;4571;1003;4257;550;221;443;92.0;10;604;368;21;33;0;0;805;458;78;96;21;31;3041.0;17;92;203;40;33;51;168;;2;33;71;5;20;0;0;33;73;10;31;1;2;11.0;6
129;2003 oktober;12906;55271;2508;1768;10260;53275;138.0;228;3915;16711;30;847;4812;7;0;0;0;5865;24619;45;1452;5827;11;232;840;2;594;2462;5;267;451;84;47;183;401;0.0;3;115;226;2;10;0;0;113;158;25;41;11;12;1.0;4;9780;52214;441;923;9294;51082;45.0;209;3080;15539;800;4686;0;0;4313;23259;1036;5561;120;730;431;2439;761;1223;338;162;416;1056;6.0;5;255;469;21;61;0;0;338;552;102;90;22;39;22.0;12;1956;1089;1585;583;285;496;85.0;10;428;385;15;26;0;0;1030;517;279;107;64;49;140.0;5;142;294;60;53;81;240;;1;36;92;8;29;0;0;71;133;11;28;16;10;;2
130;2003 november;13836;48106;4576;1554;8882;46348;379.0;204;3856;14328;28;853;4169;6;0;0;0;6125;21303;44;1875;5384;14;153;798;1;973;2124;7;414;465;230;60;180;402;4.0;3;164;228;68;19;0;0;142;158;27;28;13;30;;2;10002;45447;1909;785;8051;44483;41.0;179;2728;13291;720;4025;0;0;5088;20169;946;5182;102;683;417;2097;680;1131;283;170;392;953;6.0;8;230;448;30;71;0;0;290;476;98;81;17;45;16.0;10;2649;910;2098;509;224;388;328.0;13;698;309;31;37;0;0;573;437;788;79;20;35;539.0;13;91;153;56;30;35;122;;1;37;52;4;17;0;0;32;63;15;14;2;5;;2
131;2003 december;27501;71856;12615;2598;14680;68943;206.0;315;7299;22123;27;1701;6282;6;0;0;0;11374;30794;41;5379;8180;20;427;1315;2;1320;3162;5;575;749;248;101;326;647;;1;219;359;13;24;0;0;175;249;144;60;24;56;;1;17506;67200;4838;1243;12600;65690;68.0;267;4708;20291;1594;6107;0;0;7456;28855;2980;7776;191;1067;577;3104;2755;1915;1507;314;1238;1586;9.0;15;657;751;39;83;0;0;1097;823;781;157;117;83;64.0;18;6500;1711;5940;897;432;782;128.0;32;1657;619;51;50;0;0;2586;736;1439;166;88;102;679.0;38;165;281;82;43;83;238;;0;58;103;4;18;0;0;60;131;35;21;8;7;;1
