ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
476;29-30 Transportmiddelenindustrie;2021;89.0;90.0
477;29-30 Transportmiddelenindustrie;2022;-13.0;-13.0
478;29-30 Transportmiddelenindustrie;2023;-1.0;6.0
479;29-30 Transportmiddelenindustrie;2024;26.0;
480;30 Overige transportmiddelenindustrie;2013;-12.0;-15.0
481;30 Overige transportmiddelenindustrie;2014;19.0;-9.0
482;30 Overige transportmiddelenindustrie;2015;-4.0;17.0
483;30 Overige transportmiddelenindustrie;2016;24.0;-14.0
484;30 Overige transportmiddelenindustrie;2017;11.0;70.0
485;30 Overige transportmiddelenindustrie;2018;14.0;-35.0
486;30 Overige transportmiddelenindustrie;2019;42.0;188.0
487;30 Overige transportmiddelenindustrie;2020;-27.0;-67.0
488;30 Overige transportmiddelenindustrie;2021;27.0;50.0
489;30 Overige transportmiddelenindustrie;2022;4.0;-5.0
490;30 Overige transportmiddelenindustrie;2023;30.0;19.0
491;30 Overige transportmiddelenindustrie;2024;34.0;
492;31 Meubelindustrie;2013;13.0;38.0
493;31 Meubelindustrie;2014;-26.0;-2.0
494;31 Meubelindustrie;2015;18.0;-10.0
495;31 Meubelindustrie;2016;7.0;14.0
496;31 Meubelindustrie;2017;20.0;-2.0
497;31 Meubelindustrie;2018;-15.0;6.0
498;31 Meubelindustrie;2019;10.0;36.0
499;31 Meubelindustrie;2020;-6.0;-2.0
500;31 Meubelindustrie;2021;9.0;-2.0
501;31 Meubelindustrie;2022;15.0;31.0
502;31 Meubelindustrie;2023;-22.0;-14.0
503;31 Meubelindustrie;2024;5.0;
504;31-33 Overige industrie en reparatie;2013;;15.0
505;31-33 Overige industrie en reparatie;2014;;-11.0
506;31-33 Overige industrie en reparatie;2015;;9.0
507;31-33 Overige industrie en reparatie;2016;0.0;21.0
