ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
42;Total Dutch airports;2001 June;45878;13229;40153;35576.0;4577;20065;17783.0;2282;20088;17793.0;2295;3841225;3255397.0;585828;1912937;1633168.0;279769;1928288;1622229.0;306059;3841225;2672823;2156624;516199;1168402;137262;49919;26719;0;38801;21823;660362;532896;63470;63996;370778;120702;125574;124502;0;0;0;96128;79390;16737;43302;35481;7821;52825;43909;8917;96128;8295;6466;1830;87832;10396;1443;723;33;4908;3288;29822;20118;3751;5953;46842;13030;14468;19344;772;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Total Dutch airports;2001 2nd quarter;135384;44012;118759;106216.0;12543;59367;53093.0;6274;59392;53123.0;6269;11081237;9555864.0;1525373;5492512;4784970.0;707542;5588725;4770894.0;817831;11081237;7703896;6262967;1440929;3377315;397170;162754;78750;0;91620;64046;1877689;1503632;192642;181415;1102456;365157;383192;354107;0;0;26;294297;237154;57142;137972;107624;30348;156325;129530;26795;294297;25824;19548;6276;268473;35069;4744;2164;213;15797;12151;89853;60095;11181;18577;141473;40670;42209;58594;2078;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Total Dutch airports;2001 July;47572;12549;42528;36917.0;5611;21266;18447.0;2819;21262;18470.0;2792;4278757;3441114.0;837643;2011002;1646239.0;364763;2267755;1794875.0;472880;4278757;2977031;2347017;630014;1301724;169451;72435;32223;0;42277;22516;691964;532160;80376;79428;440309;161274;145447;133588;0;0;2;91261;75809;15452;39435;32382;7053;51826;43427;8399;91261;8377;6551;1826;82884;9811;1238;659;122;4585;3207;28225;19533;3276;5416;43919;11686;13556;18676;929;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Total Dutch airports;2001 August;47484;13644;42681;37023.0;5658;21336;18515.0;2821;21345;18508.0;2837;4246834;3404032.0;842802;2235051;1772149.0;462902;2011783;1631883.0;379900;4246834;2922400;2321448;600952;1324434;179301;83293;33073;0;40407;22528;689852;535342;75699;78811;455281;176329;144805;134147;0;0;0;90686;74690;15997;41020;33152;7868;49666;41537;8129;90686;8148;6313;1835;82538;9623;790;716;97;5316;2704;29238;20058;3517;5664;42819;11490;13591;17738;857;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Total Dutch airports;2001 September;44851;10560;40643;35608.0;5035;20333;17808.0;2525;20310;17800.0;2510;3719690;3048289.0;671401;1857773;1522226.0;335547;1861917;1526063.0;335854;3719690;2658705;2131604;527101;1060795;149665;60002;30426;0;36440;22797;537573;402137;65126;70310;373557;121659;126840;125058;0;0;190;97792;79170;18623;44641;35292;9349;53152;43878;9274;97792;8955;6820;2134;88838;10566;1237;766;96;5508;2960;29521;19875;3783;5864;47903;13099;15118;19687;847;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Total Dutch airports;2001 3rd quarter;139907;36753;125852;109548.0;16304;62935;54770.0;8165;62917;54778.0;8139;12245281;9893435.0;2351846;6103826;4940614.0;1163212;6141455;4952821.0;1188634;12245281;8558136;6800069;1758067;3686953;498417;215730;95722;0;119124;67841;1919389;1469639;221201;228549;1269147;459262;417092;392793;0;0;192;279740;229668;50072;125096;100826;24270;154644;128842;25802;279740;25480;19684;5796;254259;30001;3264;2142;315;15409;8871;86985;59466;10575;16943;134641;36275;42265;56101;2633;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Total Dutch airports;2001 October;45296;12690;40724;36157.0;4567;20370;18082.0;2288;20354;18075.0;2279;3376995;2840408.0;536587;1724265;1428582.0;295683;1652730;1411826.0;240904;3376995;2440605;1966279;474326;936390;144036;55715;27611;0;37410;23300;465976;334381;70863;60732;326378;102672;119984;103722;0;0;0;108848;86629;22219;51162;39232;11930;57686;47396;10290;108848;9054;6799;2255;99794;13237;1237;1146;106;6725;4023;33522;22351;3916;7254;51723;14460;16639;20624;1312;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Total Dutch airports;2001 November;38072;10461;34054;32177.0;1877;17027;16083.0;944;17027;16094.0;933;2730083;2572250.0;157833;1370081;1287518.0;82563;1360002;1284732.0;75270;2730083;1903957;1607316;296641;826126;119797;35052;29776;0;30698;24271;419974;291684;70687;57603;286355;75966;121009;89380;0;0;0;109989;88152;21837;52870;41227;11643;57118;46925;10194;109989;6933;4808;2126;103055;13468;1547;951;145;6272;4554;32470;21477;3970;7023;56154;15660;16257;24237;963;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Total Dutch airports;2001 December;35575;7612;32587;30905.0;1682;16297;15449.0;848;16290;15456.0;834;2652554;2515443.0;137111;1292913;1229708.0;63205;1359641;1285735.0;73906;2652554;1764491;1475242;289249;888063;127248;34304;33510;36;31620;27778;453844;314131;77028;62685;306971;88133;125785;93053;0;0;0;109453;86618;22835;54170;41618;12552;55282;44999;10283;109453;7485;5462;2023;101968;14155;1817;976;206;5681;5475;32725;21261;3937;7528;53830;16884;15050;21896;1258;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Total Dutch airports;2001 4th quarter;118943;30763;107365;99239.0;8126;53694;49614.0;4080;53671;49625.0;4046;8759632;7928101.0;831531;4387259;3945808.0;441451;4372373;3982293.0;390080;8759632;6109053;5048837;1060216;2650579;391081;125071;90897;36;99728;75349;1339794;940196;218578;181020;919704;266771;366778;286155;0;0;0;328290;261398;66892;158203;122078;36125;170087;139320;30767;328290;23472;17069;6403;304818;40860;4600;3073;457;18678;14052;98717;65089;11823;21805;161708;47004;47946;66758;3534;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Total Dutch airports;2001;516229;146083;462194;418029.0;44165;231090;208981.0;22109;231104;209048.0;22056;40789564;35463559.0;5326005;20349093;17732203.0;2616890;20440471;17731356.0;2709115;40789564;28098014;22895498;5202516;12691328;1699958;676929;341048;374;414056;267551;6620103;5013789;841972;764342;4349803;1391351;1606606;1351846;21464;0;222;1217433;976371;241062;578015;448946;129070;639418;527425;111992;1217433;100690;75399;25291;1116741;145183;16181;9287;1149;68950;49616;370190;248835;44992;76363;590714;173888;167957;248869;10654;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Total Dutch airports;2002 January;37212;8928;33955;32146.0;1809;16966;16067.0;899;16989;16079.0;910;2636649;2500746.0;135903;1336776;1266989.0;69787;1299873;1233757.0;66116;2636649;1721082;1447678;273404;915567;140339;39390;36176;71;35467;29235;448415;309836;76803;61776;326813;86132;140592;100089;0;0;0;93945;73171;20775;47487;35507;11980;46458;37663;8795;93945;6336;4552;1783;87610;13579;1361;841;187;7359;3832;28499;18776;3144;6579;45291;15459;12789;17043;241;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Total Dutch airports;2002 February;34855;8678;31396;29608.0;1788;15704;14800.0;904;15692;14808.0;884;2667372;2496548.0;170824;1312182;1232929.0;79253;1355190;1263619.0;91571;2667372;1823929;1541035;282894;843403;137076;43256;32005;30;35035;26750;402249;279642;68276;54331;304078;84208;126986;92884;0;0;40;98750;76905;21845;49298;36856;12443;49451;40050;9402;98750;6640;4780;1860;92109;13211;1188;884;170;5291;5678;30879;20276;3443;7160;47183;14534;13857;18793;835;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Total Dutch airports;2002 March;41176;14042;35638;33337.0;2301;17810;16660.0;1150;17828;16677.0;1151;3249398;3026781.0;222617;1634148;1525634.0;108514;1615250;1501147.0;114103;3249398;2210536;1844104;366432;1038855;158690;54883;36843;0;36257;30707;518028;381771;73719;62538;362137;107118;136231;118788;0;0;7;119043;93393;25650;59360;45439;13921;59683;47954;11729;119043;7052;4812;2239;111990;15877;1587;883;195;6630;6582;35882;24568;3838;7476;59300;18838;17470;22992;932;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Total Dutch airports;2002 1st quarter;113243;31648;100989;95091.0;5898;50480;47527.0;2953;50509;47564.0;2945;8553419;8024075.0;529344;4283106;4025552.0;257554;4270313;3998523.0;271790;8553419;5755547;4832817;922730;2797825;436105;137529;105024;101;106759;86692;1368692;971249;218798;178645;993028;277458;403809;311761;0;0;47;311738;243469;68269;156146;117802;38344;155592;125667;29925;311738;20027;14144;5883;291710;42667;4136;2607;551;19281;16092;95260;63619;10426;21215;151774;48831;44115;58828;2008;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Total Dutch airports;2002 April;41507;12703;36474;33329.0;3145;18237;16667.0;1570;18237;16662.0;1575;3411882;3082055.0;329827;1650092;1519007.0;131085;1761790;1563048.0;198742;3411882;2419921;1975597;444324;991957;137284;49903;34119;70;25756;27436;507066;380914;68891;57261;347607;107360;123931;116316;0;0;4;104776;82627;22149;51471;39555;11915;53305;43072;10233;104776;6421;4406;2015;98355;13910;1469;1059;278;5935;5169;31557;21352;3779;6426;51737;16062;15631;20044;1151;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Total Dutch airports;2002 May;44640;13448;39387;34861.0;4526;19690;17426.0;2264;19697;17435.0;2262;3863240;3247931.0;615309;1953393;1653083.0;300310;1909847;1594848.0;314999;3863240;2823330;2234872;588458;1039910;128529;45567;30134;3;27695;25130;563303;440146;70155;53002;348078;109347;120597;118134;0;0;0;103262;82557;20705;49165;38210;10955;54097;44347;9750;103262;6481;4593;1887;96781;13333;1289;852;148;5400;5644;31904;21347;4096;6461;50374;15868;14776;19730;1170;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Total Dutch airports;2002 June;43941;13563;38233;33796.0;4437;19110;16894.0;2216;19123;16902.0;2221;3814245;3257458.0;556787;1878689;1615823.0;262866;1935556;1641635.0;293921;3814245;2706002;2150273;555729;1108231;139664;43934;32686;4;36051;26989;608650;482453;68328;57869;359917;116337;118960;124620;0;0;12;106735;88284;18451;49869;40685;9184;56866;47599;9267;106735;6744;4830;1913;99991;12372;2053;973;125;4418;4803;33128;23625;3787;5716;53372;16148;16832;20393;1118;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Total Dutch airports;2002 2nd quarter;130088;39714;114094;101986.0;12108;57037;50987.0;6050;57057;50999.0;6058;11089367;9587444.0;1501923;5482174;4787913.0;694261;5607193;4799531.0;807662;11089367;7949253;6360742;1588511;3140098;405477;139404;96939;77;89502;79555;1679019;1303513;207374;168132;1055602;333044;363488;359070;0;0;16;314773;253468;61305;150505;118450;32055;164268;135018;29250;314773;19646;13829;5816;295127;39616;4812;2883;551;15753;15615;96590;66324;11662;18604;155483;48078;47239;60167;3439;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Total Dutch airports;2002 July;45846;13125;40619;35470.0;5149;20303;17734.0;2569;20316;17736.0;2580;4289281;3508346.0;780935;2034750;1693380.0;341370;2254531;1814966.0;439565;4289281;3052847;2362679;690168;1236434;173017;67039;34924;0;42633;28421;656689;496550;88072;72067;406728;147451;132312;126965;0;0;0;101600;84559;17041;46682;38466;8216;54919;46094;8825;101600;6392;4573;1818;95209;10565;885;826;201;4700;3951;31858;22490;3272;6095;51921;14874;16042;21005;866;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Total Dutch airports;2002 August;44950;14138;40340;35108.0;5232;20168;17564.0;2604;20172;17544.0;2628;4276395;3498048.0;778347;2238757;1813099.0;425658;2037638;1684949.0;352689;4276395;3003393;2343437;659956;1273002;179922;69298;37134;0;41842;31648;665832;506747;83303;75782;427248;162856;132314;132078;0;0;0;99358;81786;17571;47472;38475;8997;51886;43311;8574;99358;6130;4233;1898;93227;10737;937;843;106;4833;4018;31201;22284;3180;5737;50295;14711;15623;19961;994;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Total Dutch airports;2002 September;44673;16984;38856;34233.0;4623;19428;17118.0;2310;19428;17115.0;2313;4020765;3400297.0;620468;1996530;1693497.0;303033;2024235;1706800.0;317435;4020765;2872676;2284710;587966;1148089;162743;54744;36978;0;39689;31332;605020;465079;72097;67844;380326;124275;125131;130920;0;0;0;105240;85658;19582;51328;40939;10389;53912;44719;9192;105240;6989;4636;2353;98251;11698;964;829;162;5129;4614;32307;22546;3221;6540;53236;13953;16670;22614;1010;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Total Dutch airports;2002 3rd quarter;135469;44247;119815;104811.0;15004;59899;52416.0;7483;59916;52395.0;7521;12586441;10406691.0;2179750;6270037;5199976.0;1070061;6316404;5206715.0;1109689;12586441;8928916;6990826;1938090;3657525;515682;191081;109036;0;124164;91401;1927541;1468376;243472;215693;1214302;434582;389757;389963;0;0;0;306198;252004;54194;145481;117879;27602;160716;134124;26592;306198;19511;13442;6069;286687;32999;2787;2498;470;14662;12583;95366;67320;9673;18372;155452;43537;48335;63580;2870;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Total Dutch airports;2002 October;43582;9464;39325;34906.0;4419;19659;17455.0;2204;19666;17451.0;2215;3862884;3316964.0;545920;1964088;1662010.0;302078;1898796;1654954.0;243842;3862884;2741612;2149145;592467;1121272;168404;63519;32987;0;39648;32250;584454;448017;74999;61438;368414;114685;129357;124372;0;0;0;114079;89662;24418;57198;44382;12816;56881;45279;11602;114079;6923;4468;2455;107156;14360;1198;1025;216;6596;5325;34187;23709;3607;6871;57287;15583;17807;23897;1323;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Total Dutch airports;2002 November;38583;8584;34675;32455.0;2220;17346;16226.0;1120;17329;16229.0;1100;2977998;2804367.0;173631;1496868;1407547.0;89321;1481130;1396820.0;84310;2977998;2017447;1681687;335760;960551;142986;45653;32183;0;33012;32138;493734;361689;75087;56958;323831;88803;125175;109853;0;0;0;121637;95738;25899;60124;46226;13897;61513;49512;12001;121637;6147;3791;2356;115490;14262;1518;962;111;6015;5655;36076;25504;3958;6614;64002;19823;17170;27009;1151;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Total Dutch airports;2002 December;35354;5296;32695;30618.0;2077;16349;15314.0;1035;16346;15304.0;1042;2912646;2758091.0;154555;1418289;1348548.0;69741;1494357;1409543.0;84814;2912646;1905645;1582237;323408;1006987;147694;46217;34950;0;35256;31271;528920;381431;81707;65782;330373;101238;126132;103003;0;0;14;111747;88078;23669;55610;42839;12771;56137;45239;10898;111747;5851;3678;2172;105893;13999;1569;963;171;6112;5184;33188;22463;3787;6937;57584;19189;16285;22109;1122;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Total Dutch airports;2002 4th quarter;117519;23344;106695;97979.0;8716;53354;48995.0;4359;53341;48984.0;4357;9753528;8879422.0;874106;4879245;4418105.0;461140;4874283;4461317.0;412966;9753528;6664704;5413069;1251635;3088810;459084;155389;100120;0;107916;95659;1607108;1191137;231793;184178;1022618;304726;380664;337228;0;0;14;347464;273478;73985;172932;133448;39485;174531;140030;34501;347464;18921;11937;6985;328539;42620;4285;2950;498;18724;16163;103450;71677;11352;20422;178873;54595;51262;73015;3596;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Total Dutch airports;2002;496319;138953;441593;399867.0;41726;220770;199925.0;20845;220823;199942.0;20881;41982755;36897632.0;5085123;20914562;18431546.0;2483016;21068193;18466086.0;2602107;41982755;29298420;23597454;5700966;12684258;1816348;623403;411119;178;428341;353307;6582360;4934275;901437;746648;4285550;1349810;1537718;1398022;0;0;77;1280173;1022420;257753;625065;487579;137485;655108;534840;120268;1280173;78104;53352;24752;1202063;157902;16020;10939;2071;68419;60454;390666;268941;43112;78613;641582;195041;190951;255589;11913;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Total Dutch airports;2003 January;35932;8191;32975;31045.0;1930;16463;15510.0;953;16512;15535.0;977;2813139;2667006.0;146133;1427419;1353586.0;73833;1385720;1313420.0;72300;2813139;1820298;1519721;300577;992841;150612;43347;35335;0;38330;33600;497324;352839;84739;59746;344905;97017;141969;105919;0;0;0;99496;79120;20376;52076;40069;12007;47421;39051;8370;99496;4722;3137;1584;94775;12730;1472;992;157;5778;4331;30092;21139;3455;5498;51281;17031;13893;20358;671;0;0;3767.0;3765.0;3.0;1577.0;1576.0;2.0;2190.0;2189.0;1.0;3767.0;1718.0;1121.0;531.0;2049.0;301.0;26.0;116.0;0.0;118.0;40.0;1002.0;814.0;66.0;121.0;746.0;264.0;224.0;259.0;0.0
71;Total Dutch airports;2003 February;34626;8495;31210;29229.0;1981;15601;14612.0;989;15609;14617.0;992;2741087;2578665.0;162422;1346064;1271069.0;74995;1395023;1307596.0;87427;2741087;1866580;1568201;298379;874507;142411;49401;28910;0;33844;30256;430647;297485;78651;54511;301449;78301;125163;97985;0;0;0;104992;83140;21852;53712;41567;12145;51281;41574;9707;104992;5411;3639;1772;99581;13283;1631;681;148;5581;5241;34412;23425;3642;7345;50878;15767;15347;19764;1008;0;0;3844.0;3844.0;0.0;1714.0;1714.0;0.0;2129.0;2129.0;0.0;3844.0;1569.0;1030.0;477.0;2274.0;260.0;20.0;96.0;0.0;110.0;34.0;1279.0;1093.0;63.0;124.0;735.0;298.0;221.0;216.0;0.0
72;Total Dutch airports;2003 March;40119;9247;35283;32835.0;2448;17641;16417.0;1224;17642;16418.0;1224;3099952;2897300.0;202652;1576809;1472300.0;104509;1523143;1425000.0;98143;3099952;2152637;1793207;359430;947315;140232;44571;32003;0;30848;32810;502727;363311;80353;59063;304356;72245;123682;108429;0;0;0;124255;98557;25698;65085;51228;13857;59170;47329;11841;124255;6365;3929;2436;117890;13771;1573;796;111;6108;5182;37109;25877;4011;7222;66003;20545;18106;27352;1007;0;0;4065.0;4065.0;0.0;1788.0;1788.0;0.0;2277.0;2277.0;0.0;4065.0;1700.0;1111.0;532.0;2365.0;291.0;21.0;108.0;0.0;123.0;38.0;1237.0;1047.0;68.0;121.0;837.0;329.0;248.0;261.0;0.0
73;Total Dutch airports;2003 1st quarter;110677;25933;99468;93109.0;6359;49705;46539.0;3166;49763;46570.0;3193;8654178;8142971.0;511207;4350292;4096955.0;253337;4303886;4046016.0;257870;8654178;5839515;4881129;958386;2814663;433255;137319;96248;0;103022;96666;1430698;1013635;243743;173320;950710;247563;390814;312333;0;0;0;328743;260818;67925;170872;132864;38008;157871;127954;29917;328743;16498;10704;5794;312246;39784;4676;2470;416;17468;14753;101613;70441;11107;20065;168162;53342;47346;67473;2686;0;0;11676.0;11673.0;3.0;5079.0;5077.0;2.0;6596.0;6596.0;1.0;11676.0;4987.0;3262.0;1541.0;6688.0;852.0;67.0;321.0;0.0;351.0;113.0;3518.0;2954.0;198.0;366.0;2318.0;891.0;692.0;735.0;0.0
74;Total Dutch airports;2003 April;38602;10134;34247;31111.0;3136;17128;15549.0;1579;17119;15562.0;1557;3108279;2825806.0;282473;1496581;1390511.0;106070;1611698;1435295.0;176403;3108279;2251494;1856104;395390;856785;123190;39825;29125;0;24997;29243;482273;343541;82292;56440;251322;67458;107236;76628;0;0;0;108258;85121;23137;56627;43853;12774;51631;41268;10364;108258;5524;3844;1680;102734;12686;1237;1024;151;5687;4587;32399;21839;3986;6574;57038;17154;15636;24248;611;0;0;4290.0;4289.0;0.0;1777.0;1777.0;0.0;2513.0;2513.0;0.0;4290.0;1705.0;1134.0;528.0;2584.0;283.0;23.0;102.0;0.0;116.0;41.0;1240.0;1047.0;55.0;138.0;1062.0;540.0;255.0;267.0;0.0
75;Total Dutch airports;2003 May;41720;11376;37126;32529.0;4597;18547;16252.0;2295;18579;16277.0;2302;3553181;3024470.0;528711;1782708;1526372.0;256336;1770473;1498098.0;272375;3553181;2650000;2117195;532805;903181;119544;38327;29135;0;27063;25019;532927;399423;76814;56690;250710;91225;98317;61168;0;0;0;106940;85244;21696;53115;41330;11785;53826;43914;9911;106940;5655;3544;2111;101285;12069;945;803;109;5581;4632;33407;23718;3689;6000;54962;15848;15461;23653;847;0;0;4061.0;4058.0;2.0;1709.0;1706.0;2.0;2352.0;2352.0;0.0;4061.0;1631.0;1112.0;471.0;2429.0;306.0;34.0;108.0;0.0;117.0;47.0;1125.0;902.0;59.0;165.0;998.0;418.0;291.0;288.0;0.0
76;Total Dutch airports;2003 June;41570;10225;36582;32317.0;4265;18299;16158.0;2141;18283;16159.0;2124;3695057;3191757.0;503300;1822519;1584522.0;237997;1872538;1607235.0;265303;3695057;2699580;2134195;565385;995477;125626;39280;28498;0;33706;24142;582663;441600;81841;59222;287188;102463;108755;75970;0;0;0;104939;85014;19924;51958;41386;10573;52980;43629;9352;104939;5411;3482;1929;99527;11343;1212;837;137;5328;3828;33709;23708;3759;6242;53542;14845;15636;23062;933;0;0;3607.0;3607.0;0.0;1523.0;1523.0;0.0;2084.0;2084.0;0.0;3607.0;1492.0;1020.0;432.0;2115.0;289.0;32.0;111.0;0.0;106.0;41.0;1032.0;836.0;57.0;139.0;793.0;256.0;290.0;248.0;0.0
77;Total Dutch airports;2003 2nd quarter;121892;31735;107955;95957.0;11998;53974;47959.0;6015;53981;47998.0;5983;10356517;9042033.0;1314484;5101808;4501405.0;600403;5254709;4540628.0;714081;10356517;7601074;6107494;1493580;2755443;368360;117432;86758;0;85766;78404;1597863;1184564;240947;172352;789220;261146;314308;213766;0;0;0;320137;255379;64758;161700;126568;35132;158438;128811;29627;320137;16591;10869;5721;303546;36098;3394;2664;396;16596;13047;99516;69266;11434;18816;165542;47847;46733;70962;2390;0;0;11957.0;11955.0;3.0;5009.0;5007.0;3.0;6948.0;6948.0;0.0;11957.0;4829.0;3266.0;1432.0;7128.0;879.0;89.0;321.0;0.0;339.0;129.0;3397.0;2785.0;171.0;441.0;2853.0;1215.0;835.0;803.0;0.0
78;Total Dutch airports;2003 July;43508;10464;39230;33562.0;5668;19616;16770.0;2846;19614;16792.0;2822;4244484;3443174.0;801310;2010027;1658369.0;351658;2234457;1784805.0;449652;4244484;3052051;2322806;729245;1192433;165910;65298;33234;555;38581;28242;656404;472609;108125;75670;370119;135418;135619;99082;0;0;0;105896;85091;20805;50801;40494;10307;55095;44597;10498;105896;5303;3516;1787;100593;11852;610;906;87;5997;4251;33352;24160;3458;5734;54618;14547;16161;23911;771;0;0;3498.0;3497.0;0.0;1475.0;1475.0;0.0;2023.0;2022.0;0.0;3498.0;1476.0;1009.0;420.0;2021.0;303.0;43.0;107.0;0.0;109.0;45.0;995.0;794.0;54.0;147.0;723.0;183.0;283.0;258.0;0.0
79;Total Dutch airports;2003 August;42849;9868;38672;33216.0;5456;19337;16606.0;2731;19335;16610.0;2725;4194993;3463218.0;731775;2221070;1801652.0;419418;1973923;1661566.0;312357;4194993;2956211;2267858;688353;1238782;176047;67567;36735;2393;39666;29686;651163;474121;98528;78514;411572;150506;135336;125730;0;0;0;107287;86640;20646;53215;42545;10671;54071;44096;9975;107287;4673;2846;1826;102614;11535;570;788;198;5865;4114;32510;23225;3382;5902;57872;16661;16597;24615;697;0;0;3459.0;3458.0;0.0;1516.0;1516.0;0.0;1943.0;1943.0;0.0;3459.0;1385.0;932.0;410.0;2074.0;287.0;39.0;108.0;1.0;98.0;40.0;1024.0;820.0;58.0;146.0;763.0;234.0;274.0;255.0;0.0
80;Total Dutch airports;2003 September;42559;10467;37886;33222.0;4664;18935;16602.0;2333;18951;16620.0;2331;3898022;3359141.0;538881;1931401;1668964.0;262437;1966621;1690177.0;276444;3898022;2791710;2187147;604563;1106312;156403;51815;35883;2567;35703;30435;585691;439314;80868;65509;364218;115434;118291;130493;0;0;0;110783;88688;22095;57219;45081;12139;53564;43607;9957;110783;5853;3802;2051;104930;12869;602;708;205;6794;4560;32881;23349;3343;6190;58292;16229;16136;25927;887;0;0;3506.0;3506.0;0.0;1504.0;1504.0;0.0;2002.0;2002.0;0.0;3506.0;1488.0;991.0;453.0;2019.0;268.0;40.0;99.0;1.0;95.0;33.0;979.0;776.0;51.0;152.0;771.0;214.0;269.0;289.0;0.0
