ID;PriceComponents;VATAndTax;Periods;LessThan569M3_1;k_569Until5687M3_2;k_5687M3AndHigher_3;LessThan28433M3_4;k_28433Until284333M3_5;k_284333Until2843332M3_6;k_2843332Until28433324M3_7;k_28433324M3AndHigher_8;LessThan1MWh_9;k_1Until25MWh_10;k_25Until5MWh_11;k_5Until15MWh_12;k_15MWhAndHigher_13;LessThan20MWh_14;k_20Unitl500MWh_15;k_500Until2000MWh_16;k_2000Until20000MWh_17;k_20000Until70000MWh_18;k_70000Until150000MWh_19;k_150000MWhAndHigher_20
391;Network price;Excluding VAT and tax;2011 2nd semester;0.315;0.091;0.04;0.065;0.038;0.016;0.013;0.008;0.227;0.092;0.053;0.024;0.059;0.033;0.027;0.02;0.016;0.013;0.012;0.008
392;Network price;Excluding VAT and tax;2011;0.263;0.076;0.033;0.049;0.036;0.014;0.011;0.008;0.229;0.092;0.053;0.024;0.059;0.031;0.027;0.02;0.016;0.012;0.011;0.008
393;Network price;Excluding VAT and tax;2012 1st semester;0.225;0.066;0.03;0.051;0.036;0.015;0.011;0.004;0.244;0.097;0.055;0.025;0.064;0.038;0.03;0.022;0.017;0.013;0.013;0.009
394;Network price;Excluding VAT and tax;2012 2nd semester;0.334;0.098;0.045;0.068;0.042;0.018;0.015;0.005;0.259;0.103;0.059;0.027;0.068;0.039;0.03;0.022;0.017;0.013;0.013;0.009
395;Network price;Excluding VAT and tax;2012;0.269;0.079;0.036;0.058;0.038;0.016;0.012;0.004;0.251;0.1;0.057;0.026;0.066;0.038;0.03;0.022;0.017;0.013;0.013;0.009
396;Network price;Excluding VAT and tax;2013 1st semester;0.208;0.062;0.03;0.059;0.039;0.011;0.018;0.007;0.259;0.103;0.058;0.026;0.069;0.031;0.026;0.021;0.019;0.017;0.016;0.017
397;Network price;Excluding VAT and tax;2013 2nd semester;0.395;0.118;0.056;0.076;0.042;0.012;0.02;0.007;0.271;0.108;0.061;0.028;0.072;0.034;0.027;0.023;0.019;0.019;0.02;0.02
398;Network price;Excluding VAT and tax;2013;0.273;0.082;0.039;0.066;0.04;0.011;0.019;0.007;0.265;0.105;0.06;0.027;0.071;0.033;0.027;0.022;0.019;0.018;0.018;0.018
399;Network price;Excluding VAT and tax;2014 1st semester;0.237;0.07;0.032;0.06;0.038;0.01;0.011;0.011;0.251;0.1;0.057;0.026;0.069;0.043;0.03;0.021;0.018;0.017;0.021;0.018
400;Network price;Excluding VAT and tax;2014 2nd semester;0.312;0.092;0.042;0.068;0.038;0.012;0.012;0.012;0.255;0.102;0.058;0.026;0.07;0.037;0.032;0.022;0.019;0.017;0.021;0.019
401;Network price;Excluding VAT and tax;2014;0.27;0.079;0.037;0.063;0.038;0.011;0.012;0.011;0.253;0.101;0.058;0.026;0.07;0.04;0.031;0.021;0.019;0.017;0.021;0.018
402;Network price;Excluding VAT and tax;2015 1st semester;0.21;0.06;0.028;0.052;0.032;0.01;0.01;0.01;0.245;0.097;0.055;0.025;0.066;0.052;0.03;0.019;0.017;0.015;0.02;0.018
403;Network price;Excluding VAT and tax;2015 2nd semester;0.366;0.104;0.048;0.068;0.036;0.011;0.012;0.011;0.242;0.096;0.055;0.025;0.065;0.051;0.029;0.019;0.017;0.016;0.019;0.018
404;Network price;Excluding VAT and tax;2015;0.267;0.076;0.035;0.058;0.034;0.01;0.011;0.01;0.243;0.096;0.055;0.025;0.066;0.051;0.03;0.019;0.017;0.015;0.019;0.018
405;Network price;Excluding VAT and tax;2016 1st semester;0.199;0.056;0.026;0.054;0.033;0.01;0.01;0.011;0.241;0.097;0.055;0.025;0.067;0.055;0.027;0.019;0.017;0.016;0.015;0.017
406;Network price;Excluding VAT and tax;2016 2nd semester;0.347;0.097;0.044;0.066;0.034;0.013;0.014;0.013;0.238;0.095;0.054;0.025;0.067;0.053;0.027;0.019;0.017;0.016;0.015;0.017
407;Network price;Excluding VAT and tax;2016;0.253;0.071;0.032;0.059;0.033;0.011;0.012;0.012;0.24;0.096;0.055;0.025;0.067;0.053;0.027;0.019;0.017;0.016;0.015;0.017
408;Network price;Excluding VAT and tax;2017 1st semester;0.262;0.068;0.032;0.064;0.033;0.012;0.012;0.013;0.234;0.092;0.053;0.025;0.056;0.055;0.025;0.019;0.02;0.013;0.012;0.014
409;Network price;Excluding VAT and tax;2017 2nd semester;0.374;0.097;0.045;0.075;0.037;0.013;0.014;0.013;0.237;0.094;0.054;0.025;0.057;0.054;0.024;0.018;0.02;0.013;0.012;0.014
410;Network price;Excluding VAT and tax;2017;0.308;0.08;0.037;0.068;0.034;0.012;0.013;0.013;0.236;0.093;0.053;0.025;0.057;0.054;0.025;0.019;0.02;0.013;0.012;0.014
411;Network price;Excluding VAT and tax;2018 1st semester;0.267;0.077;0.029;0.067;0.035;0.012;0.011;0.012;0.28;0.097;0.055;0.025;0.057;0.064;0.024;0.019;0.018;0.012;0.012;0.013
412;Network price;Excluding VAT and tax;2018 2nd semester;0.325;0.091;0.036;0.082;0.04;0.014;0.013;0.012;0.246;0.085;0.048;0.022;0.057;0.061;0.022;0.018;0.018;0.012;0.012;0.013
413;Network price;Excluding VAT and tax;2018;0.29;0.083;0.032;0.073;0.037;0.013;0.012;0.012;0.263;0.091;0.052;0.024;0.057;0.063;0.023;0.018;0.018;0.012;0.012;0.013
414;Network price;Excluding VAT and tax;2019 1st semester;0.249;0.072;0.027;0.053;0.033;0.012;0.01;0.01;0.254;0.098;0.058;0.026;0.059;0.065;0.026;0.019;0.016;0.013;0.01;0.012
415;Network price;Excluding VAT and tax;2019 2nd semester;0.359;0.106;0.04;0.087;0.036;0.013;0.012;0.012;0.252;0.098;0.058;0.026;0.057;0.056;0.026;0.019;0.016;0.013;0.01;0.012
416;Network price;Excluding VAT and tax;2019;0.306;0.089;0.033;0.064;0.034;0.012;0.011;0.011;0.253;0.098;0.058;0.026;0.058;0.06;0.026;0.019;0.016;0.013;0.01;0.012
417;Network price;Excluding VAT and tax;2020 1st semester;0.295;0.084;0.03;0.078;0.033;0.012;0.01;0.01;0.259;0.104;0.062;0.028;0.058;0.064;0.028;0.019;0.016;0.012;0.01;0.019
418;Network price;Excluding VAT and tax;2020 2nd semester;0.387;0.112;0.041;0.092;0.036;0.013;0.013;0.013;0.25;0.101;0.06;0.027;0.059;0.062;0.026;0.02;0.017;0.013;0.012;0.01
419;Network price;Excluding VAT and tax;2020;0.333;0.095;0.035;0.084;0.034;0.013;0.011;0.011;0.255;0.103;0.061;0.027;0.058;0.063;0.027;0.019;0.016;0.013;0.011;0.011
420;Network price;Excluding VAT and tax;2021 1st semester;0.268;0.08;0.029;0.077;0.034;0.011;0.011;0.012;0.259;0.104;0.062;0.028;0.066;0.074;0.03;0.021;0.019;0.015;0.015;0.017
421;Network price;Excluding VAT and tax;2021 2nd semester;0.392;0.116;0.043;0.098;0.038;0.012;0.013;0.014;0.265;0.107;0.064;0.029;0.067;0.079;0.03;0.021;0.018;0.015;0.016;0.017
422;Network price;Excluding VAT and tax;2021;0.319;0.094;0.035;0.086;0.036;0.012;0.012;0.013;0.262;0.106;0.063;0.028;0.066;0.077;0.03;0.021;0.018;0.015;0.015;0.017
423;Network price;Excluding VAT and tax;2022 1st semester;0.307;0.083;0.03;0.093;0.035;0.011;0.011;0.016;0.313;0.128;0.075;0.033;0.049;0.086;0.033;0.023;0.021;0.017;0.016;0.018
424;Network price;Excluding VAT and tax;2022 2nd semester;0.428;0.116;0.042;0.105;0.041;0.013;0.013;0.022;0.242;0.099;0.058;0.026;0.038;0.084;0.032;0.023;0.02;0.017;0.015;0.018
425;Network price;Excluding VAT and tax;2022;0.358;0.097;0.035;0.098;0.037;0.012;0.011;0.019;0.273;0.111;0.066;0.029;0.043;0.085;0.033;0.023;0.021;0.017;0.015;0.018
426;Network price;Excluding VAT and tax;2023 1st semester;0.297;0.098;0.033;0.128;0.057;0.015;0.018;0.028;0.33;0.14;0.083;0.036;0.06;0.093;0.046;0.034;0.03;0.024;0.026;0.026
427;Network price;Excluding VAT and tax;2023 2nd semester;0.492;0.162;0.055;0.138;0.061;0.016;0.017;0.03;0.34;0.144;0.086;0.037;0.062;0.091;0.044;0.029;0.03;0.023;0.026;0.022
428;Network price;Excluding VAT and tax;2023;0.37;0.122;0.041;0.134;0.059;0.016;0.017;0.029;0.335;0.142;0.085;0.037;0.061;0.092;0.045;0.031;0.03;0.023;0.026;0.024
429;Network price;Excluding VAT and tax;2024 1st semester;0.305;0.126;0.036;0.102;0.049;0.015;0.016;0.025;0.409;0.176;0.105;0.045;0.075;0.11;0.056;0.038;0.038;0.03;0.038;0.032
430;Network price;Excluding VAT and tax;2024 2nd semester;0.466;0.193;0.056;0.15;0.066;0.021;0.019;0.034;0.398;0.171;0.102;0.044;0.073;0.091;0.057;0.038;0.038;0.03;0.042;0.042
431;Network price;Excluding VAT and tax;2024;0.369;0.153;0.044;0.122;0.056;0.018;0.018;0.029;0.403;0.174;0.103;0.044;0.074;0.101;0.056;0.038;0.038;0.03;0.04;0.036
