ID;Persoonskenmerken;Marges;Perioden;TotaalOnlineAankopenVoorPrive_1;MinderDan3MaandenGeleden_2;k_3Tot12MaandenGeleden_3;MeerDan12MaandenGeleden_4;NogNooit_5;KledingSchoenenAccessoires_6;Sportartikelen_7;SpeelgoedBabyspullen_8;CosmeticaParfumSchoonheidsproducten_9;SchoonmaakmiddelenVerzorgingsartikelen_10;MeubelsWoonaccessoiresTuinartikelen_11;VoertuigenOfOnderdelen_12;EtenswarenDrank_13;MaaltijdenBesteld_14;MedicijnenVitaminepillen_15;GedrukteBoekenTijdschriftenKranten_16;ComputersTabletsMobieleTelefoon_17;ElektronicaHuishoudelijkeApparatuur_18;AndereGoederen_19;MuziekViaStreamingsdienstOfDownload_20;FilmsSeriesViaStreamingsdienst_21;EBooksOnlineTijdschriftenKranten_22;OnlineSpellenGamesOfDownload_23;ComputersoftwareOfSoftwareUpgrades_24;BetaaldeGezondheidsOfSportapps_25;AndereBetaaldeApps_26;KaartjesSportevenementen_27;KaartjesBioscoopCultureleEvenement_28;AbonnementVoorInternetOfTelefoon_29
270;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2020;72.6;56.7;11.6;4.4;10.7;35.5;15.6;8.0;13.8;10.4;14.9;6.0;10.7;27.6;8.6;16.3;18.3;13.0;21.2;22.2;31.4;9.0;14.1;9.6;3.1;5.3;5.4;20.3;25.9
271;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2021;74.4;61.0;10.3;3.1;9.3;45.6;19.4;10.4;22.7;14.7;20.4;7.4;15.4;33.9;13.7;18.0;18.5;15.8;23.8;24.1;33.1;11.7;15.2;11.3;3.3;6.9;1.1;4.8;32.3
272;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2022;73.9;57.4;11.6;4.8;11.6;40.2;18.0;9.7;20.1;15.0;17.1;9.1;16.6;33.3;14.5;15.0;17.2;13.1;19.2;24.4;30.3;11.2;14.0;9.3;3.3;6.8;5.7;21.5;29.9
273;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2023;82.6;67.0;10.5;5.1;10.1;47.2;21.9;9.2;22.9;14.9;20.3;9.3;14.7;35.4;14.6;17.0;18.5;14.8;24.4;27.6;34.7;12.5;13.6;10.5;4.2;9.7;6.4;31.1;39.6
274;Gestandaardiseerd inkomen: 1e 25%-groep;Waarde;2024;85.1;70.2;10.0;5.0;11.0;51.5;22.5;10.4;24.4;19.9;18.0;8.3;14.8;32.5;18.2;18.1;18.2;13.9;18.0;27.2;37.9;;14.9;14.1;4.7;9.5;;;43.1
275;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2020;69.5;53.2;9.4;3.0;8.6;32.2;13.1;6.1;11.4;8.3;12.4;4.5;8.6;24.5;6.7;13.8;15.7;10.7;18.4;19.3;28.2;7.1;11.7;7.6;1.8;3.7;3.9;17.5;22.9
276;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2021;71.2;57.5;8.1;1.9;7.2;42.0;16.6;8.2;19.7;12.2;17.6;5.6;12.8;30.6;11.3;15.3;15.7;13.2;20.8;21.1;29.7;9.4;12.7;9.1;2.1;5.1;0.4;3.2;29.0
277;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2022;70.8;54.0;9.4;3.4;9.4;36.8;15.3;7.6;17.3;12.5;14.5;7.1;14.0;30.1;12.0;12.6;14.6;10.8;16.5;21.4;27.1;9.0;11.6;7.3;2.1;5.0;4.1;18.7;26.7
278;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2023;80.0;63.8;8.4;3.5;8.0;43.7;19.0;7.2;20.0;12.4;17.5;7.2;12.2;32.1;12.2;14.4;15.8;12.4;21.5;24.5;31.4;10.2;11.2;8.3;2.8;7.7;4.6;27.9;36.2
279;Gestandaardiseerd inkomen: 1e 25%-groep;Ondergrens 95%-interval;2024;82.5;66.9;8.1;3.7;9.0;48.0;19.7;8.4;21.5;17.3;15.5;6.5;12.5;29.3;15.7;15.6;15.6;11.6;15.5;24.2;34.6;;12.6;11.8;3.5;7.7;;;39.6
280;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2020;75.7;60.1;13.7;5.8;12.8;38.8;18.1;9.8;16.1;12.5;17.3;7.6;12.8;30.7;10.5;18.8;20.9;15.3;24.0;25.0;34.6;11.0;16.5;11.7;4.3;6.9;6.9;23.0;28.9
281;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2021;77.6;64.5;12.4;4.4;11.4;49.1;22.2;12.6;25.6;17.2;23.2;9.3;18.0;37.3;16.2;20.7;21.2;18.4;26.8;27.2;36.4;13.9;17.7;13.5;4.6;8.7;1.7;6.3;35.6
282;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2022;77.0;60.8;13.8;6.3;13.8;43.6;20.7;11.8;22.9;17.4;19.8;11.2;19.2;36.6;17.0;17.5;19.8;15.4;21.9;27.3;33.5;13.3;16.5;11.3;4.6;8.6;7.4;24.4;33.0
283;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2023;85.2;70.3;12.6;6.7;12.2;50.6;24.8;11.3;25.8;17.4;23.1;11.3;17.2;38.7;17.1;19.6;21.2;17.3;27.4;30.6;37.9;14.8;16.0;12.6;5.6;11.8;8.1;34.3;42.9
284;Gestandaardiseerd inkomen: 1e 25%-groep;Bovengrens 95%-interval;2024;87.4;73.3;12.3;6.7;13.4;54.9;25.6;12.7;27.6;22.8;20.8;10.4;17.4;35.9;21.1;20.9;21.0;16.5;20.8;30.4;41.3;;17.6;16.8;6.5;11.8;;;46.5
285;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2020;78.5;62.2;11.0;5.2;11.4;41.3;19.3;10.1;18.2;11.0;20.1;8.1;12.7;28.6;12.6;16.0;17.9;14.2;21.5;25.9;34.2;10.4;15.9;11.9;2.9;6.6;4.6;23.7;25.7
286;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2021;81.2;69.7;8.5;3.0;8.6;50.3;21.1;13.7;24.3;17.0;24.7;9.9;19.3;39.1;15.3;19.3;21.8;19.8;25.0;27.4;38.1;12.1;15.0;12.1;3.4;5.9;1.4;5.6;30.1
287;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2022;81.8;65.8;11.5;4.5;8.2;45.6;18.9;12.2;21.9;16.5;21.1;8.6;18.3;35.7;15.5;16.7;19.4;15.8;23.5;26.7;37.2;11.2;15.7;12.3;3.8;8.9;6.1;26.0;33.7
288;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2023;86.4;69.5;11.5;5.4;9.9;48.1;21.4;12.2;22.9;17.1;18.5;8.3;18.4;34.0;16.7;14.9;17.4;13.7;23.8;29.6;37.7;12.8;14.1;12.9;3.6;8.7;7.8;32.7;36.7
289;Gestandaardiseerd inkomen: 2e 25%-groep;Waarde;2024;88.8;73.4;11.7;3.8;8.3;50.8;20.6;14.4;27.0;19.1;20.5;9.3;19.0;34.8;18.0;17.4;17.8;14.6;19.9;32.0;39.1;;15.3;14.4;5.6;12.4;;;43.2
290;Gestandaardiseerd inkomen: 2e 25%-groep;Ondergrens 95%-interval;2020;76.3;59.6;9.3;4.0;9.7;38.6;17.1;8.4;16.0;9.3;17.8;6.6;10.9;26.1;10.8;14.0;15.8;12.2;19.3;23.4;31.6;8.8;13.9;10.1;2.0;5.2;3.4;21.4;23.3
291;Gestandaardiseerd inkomen: 2e 25%-groep;Ondergrens 95%-interval;2021;79.1;67.2;7.0;2.0;7.1;47.6;18.9;11.8;22.0;15.0;22.4;8.3;17.1;36.5;13.3;17.2;19.6;17.6;22.7;24.9;35.5;10.4;13.0;10.3;2.5;4.6;0.8;4.4;27.6
292;Gestandaardiseerd inkomen: 2e 25%-groep;Ondergrens 95%-interval;2022;79.7;63.2;9.8;3.4;6.8;42.9;16.8;10.4;19.6;14.5;18.9;7.1;16.1;33.1;13.5;14.7;17.2;13.8;21.2;24.3;34.5;9.5;13.7;10.5;2.7;7.3;4.8;23.6;31.1
293;Gestandaardiseerd inkomen: 2e 25%-groep;Ondergrens 95%-interval;2023;84.6;67.0;9.8;4.2;8.4;45.4;19.2;10.4;20.6;15.0;16.4;6.7;16.3;31.4;14.7;13.0;15.4;11.8;21.5;27.2;35.1;11.0;12.1;11.1;2.6;7.1;6.3;30.2;34.1
294;Gestandaardiseerd inkomen: 2e 25%-groep;Ondergrens 95%-interval;2024;87.0;70.9;10.0;2.9;6.9;48.1;18.5;12.6;24.7;17.0;18.3;7.8;16.9;32.2;16.0;15.4;15.8;12.8;17.8;29.5;36.5;;13.5;12.6;4.4;10.7;;;40.6
295;Gestandaardiseerd inkomen: 2e 25%-groep;Bovengrens 95%-interval;2020;80.7;64.8;12.7;6.4;13.1;44.0;21.5;11.8;20.4;12.7;22.3;9.6;14.6;31.1;14.4;18.0;20.0;16.1;23.8;28.3;36.8;12.1;18.0;13.6;3.9;8.0;5.7;26.1;28.1
296;Gestandaardiseerd inkomen: 2e 25%-groep;Bovengrens 95%-interval;2021;83.3;72.2;10.0;3.9;10.1;53.0;23.3;15.6;26.7;19.1;27.1;11.5;21.4;41.8;17.2;21.5;24.1;21.9;27.4;29.8;40.7;13.9;16.9;13.9;4.4;7.2;2.1;6.9;32.5
297;Gestandaardiseerd inkomen: 2e 25%-groep;Bovengrens 95%-interval;2022;83.8;68.3;13.2;5.6;9.7;48.2;21.1;14.0;24.2;18.6;23.4;10.2;20.4;38.3;17.5;18.8;21.6;17.8;25.9;29.1;39.8;13.0;17.7;14.1;4.9;10.5;7.5;28.4;36.3
298;Gestandaardiseerd inkomen: 2e 25%-groep;Bovengrens 95%-interval;2023;88.1;71.9;13.2;6.6;11.5;50.8;23.6;14.0;25.2;19.1;20.6;9.8;20.5;36.5;18.8;16.8;19.5;15.6;26.1;32.1;40.2;14.6;16.0;14.8;4.7;10.3;9.2;35.2;39.3
299;Gestandaardiseerd inkomen: 2e 25%-groep;Bovengrens 95%-interval;2024;90.4;75.7;13.6;4.9;9.9;53.5;22.9;16.5;29.5;21.3;22.8;11.0;21.2;37.4;20.2;19.5;20.0;16.7;22.1;34.6;41.8;;17.4;16.5;7.0;14.3;;;46.0
300;Gestandaardiseerd inkomen: 3e 25%-groep;Waarde;2020;90.5;76.8;9.8;3.9;6.2;54.1;24.1;15.4;23.4;14.3;25.3;9.1;17.4;37.1;14.0;21.0;22.7;16.8;27.0;31.5;42.9;16.2;18.0;15.3;3.3;8.1;7.2;30.5;31.4
301;Gestandaardiseerd inkomen: 3e 25%-groep;Waarde;2021;91.2;83.1;6.0;2.1;5.0;64.7;29.8;17.4;29.9;23.1;31.2;11.6;25.3;48.9;19.5;26.4;25.6;21.1;32.9;36.3;47.6;16.6;16.6;14.9;4.7;9.4;2.1;8.5;37.0
302;Gestandaardiseerd inkomen: 3e 25%-groep;Waarde;2022;90.9;78.1;9.8;3.0;6.1;56.3;27.4;16.6;27.6;18.9;25.4;10.2;23.8;44.6;18.5;20.4;22.6;19.8;27.2;38.1;48.5;17.7;17.5;13.6;5.0;9.6;8.4;36.0;40.1
303;Gestandaardiseerd inkomen: 3e 25%-groep;Waarde;2023;93.3;83.6;7.1;2.6;5.3;62.1;29.3;15.8;31.2;22.3;24.7;11.0;23.9;44.0;20.9;22.2;22.5;18.4;32.3;43.2;51.7;17.3;18.9;16.6;6.1;10.5;11.1;45.4;46.2
304;Gestandaardiseerd inkomen: 3e 25%-groep;Waarde;2024;95.4;84.0;8.8;2.6;4.0;60.2;29.9;16.5;30.1;24.0;24.8;11.9;22.1;41.7;20.4;18.8;21.2;17.8;23.8;40.7;50.1;;15.7;15.3;5.7;11.7;;;49.0
305;Gestandaardiseerd inkomen: 3e 25%-groep;Ondergrens 95%-interval;2020;89.2;74.9;8.4;3.0;5.2;51.8;22.1;13.7;21.4;12.7;23.3;7.8;15.6;34.8;12.4;19.1;20.7;15.1;25.0;29.3;40.6;14.5;16.2;13.6;2.5;6.8;6.0;28.4;29.2
306;Gestandaardiseerd inkomen: 3e 25%-groep;Ondergrens 95%-interval;2021;89.8;81.3;4.8;1.4;3.9;62.4;27.6;15.6;27.7;21.1;29.0;10.1;23.2;46.5;17.6;24.3;23.5;19.2;30.6;34.1;45.2;14.9;14.8;13.2;3.7;8.0;1.4;7.2;34.7
307;Gestandaardiseerd inkomen: 3e 25%-groep;Ondergrens 95%-interval;2022;89.5;76.1;8.3;2.2;5.0;54.0;25.2;14.7;25.4;17.0;23.3;8.7;21.8;42.2;16.6;18.4;20.6;17.8;25.0;35.7;46.1;15.9;15.6;12.0;3.9;8.2;7.1;33.7;37.7
308;Gestandaardiseerd inkomen: 3e 25%-groep;Ondergrens 95%-interval;2023;92.1;81.8;5.9;1.9;4.3;59.8;27.2;14.1;29.0;20.3;22.6;9.5;21.9;41.6;18.9;20.2;20.5;16.5;30.1;40.8;49.4;15.5;17.0;14.8;5.0;9.0;9.6;43.0;43.9
309;Gestandaardiseerd inkomen: 3e 25%-groep;Ondergrens 95%-interval;2024;94.3;82.2;7.6;1.9;3.2;57.8;27.8;14.7;28.0;22.0;22.8;10.5;20.2;39.3;18.5;17.0;19.3;16.1;21.9;38.4;47.7;;14.0;13.6;4.6;10.2;;;46.6
310;Gestandaardiseerd inkomen: 3e 25%-groep;Bovengrens 95%-interval;2020;91.9;78.8;11.2;4.8;7.3;56.4;26.1;17.0;25.4;16.0;27.3;10.4;19.2;39.3;15.7;22.9;24.6;18.5;29.1;33.7;45.2;17.9;19.8;17.0;4.2;9.4;8.4;32.6;33.6
311;Gestandaardiseerd inkomen: 3e 25%-groep;Bovengrens 95%-interval;2021;92.5;84.9;7.1;2.7;6.0;67.0;31.9;19.3;32.1;25.1;33.4;13.2;27.3;51.3;21.4;28.5;27.6;23.1;35.1;38.6;49.9;18.4;18.4;16.7;5.8;10.9;2.8;9.9;39.3
312;Gestandaardiseerd inkomen: 3e 25%-groep;Bovengrens 95%-interval;2022;92.2;80.1;11.2;3.8;7.2;58.7;29.6;18.4;29.8;20.8;27.5;11.6;25.9;47.0;20.4;22.3;24.6;21.7;29.3;40.4;50.9;19.5;19.4;15.3;6.1;11.1;9.7;38.3;42.4
313;Gestandaardiseerd inkomen: 3e 25%-groep;Bovengrens 95%-interval;2023;94.5;85.3;8.3;3.4;6.4;64.3;31.5;17.6;33.4;24.3;26.7;12.5;26.0;46.3;22.8;24.2;24.5;20.2;34.5;45.5;54.1;19.1;20.8;18.4;7.3;12.0;12.6;47.7;48.6
314;Gestandaardiseerd inkomen: 3e 25%-groep;Bovengrens 95%-interval;2024;96.3;85.7;10.3;3.4;5.1;62.5;32.2;18.3;32.4;26.1;26.9;13.6;24.2;44.0;22.4;20.7;23.2;19.7;25.9;43.1;52.5;;17.5;17.1;7.0;13.3;;;51.4
315;Gestandaardiseerd inkomen: 4e 25%-groep;Waarde;2020;93.6;83.3;7.4;2.9;3.9;58.0;29.4;15.6;26.4;19.2;28.1;10.4;25.6;43.9;18.2;28.7;26.1;22.1;34.6;44.5;53.5;25.4;17.9;19.7;5.8;13.0;9.6;36.8;35.6
316;Gestandaardiseerd inkomen: 4e 25%-groep;Waarde;2021;95.2;88.8;4.4;1.9;2.5;70.4;36.8;20.2;36.1;27.0;39.6;13.3;35.5;59.7;22.9;35.3;29.0;27.6;38.9;47.5;58.6;27.6;18.8;20.2;9.1;12.3;3.2;11.1;40.5
317;Gestandaardiseerd inkomen: 4e 25%-groep;Waarde;2022;94.5;85.9;6.6;2.0;3.6;65.8;35.9;17.1;33.5;23.9;31.6;11.3;33.4;53.0;23.3;30.1;27.0;22.7;30.5;52.5;61.8;28.8;18.2;20.7;7.7;12.9;12.4;46.2;47.1
318;Gestandaardiseerd inkomen: 4e 25%-groep;Waarde;2023;96.8;88.7;6.4;1.7;3.0;66.0;34.5;18.4;36.0;26.9;31.0;11.0;29.6;49.5;22.7;28.8;24.7;22.2;37.8;53.2;61.4;30.9;18.2;18.3;8.3;16.4;14.7;55.1;52.6
319;Gestandaardiseerd inkomen: 4e 25%-groep;Waarde;2024;97.5;90.7;5.1;1.8;2.4;68.5;37.3;17.6;38.0;29.1;31.2;10.8;28.3;49.0;25.4;28.9;25.6;22.4;28.7;54.2;63.1;;16.9;22.2;9.0;20.3;;;57.2
320;Gestandaardiseerd inkomen: 4e 25%-groep;Ondergrens 95%-interval;2020;92.6;81.7;6.3;2.2;3.1;55.9;27.5;14.0;24.5;17.5;26.2;9.1;23.7;41.8;16.6;26.8;24.3;20.4;32.6;42.4;51.4;23.6;16.2;18.0;4.8;11.6;8.4;34.8;33.6
321;Gestandaardiseerd inkomen: 4e 25%-groep;Ondergrens 95%-interval;2021;94.2;87.4;3.5;1.3;1.8;68.4;34.6;18.3;33.9;25.0;37.4;11.7;33.3;57.5;21.0;33.1;27.0;25.6;36.7;45.3;56.4;25.6;17.1;18.4;7.8;10.8;2.4;9.7;38.3
322;Gestandaardiseerd inkomen: 4e 25%-groep;Ondergrens 95%-interval;2022;93.5;84.3;5.5;1.4;2.8;63.7;33.7;15.4;31.4;22.0;29.5;9.9;31.3;50.8;21.5;28.1;25.0;20.8;28.5;50.3;59.7;26.8;16.5;18.9;6.5;11.4;11.0;44.0;44.9
323;Gestandaardiseerd inkomen: 4e 25%-groep;Ondergrens 95%-interval;2023;96.0;87.3;5.3;1.2;2.3;63.9;32.4;16.6;33.9;24.9;28.9;9.6;27.6;47.3;20.8;26.9;22.8;20.3;35.7;51.0;59.3;28.9;16.5;16.6;7.0;14.8;13.1;52.9;50.4
324;Gestandaardiseerd inkomen: 4e 25%-groep;Ondergrens 95%-interval;2024;96.8;89.3;4.2;1.3;1.8;66.5;35.3;16.0;36.0;27.2;29.3;9.5;26.4;46.9;23.6;27.1;23.8;20.7;26.8;52.1;61.0;;15.3;20.5;7.8;18.6;;;55.1
325;Gestandaardiseerd inkomen: 4e 25%-groep;Bovengrens 95%-interval;2020;94.7;84.9;8.5;3.6;4.7;60.1;31.3;17.1;28.2;20.8;30.0;11.7;27.4;46.0;19.9;30.6;28.0;23.9;36.6;46.6;55.6;27.2;19.6;21.3;6.8;14.4;10.8;38.8;37.7
326;Gestandaardiseerd inkomen: 4e 25%-groep;Bovengrens 95%-interval;2021;96.1;90.3;5.3;2.6;3.1;72.5;39.0;22.1;38.2;29.0;41.9;14.8;37.6;61.9;24.8;37.5;31.1;29.7;41.1;49.8;60.8;29.6;20.6;22.0;10.5;13.8;4.0;12.5;42.7
327;Gestandaardiseerd inkomen: 4e 25%-groep;Bovengrens 95%-interval;2022;95.5;87.4;7.7;2.6;4.4;67.8;38.0;18.7;35.6;25.8;33.6;12.7;35.5;55.2;25.2;32.1;29.0;24.5;32.5;54.7;64.0;30.8;20.0;22.5;8.9;14.4;13.9;48.4;49.3
328;Gestandaardiseerd inkomen: 4e 25%-groep;Bovengrens 95%-interval;2023;97.5;90.0;7.4;2.3;3.8;68.1;36.6;20.2;38.1;28.8;33.0;12.4;31.7;51.7;24.5;30.8;26.6;24.0;39.9;55.4;63.5;32.9;20.0;20.0;9.5;18.1;16.2;57.2;54.7
329;Gestandaardiseerd inkomen: 4e 25%-groep;Bovengrens 95%-interval;2024;98.1;91.8;6.1;2.5;3.1;70.4;39.4;19.3;40.0;31.1;33.1;12.1;30.2;51.1;27.3;30.8;27.5;24.2;30.6;56.2;65.1;;18.5;24.0;10.2;22.0;;;59.3
