ID;FruitFarmingRegions;Periods;TotalAppleVarieties_1;CoxSOrangePippin_2;DelbarestivaleDelcorf_3;Elstar_4;GoldenDelicious_5;Jonagold_6;Jonagored_7;Junami_8;Kanzi_9;RodeBoskoopRennetApple_10;Rubens_11;OtherAppleVarieties_12;TotalPearVarieties_13;BeurreAlexandreLucas_14;Conference_15;DoyenneDuComice_16;CookingPears_17;TriompheDeVienne_18;OtherPearVarieties_19;TotalAppleVarieties_20;CoxSOrangePippin_21;DelbarestivaleDelcorf_22;Elstar_23;GoldenDelicious_24;Jonagold_25;Jonagored_26;Junami_27;Kanzi_28;RodeBoskoopRennetApple_29;Rubens_30;OtherAppleVarieties_31;TotalPearVarieties_32;BeurreAlexandreLucas_33;Conference_34;DoyenneDuComice_35;CookingPears_36;TriompheDeVienne_37;OtherPearVarieties_38
71;Region Central;2005;179;5;4;71;12;45;25;0.0;0.0;9;0.0;8;89;4.0;67;10;4;2;2;4706;135;121;2136;272;978;518;10.0;40.0;301;26.0;169;2911;93.0;2084;412;161;86;75
72;Region Central;2006;176;4;4;75;9;39;23;1.0;1.0;13;0.0;7;97;3.0;74;10;5;3;2;4640;109;137;2139;231;847;465;31.0;132.0;308;38.0;203;3039;73.0;2273;399;143;84;67
73;Region Central;2007;187;3;3;86;9;43;21;1.0;4.0;9;2.0;6;108;4.0;82;13;4;3;2;4603;112;119;2118;202;804;389;79.0;212.0;318;92.0;158;3204;83.0;2429;380;139;89;84
74;Region Central;2008;189;3;3;82;9;40;20;2.0;6.0;13;2.0;9;71;3.0;56;7;2;1;1;4554;76;95;1965;198;766;369;113.0;277.0;364;129.0;202;3258;118.0;2500;346;119;69;106
75;Region Central;2009;201;3;3;85;9;45;23;3.0;9.0;9;4.0;9;133;5.0;106;13;4;3;3;4467;68;92;1924;181;763;371;135.0;286.0;297;131.0;219;3450;142.0;2649;336;117;73;132
76;Region Central;2010;173;2;3;71;7;38;15;4.0;11.0;9;5.0;8;127;6.0;100;11;5;3;3;4232;55;87;1720;164;812;296;110.0;254.0;270;150.0;315;3544;161.0;2653;359;132;75;165
77;Region Central;2011;207;2;2;87;8;47;15;6.0;13.0;11;7.0;13;144;9.0;111;13;4;2;8;4063;50;72;1654;154;731;260;154.0;291.0;258;173.0;274;3645;183.0;2625;398;147;70;222
78;Region Central;2012;140;1;1;55;7;27;8;1.0;8.0;8;2.0;21;84;5.0;68;7;2;0;2;3930;40;61;1578;152;684;185;77.0;268.0;262;129.0;494;3684;174.0;2800;353;128;57;171
79;Region Central;2013;164;1;3;64;5;39;11;3.0;11.0;9;3.0;15;149;9.0;118;11;5;2;4;3943;34;71;1619;133;743;211;109.0;256.0;263;97.0;407;3781;181.0;2876;310;129;54;231
80;Region Central;2014;179;1;2;73;6;35;15;6.0;10.0;11;2.0;18;162;8.0;129;13;4;2;6;3985;29;72;1657;128;657;249;163.0;249.0;263;60.0;459;3869;205.0;2941;343;114;47;219
81;Region Central;2015;177;1;2;70;5;42;8;5.0;13.0;12;1.0;18;158;10.0;126;10;3;1;7;3954;21;69;1619;135;685;163;150.0;350.0;270;57.0;435;4077;187.0;3119;341;139;44;248
82;Region Central;2016;162;1;2;67;4;39;8;5.0;13.0;10;;13;158;9.0;125;12;4;1;7;3772;17;100;1625;111;727;154;145.0;353.0;248;;296;4191;196.0;3160;318;122;48;346
83;Region Central;2017;134;0;2;55;5;28;6;4.0;15.0;8;;10;138;9.0;109;7;3;1;9;3658;16;105;1605;124;655;140;126.0;351.0;249;;286;4310;220.0;3313;272;160;42;304
84;Region South;1997;52;2;0;16;9;14;4;;;3;;4;5;;3;1;0;0;0;1869;147;30;603;193;449;140;;;176;;132;278;;166;59;19;9;25
85;Region South;1998;67;4;1;22;6;19;5;;;6;;4;6;;4;1;0;0;0;1785;126;31;595;189;443;125;;;167;;110;268;;168;53;17;8;22
86;Region South;1999;60;3;1;19;7;17;4;;;6;;3;6;;5;1;0;0;0;1749;110;32;615;175;439;111;;;161;;106;261;;170;49;15;7;20
87;Region South;2000;53;2;1;19;5;13;4;;;5;;4;6;;5;1;0;0;0;1684;90;34;626;178;386;121;;;149;;100;259;;177;46;12;5;19
88;Region South;2001;48;3;1;18;7;10;4;;;3;;2;4;;4;0;0;0;0;1614;70;40;627;179;342;126;;;137;;93;263;;188;44;10;6;15
89;Region South;2002;52;1;1;20;7;13;5;;;3;;2;7;;6;1;0;0;0;1601;56;43;665;182;309;133;;;130;;83;265;;198;43;7;6;11
90;Region South;2003;48;2;1;17;7;12;5;;;4;;1;9;;8;1;0;0;0;1461;44;42;632;167;283;122;;;109;;62;280;;221;40;6;4;9
91;Region South;2004;56;1;1;23;7;14;5;;0.0;4;;1;8;0.0;7;1;0;0;0;1426;32;38;612;164;313;123;;;101;;43;253;1.0;213;26;4;4;5
92;Region South;2005;58;2;1;23;7;14;5;0.0;0.0;4;0.0;2;8;0.0;7;1;0;0;0;1407;32;42;631;166;271;102;2.0;9.0;108;1.0;43;245;1.0;216;24;2;1;1
93;Region South;2006;47;1;1;21;6;8;3;0.0;1.0;3;0.0;2;10;0.0;9;1;0;0;0;1354;26;37;598;153;243;80;45.0;35.0;89;1.0;47;265;1.0;223;29;1;5;6
94;Region South;2007;57;1;1;22;7;12;5;1.0;1.0;4;0.0;2;11;0.0;10;1;0;0;0;1354;29;39;561;141;213;95;85.0;50.0;97;5.0;39;271;0.0;236;25;1;3;6
95;Region South;2008;46;1;1;18;6;9;5;1.0;1.0;2;0.0;2;8;0.0;8;0;0;0;0;1284;22;30;509;131;211;118;83.0;50.0;76;2.0;52;302;0.0;274;23;0;2;2
96;Region South;2009;55;1;1;22;6;10;5;2.0;1.0;3;0.0;2;13;0.0;12;1;0;0;0;1280;15;29;520;149;167;90;88.0;51.0;115;0.0;57;332;0.0;290;28;1;5;9
97;Region South;2010;45;0;1;17;6;8;5;3.0;2.0;2;0.0;0;11;0.0;10;1;0;0;0;1283;12;33;484;139;190;90;136.0;80.0;68;0.0;52;311;0.0;271;25;2;3;10
98;Region South;2011;56;1;1;20;7;11;4;5.0;2.0;3;0.0;0;11;0.0;10;1;0;0;0;1292;15;25;437;145;214;85;133.0;65.0;70;2.0;90;305;0.0;267;28;3;3;6
99;Region South;2012;46;0;1;13;7;9;3;3.0;4.0;3;0.0;3;9;0.0;9;0;0;0;0;1222;18;35;399;151;187;71;146.0;90.0;93;0.0;32;319;0.0;289;24;5;2;3
100;Region South;2013;46;0;1;15;5;8;3;4.0;3.0;3;0.0;2;12;0.0;11;0;0;0;2;1217;13;32;416;126;170;60;163.0;74.0;76;0.0;87;310;0.0;280;14;5;1;12
101;Region South;2014;51;0;1;14;5;8;3;5.0;4.0;4;0.0;6;12;0.0;11;1;0;0;0;1187;7;44;349;115;169;50;147.0;101.0;66;5.0;135;310;0.0;272;23;5;4;6
102;Region South;2015;45;1;1;14;4;7;3;5.0;3.0;2;0.0;6;6;0.0;5;0;0;0;0;1174;24;40;342;98;147;83;169.0;55.0;65;0.0;150;302;1.0;249;21;6;2;23
103;Region South;2016;37;0;1;15;3;4;2;3.0;2.0;2;;5;9;0.0;8;0;0;0;0;1100;4;41;427;81;109;61;131.0;58.0;56;;130;307;3.0;262;23;2;2;15
104;Region South;2017;20;0;1;7;2;3;1;1.0;1.0;1;;3;10;0.0;9;0;0;0;0;976;4;40;366;64;116;37;132.0;63.0;32;;123;305;3.0;266;20;3;2;12
