ID;StarRating;Regions;Periods;BusinessRelatedOvernightStays_1
1756;5 star accommodations;Nederland;2022 4th quarter;240
1757;5 star accommodations;Nederland;2022;850
1758;5 star accommodations;Nederland;2023 January;70
1759;5 star accommodations;Nederland;2023 February;100
1760;5 star accommodations;Nederland;2023 March;90
1761;5 star accommodations;Nederland;2023 1st quarter;260
1762;5 star accommodations;Nederland;2023 April;90
1763;5 star accommodations;Nederland;2023 May;110
1764;5 star accommodations;Nederland;2023 June;90
1765;5 star accommodations;Nederland;2023 2nd quarter;290
1766;5 star accommodations;Nederland;2023 July;80
1767;5 star accommodations;Nederland;2023 August;80
1768;5 star accommodations;Nederland;2023 September;90
1769;5 star accommodations;Nederland;2023 3rd quarter;260
1770;5 star accommodations;Nederland;2023 October;110
1771;5 star accommodations;Nederland;2023 November;90
1772;5 star accommodations;Nederland;2023 December;100
1773;5 star accommodations;Nederland;2023 4th quarter;300
1774;5 star accommodations;Nederland;2023;1100
1775;5 star accommodations;Nederland;2024 January;70
1776;5 star accommodations;Nederland;2024 February;60
1777;5 star accommodations;Nederland;2024 March;70
1778;5 star accommodations;Nederland;2024 1st quarter;210
1779;5 star accommodations;Nederland;2024 April;70
1780;5 star accommodations;Nederland;2024 May;90
1781;5 star accommodations;Nederland;2024 June;100
1782;5 star accommodations;Nederland;2024 2nd quarter;270
1783;5 star accommodations;Nederland;2024 July;70
1784;5 star accommodations;Nederland;2024 August;70
1785;5 star accommodations;Nederland;2024 September;80
1786;5 star accommodations;Nederland;2024 3rd quarter;220
1787;5 star accommodations;Nederland;2024 October;60
1788;5 star accommodations;Nederland;2024 November;70
1789;5 star accommodations;Nederland;2024 December;50
1790;5 star accommodations;Nederland;2024 4th quarter;180
1791;5 star accommodations;Nederland;2024;880
1792;5 star accommodations;Nederland;2025 January;80
1793;5 star accommodations;Nederland;2025 February;60
1794;5 star accommodations;Amsterdam;2017 January;50
1795;5 star accommodations;Amsterdam;2017 February;50
1796;5 star accommodations;Amsterdam;2017 March;60
1797;5 star accommodations;Amsterdam;2017 1st quarter;160
1798;5 star accommodations;Amsterdam;2017 April;70
1799;5 star accommodations;Amsterdam;2017 May;70
1800;5 star accommodations;Amsterdam;2017 June;70
1801;5 star accommodations;Amsterdam;2017 2nd quarter;210
1802;5 star accommodations;Amsterdam;2017 July;50
1803;5 star accommodations;Amsterdam;2017 August;50
1804;5 star accommodations;Amsterdam;2017 September;70
1805;5 star accommodations;Amsterdam;2017 3rd quarter;170
1806;5 star accommodations;Amsterdam;2017 October;70
1807;5 star accommodations;Amsterdam;2017 November;60
1808;5 star accommodations;Amsterdam;2017 December;50
1809;5 star accommodations;Amsterdam;2017 4th quarter;180
1810;5 star accommodations;Amsterdam;2017;720
1811;5 star accommodations;Amsterdam;2018 January;50
1812;5 star accommodations;Amsterdam;2018 February;50
1813;5 star accommodations;Amsterdam;2018 March;60
1814;5 star accommodations;Amsterdam;2018 1st quarter;170
1815;5 star accommodations;Amsterdam;2018 April;70
1816;5 star accommodations;Amsterdam;2018 May;80
1817;5 star accommodations;Amsterdam;2018 June;70
1818;5 star accommodations;Amsterdam;2018 2nd quarter;220
1819;5 star accommodations;Amsterdam;2018 July;70
1820;5 star accommodations;Amsterdam;2018 August;60
1821;5 star accommodations;Amsterdam;2018 September;70
1822;5 star accommodations;Amsterdam;2018 3rd quarter;200
1823;5 star accommodations;Amsterdam;2018 October;70
1824;5 star accommodations;Amsterdam;2018 November;60
1825;5 star accommodations;Amsterdam;2018 December;50
1826;5 star accommodations;Amsterdam;2018 4th quarter;180
1827;5 star accommodations;Amsterdam;2018;770
1828;5 star accommodations;Amsterdam;2019 January;40
1829;5 star accommodations;Amsterdam;2019 February;50
1830;5 star accommodations;Amsterdam;2019 March;60
1831;5 star accommodations;Amsterdam;2019 1st quarter;140
1832;5 star accommodations;Amsterdam;2019 April;70
1833;5 star accommodations;Amsterdam;2019 May;60
1834;5 star accommodations;Amsterdam;2019 June;60
1835;5 star accommodations;Amsterdam;2019 2nd quarter;180
1836;5 star accommodations;Amsterdam;2019 July;60
1837;5 star accommodations;Amsterdam;2019 August;60
1838;5 star accommodations;Amsterdam;2019 September;70
1839;5 star accommodations;Amsterdam;2019 3rd quarter;180
1840;5 star accommodations;Amsterdam;2019 October;70
1841;5 star accommodations;Amsterdam;2019 November;60
1842;5 star accommodations;Amsterdam;2019 December;40
1843;5 star accommodations;Amsterdam;2019 4th quarter;180
1844;5 star accommodations;Amsterdam;2019;690
1845;5 star accommodations;Amsterdam;2020 January;40
1846;5 star accommodations;Amsterdam;2020 February;30
1847;5 star accommodations;Amsterdam;2020 March;10
1848;5 star accommodations;Amsterdam;2020 1st quarter;90
1849;5 star accommodations;Amsterdam;2020 April;0
1850;5 star accommodations;Amsterdam;2020 May;0
1851;5 star accommodations;Amsterdam;2020 June;0
1852;5 star accommodations;Amsterdam;2020 2nd quarter;10
1853;5 star accommodations;Amsterdam;2020 July;0
1854;5 star accommodations;Amsterdam;2020 August;10
1855;5 star accommodations;Amsterdam;2020 September;10
1856;5 star accommodations;Amsterdam;2020 3rd quarter;10
1857;5 star accommodations;Amsterdam;2020 October;0
1858;5 star accommodations;Amsterdam;2020 November;0
1859;5 star accommodations;Amsterdam;2020 December;0
1860;5 star accommodations;Amsterdam;2020 4th quarter;10
1861;5 star accommodations;Amsterdam;2020;110
1862;5 star accommodations;Amsterdam;2021 January;0
1863;5 star accommodations;Amsterdam;2021 February;0
1864;5 star accommodations;Amsterdam;2021 March;0
1865;5 star accommodations;Amsterdam;2021 1th quarter;0
1866;5 star accommodations;Amsterdam;2021 April;0
1867;5 star accommodations;Amsterdam;2021 May;0
1868;5 star accommodations;Amsterdam;2021 June;10
1869;5 star accommodations;Amsterdam;2021 2nd quarter;10
1870;5 star accommodations;Amsterdam;2021 July;10
1871;5 star accommodations;Amsterdam;2021 August;10
1872;5 star accommodations;Amsterdam;2021 September;20
1873;5 star accommodations;Amsterdam;2021 3rd quarter;40
1874;5 star accommodations;Amsterdam;2021 October;20
1875;5 star accommodations;Amsterdam;2021 November;20
1876;5 star accommodations;Amsterdam;2021 December;10
1877;5 star accommodations;Amsterdam;2021 4th quarter;50
1878;5 star accommodations;Amsterdam;2021;100
1879;5 star accommodations;Amsterdam;2022 January;0
1880;5 star accommodations;Amsterdam;2022 February;10
1881;5 star accommodations;Amsterdam;2022 March;30
1882;5 star accommodations;Amsterdam;2022 1th quarter;40
1883;5 star accommodations;Amsterdam;2022 April;40
1884;5 star accommodations;Amsterdam;2022 May;40
1885;5 star accommodations;Amsterdam;2022 June;50
1886;5 star accommodations;Amsterdam;2022 2nd quarter;130
1887;5 star accommodations;Amsterdam;2022 July;40
1888;5 star accommodations;Amsterdam;2022 August;30
1889;5 star accommodations;Amsterdam;2022 September;40
1890;5 star accommodations;Amsterdam;2022 3rd quarter;120
1891;5 star accommodations;Amsterdam;2022 October;40
1892;5 star accommodations;Amsterdam;2022 November;40
1893;5 star accommodations;Amsterdam;2022 December;30
1894;5 star accommodations;Amsterdam;2022 4th quarter;110
1895;5 star accommodations;Amsterdam;2022;400
1896;5 star accommodations;Amsterdam;2023 January;40
1897;5 star accommodations;Amsterdam;2023 February;50
1898;5 star accommodations;Amsterdam;2023 March;50
1899;5 star accommodations;Amsterdam;2023 1st quarter;140
1900;5 star accommodations;Amsterdam;2023 April;50
1901;5 star accommodations;Amsterdam;2023 May;60
1902;5 star accommodations;Amsterdam;2023 June;50
1903;5 star accommodations;Amsterdam;2023 2nd quarter;160
1904;5 star accommodations;Amsterdam;2023 July;50
1905;5 star accommodations;Amsterdam;2023 August;40
1906;5 star accommodations;Amsterdam;2023 September;50
1907;5 star accommodations;Amsterdam;2023 3rd quarter;140
1908;5 star accommodations;Amsterdam;2023 October;50
1909;5 star accommodations;Amsterdam;2023 November;50
1910;5 star accommodations;Amsterdam;2023 December;50
1911;5 star accommodations;Amsterdam;2023 4th quarter;150
1912;5 star accommodations;Amsterdam;2023;580
1913;5 star accommodations;Amsterdam;2024 January;40
1914;5 star accommodations;Amsterdam;2024 February;30
1915;5 star accommodations;Amsterdam;2024 March;40
1916;5 star accommodations;Amsterdam;2024 1st quarter;110
1917;5 star accommodations;Amsterdam;2024 April;40
1918;5 star accommodations;Amsterdam;2024 May;50
1919;5 star accommodations;Amsterdam;2024 June;60
1920;5 star accommodations;Amsterdam;2024 2nd quarter;150
1921;5 star accommodations;Amsterdam;2024 July;50
1922;5 star accommodations;Amsterdam;2024 August;40
1923;5 star accommodations;Amsterdam;2024 September;50
1924;5 star accommodations;Amsterdam;2024 3rd quarter;140
1925;5 star accommodations;Amsterdam;2024 October;40
1926;5 star accommodations;Amsterdam;2024 November;40
1927;5 star accommodations;Amsterdam;2024 December;30
1928;5 star accommodations;Amsterdam;2024 4th quarter;110
1929;5 star accommodations;Amsterdam;2024;500
1930;5 star accommodations;Amsterdam;2025 January;40
1931;5 star accommodations;Amsterdam;2025 February;30
