ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
338;8000;2014 4th quarter;0.7;0.6;109.3;1.5;139.9;;
339;8000;2014;-0.1;-0.1;105.9;0.8;136.6;100.0;287536.0
340;8000;2015 January;2.2;2.0;109.1;2.2;140.8;;
341;8000;2015 February;1.9;2.0;101.6;2.1;133.2;;
342;8000;2015 March;1.4;2.1;106.0;1.7;139.8;;
343;8000;2015 1st quarter;1.8;2.0;105.6;2.0;138.0;;
344;8000;2015 April;1.9;1.7;106.0;2.4;139.1;;
345;8000;2015 May;0.2;1.3;107.6;1.3;140.4;;
346;8000;2015 June;3.0;2.3;108.9;3.8;140.9;;
347;8000;2015 2nd quarter;1.7;1.8;107.5;2.5;140.1;;
348;8000;2015 July;2.1;1.5;108.4;3.0;140.2;;
349;8000;2015 August;0.7;1.4;105.6;1.3;136.5;;
350;8000;2015 September;2.6;2.2;106.0;3.3;137.2;;
351;8000;2015 3rd quarter;1.8;1.7;106.7;2.6;138.0;;
352;8000;2015 October;2.5;1.7;110.4;3.0;141.8;;
353;8000;2015 November;0.4;0.8;107.0;0.9;137.8;;
354;8000;2015 December;1.8;0.8;115.5;2.3;148.8;;
355;8000;2015 4th quarter;1.6;1.1;111.0;2.1;142.8;;
356;8000;2015;1.7;1.7;107.7;2.3;139.7;100.0;294092.0
357;8000;2016 January;-0.4;0.7;108.7;0.1;141.0;;
358;8000;2016 February;1.6;0.4;103.2;2.2;136.1;;
359;8000;2016 March;2.7;1.1;108.9;3.4;144.6;;
360;8000;2016 1st quarter;1.3;0.8;106.9;1.9;140.6;;
361;8000;2016 April;0.8;0.4;106.9;1.0;140.5;;
362;8000;2016 May;0.4;1.9;108.0;0.6;141.2;;
363;8000;2016 June;1.6;0.7;110.6;1.8;143.5;;
364;8000;2016 2nd quarter;0.9;1.0;108.5;1.2;141.7;;
365;8000;2016 July;1.7;2.4;110.3;1.6;142.4;;
366;8000;2016 August;1.8;1.5;107.5;2.2;139.5;;
367;8000;2016 September;1.9;1.1;108.0;1.9;139.8;;
368;8000;2016 3rd quarter;1.8;1.7;108.6;1.9;140.6;;
369;8000;2016 October;0.8;2.6;111.2;1.3;143.7;;
370;8000;2016 November;3.9;2.8;111.1;4.5;144.0;;
371;8000;2016 December;3.6;2.5;119.7;4.7;155.8;;
372;8000;2016 4th quarter;2.8;2.7;114.0;3.5;147.8;;
373;8000;2016;1.7;1.5;109.5;2.1;142.7;;
374;8000;2017 January;2.4;3.4;111.3;4.2;147.0;;
375;8000;2017 February;0.3;1.5;103.5;2.1;138.9;;
376;8000;2017 March;1.9;1.7;110.9;3.0;148.9;;
377;8000;2017 1st quarter;1.6;2.2;108.6;3.1;144.9;;
378;8000;2017 April;1.7;2.6;108.8;3.4;145.2;;
379;8000;2017 May;3.2;2.5;111.4;4.3;147.2;;
380;8000;2017 June;2.7;2.3;113.6;3.8;148.9;;
381;8000;2017 2nd quarter;2.5;2.4;111.3;3.8;147.1;;
382;8000;2017 July;1.4;2.2;111.8;2.8;146.5;;
