ID;Landen;Perioden;KapitaalgoederenvoorraadTotaal_1;ICTKapitaalgoederenvoorraad_2;InvesteringsquoteBedrijvensector_3;ICTInvesteringenTotaal_4;ITApparatuur_5;Communicatiemiddelen_6;Software_7;GeinvesteerdDurfkapitaalTotaal_8;GeinvesteerdDurfkapitaalVroegeFase_9;GeinvesteerdDurfkapitaalVervolgfase_10;DBIInkomend_11;DBIUitgaand_12;DBISaldoUitgaandInkomend_13;DBIInkomendVoorraad_14;DBIUitgaandVoorraad_15;DBISaldoUitgaandInkomendVoorraad_16
248;Nederland;1996;223.0;4.83;11.3;16.4;39.0;27.2;33.8;;0.03;;4.0;7.7;3.7;30.7;46.9;16.1
249;Nederland;1997;220.0;5.52;12.3;17.9;37.1;26.2;36.7;0.14;0.05;0.09;2.9;6.3;3.5;32.0;51.6;19.6
250;Nederland;1998;219.0;6.49;12.9;18.9;34.6;21.7;43.7;0.23;0.05;0.18;9.2;9.1;-0.1;40.8;56.7;15.9
251;Nederland;1999;217.0;7.66;13.7;19.1;34.9;20.2;45.0;0.31;0.09;0.22;10.0;14.0;4.0;46.7;63.4;16.7
252;Nederland;2000;216.0;8.69;12.9;19.9;32.7;20.3;47.0;0.37;0.09;0.28;16.6;19.6;3.1;63.3;79.3;16.0
253;Nederland;2001;218.0;9.77;11.0;19.9;33.0;17.7;49.3;0.23;0.04;0.19;13.0;12.6;-0.3;70.6;82.9;12.3
254;Nederland;2002;223.0;10.55;10.1;19.1;32.5;16.8;50.7;0.2;0.04;0.16;5.7;7.3;1.6;79.9;90.6;10.6
255;Nederland;2003;226.0;11.52;10.0;20.0;32.9;19.9;47.3;0.1;0.01;0.09;5.3;9.6;4.3;85.1;103.1;17.9
256;Nederland;2004;225.0;12.42;9.5;21.3;32.2;19.5;48.3;0.09;0.01;0.08;2.0;6.1;4.0;85.2;103.2;18.0
257;Nederland;2005;226.0;13.42;9.5;22.0;31.7;18.4;49.9;0.16;0.0;0.15;6.1;19.3;13.2;75.1;100.9;25.8
258;Nederland;2006;;;10.1;22.3;30.3;18.9;50.8;0.1;0.01;0.09;2.1;10.5;8.4;81.6;118.1;36.6
259;Nederland;2007;;;10.4;19.5;30.3;18.3;51.4;0.1;0.03;0.08;15.3;7.1;-8.2;98.0;120.4;22.4
260;Nederland;2008;;;10.9;;;;;0.13;0.04;0.09;0.5;7.8;7.3;74.1;102.2;28.1
261;Nederland;2009;;;9.9;;;;;0.09;0.02;0.07;4.5;3.6;-1.0;83.2;120.6;37.3
