ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
313;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2018 ;1175.0;1961.0
314;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 januari;99.0;175.0
315;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 februari;92.0;150.0
316;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 maart;106.0;156.0
317;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 april;109.0;174.0
318;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 mei;114.0;179.0
319;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 juni;103.0;163.0
320;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 juli;112.0;177.0
321;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 augustus;101.0;167.0
322;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 september;101.0;167.0
323;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 oktober;111.0;184.0
324;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 november;105.0;174.0
325;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019 december;102.0;192.0
326;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2019;1255.0;2057.0
327;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 januari;101.0;189.0
328;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 februari;98.0;171.0
329;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 maart;110.0;177.0
330;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 april;99.0;152.0
331;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 mei;83.0;135.0
332;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 juni;90.0;148.0
333;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 juli;101.0;131.0
334;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 augustus;88.0;128.0
335;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 september;97.0;139.0
336;Totaal landen;00 Levende dieren, m.u.v. dieren bedo...;2020 oktober;91.0;130.0
