ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
88;Households, total;South-Netherlands;2008;9900.0;58873.0;13359.0;7272.0;74859.0;74859.0;18738.0;5344.0;9320.0;29089.0;4917.0;55614.0;2783.0;16551.0;3755.0;2044.0;21045.0;21045.0;5268.0;1502.0;2620.0;8178.0;1382.0;15634.0;6199.0;36868.0;8366.0;4554.0;46878.0;46878.0;11734.0;3347.0;5837.0;18216.0;3079.0;34827.0
89;Households, total;South-Netherlands;2009;7749.0;59397.0;8941.0;4175.0;71912.0;71912.0;19581.0;5552.0;10717.0;26921.0;5552.0;54648.0;2173.0;16653.0;2507.0;1170.0;20161.0;20161.0;5490.0;1557.0;3005.0;7548.0;1557.0;15321.0;4807.0;36846.0;5547.0;2590.0;44610.0;44610.0;12147.0;3444.0;6648.0;16700.0;3444.0;33901.0
90;Households, total;Groningen;1995;899.0;4745.0;1279.0;380.0;6543.0;6543.0;2402.0;399.0;791.0;2727.0;455.0;5372.0;1612.0;8504.0;2292.0;681.0;11727.0;11727.0;4304.0;714.0;1417.0;4886.0;815.0;9627.0;;;;;;;;;;;;
91;Households, total;Groningen;1996;943.0;4935.0;1304.0;359.0;6823.0;6823.0;2432.0;414.0;795.0;2801.0;488.0;5585.0;1689.0;8843.0;2336.0;644.0;12225.0;12225.0;4358.0;742.0;1425.0;5018.0;875.0;10007.0;;;;;;;;;;;;
92;Households, total;Groningen;1997;981.0;5146.0;1430.0;413.0;7144.0;7144.0;2469.0;451.0;709.0;2939.0;528.0;5888.0;1757.0;9221.0;2563.0;740.0;12802.0;12802.0;4424.0;808.0;1270.0;5267.0;946.0;10551.0;;;;;;;;;;;;
93;Households, total;Groningen;1998;1048.0;5593.0;1428.0;464.0;7605.0;7605.0;2423.0;502.0;735.0;3107.0;562.0;6125.0;1874.0;10006.0;2554.0;830.0;13604.0;13604.0;4334.0;897.0;1315.0;5557.0;1006.0;10957.0;;;;;;;;;;;;
94;Households, total;Groningen;1999;1094.0;5901.0;1527.0;517.0;8004.0;8004.0;2517.0;547.0;636.0;3344.0;619.0;6470.0;1949.0;10512.0;2720.0;922.0;14260.0;14260.0;4484.0;975.0;1133.0;5957.0;1102.0;11527.0;;;;;;;;;;;;
95;Households, total;Groningen;2000;1155.0;6262.0;1595.0;630.0;8382.0;8382.0;2541.0;587.0;662.0;3497.0;666.0;6685.0;2046.0;11092.0;2825.0;1117.0;14847.0;14847.0;4501.0;1039.0;1173.0;6195.0;1179.0;11841.0;;;;;;;;;;;;
96;Households, total;Groningen;2001;1191.0;6744.0;1448.0;618.0;8763.0;8763.0;2696.0;656.0;829.0;3491.0;726.0;7071.0;2095.0;11862.0;2546.0;1088.0;15415.0;15415.0;4743.0;1154.0;1458.0;6140.0;1276.0;12438.0;;;;;;;;;;;;
97;Households, total;Groningen;2002;1190.0;7121.0;1491.0;588.0;9213.0;9213.0;2744.0;676.0;929.0;3536.0;783.0;7385.0;2082.0;12462.0;2609.0;1029.0;16123.0;16123.0;4803.0;1182.0;1626.0;6188.0;1371.0;12923.0;;;;;;;;;;;;
98;Households, total;Groningen;2003;1209.0;7415.0;1419.0;541.0;9502.0;9502.0;2883.0;786.0;918.0;3825.0;857.0;7571.0;2108.0;12926.0;2473.0;944.0;16563.0;16563.0;5025.0;1370.0;1600.0;6667.0;1494.0;13196.0;;;;;;;;;;;;
99;Households, total;Groningen;2004;1114.0;7329.0;1330.0;537.0;9236.0;9236.0;3148.0;675.0;1012.0;3935.0;885.0;7228.0;1941.0;12774.0;2317.0;936.0;16096.0;16096.0;5487.0;1177.0;1764.0;6857.0;1542.0;12597.0;;;;;;;;;;;;
100;Households, total;Groningen;2005;1141.0;7282.0;1404.0;553.0;9274.0;9274.0;3182.0;634.0;969.0;3937.0;887.0;7296.0;1994.0;12733.0;2455.0;967.0;16215.0;16215.0;5563.0;1109.0;1695.0;6884.0;1551.0;12757.0;;;;;;;;;;;;
101;Households, total;Groningen;2006;1274.0;7152.0;1460.0;722.0;9164.0;9164.0;3322.0;480.0;926.0;3990.0;775.0;7275.0;2232.0;12531.0;2558.0;1264.0;16057.0;16057.0;5821.0;841.0;1623.0;6992.0;1357.0;12748.0;;;;;;;;;;;;
102;Households, total;Groningen;2007;1421.0;7913.0;1642.0;907.0;10070.0;10070.0;3425.0;509.0;1116.0;4184.0;798.0;7905.0;2492.0;13875.0;2880.0;1591.0;17655.0;17655.0;6005.0;892.0;1957.0;7336.0;1399.0;13860.0;5145.0;28650.0;5947.0;3285.0;36457.0;36457.0;12399.0;1842.0;4040.0;15149.0;2889.0;28620.0
103;Households, total;Groningen;2008;1488.0;8360.0;1640.0;948.0;10539.0;10539.0;3096.0;548.0;1181.0;4734.0;832.0;7435.0;2592.0;14565.0;2857.0;1652.0;18362.0;18362.0;5394.0;954.0;2057.0;8249.0;1450.0;12955.0;5295.0;29756.0;5837.0;3375.0;37514.0;37514.0;11021.0;1949.0;4203.0;16852.0;2962.0;26467.0
104;Households, total;Groningen;2009;1082.0;8449.0;1234.0;535.0;10230.0;10230.0;3287.0;951.0;1344.0;4438.0;951.0;7389.0;1877.0;14652.0;2140.0;928.0;17740.0;17740.0;5700.0;1649.0;2331.0;7697.0;1649.0;12814.0;3800.0;29664.0;4332.0;1880.0;35916.0;35916.0;11539.0;3339.0;4719.0;15582.0;3339.0;25943.0
105;Households, total;Friesland;1995;1329.0;4949.0;1383.0;463.0;7199.0;7199.0;2515.0;396.0;901.0;2921.0;450.0;5837.0;2175.0;8103.0;2265.0;757.0;11786.0;11786.0;4118.0;648.0;1474.0;4782.0;737.0;9557.0;;;;;;;;;;;;
106;Households, total;Friesland;1996;1267.0;5136.0;1452.0;432.0;7424.0;7424.0;2518.0;417.0;841.0;2989.0;498.0;6031.0;2065.0;8372.0;2367.0;704.0;12100.0;12100.0;4104.0;680.0;1370.0;4872.0;811.0;9831.0;;;;;;;;;;;;
107;Households, total;Friesland;1997;1232.0;5460.0;1526.0;465.0;7753.0;7753.0;2572.0;453.0;787.0;3166.0;536.0;6289.0;1998.0;8856.0;2475.0;755.0;12575.0;12575.0;4172.0;734.0;1277.0;5134.0;869.0;10200.0;;;;;;;;;;;;
108;Households, total;Friesland;1998;1474.0;5779.0;1647.0;545.0;8355.0;8355.0;2622.0;516.0;806.0;3331.0;589.0;6766.0;2378.0;9326.0;2658.0;880.0;13482.0;13482.0;4232.0;833.0;1301.0;5376.0;951.0;10919.0;;;;;;;;;;;;
109;Households, total;Friesland;1999;1531.0;6248.0;1802.0;638.0;8944.0;8944.0;2684.0;567.0;697.0;3594.0;645.0;7258.0;2459.0;10031.0;2894.0;1024.0;14359.0;14359.0;4310.0;910.0;1120.0;5770.0;1036.0;11653.0;;;;;;;;;;;;
110;Households, total;Friesland;2000;1580.0;6844.0;2029.0;783.0;9670.0;9670.0;2706.0;607.0;810.0;3834.0;694.0;7645.0;2518.0;10906.0;3233.0;1248.0;15410.0;15410.0;4312.0;968.0;1291.0;6110.0;1107.0;12183.0;;;;;;;;;;;;
111;Households, total;Friesland;2001;1854.0;7352.0;1795.0;880.0;10121.0;10121.0;2889.0;653.0;949.0;3777.0;761.0;8177.0;2927.0;11607.0;2834.0;1389.0;15980.0;15980.0;4561.0;1031.0;1498.0;5964.0;1201.0;12910.0;;;;;;;;;;;;
112;Households, total;Friesland;2002;1382.0;7733.0;1868.0;711.0;10272.0;10272.0;3037.0;720.0;1085.0;3820.0;877.0;8248.0;2166.0;12121.0;2928.0;1114.0;16101.0;16101.0;4760.0;1129.0;1700.0;5987.0;1375.0;12928.0;;;;;;;;;;;;
113;Households, total;Friesland;2003;1468.0;7862.0;1632.0;649.0;10313.0;10313.0;3212.0;790.0;1028.0;4071.0;945.0;8270.0;2290.0;12266.0;2547.0;1012.0;16090.0;16090.0;5011.0;1232.0;1605.0;6351.0;1475.0;12903.0;;;;;;;;;;;;
114;Households, total;Friesland;2004;1651.0;8069.0;1918.0;672.0;10967.0;10967.0;3291.0;808.0;1115.0;4270.0;957.0;8724.0;2575.0;12583.0;2992.0;1049.0;17102.0;17102.0;5133.0;1260.0;1738.0;6659.0;1492.0;13605.0;;;;;;;;;;;;
115;Households, total;Friesland;2005;1542.0;8139.0;1980.0;661.0;11000.0;11000.0;3337.0;790.0;1198.0;4341.0;950.0;8640.0;2408.0;12710.0;3092.0;1032.0;17178.0;17178.0;5211.0;1234.0;1870.0;6779.0;1483.0;13492.0;;;;;;;;;;;;
116;Households, total;Friesland;2006;1715.0;8508.0;2245.0;857.0;11612.0;11612.0;3738.0;667.0;1226.0;4570.0;833.0;9388.0;2677.0;13279.0;3505.0;1337.0;18124.0;18124.0;5834.0;1042.0;1914.0;7132.0;1300.0;14653.0;;;;;;;;;;;;
117;Households, total;Friesland;2007;1961.0;8613.0;2466.0;1100.0;11941.0;11941.0;3384.0;675.0;1363.0;4516.0;871.0;9250.0;3057.0;13424.0;3844.0;1714.0;18610.0;18610.0;5275.0;1053.0;2124.0;7038.0;1358.0;14417.0;6864.0;30141.0;8631.0;3849.0;41786.0;41786.0;11844.0;2363.0;4769.0;15803.0;3049.0;32372.0
118;Households, total;Friesland;2008;2076.0;9138.0;2373.0;1184.0;12403.0;12403.0;3126.0;658.0;1405.0;4789.0;868.0;9124.0;3220.0;14175.0;3681.0;1837.0;19239.0;19239.0;4849.0;1021.0;2180.0;7429.0;1347.0;14154.0;7194.0;31671.0;8225.0;4105.0;42985.0;42985.0;10835.0;2280.0;4870.0;16597.0;3009.0;31624.0
119;Households, total;Friesland;2009;1478.0;9287.0;1844.0;662.0;11947.0;11947.0;3284.0;998.0;1621.0;4458.0;998.0;8888.0;2287.0;14369.0;2853.0;1025.0;18485.0;18485.0;5081.0;1544.0;2508.0;6898.0;1544.0;13753.0;5080.0;31913.0;6336.0;2276.0;41052.0;41052.0;11284.0;3429.0;5570.0;15319.0;3429.0;30543.0
120;Households, total;Drenthe;1995;844.0;4078.0;1061.0;358.0;5624.0;5624.0;1921.0;294.0;672.0;2370.0;335.0;4463.0;1850.0;8941.0;2326.0;786.0;12331.0;12331.0;4212.0;644.0;1473.0;5196.0;733.0;9785.0;;;;;;;;;;;;
121;Households, total;Drenthe;1996;828.0;4364.0;1120.0;342.0;5970.0;5970.0;1966.0;310.0;729.0;2462.0;362.0;4694.0;1805.0;9507.0;2440.0;746.0;13006.0;13006.0;4284.0;676.0;1589.0;5363.0;788.0;10226.0;;;;;;;;;;;;
122;Households, total;Drenthe;1997;937.0;4584.0;1208.0;384.0;6345.0;6345.0;1954.0;338.0;636.0;2589.0;391.0;5020.0;2025.0;9905.0;2610.0;829.0;13710.0;13710.0;4221.0;730.0;1375.0;5595.0;844.0;10847.0;;;;;;;;;;;;
123;Households, total;Drenthe;1998;992.0;4876.0;1341.0;444.0;6765.0;6765.0;2005.0;382.0;652.0;2725.0;436.0;5340.0;2130.0;10466.0;2878.0;952.0;14522.0;14522.0;4304.0;821.0;1400.0;5849.0;936.0;11462.0;;;;;;;;;;;;
124;Households, total;Drenthe;1999;1022.0;5169.0;1410.0;494.0;7106.0;7106.0;2156.0;417.0;554.0;2987.0;476.0;5663.0;2182.0;11034.0;3009.0;1055.0;15170.0;15170.0;4602.0;889.0;1182.0;6375.0;1016.0;12088.0;;;;;;;;;;;;
125;Households, total;Drenthe;2000;1084.0;5465.0;1443.0;605.0;7387.0;7387.0;2155.0;445.0;603.0;3076.0;510.0;5798.0;2296.0;11575.0;3056.0;1281.0;15646.0;15646.0;4564.0;942.0;1276.0;6515.0;1080.0;12280.0;;;;;;;;;;;;
126;Households, total;Drenthe;2001;1110.0;5845.0;1374.0;589.0;7740.0;7740.0;2394.0;497.0;752.0;3065.0;560.0;6254.0;2329.0;12263.0;2883.0;1236.0;16239.0;16239.0;5022.0;1043.0;1577.0;6431.0;1176.0;13121.0;;;;;;;;;;;;
127;Households, total;Drenthe;2002;1053.0;6165.0;1322.0;555.0;7985.0;7985.0;2451.0;550.0;888.0;3089.0;638.0;6370.0;2193.0;12842.0;2754.0;1156.0;16633.0;16633.0;5106.0;1147.0;1850.0;6436.0;1330.0;13270.0;;;;;;;;;;;;
128;Households, total;Drenthe;2003;1008.0;6329.0;1305.0;494.0;8148.0;8148.0;2595.0;564.0;852.0;3306.0;671.0;6477.0;2091.0;13134.0;2709.0;1025.0;16909.0;16909.0;5385.0;1171.0;1769.0;6862.0;1393.0;13441.0;;;;;;;;;;;;
129;Households, total;Drenthe;2004;883.0;6405.0;1323.0;477.0;8134.0;8134.0;2619.0;582.0;763.0;3410.0;695.0;6466.0;1831.0;13289.0;2744.0;990.0;16875.0;16875.0;5434.0;1207.0;1584.0;7074.0;1442.0;13415.0;;;;;;;;;;;;
130;Households, total;Drenthe;2005;1023.0;6459.0;1991.0;497.0;8976.0;8976.0;2641.0;615.0;854.0;3456.0;706.0;7216.0;2116.0;13358.0;4118.0;1028.0;18565.0;18565.0;5462.0;1272.0;1765.0;7148.0;1461.0;14924.0;;;;;;;;;;;;
131;Households, total;Drenthe;2006;1078.0;6770.0;2119.0;649.0;9318.0;9318.0;2874.0;459.0;919.0;3625.0;609.0;7498.0;2221.0;13941.0;4363.0;1337.0;19187.0;19187.0;5918.0;945.0;1892.0;7464.0;1255.0;15440.0;;;;;;;;;;;;
132;Households, total;Drenthe;2007;1232.0;6951.0;1822.0;814.0;9190.0;9190.0;2753.0;451.0;1042.0;3627.0;643.0;7083.0;2532.0;14288.0;3746.0;1674.0;18892.0;18892.0;5660.0;927.0;2141.0;7457.0;1322.0;14560.0;5801.0;32733.0;8582.0;3835.0;43281.0;43281.0;12967.0;2123.0;4906.0;17083.0;3028.0;33355.0
133;Households, total;Drenthe;2008;1357.0;7353.0;1833.0;900.0;9643.0;9643.0;2532.0;456.0;1145.0;3865.0;669.0;6952.0;2771.0;15008.0;3742.0;1838.0;19683.0;19683.0;5169.0;930.0;2337.0;7890.0;1365.0;14189.0;6249.0;33845.0;8438.0;4144.0;44387.0;44387.0;11657.0;2097.0;5270.0;17793.0;3079.0;31999.0
134;Households, total;Drenthe;2009;997.0;7486.0;1151.0;516.0;9119.0;9119.0;2673.0;744.0;1314.0;3616.0;744.0;6611.0;2031.0;15248.0;2345.0;1050.0;18574.0;18574.0;5444.0;1516.0;2676.0;7364.0;1516.0;13464.0;4573.0;34325.0;5279.0;2365.0;41812.0;41812.0;12254.0;3412.0;6025.0;16577.0;3412.0;30309.0
135;Households, total;Overijssel;1995;1677.0;9343.0;2375.0;747.0;12648.0;12648.0;4078.0;663.0;1547.0;5235.0;770.0;9836.0;1594.0;8879.0;2257.0;710.0;12020.0;12020.0;3875.0;630.0;1470.0;4975.0;732.0;9348.0;;;;;;;;;;;;
136;Households, total;Overijssel;1996;1800.0;9680.0;2446.0;732.0;13194.0;13194.0;4207.0;691.0;1549.0;5416.0;837.0;10290.0;1705.0;9167.0;2316.0;693.0;12495.0;12495.0;3984.0;655.0;1467.0;5129.0;793.0;9745.0;;;;;;;;;;;;
137;Households, total;Overijssel;1997;2122.0;10171.0;2627.0;838.0;14082.0;14082.0;4268.0;757.0;1452.0;5735.0;912.0;11009.0;2000.0;9589.0;2476.0;790.0;13276.0;13276.0;4023.0;714.0;1369.0;5406.0;860.0;10379.0;;;;;;;;;;;;
138;Households, total;Overijssel;1998;2060.0;10950.0;2884.0;942.0;14952.0;14952.0;4310.0;851.0;1494.0;6065.0;976.0;11578.0;1931.0;10263.0;2703.0;883.0;14014.0;14014.0;4039.0;798.0;1400.0;5685.0;914.0;10851.0;;;;;;;;;;;;
139;Households, total;Overijssel;1999;2282.0;11693.0;3043.0;1113.0;15905.0;15905.0;4395.0;923.0;1384.0;6533.0;1058.0;12247.0;2125.0;10887.0;2833.0;1036.0;14808.0;14808.0;4092.0;859.0;1289.0;6083.0;986.0;11402.0;;;;;;;;;;;;
140;Households, total;Overijssel;2000;2443.0;12513.0;3131.0;1335.0;16752.0;16752.0;4626.0;1000.0;1464.0;6867.0;1149.0;12899.0;2258.0;11565.0;2894.0;1234.0;15483.0;15483.0;4276.0;924.0;1353.0;6347.0;1062.0;11922.0;;;;;;;;;;;;
141;Households, total;Overijssel;2001;2300.0;13439.0;3215.0;1270.0;17684.0;17684.0;4882.0;1100.0;1733.0;6777.0;1250.0;13906.0;2110.0;12328.0;2949.0;1165.0;16222.0;16222.0;4479.0;1009.0;1590.0;6217.0;1147.0;12756.0;;;;;;;;;;;;
142;Households, total;Overijssel;2002;2223.0;14342.0;2895.0;1198.0;18261.0;18261.0;5067.0;1200.0;1982.0;6955.0;1357.0;14234.0;2025.0;13069.0;2638.0;1092.0;16641.0;16641.0;4618.0;1094.0;1806.0;6338.0;1236.0;12971.0;;;;;;;;;;;;
143;Households, total;Overijssel;2003;2157.0;14672.0;2859.0;1087.0;18601.0;18601.0;5271.0;1308.0;1888.0;7361.0;1466.0;14464.0;1955.0;13301.0;2592.0;986.0;16862.0;16862.0;4778.0;1186.0;1711.0;6673.0;1329.0;13112.0;;;;;;;;;;;;
144;Households, total;Overijssel;2004;2138.0;15034.0;2896.0;1132.0;18937.0;18937.0;5474.0;1326.0;1777.0;7756.0;1545.0;14659.0;1936.0;13614.0;2622.0;1025.0;17148.0;17148.0;4957.0;1201.0;1609.0;7024.0;1399.0;13274.0;;;;;;;;;;;;
145;Households, total;Overijssel;2005;2325.0;15176.0;3308.0;1186.0;19623.0;19623.0;5608.0;1328.0;2024.0;7848.0;1582.0;15104.0;2094.0;13670.0;2980.0;1068.0;17676.0;17676.0;5052.0;1196.0;1823.0;7070.0;1425.0;13605.0;;;;;;;;;;;;
146;Households, total;Overijssel;2006;2690.0;15884.0;3101.0;1589.0;20086.0;20086.0;5978.0;1035.0;2213.0;8254.0;1332.0;15298.0;2423.0;14307.0;2793.0;1432.0;18092.0;18092.0;5384.0;932.0;1994.0;7435.0;1200.0;13780.0;;;;;;;;;;;;
147;Households, total;Overijssel;2007;2990.0;16463.0;3742.0;1978.0;21217.0;21217.0;5707.0;1083.0;2411.0;8379.0;1387.0;15831.0;2678.0;14745.0;3352.0;1772.0;19003.0;19003.0;5112.0;970.0;2160.0;7505.0;1242.0;14179.0;6241.0;34371.0;7813.0;4130.0;44296.0;44296.0;11916.0;2262.0;5034.0;17494.0;2895.0;33051.0
148;Households, total;Overijssel;2008;2990.0;17297.0;3734.0;2096.0;21926.0;21926.0;5732.0;1119.0;2528.0;8884.0;1453.0;15912.0;2657.0;15369.0;3317.0;1862.0;19482.0;19482.0;5093.0;995.0;2246.0;7894.0;1291.0;14138.0;6130.0;35459.0;7654.0;4296.0;44947.0;44947.0;11750.0;2295.0;5183.0;18212.0;2978.0;32619.0
149;Households, total;Overijssel;2009;2205.0;17703.0;2663.0;1184.0;21387.0;21387.0;6143.0;1670.0;2908.0;8447.0;1670.0;15758.0;1951.0;15664.0;2356.0;1047.0;18923.0;18923.0;5435.0;1477.0;2573.0;7474.0;1477.0;13943.0;4485.0;36011.0;5417.0;2408.0;43506.0;43506.0;12496.0;3396.0;5916.0;17184.0;3396.0;32055.0
150;Households, total;Flevoland;1995;642.0;2720.0;552.0;275.0;3639.0;3639.0;921.0;158.0;387.0;1442.0;188.0;2701.0;2398.0;10165.0;2065.0;1028.0;13600.0;13600.0;3442.0;589.0;1446.0;5388.0;702.0;10095.0;;;;;;;;;;;;
151;Households, total;Flevoland;1996;587.0;2915.0;581.0;261.0;3822.0;3822.0;990.0;173.0;390.0;1515.0;212.0;2869.0;2119.0;10520.0;2097.0;943.0;13793.0;13793.0;3572.0;624.0;1406.0;5466.0;764.0;10353.0;;;;;;;;;;;;
152;Households, total;Flevoland;1997;547.0;3187.0;662.0;300.0;4096.0;4096.0;1023.0;192.0;357.0;1652.0;232.0;3071.0;1904.0;11091.0;2304.0;1044.0;14254.0;14254.0;3560.0;668.0;1241.0;5748.0;808.0;10685.0;;;;;;;;;;;;
153;Households, total;Flevoland;1998;714.0;3562.0;729.0;375.0;4630.0;4630.0;1029.0;227.0;387.0;1795.0;257.0;3446.0;2380.0;11879.0;2431.0;1251.0;15439.0;15439.0;3430.0;756.0;1289.0;5987.0;859.0;11490.0;;;;;;;;;;;;
154;Households, total;Flevoland;1999;874.0;3915.0;836.0;477.0;5147.0;5147.0;1058.0;254.0;456.0;1997.0;294.0;3713.0;2802.0;12553.0;2680.0;1529.0;16506.0;16506.0;3391.0;815.0;1462.0;6403.0;942.0;11906.0;;;;;;;;;;;;
155;Households, total;Flevoland;2000;755.0;4357.0;913.0;552.0;5473.0;5473.0;1101.0;275.0;504.0;2158.0;319.0;3867.0;2337.0;13485.0;2825.0;1708.0;16939.0;16939.0;3408.0;850.0;1560.0;6681.0;986.0;11971.0;;;;;;;;;;;;
156;Households, total;Flevoland;2001;846.0;4944.0;925.0;586.0;6129.0;6129.0;1245.0;301.0;607.0;2288.0;372.0;4408.0;2523.0;14744.0;2758.0;1747.0;18278.0;18278.0;3712.0;899.0;1811.0;6822.0;1110.0;13146.0;;;;;;;;;;;;
157;Households, total;Flevoland;2002;812.0;5340.0;883.0;554.0;6481.0;6481.0;1339.0;373.0;703.0;2481.0;449.0;4559.0;2342.0;15404.0;2546.0;1598.0;18693.0;18693.0;3861.0;1075.0;2028.0;7155.0;1296.0;13150.0;;;;;;;;;;;;
158;Households, total;Flevoland;2003;691.0;5768.0;1012.0;515.0;6957.0;6957.0;1448.0;402.0;725.0;2767.0;493.0;4823.0;1943.0;16212.0;2845.0;1446.0;19554.0;19554.0;4070.0;1130.0;2037.0;7778.0;1384.0;13554.0;;;;;;;;;;;;
159;Households, total;Flevoland;2004;558.0;6002.0;867.0;492.0;6936.0;6936.0;1574.0;387.0;605.0;2987.0;520.0;4784.0;1533.0;16477.0;2379.0;1350.0;19039.0;19039.0;4320.0;1062.0;1661.0;8200.0;1427.0;13133.0;;;;;;;;;;;;
160;Households, total;Flevoland;2005;637.0;6040.0;856.0;503.0;7030.0;7030.0;1675.0;390.0;743.0;2998.0;539.0;4813.0;1726.0;16372.0;2321.0;1363.0;19056.0;19056.0;4539.0;1056.0;2015.0;8128.0;1461.0;13047.0;;;;;;;;;;;;
161;Households, total;Flevoland;2006;752.0;6360.0;869.0;677.0;7304.0;7304.0;1687.0;352.0;795.0;3140.0;482.0;4927.0;2016.0;17044.0;2328.0;1815.0;19573.0;19573.0;4522.0;942.0;2129.0;8415.0;1291.0;13202.0;;;;;;;;;;;;
162;Households, total;Flevoland;2007;907.0;6738.0;948.0;836.0;7758.0;7758.0;2008.0;359.0;912.0;3318.0;498.0;5397.0;2408.0;17882.0;2515.0;2218.0;20588.0;20588.0;5330.0;954.0;2419.0;8807.0;1321.0;14324.0;5954.0;44218.0;6220.0;5484.0;50908.0;50908.0;13179.0;2358.0;5982.0;21777.0;3266.0;35420.0
163;Households, total;Flevoland;2008;1025.0;7091.0;984.0;905.0;8194.0;8194.0;2443.0;367.0;980.0;3916.0;490.0;5619.0;2672.0;18492.0;2566.0;2361.0;21370.0;21370.0;6371.0;958.0;2555.0;10212.0;1277.0;14653.0;6544.0;45283.0;6283.0;5780.0;52329.0;52329.0;15600.0;2345.0;6257.0;25008.0;3128.0;35882.0
164;Households, total;Flevoland;2009;705.0;7114.0;803.0;517.0;8105.0;8105.0;2534.0;568.0;1073.0;3589.0;568.0;5837.0;1817.0;18342.0;2070.0;1333.0;20895.0;20895.0;6533.0;1464.0;2767.0;9252.0;1464.0;15049.0;4399.0;44418.0;5012.0;3227.0;50601.0;50601.0;15821.0;3545.0;6700.0;22405.0;3545.0;36443.0
165;Households, total;Gelderland;1995;3196.0;18415.0;4662.0;1466.0;24808.0;24808.0;7482.0;1201.0;3102.0;10152.0;1387.0;18850.0;1709.0;9845.0;2492.0;784.0;13263.0;13263.0;4000.0;642.0;1658.0;5427.0;742.0;10078.0;;;;;;;;;;;;
166;Households, total;Gelderland;1996;3202.0;19133.0;4774.0;1397.0;25712.0;25712.0;7697.0;1260.0;3101.0;10438.0;1500.0;19630.0;1702.0;10171.0;2538.0;742.0;13669.0;13669.0;4092.0;670.0;1649.0;5549.0;798.0;10435.0;;;;;;;;;;;;
167;Households, total;Gelderland;1997;3780.0;20194.0;5326.0;1629.0;27671.0;27671.0;7779.0;1387.0;2916.0;11043.0;1645.0;21232.0;1999.0;10678.0;2816.0;861.0;14632.0;14632.0;4113.0;734.0;1542.0;5839.0;870.0;11227.0;;;;;;;;;;;;
168;Households, total;Gelderland;1998;3588.0;21586.0;5540.0;1794.0;28920.0;28920.0;7839.0;1563.0;3023.0;11577.0;1785.0;21937.0;1887.0;11354.0;2914.0;944.0;15211.0;15211.0;4123.0;822.0;1590.0;6089.0;939.0;11538.0;;;;;;;;;;;;
169;Households, total;Gelderland;1999;3814.0;23049.0;5938.0;2060.0;30741.0;30741.0;8118.0;1703.0;2995.0;12487.0;1945.0;23134.0;1994.0;12049.0;3104.0;1077.0;16070.0;16070.0;4244.0;890.0;1566.0;6528.0;1017.0;12093.0;;;;;;;;;;;;
170;Households, total;Gelderland;2000;4179.0;24601.0;6155.0;2527.0;32408.0;32408.0;8368.0;1820.0;3259.0;13067.0;2086.0;24184.0;2169.0;12768.0;3195.0;1312.0;16820.0;16820.0;4343.0;945.0;1691.0;6782.0;1083.0;12552.0;;;;;;;;;;;;
171;Households, total;Gelderland;2001;4465.0;26321.0;6268.0;2537.0;34517.0;34517.0;8861.0;1992.0;3601.0;12919.0;2271.0;26579.0;2300.0;13555.0;3228.0;1307.0;17776.0;17776.0;4564.0;1026.0;1855.0;6653.0;1169.0;13688.0;;;;;;;;;;;;
172;Households, total;Gelderland;2002;4057.0;27706.0;6017.0;2430.0;35349.0;35349.0;9235.0;2256.0;4138.0;13296.0;2627.0;26780.0;2075.0;14173.0;3078.0;1243.0;18083.0;18083.0;4724.0;1154.0;2117.0;6801.0;1344.0;13699.0;;;;;;;;;;;;
173;Households, total;Gelderland;2003;3854.0;28716.0;5710.0;2155.0;36124.0;36124.0;9670.0;2457.0;4083.0;14259.0;2806.0;27104.0;1963.0;14624.0;2908.0;1097.0;18396.0;18396.0;4925.0;1251.0;2079.0;7262.0;1429.0;13802.0;;;;;;;;;;;;
174;Households, total;Gelderland;2004;3992.0;29447.0;5969.0;2176.0;37232.0;37232.0;9793.0;2501.0;3832.0;14914.0;2902.0;27879.0;2032.0;14990.0;3039.0;1108.0;18953.0;18953.0;4985.0;1273.0;1950.0;7592.0;1477.0;14192.0;;;;;;;;;;;;
175;Households, total;Gelderland;2005;4210.0;29449.0;6801.0;2267.0;38194.0;38194.0;10122.0;2480.0;4292.0;14986.0;2919.0;28598.0;2139.0;14963.0;3456.0;1152.0;19406.0;19406.0;5143.0;1260.0;2181.0;7614.0;1483.0;14530.0;;;;;;;;;;;;
