ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
8108;B Mining and quarrying;Tubbergen;2009;0.0
8109;B Mining and quarrying;Tubbergen;2010;0.0
8110;B Mining and quarrying;Twenterand;2006;5.0
8111;B Mining and quarrying;Twenterand;2007;5.0
8112;B Mining and quarrying;Twenterand;2008;5.0
8113;B Mining and quarrying;Twenterand;2009;5.0
8114;B Mining and quarrying;Twenterand;2010;5.0
8115;B Mining and quarrying;Tynaarlo;2006;0.0
8116;B Mining and quarrying;Tynaarlo;2007;0.0
8117;B Mining and quarrying;Tynaarlo;2008;0.0
8118;B Mining and quarrying;Tynaarlo;2009;0.0
8119;B Mining and quarrying;Tynaarlo;2010;0.0
8120;B Mining and quarrying;Tytsjerksteradiel;2006;0.0
8121;B Mining and quarrying;Tytsjerksteradiel;2007;0.0
8122;B Mining and quarrying;Tytsjerksteradiel;2008;0.0
8123;B Mining and quarrying;Tytsjerksteradiel;2009;0.0
8124;B Mining and quarrying;Tytsjerksteradiel;2010;0.0
8125;B Mining and quarrying;Ubbergen;2006;0.0
8126;B Mining and quarrying;Ubbergen;2007;0.0
8127;B Mining and quarrying;Ubbergen;2008;0.0
8128;B Mining and quarrying;Ubbergen;2009;0.0
8129;B Mining and quarrying;Ubbergen;2010;0.0
8130;B Mining and quarrying;Uden;2006;0.0
8131;B Mining and quarrying;Uden;2007;0.0
8132;B Mining and quarrying;Uden;2008;0.0
8133;B Mining and quarrying;Uden;2009;0.0
8134;B Mining and quarrying;Uden;2010;0.0
8135;B Mining and quarrying;Uitgeest;2006;0.0
8136;B Mining and quarrying;Uitgeest;2007;0.0
8137;B Mining and quarrying;Uitgeest;2008;0.0
8138;B Mining and quarrying;Uitgeest;2009;0.0
8139;B Mining and quarrying;Uitgeest;2010;0.0
8140;B Mining and quarrying;Uithoorn;2006;0.0
8141;B Mining and quarrying;Uithoorn;2007;0.0
8142;B Mining and quarrying;Uithoorn;2008;0.0
8143;B Mining and quarrying;Uithoorn;2009;0.0
8144;B Mining and quarrying;Uithoorn;2010;0.0
8145;B Mining and quarrying;Urk;2006;0.0
8146;B Mining and quarrying;Urk;2007;0.0
8147;B Mining and quarrying;Urk;2008;0.0
8148;B Mining and quarrying;Urk;2009;0.0
8149;B Mining and quarrying;Urk;2010;0.0
8150;B Mining and quarrying;Utrecht (municipality);2006;5.0
8151;B Mining and quarrying;Utrecht (municipality);2007;0.0
8152;B Mining and quarrying;Utrecht (municipality);2008;0.0
8153;B Mining and quarrying;Utrecht (municipality);2009;0.0
8154;B Mining and quarrying;Utrecht (municipality);2010;0.0
8155;B Mining and quarrying;Utrechtse Heuvelrug;2006;0.0
8156;B Mining and quarrying;Utrechtse Heuvelrug;2007;0.0
8157;B Mining and quarrying;Utrechtse Heuvelrug;2008;0.0
8158;B Mining and quarrying;Utrechtse Heuvelrug;2009;0.0
8159;B Mining and quarrying;Utrechtse Heuvelrug;2010;0.0
8160;B Mining and quarrying;Vaals;2006;0.0
8161;B Mining and quarrying;Vaals;2007;0.0
8162;B Mining and quarrying;Vaals;2008;0.0
8163;B Mining and quarrying;Vaals;2009;0.0
8164;B Mining and quarrying;Vaals;2010;0.0
8165;B Mining and quarrying;Valkenburg aan de Geul;2006;5.0
8166;B Mining and quarrying;Valkenburg aan de Geul;2007;5.0
8167;B Mining and quarrying;Valkenburg aan de Geul;2008;5.0
8168;B Mining and quarrying;Valkenburg aan de Geul;2009;0.0
8169;B Mining and quarrying;Valkenburg aan de Geul;2010;0.0
8170;B Mining and quarrying;Valkenswaard;2006;0.0
8171;B Mining and quarrying;Valkenswaard;2007;0.0
8172;B Mining and quarrying;Valkenswaard;2008;0.0
8173;B Mining and quarrying;Valkenswaard;2009;0.0
8174;B Mining and quarrying;Valkenswaard;2010;0.0
8175;B Mining and quarrying;Veendam;2006;0.0
8176;B Mining and quarrying;Veendam;2007;0.0
8177;B Mining and quarrying;Veendam;2008;0.0
8178;B Mining and quarrying;Veendam;2009;0.0
8179;B Mining and quarrying;Veendam;2010;0.0
8180;B Mining and quarrying;Veenendaal;2006;0.0
8181;B Mining and quarrying;Veenendaal;2007;0.0
8182;B Mining and quarrying;Veenendaal;2008;0.0
8183;B Mining and quarrying;Veenendaal;2009;0.0
8184;B Mining and quarrying;Veenendaal;2010;0.0
8185;B Mining and quarrying;Veere;2006;0.0
8186;B Mining and quarrying;Veere;2007;0.0
8187;B Mining and quarrying;Veere;2008;0.0
8188;B Mining and quarrying;Veere;2009;0.0
8189;B Mining and quarrying;Veere;2010;0.0
8190;B Mining and quarrying;Veghel;2006;0.0
8191;B Mining and quarrying;Veghel;2007;0.0
8192;B Mining and quarrying;Veghel;2008;0.0
8193;B Mining and quarrying;Veghel;2009;0.0
8194;B Mining and quarrying;Veghel;2010;0.0
8195;B Mining and quarrying;Veldhoven;2006;0.0
8196;B Mining and quarrying;Veldhoven;2007;0.0
8197;B Mining and quarrying;Veldhoven;2008;0.0
8198;B Mining and quarrying;Veldhoven;2009;0.0
8199;B Mining and quarrying;Veldhoven;2010;0.0
8200;B Mining and quarrying;Velsen;2006;10.0
8201;B Mining and quarrying;Velsen;2007;10.0
8202;B Mining and quarrying;Velsen;2008;10.0
8203;B Mining and quarrying;Velsen;2009;10.0
8204;B Mining and quarrying;Velsen;2010;10.0
8205;B Mining and quarrying;Venlo;2006;0.0
8206;B Mining and quarrying;Venlo;2007;0.0
8207;B Mining and quarrying;Venlo;2008;5.0
8208;B Mining and quarrying;Venlo;2009;5.0
8209;B Mining and quarrying;Venlo;2010;5.0
8210;B Mining and quarrying;Venray;2006;0.0
8211;B Mining and quarrying;Venray;2007;0.0
8212;B Mining and quarrying;Venray;2008;0.0
8213;B Mining and quarrying;Venray;2009;0.0
8214;B Mining and quarrying;Venray;2010;0.0
8215;B Mining and quarrying;Vianen;2006;0.0
8216;B Mining and quarrying;Vianen;2007;0.0
8217;B Mining and quarrying;Vianen;2008;0.0
8218;B Mining and quarrying;Vianen;2009;0.0
8219;B Mining and quarrying;Vianen;2010;0.0
8220;B Mining and quarrying;Vlaardingen;2006;0.0
8221;B Mining and quarrying;Vlaardingen;2007;0.0
8222;B Mining and quarrying;Vlaardingen;2008;0.0
8223;B Mining and quarrying;Vlaardingen;2009;0.0
8224;B Mining and quarrying;Vlaardingen;2010;0.0
8225;B Mining and quarrying;Vlagtwedde;2006;0.0
8226;B Mining and quarrying;Vlagtwedde;2007;0.0
8227;B Mining and quarrying;Vlagtwedde;2008;0.0
8228;B Mining and quarrying;Vlagtwedde;2009;0.0
8229;B Mining and quarrying;Vlagtwedde;2010;0.0
8230;B Mining and quarrying;Vlieland;2006;0.0
8231;B Mining and quarrying;Vlieland;2007;0.0
8232;B Mining and quarrying;Vlieland;2008;0.0
8233;B Mining and quarrying;Vlieland;2009;0.0
8234;B Mining and quarrying;Vlieland;2010;0.0
8235;B Mining and quarrying;Vlissingen;2006;0.0
8236;B Mining and quarrying;Vlissingen;2007;0.0
8237;B Mining and quarrying;Vlissingen;2008;0.0
8238;B Mining and quarrying;Vlissingen;2009;0.0
8239;B Mining and quarrying;Vlissingen;2010;0.0
8240;B Mining and quarrying;Vlist;2006;0.0
8241;B Mining and quarrying;Vlist;2007;0.0
8242;B Mining and quarrying;Vlist;2008;0.0
8243;B Mining and quarrying;Vlist;2009;0.0
8244;B Mining and quarrying;Vlist;2010;0.0
8245;B Mining and quarrying;Voerendaal;2006;0.0
8246;B Mining and quarrying;Voerendaal;2007;0.0
8247;B Mining and quarrying;Voerendaal;2008;0.0
8248;B Mining and quarrying;Voerendaal;2009;0.0
8249;B Mining and quarrying;Voerendaal;2010;0.0
8250;B Mining and quarrying;Voorschoten;2006;0.0
8251;B Mining and quarrying;Voorschoten;2007;0.0
8252;B Mining and quarrying;Voorschoten;2008;0.0
8253;B Mining and quarrying;Voorschoten;2009;0.0
8254;B Mining and quarrying;Voorschoten;2010;0.0
8255;B Mining and quarrying;Voorst;2006;0.0
8256;B Mining and quarrying;Voorst;2007;0.0
8257;B Mining and quarrying;Voorst;2008;0.0
8258;B Mining and quarrying;Voorst;2009;0.0
8259;B Mining and quarrying;Voorst;2010;0.0
8260;B Mining and quarrying;Vught;2006;0.0
8261;B Mining and quarrying;Vught;2007;0.0
8262;B Mining and quarrying;Vught;2008;0.0
8263;B Mining and quarrying;Vught;2009;0.0
8264;B Mining and quarrying;Vught;2010;0.0
8265;B Mining and quarrying;Waalre;2006;0.0
8266;B Mining and quarrying;Waalre;2007;0.0
8267;B Mining and quarrying;Waalre;2008;0.0
8268;B Mining and quarrying;Waalre;2009;0.0
8269;B Mining and quarrying;Waalre;2010;0.0
8270;B Mining and quarrying;Waalwijk;2006;5.0
8271;B Mining and quarrying;Waalwijk;2007;5.0
8272;B Mining and quarrying;Waalwijk;2008;0.0
8273;B Mining and quarrying;Waalwijk;2009;0.0
8274;B Mining and quarrying;Waalwijk;2010;0.0
8275;B Mining and quarrying;Waddinxveen;2006;0.0
8276;B Mining and quarrying;Waddinxveen;2007;0.0
8277;B Mining and quarrying;Waddinxveen;2008;0.0
8278;B Mining and quarrying;Waddinxveen;2009;0.0
8279;B Mining and quarrying;Waddinxveen;2010;0.0
8280;B Mining and quarrying;Wageningen;2006;0.0
8281;B Mining and quarrying;Wageningen;2007;0.0
8282;B Mining and quarrying;Wageningen;2008;0.0
8283;B Mining and quarrying;Wageningen;2009;0.0
8284;B Mining and quarrying;Wageningen;2010;0.0
8285;B Mining and quarrying;Wassenaar;2006;0.0
8286;B Mining and quarrying;Wassenaar;2007;0.0
8287;B Mining and quarrying;Wassenaar;2008;0.0
8288;B Mining and quarrying;Wassenaar;2009;0.0
8289;B Mining and quarrying;Wassenaar;2010;0.0
8290;B Mining and quarrying;Waterland;2006;0.0
8291;B Mining and quarrying;Waterland;2007;0.0
8292;B Mining and quarrying;Waterland;2008;0.0
8293;B Mining and quarrying;Waterland;2009;0.0
8294;B Mining and quarrying;Waterland;2010;0.0
8295;B Mining and quarrying;Weert;2006;0.0
8296;B Mining and quarrying;Weert;2007;0.0
8297;B Mining and quarrying;Weert;2008;0.0
8298;B Mining and quarrying;Weert;2009;0.0
8299;B Mining and quarrying;Weert;2010;0.0
8300;B Mining and quarrying;Weesp;2006;0.0
8301;B Mining and quarrying;Weesp;2007;0.0
8302;B Mining and quarrying;Weesp;2008;0.0
8303;B Mining and quarrying;Weesp;2009;0.0
8304;B Mining and quarrying;Weesp;2010;0.0
8305;B Mining and quarrying;Werkendam;2006;0.0
8306;B Mining and quarrying;Werkendam;2007;0.0
8307;B Mining and quarrying;Werkendam;2008;0.0
8308;B Mining and quarrying;Werkendam;2009;0.0
8309;B Mining and quarrying;Werkendam;2010;0.0
8310;B Mining and quarrying;Wervershoof;2006;0.0
8311;B Mining and quarrying;Wervershoof;2007;0.0
8312;B Mining and quarrying;Wervershoof;2008;0.0
8313;B Mining and quarrying;Wervershoof;2009;0.0
8314;B Mining and quarrying;Wervershoof;2010;0.0
8315;B Mining and quarrying;West Maas en Waal;2006;0.0
8316;B Mining and quarrying;West Maas en Waal;2007;0.0
8317;B Mining and quarrying;West Maas en Waal;2008;0.0
8318;B Mining and quarrying;West Maas en Waal;2009;0.0
8319;B Mining and quarrying;West Maas en Waal;2010;0.0
8320;B Mining and quarrying;Wester-Koggenland;2006;0.0
8321;B Mining and quarrying;Wester-Koggenland;2007;
8322;B Mining and quarrying;Wester-Koggenland;2008;
8323;B Mining and quarrying;Wester-Koggenland;2009;
8324;B Mining and quarrying;Wester-Koggenland;2010;
8325;B Mining and quarrying;Westerveld;2006;0.0
8326;B Mining and quarrying;Westerveld;2007;0.0
8327;B Mining and quarrying;Westerveld;2008;0.0
8328;B Mining and quarrying;Westerveld;2009;0.0
8329;B Mining and quarrying;Westerveld;2010;0.0
8330;B Mining and quarrying;Westervoort;2006;0.0
8331;B Mining and quarrying;Westervoort;2007;0.0
8332;B Mining and quarrying;Westervoort;2008;0.0
8333;B Mining and quarrying;Westervoort;2009;0.0
8334;B Mining and quarrying;Westervoort;2010;0.0
8335;B Mining and quarrying;Westland;2006;0.0
8336;B Mining and quarrying;Westland;2007;0.0
8337;B Mining and quarrying;Westland;2008;0.0
8338;B Mining and quarrying;Westland;2009;0.0
8339;B Mining and quarrying;Westland;2010;0.0
8340;B Mining and quarrying;Weststellingwerf;2006;0.0
8341;B Mining and quarrying;Weststellingwerf;2007;0.0
8342;B Mining and quarrying;Weststellingwerf;2008;0.0
8343;B Mining and quarrying;Weststellingwerf;2009;0.0
8344;B Mining and quarrying;Weststellingwerf;2010;0.0
8345;B Mining and quarrying;Westvoorne;2006;0.0
8346;B Mining and quarrying;Westvoorne;2007;0.0
8347;B Mining and quarrying;Westvoorne;2008;0.0
8348;B Mining and quarrying;Westvoorne;2009;0.0
8349;B Mining and quarrying;Westvoorne;2010;0.0
8350;B Mining and quarrying;Wierden;2006;0.0
8351;B Mining and quarrying;Wierden;2007;0.0
8352;B Mining and quarrying;Wierden;2008;0.0
8353;B Mining and quarrying;Wierden;2009;0.0
8354;B Mining and quarrying;Wierden;2010;0.0
8355;B Mining and quarrying;Wieringen;2006;0.0
8356;B Mining and quarrying;Wieringen;2007;0.0
8357;B Mining and quarrying;Wieringen;2008;0.0
8358;B Mining and quarrying;Wieringen;2009;0.0
8359;B Mining and quarrying;Wieringen;2010;0.0
8360;B Mining and quarrying;Wieringermeer;2006;0.0
8361;B Mining and quarrying;Wieringermeer;2007;0.0
8362;B Mining and quarrying;Wieringermeer;2008;0.0
8363;B Mining and quarrying;Wieringermeer;2009;0.0
8364;B Mining and quarrying;Wieringermeer;2010;0.0
8365;B Mining and quarrying;Wijchen;2006;0.0
8366;B Mining and quarrying;Wijchen;2007;0.0
8367;B Mining and quarrying;Wijchen;2008;0.0
8368;B Mining and quarrying;Wijchen;2009;0.0
8369;B Mining and quarrying;Wijchen;2010;0.0
8370;B Mining and quarrying;Wijdemeren;2006;0.0
8371;B Mining and quarrying;Wijdemeren;2007;0.0
8372;B Mining and quarrying;Wijdemeren;2008;0.0
8373;B Mining and quarrying;Wijdemeren;2009;0.0
8374;B Mining and quarrying;Wijdemeren;2010;0.0
8375;B Mining and quarrying;Wijk bij Duurstede;2006;0.0
8376;B Mining and quarrying;Wijk bij Duurstede;2007;0.0
8377;B Mining and quarrying;Wijk bij Duurstede;2008;0.0
8378;B Mining and quarrying;Wijk bij Duurstede;2009;0.0
8379;B Mining and quarrying;Wijk bij Duurstede;2010;0.0
8380;B Mining and quarrying;Winschoten;2006;0.0
8381;B Mining and quarrying;Winschoten;2007;0.0
8382;B Mining and quarrying;Winschoten;2008;0.0
8383;B Mining and quarrying;Winschoten;2009;0.0
8384;B Mining and quarrying;Winschoten;2010;
8385;B Mining and quarrying;Winsum;2006;0.0
8386;B Mining and quarrying;Winsum;2007;0.0
8387;B Mining and quarrying;Winsum;2008;0.0
8388;B Mining and quarrying;Winsum;2009;0.0
8389;B Mining and quarrying;Winsum;2010;0.0
8390;B Mining and quarrying;Winterswijk;2006;0.0
8391;B Mining and quarrying;Winterswijk;2007;0.0
8392;B Mining and quarrying;Winterswijk;2008;0.0
8393;B Mining and quarrying;Winterswijk;2009;0.0
8394;B Mining and quarrying;Winterswijk;2010;0.0
8395;B Mining and quarrying;Woensdrecht;2006;0.0
8396;B Mining and quarrying;Woensdrecht;2007;0.0
8397;B Mining and quarrying;Woensdrecht;2008;0.0
8398;B Mining and quarrying;Woensdrecht;2009;0.0
8399;B Mining and quarrying;Woensdrecht;2010;0.0
8400;B Mining and quarrying;Woerden;2006;0.0
8401;B Mining and quarrying;Woerden;2007;0.0
8402;B Mining and quarrying;Woerden;2008;0.0
8403;B Mining and quarrying;Woerden;2009;0.0
8404;B Mining and quarrying;Woerden;2010;0.0
8405;B Mining and quarrying;Wognum;2006;0.0
8406;B Mining and quarrying;Wognum;2007;
8407;B Mining and quarrying;Wognum;2008;
8408;B Mining and quarrying;Wognum;2009;
8409;B Mining and quarrying;Wognum;2010;
8410;B Mining and quarrying;De Wolden;2006;0.0
8411;B Mining and quarrying;De Wolden;2007;0.0
8412;B Mining and quarrying;De Wolden;2008;0.0
8413;B Mining and quarrying;De Wolden;2009;0.0
8414;B Mining and quarrying;De Wolden;2010;0.0
8415;B Mining and quarrying;Wormerland;2006;0.0
8416;B Mining and quarrying;Wormerland;2007;0.0
8417;B Mining and quarrying;Wormerland;2008;0.0
8418;B Mining and quarrying;Wormerland;2009;0.0
8419;B Mining and quarrying;Wormerland;2010;0.0
8420;B Mining and quarrying;Woudenberg;2006;0.0
8421;B Mining and quarrying;Woudenberg;2007;0.0
8422;B Mining and quarrying;Woudenberg;2008;0.0
8423;B Mining and quarrying;Woudenberg;2009;0.0
8424;B Mining and quarrying;Woudenberg;2010;0.0
8425;B Mining and quarrying;Woudrichem;2006;0.0
8426;B Mining and quarrying;Woudrichem;2007;0.0
8427;B Mining and quarrying;Woudrichem;2008;0.0
8428;B Mining and quarrying;Woudrichem;2009;0.0
8429;B Mining and quarrying;Woudrichem;2010;0.0
8430;B Mining and quarrying;Wûnseradiel;2006;0.0
8431;B Mining and quarrying;Wûnseradiel;2007;0.0
8432;B Mining and quarrying;Wûnseradiel;2008;0.0
8433;B Mining and quarrying;Wûnseradiel;2009;0.0
8434;B Mining and quarrying;Wûnseradiel;2010;0.0
8435;B Mining and quarrying;Wymbritseradiel;2006;0.0
8436;B Mining and quarrying;Wymbritseradiel;2007;0.0
8437;B Mining and quarrying;Wymbritseradiel;2008;0.0
8438;B Mining and quarrying;Wymbritseradiel;2009;0.0
8439;B Mining and quarrying;Wymbritseradiel;2010;0.0
8440;B Mining and quarrying;Zaanstad;2006;0.0
8441;B Mining and quarrying;Zaanstad;2007;0.0
8442;B Mining and quarrying;Zaanstad;2008;0.0
8443;B Mining and quarrying;Zaanstad;2009;0.0
8444;B Mining and quarrying;Zaanstad;2010;0.0
8445;B Mining and quarrying;Zaltbommel;2006;0.0
8446;B Mining and quarrying;Zaltbommel;2007;0.0
8447;B Mining and quarrying;Zaltbommel;2008;0.0
8448;B Mining and quarrying;Zaltbommel;2009;0.0
8449;B Mining and quarrying;Zaltbommel;2010;0.0
8450;B Mining and quarrying;Zandvoort;2006;0.0
8451;B Mining and quarrying;Zandvoort;2007;0.0
8452;B Mining and quarrying;Zandvoort;2008;0.0
8453;B Mining and quarrying;Zandvoort;2009;0.0
8454;B Mining and quarrying;Zandvoort;2010;0.0
8455;B Mining and quarrying;Zederik;2006;0.0
8456;B Mining and quarrying;Zederik;2007;0.0
8457;B Mining and quarrying;Zederik;2008;0.0
8458;B Mining and quarrying;Zederik;2009;0.0
8459;B Mining and quarrying;Zederik;2010;0.0
8460;B Mining and quarrying;Zeevang;2006;0.0
8461;B Mining and quarrying;Zeevang;2007;0.0
8462;B Mining and quarrying;Zeevang;2008;0.0
8463;B Mining and quarrying;Zeevang;2009;0.0
8464;B Mining and quarrying;Zeevang;2010;0.0
8465;B Mining and quarrying;Zeewolde;2006;0.0
8466;B Mining and quarrying;Zeewolde;2007;0.0
8467;B Mining and quarrying;Zeewolde;2008;0.0
8468;B Mining and quarrying;Zeewolde;2009;0.0
8469;B Mining and quarrying;Zeewolde;2010;0.0
8470;B Mining and quarrying;Zeist;2006;0.0
8471;B Mining and quarrying;Zeist;2007;0.0
8472;B Mining and quarrying;Zeist;2008;0.0
8473;B Mining and quarrying;Zeist;2009;0.0
8474;B Mining and quarrying;Zeist;2010;0.0
8475;B Mining and quarrying;Zevenaar;2006;0.0
8476;B Mining and quarrying;Zevenaar;2007;0.0
8477;B Mining and quarrying;Zevenaar;2008;0.0
8478;B Mining and quarrying;Zevenaar;2009;0.0
8479;B Mining and quarrying;Zevenaar;2010;0.0
8480;B Mining and quarrying;Zevenhuizen-Moerkapelle;2006;0.0
8481;B Mining and quarrying;Zevenhuizen-Moerkapelle;2007;0.0
8482;B Mining and quarrying;Zevenhuizen-Moerkapelle;2008;0.0
8483;B Mining and quarrying;Zevenhuizen-Moerkapelle;2009;0.0
8484;B Mining and quarrying;Zevenhuizen-Moerkapelle;2010;
8485;B Mining and quarrying;Zijpe;2006;0.0
8486;B Mining and quarrying;Zijpe;2007;0.0
8487;B Mining and quarrying;Zijpe;2008;0.0
8488;B Mining and quarrying;Zijpe;2009;0.0
8489;B Mining and quarrying;Zijpe;2010;0.0
8490;B Mining and quarrying;Zoetermeer;2006;5.0
8491;B Mining and quarrying;Zoetermeer;2007;5.0
8492;B Mining and quarrying;Zoetermeer;2008;5.0
8493;B Mining and quarrying;Zoetermeer;2009;5.0
8494;B Mining and quarrying;Zoetermeer;2010;5.0
8495;B Mining and quarrying;Zoeterwoude;2006;0.0
8496;B Mining and quarrying;Zoeterwoude;2007;0.0
8497;B Mining and quarrying;Zoeterwoude;2008;0.0
8498;B Mining and quarrying;Zoeterwoude;2009;0.0
8499;B Mining and quarrying;Zoeterwoude;2010;0.0
8500;B Mining and quarrying;Zuidhorn;2006;0.0
8501;B Mining and quarrying;Zuidhorn;2007;0.0
8502;B Mining and quarrying;Zuidhorn;2008;0.0
8503;B Mining and quarrying;Zuidhorn;2009;0.0
8504;B Mining and quarrying;Zuidhorn;2010;0.0
8505;B Mining and quarrying;Zuidplas;2006;
8506;B Mining and quarrying;Zuidplas;2007;
8507;B Mining and quarrying;Zuidplas;2008;
8508;B Mining and quarrying;Zuidplas;2009;
8509;B Mining and quarrying;Zuidplas;2010;0.0
8510;B Mining and quarrying;Zundert;2006;0.0
8511;B Mining and quarrying;Zundert;2007;0.0
8512;B Mining and quarrying;Zundert;2008;0.0
8513;B Mining and quarrying;Zundert;2009;0.0
8514;B Mining and quarrying;Zundert;2010;0.0
8515;B Mining and quarrying;Zutphen;2006;0.0
8516;B Mining and quarrying;Zutphen;2007;0.0
8517;B Mining and quarrying;Zutphen;2008;0.0
8518;B Mining and quarrying;Zutphen;2009;0.0
8519;B Mining and quarrying;Zutphen;2010;0.0
8520;B Mining and quarrying;Zwartewaterland;2006;0.0
8521;B Mining and quarrying;Zwartewaterland;2007;0.0
8522;B Mining and quarrying;Zwartewaterland;2008;0.0
8523;B Mining and quarrying;Zwartewaterland;2009;0.0
8524;B Mining and quarrying;Zwartewaterland;2010;0.0
8525;B Mining and quarrying;Zwijndrecht;2006;0.0
8526;B Mining and quarrying;Zwijndrecht;2007;0.0
8527;B Mining and quarrying;Zwijndrecht;2008;0.0
8528;B Mining and quarrying;Zwijndrecht;2009;0.0
8529;B Mining and quarrying;Zwijndrecht;2010;0.0
8530;B Mining and quarrying;Zwolle;2006;0.0
8531;B Mining and quarrying;Zwolle;2007;0.0
8532;B Mining and quarrying;Zwolle;2008;0.0
8533;B Mining and quarrying;Zwolle;2009;0.0
8534;B Mining and quarrying;Zwolle;2010;0.0
8535;C Manufacturing;Nederland;2006;47150.0
8536;C Manufacturing;Nederland;2007;48280.0
8537;C Manufacturing;Nederland;2008;49415.0
8538;C Manufacturing;Nederland;2009;51740.0
8539;C Manufacturing;Nederland;2010;51740.0
8540;C Manufacturing;Noord-Nederland (LD);2006;5065.0
8541;C Manufacturing;Noord-Nederland (LD);2007;5205.0
8542;C Manufacturing;Noord-Nederland (LD);2008;5330.0
8543;C Manufacturing;Noord-Nederland (LD);2009;5640.0
8544;C Manufacturing;Noord-Nederland (LD);2010;5710.0
8545;C Manufacturing;Oost-Nederland (LD);2006;10900.0
8546;C Manufacturing;Oost-Nederland (LD);2007;11065.0
8547;C Manufacturing;Oost-Nederland (LD);2008;11285.0
8548;C Manufacturing;Oost-Nederland (LD);2009;11745.0
8549;C Manufacturing;Oost-Nederland (LD);2010;11755.0
8550;C Manufacturing;West-Nederland (LD);2006;18660.0
8551;C Manufacturing;West-Nederland (LD);2007;19150.0
8552;C Manufacturing;West-Nederland (LD);2008;19615.0
8553;C Manufacturing;West-Nederland (LD);2009;20625.0
8554;C Manufacturing;West-Nederland (LD);2010;20605.0
8555;C Manufacturing;Zuid-Nederland (LD);2006;12515.0
8556;C Manufacturing;Zuid-Nederland (LD);2007;12860.0
8557;C Manufacturing;Zuid-Nederland (LD);2008;13185.0
8558;C Manufacturing;Zuid-Nederland (LD);2009;13730.0
8559;C Manufacturing;Zuid-Nederland (LD);2010;13675.0
8560;C Manufacturing;Groningen (PV);2006;1480.0
8561;C Manufacturing;Groningen (PV);2007;1510.0
8562;C Manufacturing;Groningen (PV);2008;1555.0
8563;C Manufacturing;Groningen (PV);2009;1615.0
8564;C Manufacturing;Groningen (PV);2010;1625.0
8565;C Manufacturing;Friesland (PV);2006;2290.0
8566;C Manufacturing;Friesland (PV);2007;2370.0
8567;C Manufacturing;Friesland (PV);2008;2440.0
8568;C Manufacturing;Friesland (PV);2009;2605.0
8569;C Manufacturing;Friesland (PV);2010;2660.0
8570;C Manufacturing;Drenthe (PV);2006;1295.0
8571;C Manufacturing;Drenthe (PV);2007;1320.0
8572;C Manufacturing;Drenthe (PV);2008;1335.0
8573;C Manufacturing;Drenthe (PV);2009;1415.0
8574;C Manufacturing;Drenthe (PV);2010;1425.0
8575;C Manufacturing;Overijssel (PV);2006;3495.0
8576;C Manufacturing;Overijssel (PV);2007;3520.0
8577;C Manufacturing;Overijssel (PV);2008;3590.0
8578;C Manufacturing;Overijssel (PV);2009;3745.0
8579;C Manufacturing;Overijssel (PV);2010;3735.0
8580;C Manufacturing;Flevoland (PV);2006;925.0
8581;C Manufacturing;Flevoland (PV);2007;975.0
8582;C Manufacturing;Flevoland (PV);2008;1000.0
8583;C Manufacturing;Flevoland (PV);2009;1065.0
8584;C Manufacturing;Flevoland (PV);2010;1065.0
8585;C Manufacturing;Gelderland (PV);2006;6480.0
8586;C Manufacturing;Gelderland (PV);2007;6575.0
8587;C Manufacturing;Gelderland (PV);2008;6690.0
8588;C Manufacturing;Gelderland (PV);2009;6935.0
8589;C Manufacturing;Gelderland (PV);2010;6955.0
8590;C Manufacturing;Utrecht (PV);2006;2970.0
8591;C Manufacturing;Utrecht (PV);2007;3035.0
8592;C Manufacturing;Utrecht (PV);2008;3100.0
8593;C Manufacturing;Utrecht (PV);2009;3255.0
8594;C Manufacturing;Utrecht (PV);2010;3220.0
8595;C Manufacturing;Noord-Holland (PV);2006;6965.0
8596;C Manufacturing;Noord-Holland (PV);2007;7175.0
8597;C Manufacturing;Noord-Holland (PV);2008;7300.0
8598;C Manufacturing;Noord-Holland (PV);2009;7565.0
8599;C Manufacturing;Noord-Holland (PV);2010;7535.0
8600;C Manufacturing;Zuid-Holland (PV);2006;7660.0
8601;C Manufacturing;Zuid-Holland (PV);2007;7850.0
8602;C Manufacturing;Zuid-Holland (PV);2008;8095.0
8603;C Manufacturing;Zuid-Holland (PV);2009;8620.0
8604;C Manufacturing;Zuid-Holland (PV);2010;8645.0
8605;C Manufacturing;Zeeland (PV);2006;1070.0
8606;C Manufacturing;Zeeland (PV);2007;1090.0
8607;C Manufacturing;Zeeland (PV);2008;1115.0
8608;C Manufacturing;Zeeland (PV);2009;1185.0
8609;C Manufacturing;Zeeland (PV);2010;1200.0
8610;C Manufacturing;Noord-Brabant (PV);2006;9165.0
8611;C Manufacturing;Noord-Brabant (PV);2007;9450.0
8612;C Manufacturing;Noord-Brabant (PV);2008;9735.0
8613;C Manufacturing;Noord-Brabant (PV);2009;10135.0
8614;C Manufacturing;Noord-Brabant (PV);2010;10075.0
8615;C Manufacturing;Limburg (PV);2006;3350.0
8616;C Manufacturing;Limburg (PV);2007;3410.0
8617;C Manufacturing;Limburg (PV);2008;3450.0
8618;C Manufacturing;Limburg (PV);2009;3595.0
8619;C Manufacturing;Limburg (PV);2010;3600.0
8620;C Manufacturing;Oost-Groningen (CR);2006;400.0
8621;C Manufacturing;Oost-Groningen (CR);2007;415.0
