ID;RegioS;Perioden;RijksmonumentenTotaal_1;OpenbareGebouwen_2;Verdedigingswerken_3;KerkelijkeGebouwen_4;ObjectInDelenVanKerkelijkeGebouwen_5;GebouwenWoonhuizen_6;DelenVanGebouwenWoonhuizen_7;LiefdadigeInstellingen_8;AgrarischeGebouwen_9;Molens_10;WegEnWaterwerken_11;HorecaInstellingen_12;Kastelen_13;LosseObjectenNietEerderGenoemd_14
674;Medemblik;2015;199;8;0;34;0;75;0;1;64;6;2;1;1;7
675;Meerssen;2013;109;2;0;17;0;26;0;0;28;3;2;0;6;25
676;Meerssen;2014;110;2;0;18;0;26;0;0;28;3;2;0;6;25
677;Meerssen;2015;110;2;0;18;0;26;0;0;28;3;2;0;6;25
678;Menameradiel;2013;88;3;0;16;0;30;0;6;17;7;0;0;2;7
679;Menameradiel;2014;88;3;0;16;0;30;0;6;17;7;0;0;2;7
680;Menameradiel;2015;88;3;0;16;0;30;0;6;17;7;0;0;2;7
681;Menterwolde;2013;49;2;0;8;0;14;0;0;22;2;1;0;0;0
682;Menterwolde;2014;49;2;0;8;0;14;0;0;22;2;1;0;0;0
683;Menterwolde;2015;49;2;0;8;0;14;0;0;22;2;1;0;0;0
684;Meppel;2013;89;5;0;5;0;36;0;0;28;2;2;2;1;8
685;Meppel;2014;89;5;0;5;0;36;0;0;28;2;2;2;1;8
686;Meppel;2015;86;5;0;5;0;36;0;0;27;2;2;2;1;6
687;Middelburg (Z.);2013;1165;14;43;23;1;1004;18;4;9;7;9;0;3;30
688;Middelburg (Z.);2014;1160;14;29;27;1;1002;18;4;9;7;9;0;3;37
689;Middelburg (Z.);2015;1160;14;29;27;1;1002;18;4;9;7;9;0;3;37
690;Midden-Delfland;2013;97;1;0;5;0;35;0;0;47;5;1;0;0;3
691;Midden-Delfland;2014;97;1;0;5;0;35;0;0;47;5;1;0;0;3
692;Midden-Delfland;2015;97;1;0;5;0;35;0;0;47;5;1;0;0;3
693;Midden-Drenthe;2013;64;1;1;7;0;11;0;0;40;1;0;0;3;0
694;Midden-Drenthe;2014;71;8;1;7;0;11;0;0;40;1;0;0;3;0
695;Midden-Drenthe;2015;71;8;1;7;0;11;0;0;40;1;0;0;3;0
696;Mill en Sint Hubert;2013;78;0;46;4;0;4;0;0;11;2;7;0;3;1
697;Mill en Sint Hubert;2014;78;0;46;4;0;4;0;0;11;2;7;0;3;1
698;Mill en Sint Hubert;2015;78;0;46;4;0;4;0;0;11;2;7;0;3;1
699;Moerdijk;2013;126;7;5;7;0;69;0;2;23;4;3;0;0;6
700;Moerdijk;2014;125;7;5;7;0;68;0;2;23;4;3;0;0;6
701;Moerdijk;2015;125;7;5;7;0;68;0;2;23;4;3;0;0;6
702;Molenwaard;2013;186;4;14;12;1;37;0;1;71;42;4;0;0;0
703;Molenwaard;2014;186;4;14;12;1;37;0;1;71;42;4;0;0;0
704;Molenwaard;2015;186;4;14;12;1;37;0;1;71;42;4;0;0;0
705;Montferland;2013;52;3;1;10;0;13;0;1;2;9;0;0;4;9
706;Montferland;2014;52;3;1;10;0;13;0;1;2;9;0;0;4;9
707;Montferland;2015;52;3;1;10;0;13;0;1;2;9;0;0;4;9
708;Montfoort;2013;88;1;5;4;2;38;0;0;25;1;0;1;2;9
709;Montfoort;2014;88;1;5;4;2;38;0;0;25;1;0;1;2;9
710;Montfoort;2015;88;1;5;4;2;38;0;0;25;1;0;1;2;9
711;Mook en Middelaar;2013;16;0;2;1;1;0;0;0;0;1;1;0;2;8
712;Mook en Middelaar;2014;16;0;2;1;1;0;0;0;0;1;1;0;2;8
713;Mook en Middelaar;2015;16;0;2;1;1;0;0;0;0;1;1;0;2;8
714;Muiden;2013;84;0;33;4;0;30;1;0;4;1;2;2;2;5
715;Muiden;2014;77;0;26;4;0;30;1;0;4;1;2;2;2;5
716;Muiden;2015;77;0;26;4;0;30;1;0;4;1;2;2;2;5
717;Naarden;2013;179;16;21;3;0;121;0;1;4;0;5;0;3;5
718;Naarden;2014;177;16;19;3;0;121;0;1;4;0;5;0;3;5
719;Naarden;2015;177;16;19;3;0;121;0;1;4;0;5;0;3;5
720;Neder-Betuwe;2013;49;0;5;12;2;12;0;0;12;0;0;1;2;3
721;Neder-Betuwe;2014;49;0;5;12;2;12;0;0;12;0;0;1;2;3
722;Neder-Betuwe;2015;49;0;5;12;2;12;0;0;12;0;0;1;2;3
723;Nederweert;2013;33;0;16;6;0;2;0;0;4;3;1;0;0;1
724;Nederweert;2014;33;0;16;6;0;2;0;0;4;3;1;0;0;1
725;Nederweert;2015;34;0;16;7;0;2;0;0;4;3;1;0;0;1
726;Neerijnen;2013;87;2;1;18;1;11;0;0;28;7;1;0;5;13
727;Neerijnen;2014;87;2;1;18;1;11;0;0;28;7;1;0;5;13
728;Neerijnen;2015;86;2;1;18;1;11;0;0;28;6;1;0;5;13
729;Nieuwegein;2013;83;12;10;6;0;22;0;0;8;2;7;0;2;14
730;Nieuwegein;2014;94;11;23;6;0;22;0;0;8;2;6;0;2;14
731;Nieuwegein;2015;101;11;30;6;0;22;0;0;8;2;6;0;2;14
732;Nieuwkoop;2013;27;1;0;9;1;6;0;0;6;2;1;0;1;0
733;Nieuwkoop;2014;27;1;0;9;1;6;0;0;6;2;1;0;1;0
734;Nieuwkoop;2015;27;1;0;9;1;6;0;0;6;2;1;0;1;0
735;Nijkerk;2013;110;0;1;2;0;46;0;1;39;2;2;0;4;13
736;Nijkerk;2014;110;0;1;2;0;46;0;1;39;2;2;0;4;13
737;Nijkerk;2015;110;0;1;2;0;46;0;1;39;2;2;0;4;13
738;Nijmegen;2013;255;20;14;30;2;135;2;4;3;2;6;2;3;32
739;Nijmegen;2014;256;21;14;30;2;135;2;4;3;2;6;2;3;32
740;Nijmegen;2015;256;21;14;30;2;134;2;4;3;2;6;2;4;32
741;Nissewaard;2013;93;2;0;9;0;44;0;0;22;5;0;0;1;10
742;Nissewaard;2014;93;2;0;9;0;44;0;0;22;5;0;0;1;10
743;Nissewaard;2015;93;2;0;9;0;44;0;0;22;5;0;0;1;10
744;Noord-Beveland;2013;44;0;0;5;1;22;0;0;8;5;1;0;0;2
745;Noord-Beveland;2014;44;0;0;5;1;22;0;0;8;5;1;0;0;2
746;Noord-Beveland;2015;44;0;0;5;1;22;0;0;8;5;1;0;0;2
747;Noordenveld;2013;235;21;0;13;1;82;0;2;89;5;6;1;3;12
748;Noordenveld;2014;235;21;0;13;1;82;0;2;89;5;6;1;3;12
749;Noordenveld;2015;235;21;0;13;1;82;0;2;89;5;6;1;3;12
750;Noordoostpolder;2013;45;3;0;3;0;21;0;0;6;0;12;0;0;0
751;Noordoostpolder;2014;47;3;0;4;0;22;0;0;6;0;12;0;0;0
752;Noordoostpolder;2015;47;3;0;4;0;22;0;0;6;0;12;0;0;0
753;Noordwijk;2013;74;2;0;6;0;40;0;0;2;1;1;0;2;20
754;Noordwijk;2014;74;2;0;6;0;40;0;0;2;1;1;0;2;20
755;Noordwijk;2015;74;2;0;6;0;40;0;0;2;1;1;0;2;20
756;Noordwijkerhout;2013;12;1;0;2;0;6;0;0;0;1;0;0;1;1
757;Noordwijkerhout;2014;12;1;0;2;0;6;0;0;0;1;0;0;1;1
758;Noordwijkerhout;2015;12;1;0;2;0;6;0;0;0;1;0;0;1;1
759;Nuenen, Gerwen en Nederwetten;2013;43;2;0;13;0;8;0;0;0;2;1;1;1;15
760;Nuenen, Gerwen en Nederwetten;2014;43;2;0;13;0;8;0;0;0;2;1;1;1;15
761;Nuenen, Gerwen en Nederwetten;2015;43;2;0;13;0;8;0;0;0;2;1;1;1;15
762;Nunspeet;2013;55;3;0;3;0;9;0;1;20;3;0;0;2;14
763;Nunspeet;2014;55;3;0;3;0;9;0;1;20;3;0;0;2;14
764;Nunspeet;2015;55;3;0;3;0;9;0;1;20;3;0;0;2;14
765;Nuth;2013;131;0;0;9;0;40;0;0;74;1;0;0;6;1
766;Nuth;2014;131;0;0;9;0;40;0;0;74;1;0;0;6;1
767;Nuth;2015;131;0;0;9;0;39;0;0;74;1;0;0;7;1
768;Oegstgeest;2013;44;2;0;2;0;21;0;0;3;1;0;0;4;11
769;Oegstgeest;2014;44;2;0;2;0;21;0;0;3;1;0;0;4;11
770;Oegstgeest;2015;44;2;0;2;0;21;0;0;3;1;0;0;4;11
771;Oirschot;2013;186;3;0;26;0;93;0;1;32;3;0;0;3;25
772;Oirschot;2014;186;3;0;26;0;93;0;1;32;3;0;0;3;25
773;Oirschot;2015;186;3;0;26;0;90;0;1;35;3;0;0;3;25
774;Oisterwijk;2013;60;5;0;6;0;28;0;0;10;2;0;0;1;8
775;Oisterwijk;2014;60;5;0;6;0;28;0;0;10;2;0;0;1;8
776;Oisterwijk;2015;60;5;0;6;0;28;0;0;10;2;0;0;1;8
777;Oldambt;2013;213;5;3;21;0;91;0;0;63;7;6;2;1;14
778;Oldambt;2014;213;5;3;21;0;91;0;0;63;7;6;2;1;14
779;Oldambt;2015;213;5;3;21;0;91;0;0;63;7;6;2;1;14
780;Oldebroek;2013;45;0;0;3;0;6;0;0;16;1;0;0;5;14
781;Oldebroek;2014;44;0;0;3;0;6;0;0;16;1;0;0;5;13
782;Oldebroek;2015;44;0;0;3;0;6;0;0;16;1;0;0;5;13
783;Oldenzaal;2013;19;1;0;3;0;10;0;0;0;0;0;0;2;3
784;Oldenzaal;2014;19;1;0;3;0;10;0;0;0;0;0;0;2;3
785;Oldenzaal;2015;20;1;0;3;0;10;0;0;0;0;0;0;2;4
786;Olst-Wijhe;2013;114;0;0;14;0;36;0;0;18;7;0;1;9;29
787;Olst-Wijhe;2014;114;0;0;14;0;36;0;0;18;7;0;1;9;29
788;Olst-Wijhe;2015;114;0;0;14;0;36;0;0;18;7;0;1;9;29
789;Ommen;2013;102;1;1;3;0;28;0;0;40;5;0;0;7;17
790;Ommen;2014;102;1;1;3;0;28;0;0;40;5;0;0;7;17
791;Ommen;2015;102;1;1;3;0;28;0;0;40;5;0;0;7;17
792;Onderbanken;2013;39;1;0;4;0;4;0;0;22;1;0;0;0;7
793;Onderbanken;2014;39;1;0;4;0;4;0;0;22;1;0;0;0;7
794;Onderbanken;2015;39;1;0;4;0;4;0;0;22;1;0;0;0;7
795;Oost Gelre;2013;40;4;2;9;0;10;0;0;9;2;0;0;0;4
796;Oost Gelre;2014;40;4;2;9;0;10;0;0;9;2;0;0;0;4
797;Oost Gelre;2015;40;4;2;9;0;10;0;0;9;2;0;0;0;4
798;Oosterhout;2013;82;4;0;11;0;40;0;0;10;2;0;0;2;13
799;Oosterhout;2014;82;4;0;11;0;40;0;0;10;2;0;0;2;13
800;Oosterhout;2015;82;4;0;11;0;40;0;0;10;2;0;0;2;13
801;Ooststellingwerf;2013;46;1;0;7;6;16;0;0;8;2;3;1;0;2
802;Ooststellingwerf;2014;46;1;0;7;6;16;0;0;8;2;3;1;0;2
803;Ooststellingwerf;2015;46;1;0;7;6;16;0;0;8;2;3;1;0;2
804;Oostzaan;2013;7;0;0;1;1;4;0;1;0;0;0;0;0;0
805;Oostzaan;2014;7;0;0;1;1;4;0;1;0;0;0;0;0;0
806;Oostzaan;2015;7;0;0;1;1;4;0;1;0;0;0;0;0;0
807;Opmeer;2013;40;2;0;12;0;4;0;0;13;5;3;0;0;1
808;Opmeer;2014;40;2;0;12;0;4;0;0;13;5;3;0;0;1
809;Opmeer;2015;40;2;0;12;0;4;0;0;13;5;3;0;0;1
810;Opsterland;2013;111;7;1;15;1;38;1;1;21;1;1;2;3;19
811;Opsterland;2014;111;7;1;15;1;38;1;1;21;1;1;2;3;19
812;Opsterland;2015;111;7;1;15;1;38;1;1;21;1;1;2;3;19
813;Oss;2013;243;7;10;43;1;102;0;0;29;8;3;2;1;37
814;Oss;2014;243;7;10;43;1;102;0;0;29;8;3;2;1;37
815;Oss;2015;243;7;9;44;1;102;0;0;29;8;3;2;1;37
816;Oud-Beijerland;2013;28;2;0;3;0;19;0;0;3;0;1;0;0;0
817;Oud-Beijerland;2014;28;2;0;3;0;19;0;0;3;0;1;0;0;0
818;Oud-Beijerland;2015;28;2;0;3;0;19;0;0;3;0;1;0;0;0
819;Oude IJsselstreek;2013;79;1;0;16;0;23;0;0;10;7;0;0;6;16
820;Oude IJsselstreek;2014;79;1;0;16;0;23;0;0;10;7;0;0;6;16
821;Oude IJsselstreek;2015;79;1;0;16;0;23;0;0;10;7;0;0;6;16
822;Ouder-Amstel;2013;36;0;0;4;0;13;0;1;12;1;1;0;0;4
823;Ouder-Amstel;2014;36;0;0;4;0;13;0;1;12;1;1;0;0;4
824;Ouder-Amstel;2015;36;0;0;4;0;13;0;1;12;1;1;0;0;4
825;Oudewater;2013;161;3;1;10;0;100;0;0;33;0;7;0;1;6
826;Oudewater;2014;161;3;1;10;0;100;0;0;33;0;7;0;1;6
827;Oudewater;2015;161;3;1;10;0;100;0;0;33;0;7;0;1;6
828;Overbetuwe;2013;101;0;0;22;1;16;0;0;32;2;2;0;4;22
829;Overbetuwe;2014;101;0;0;22;1;16;0;0;32;2;2;0;4;22
830;Overbetuwe;2015;101;0;0;22;1;16;0;0;32;2;2;0;4;22
831;Papendrecht;2013;1;0;0;0;1;0;0;0;0;0;0;0;0;0
832;Papendrecht;2014;1;0;0;0;1;0;0;0;0;0;0;0;0;0
833;Papendrecht;2015;1;0;0;0;1;0;0;0;0;0;0;0;0;0
834;Peel en Maas;2013;59;0;7;11;2;16;0;0;2;2;2;0;3;14
835;Peel en Maas;2014;59;0;7;11;2;16;0;0;2;2;2;0;3;14
836;Peel en Maas;2015;59;0;7;11;2;16;0;0;2;2;2;0;3;14
837;Pekela;2013;29;3;0;3;1;14;0;0;4;2;2;0;0;0
838;Pekela;2014;29;3;0;3;1;14;0;0;4;2;2;0;0;0
839;Pekela;2015;29;3;0;3;1;14;0;0;4;2;2;0;0;0
840;Pijnacker-Nootdorp;2013;21;0;0;7;0;2;0;0;9;2;0;0;0;1
841;Pijnacker-Nootdorp;2014;21;0;0;7;0;2;0;0;9;2;0;0;0;1
842;Pijnacker-Nootdorp;2015;22;0;0;7;0;2;0;0;9;2;0;0;0;2
843;Purmerend;2013;30;1;0;3;0;24;0;1;0;0;0;0;0;1
844;Purmerend;2014;30;1;0;3;0;24;0;1;0;0;0;0;0;1
845;Purmerend;2015;30;1;0;3;0;24;0;1;0;0;0;0;0;1
846;Putten;2013;65;0;0;2;0;11;0;0;33;1;1;0;5;12
847;Putten;2014;65;0;0;2;0;11;0;0;33;1;1;0;5;12
848;Putten;2015;65;0;0;2;0;11;0;0;33;1;1;0;5;12
849;Raalte;2013;98;1;0;9;0;21;0;0;18;0;1;1;7;40
850;Raalte;2014;98;1;0;9;0;21;0;0;18;0;1;1;7;40
851;Raalte;2015;98;1;0;9;0;21;0;0;18;0;1;1;7;40
852;Reimerswaal;2013;29;3;0;5;1;5;0;0;8;4;3;0;0;0
853;Reimerswaal;2014;29;3;0;5;1;5;0;0;8;4;3;0;0;0
854;Reimerswaal;2015;29;3;0;5;1;5;0;0;8;4;3;0;0;0
855;Renkum;2013;50;1;0;4;0;20;0;0;1;1;0;0;7;16
856;Renkum;2014;50;1;0;4;0;20;0;0;1;1;0;0;7;16
857;Renkum;2015;50;1;0;4;0;20;0;0;1;1;0;0;7;16
858;Renswoude;2013;52;0;19;2;0;12;0;0;3;0;0;0;1;15
859;Renswoude;2014;52;0;19;2;0;12;0;0;3;0;0;0;1;15
860;Renswoude;2015;52;0;19;2;0;12;0;0;3;0;0;0;1;15
861;Reusel-De Mierden;2013;14;0;0;6;0;5;0;0;3;0;0;0;0;0
862;Reusel-De Mierden;2014;14;0;0;6;0;5;0;0;3;0;0;0;0;0
863;Reusel-De Mierden;2015;14;0;0;6;0;5;0;0;3;0;0;0;0;0
864;Rheden;2013;212;8;0;9;0;76;0;1;20;1;2;2;9;84
865;Rheden;2014;213;8;0;9;0;76;0;1;20;1;2;2;9;85
866;Rheden;2015;213;8;0;9;0;76;0;1;20;1;3;2;9;84
867;Rhenen;2013;54;3;8;3;0;13;0;0;8;2;3;0;2;12
868;Rhenen;2014;54;3;8;3;0;13;0;0;8;2;3;0;2;12
869;Rhenen;2015;54;3;8;3;0;13;0;0;8;2;3;0;2;12
870;Ridderkerk;2013;57;0;0;3;0;26;1;0;15;1;0;0;1;10
871;Ridderkerk;2014;57;0;0;3;0;26;1;0;15;1;0;0;1;10
872;Ridderkerk;2015;57;0;0;3;0;26;1;0;15;1;0;0;1;10
873;Rijnwaarden;2013;20;1;1;3;0;8;0;0;4;1;1;0;1;0
874;Rijnwaarden;2014;20;1;1;3;0;8;0;0;4;1;1;0;1;0
875;Rijnwaarden;2015;20;1;1;3;0;8;0;0;4;1;1;0;1;0
876;Rijssen-Holten;2013;29;2;0;4;0;7;0;0;3;2;0;0;1;10
877;Rijssen-Holten;2014;29;2;0;4;0;7;0;0;3;2;0;0;1;10
878;Rijssen-Holten;2015;29;2;0;4;0;7;0;0;3;2;0;0;1;10
879;Rijswijk (ZH.);2013;88;3;0;3;0;37;0;0;16;1;2;0;8;18
880;Rijswijk (ZH.);2014;88;3;0;3;0;37;0;0;16;1;2;0;8;18
881;Rijswijk (ZH.);2015;88;3;0;3;0;37;0;0;16;1;2;0;8;18
882;Roerdalen;2013;47;1;0;11;2;8;0;0;9;2;0;0;6;8
883;Roerdalen;2014;47;1;0;11;2;8;0;0;9;2;0;0;6;8
884;Roerdalen;2015;47;1;0;11;2;8;0;0;9;2;0;0;6;8
885;Roermond;2013;288;10;8;26;6;162;1;0;18;1;3;3;7;43
886;Roermond;2014;288;10;8;26;6;162;1;0;18;1;3;3;7;43
887;Roermond;2015;287;10;7;26;6;162;1;0;18;1;3;3;7;43
888;De Ronde Venen;2013;169;11;14;15;0;50;0;0;46;6;4;5;4;14
889;De Ronde Venen;2014;169;11;14;15;0;50;0;0;46;6;4;5;4;14
890;De Ronde Venen;2015;170;11;14;15;0;50;0;0;47;6;4;5;4;14
891;Roosendaal;2013;92;3;0;20;0;55;0;0;5;4;0;0;1;4
892;Roosendaal;2014;92;3;0;20;0;55;0;0;5;4;0;0;1;4
893;Roosendaal;2015;92;3;0;20;0;55;0;0;5;4;0;0;1;4
894;Rotterdam;2013;565;47;3;23;0;349;0;3;19;11;39;0;4;67
895;Rotterdam;2014;609;47;3;23;0;392;0;3;19;11;39;0;5;67
896;Rotterdam;2015;611;47;3;23;0;394;0;3;19;11;39;0;5;67
897;Rozendaal;2013;44;2;0;1;0;20;0;0;4;1;0;0;2;14
898;Rozendaal;2014;44;2;0;1;0;20;0;0;4;1;0;0;2;14
899;Rozendaal;2015;44;2;0;1;0;20;0;0;4;1;0;0;2;14
900;Rucphen;2013;23;0;0;8;0;2;0;0;8;2;0;0;1;2
901;Rucphen;2014;23;0;0;8;0;2;0;0;8;2;0;0;1;2
902;Rucphen;2015;23;0;0;8;0;2;0;0;8;2;0;0;1;2
903;Schagen;2013;86;5;0;18;0;18;0;1;19;16;0;1;2;6
904;Schagen;2014;86;5;1;18;0;17;0;1;19;16;0;1;2;6
905;Schagen;2015;86;5;1;18;0;17;0;1;19;16;0;1;2;6
906;Scherpenzeel;2013;15;0;1;1;0;3;0;0;4;0;0;0;1;5
907;Scherpenzeel;2014;15;0;1;1;0;3;0;0;4;0;0;0;1;5
908;Scherpenzeel;2015;15;0;1;1;0;3;0;0;4;0;0;0;1;5
909;Schiedam;2013;237;3;1;16;0;192;0;5;4;6;5;0;1;4
910;Schiedam;2014;236;3;1;16;0;191;0;5;4;6;5;0;1;4
911;Schiedam;2015;236;3;1;16;0;191;0;5;4;6;5;0;1;4
912;Schiermonnikoog;2013;30;0;0;1;0;27;0;0;0;0;2;0;0;0
913;Schiermonnikoog;2014;30;0;0;1;0;27;0;0;0;0;2;0;0;0
914;Schiermonnikoog;2015;30;0;0;1;0;27;0;0;0;0;2;0;0;0
915;Schijndel;2013;30;0;0;5;0;8;0;0;9;2;0;0;0;6
916;Schijndel;2014;30;0;0;5;0;8;0;0;9;2;0;0;0;6
917;Schijndel;2015;30;0;0;5;0;8;0;0;9;2;0;0;0;6
918;Schinnen;2013;78;0;0;11;0;19;1;0;23;3;0;0;2;19
919;Schinnen;2014;78;0;0;11;0;18;1;0;24;3;0;0;2;19
920;Schinnen;2015;78;0;0;11;0;18;1;0;24;3;0;0;2;19
921;Schouwen-Duiveland;2013;817;7;10;27;2;686;4;5;30;11;6;0;5;24
922;Schouwen-Duiveland;2014;817;7;9;27;2;687;4;5;29;11;6;0;5;25
923;Schouwen-Duiveland;2015;816;7;9;27;2;687;4;5;28;11;6;0;5;25
924;Simpelveld;2013;48;0;0;8;1;9;0;0;26;2;0;0;1;1
925;Simpelveld;2014;48;0;0;8;1;9;0;0;26;2;0;0;1;1
926;Simpelveld;2015;48;0;0;8;1;9;0;0;26;2;0;0;1;1
927;Sint Anthonis;2013;81;0;39;6;0;4;0;0;14;3;9;0;1;5
928;Sint Anthonis;2014;81;0;39;6;0;4;0;0;14;3;9;0;1;5
929;Sint Anthonis;2015;82;0;39;6;0;4;0;0;14;3;10;0;1;5
930;Sint-Michielsgestel;2013;119;2;1;9;0;30;0;1;48;3;1;0;8;16
931;Sint-Michielsgestel;2014;119;2;1;9;0;30;0;1;48;3;1;0;8;16
932;Sint-Michielsgestel;2015;119;2;1;9;0;30;0;1;48;3;1;0;8;16
933;Sint-Oedenrode;2013;42;2;0;10;0;12;0;1;8;1;0;0;1;7
934;Sint-Oedenrode;2014;42;2;0;10;0;12;0;1;8;1;0;0;1;7
935;Sint-Oedenrode;2015;42;2;0;10;0;12;0;1;8;1;0;0;1;7
936;Sittard-Geleen;2013;255;7;1;43;2;135;0;0;27;8;3;1;9;19
937;Sittard-Geleen;2014;255;7;1;43;2;135;0;0;27;8;3;1;9;19
938;Sittard-Geleen;2015;255;7;1;43;2;135;0;0;27;8;3;1;9;19
939;Sliedrecht;2013;8;2;0;1;0;4;0;0;1;0;0;0;0;0
940;Sliedrecht;2014;8;2;0;1;0;4;0;0;1;0;0;0;0;0
941;Sliedrecht;2015;8;2;0;1;0;4;0;0;1;0;0;0;0;0
942;Slochteren;2013;74;1;0;9;0;19;0;0;20;6;2;0;1;16
943;Slochteren;2014;74;1;0;9;0;19;0;0;20;6;2;0;1;16
944;Slochteren;2015;74;1;0;9;0;19;0;0;20;6;2;0;1;16
945;Sluis;2013;212;5;61;15;0;96;0;0;14;10;2;0;0;9
946;Sluis;2014;209;5;59;15;0;94;0;1;14;10;2;0;0;9
947;Sluis;2015;209;5;59;15;0;94;0;1;14;10;2;0;0;9
948;Smallingerland;2013;70;3;0;13;3;18;0;0;21;5;1;1;1;4
949;Smallingerland;2014;70;3;0;13;3;18;0;0;21;5;1;1;1;4
950;Smallingerland;2015;70;3;0;13;3;18;0;0;21;5;1;1;1;4
951;Soest;2013;38;5;0;3;0;14;0;1;7;0;0;1;2;5
952;Soest;2014;38;5;0;3;0;14;0;1;7;0;0;1;2;5
953;Soest;2015;38;5;0;3;0;14;0;1;7;0;0;1;2;5
954;Someren;2013;14;1;0;2;1;1;0;0;6;2;0;0;0;1
955;Someren;2014;14;1;0;2;1;1;0;0;6;2;0;0;0;1
956;Someren;2015;14;1;0;2;1;1;0;0;6;2;0;0;0;1
957;Son en Breugel;2013;6;1;0;3;0;0;0;0;1;0;0;0;0;1
958;Son en Breugel;2014;6;1;0;3;0;0;0;0;1;0;0;0;0;1
959;Son en Breugel;2015;6;1;0;3;0;0;0;0;1;0;0;0;0;1
960;Stadskanaal;2013;71;2;0;4;1;34;0;0;20;0;7;0;0;3
961;Stadskanaal;2014;71;2;0;4;1;34;0;0;20;0;7;0;0;3
962;Stadskanaal;2015;71;2;0;4;1;34;0;0;20;0;7;0;0;3
963;Staphorst;2013;307;0;0;6;1;4;0;0;292;2;0;0;0;2
964;Staphorst;2014;307;0;0;6;1;4;0;0;292;2;0;0;0;2
965;Staphorst;2015;304;0;0;6;1;4;0;0;290;2;0;0;0;1
966;Stede Broec;2013;12;0;0;5;0;2;0;1;1;1;2;0;0;0
967;Stede Broec;2014;12;0;0;5;0;2;0;1;1;1;2;0;0;0
968;Stede Broec;2015;12;0;0;5;0;2;0;1;1;1;2;0;0;0
969;Steenbergen;2013;43;1;1;5;0;18;1;0;11;3;2;0;1;0
970;Steenbergen;2014;43;1;1;5;0;18;1;0;11;3;2;0;1;0
971;Steenbergen;2015;43;1;1;5;0;18;1;0;11;3;2;0;1;0
972;Steenwijkerland;2013;274;5;3;26;1;157;0;1;47;2;4;0;8;20
973;Steenwijkerland;2014;274;5;3;26;1;157;0;1;47;2;4;0;8;20
974;Steenwijkerland;2015;274;5;3;26;1;157;0;1;47;2;4;0;8;20
975;Stein (L.);2013;65;2;1;8;2;25;1;0;13;2;1;0;1;9
976;Stein (L.);2014;65;2;1;8;2;25;1;0;13;2;1;0;1;9
977;Stein (L.);2015;65;2;1;8;2;25;1;0;13;2;1;0;1;9
978;Stichtse Vecht;2013;806;26;51;21;0;378;0;1;66;12;18;2;43;188
979;Stichtse Vecht;2014;793;23;46;21;0;376;0;1;66;12;15;2;43;188
980;Stichtse Vecht;2015;797;23;50;21;0;376;0;1;66;12;15;2;43;188
981;Strijen;2013;13;1;0;3;0;1;0;0;5;0;3;0;0;0
982;Strijen;2014;13;1;0;3;0;1;0;0;5;0;3;0;0;0
983;Strijen;2015;13;1;0;3;0;1;0;0;5;0;3;0;0;0
984;Súdwest-Fryslân;2013;672;19;26;88;10;388;3;10;37;31;19;4;1;36
985;Súdwest-Fryslân;2014;672;19;26;88;10;388;3;10;37;31;19;4;1;36
986;Súdwest-Fryslân;2015;672;19;26;87;10;388;3;10;37;31;20;4;1;36
987;Terneuzen;2013;73;5;1;7;1;24;0;0;18;7;3;0;0;7
988;Terneuzen;2014;73;5;1;7;1;24;0;0;18;7;3;0;0;7
989;Terneuzen;2015;73;5;1;7;1;23;0;0;19;7;3;0;0;7
990;Terschelling;2013;106;0;0;5;0;62;0;0;34;1;1;0;0;3
991;Terschelling;2014;106;0;0;5;0;62;0;0;34;1;1;0;0;3
992;Terschelling;2015;106;0;0;5;0;62;0;0;34;1;1;0;0;3
993;Texel;2013;193;0;7;9;1;111;1;0;55;2;5;1;0;1
994;Texel;2014;193;0;7;9;1;111;1;0;55;2;5;1;0;1
995;Texel;2015;193;0;7;9;1;111;1;0;55;2;5;1;0;1
996;Teylingen;2013;105;2;0;10;0;24;0;0;23;10;1;0;9;26
997;Teylingen;2014;105;2;0;10;0;24;0;0;23;10;1;0;9;26
998;Teylingen;2015;105;2;0;10;0;24;0;0;23;10;1;0;9;26
999;Tholen;2013;150;6;14;15;0;73;0;0;19;11;5;0;2;5
1000;Tholen;2014;149;6;13;15;0;73;0;0;19;11;5;0;2;5
1001;Tholen;2015;149;6;13;15;0;73;0;0;19;11;5;0;2;5
1002;Tiel;2013;91;2;3;11;0;45;0;2;20;0;0;0;0;8
1003;Tiel;2014;91;2;3;11;0;45;0;2;20;0;0;0;0;8
1004;Tiel;2015;93;2;3;11;0;45;0;2;21;1;0;0;0;8
1005;Tilburg;2013;325;17;2;47;0;162;1;2;26;1;3;5;2;57
1006;Tilburg;2014;325;17;2;47;0;162;1;2;26;1;3;5;2;57
1007;Tilburg;2015;328;19;2;48;0;163;1;2;25;1;3;5;2;57
1008;Tubbergen;2013;59;1;0;3;0;3;0;0;36;7;2;0;1;6
1009;Tubbergen;2014;59;1;0;3;0;3;0;0;36;7;2;0;1;6
1010;Tubbergen;2015;59;1;0;3;0;3;0;0;36;7;2;0;1;6
1011;Twenterand;2013;25;0;0;2;1;5;0;0;15;1;0;0;0;1
1012;Twenterand;2014;25;0;0;2;1;5;0;0;15;1;0;0;0;1
