ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
1210;Huizen;Meerpers. huishouden met minderj. kind.;5.4;40.9
1211;Huizen;Meerpers. huishouden z. minderj. kind.;6.6;40.4
1212;Niedorp;Totaal particulier huishouden;4.4;34.0
1213;Niedorp;Eenpersoonshuishouden;0.9;18.1
1214;Niedorp;Meerpers. huishouden met minderj. kind.;1.5;38.9
1215;Niedorp;Meerpers. huishouden z. minderj. kind.;2.0;37.2
1216;Landsmeer;Totaal particulier huishouden;4.2;35.2
1217;Landsmeer;Eenpersoonshuishouden;1.1;20.0
1218;Landsmeer;Meerpers. huishouden met minderj. kind.;1.3;40.9
1219;Landsmeer;Meerpers. huishouden z. minderj. kind.;1.8;40.2
1220;Langedijk;Totaal particulier huishouden;9.4;33.9
1221;Langedijk;Eenpersoonshuishouden;2.2;18.3
1222;Langedijk;Meerpers. huishouden met minderj. kind.;3.3;39.7
1223;Langedijk;Meerpers. huishouden z. minderj. kind.;4.0;37.8
1224;Laren (NH.);Totaal particulier huishouden;4.6;39.6
1225;Laren (NH.);Eenpersoonshuishouden;1.6;24.0
1226;Laren (NH.);Meerpers. huishouden met minderj. kind.;1.1;48.0
1227;Laren (NH.);Meerpers. huishouden z. minderj. kind.;2.0;47.6
1228;Medemblik;Totaal particulier huishouden;3.3;30.0
1229;Medemblik;Eenpersoonshuishouden;1.0;18.0
1230;Medemblik;Meerpers. huishouden met minderj. kind.;1.0;34.6
1231;Medemblik;Meerpers. huishouden z. minderj. kind.;1.4;35.4
1232;Muiden;Totaal particulier huishouden;2.8;36.9
1233;Muiden;Eenpersoonshuishouden;0.8;21.4
1234;Muiden;Meerpers. huishouden met minderj. kind.;0.8;44.2
1235;Muiden;Meerpers. huishouden z. minderj. kind.;1.2;42.1
1236;Naarden;Totaal particulier huishouden;7.1;40.6
1237;Naarden;Eenpersoonshuishouden;2.3;23.8
1238;Naarden;Meerpers. huishouden met minderj. kind.;2.1;51.4
1239;Naarden;Meerpers. huishouden z. minderj. kind.;2.7;46.6
1240;Obdam;Totaal particulier huishouden;2.5;34.3
1241;Obdam;Eenpersoonshuishouden;0.5;18.3
1242;Obdam;Meerpers. huishouden met minderj. kind.;0.8;41.9
1243;Obdam;Meerpers. huishouden z. minderj. kind.;1.1;36.1
1244;Oostzaan;Totaal particulier huishouden;3.6;35.3
1245;Oostzaan;Eenpersoonshuishouden;0.8;20.4
1246;Oostzaan;Meerpers. huishouden met minderj. kind.;1.2;41.6
1247;Oostzaan;Meerpers. huishouden z. minderj. kind.;1.6;38.4
1248;Opmeer;Totaal particulier huishouden;4.2;32.3
1249;Opmeer;Eenpersoonshuishouden;1.0;19.0
1250;Opmeer;Meerpers. huishouden met minderj. kind.;1.4;36.9
1251;Opmeer;Meerpers. huishouden z. minderj. kind.;1.8;35.9
1252;Ouder-Amstel;Totaal particulier huishouden;5.5;37.5
1253;Ouder-Amstel;Eenpersoonshuishouden;1.8;21.7
1254;Ouder-Amstel;Meerpers. huishouden met minderj. kind.;1.6;47.5
1255;Ouder-Amstel;Meerpers. huishouden z. minderj. kind.;2.1;43.6
1256;Purmerend;Totaal particulier huishouden;31.4;30.4
1257;Purmerend;Eenpersoonshuishouden;9.5;17.7
1258;Purmerend;Meerpers. huishouden met minderj. kind.;9.8;35.9
1259;Purmerend;Meerpers. huishouden z. minderj. kind.;12.1;35.8
1260;Schagen;Totaal particulier huishouden;7.4;30.6
1261;Schagen;Eenpersoonshuishouden;2.1;18.0
1262;Schagen;Meerpers. huishouden met minderj. kind.;1.9;36.2
1263;Schagen;Meerpers. huishouden z. minderj. kind.;3.3;35.4
1264;Texel;Totaal particulier huishouden;5.7;27.5
1265;Texel;Eenpersoonshuishouden;1.8;16.4
1266;Texel;Meerpers. huishouden met minderj. kind.;1.6;32.9
1267;Texel;Meerpers. huishouden z. minderj. kind.;2.3;32.6
1268;Uitgeest;Totaal particulier huishouden;4.5;35.3
1269;Uitgeest;Eenpersoonshuishouden;1.1;20.2
1270;Uitgeest;Meerpers. huishouden met minderj. kind.;1.5;41.0
1271;Uitgeest;Meerpers. huishouden z. minderj. kind.;1.9;39.7
1272;Uithoorn;Totaal particulier huishouden;11.2;35.5
1273;Uithoorn;Eenpersoonshuishouden;3.2;20.7
1274;Uithoorn;Meerpers. huishouden met minderj. kind.;3.3;41.4
1275;Uithoorn;Meerpers. huishouden z. minderj. kind.;4.7;41.4
1276;Velsen;Totaal particulier huishouden;28.4;31.5
1277;Velsen;Eenpersoonshuishouden;9.1;19.4
1278;Velsen;Meerpers. huishouden met minderj. kind.;8.2;38.1
1279;Velsen;Meerpers. huishouden z. minderj. kind.;11.1;36.6
1280;Venhuizen;Totaal particulier huishouden;2.9;34.0
1281;Venhuizen;Eenpersoonshuishouden;0.7;18.0
1282;Venhuizen;Meerpers. huishouden met minderj. kind.;1.0;39.4
1283;Venhuizen;Meerpers. huishouden z. minderj. kind.;1.3;38.2
1284;Weesp;Totaal particulier huishouden;8.1;31.1
1285;Weesp;Eenpersoonshuishouden;3.1;19.5
1286;Weesp;Meerpers. huishouden met minderj. kind.;2.0;39.0
1287;Weesp;Meerpers. huishouden z. minderj. kind.;3.0;37.7
1288;Schermer;Totaal particulier huishouden;1.9;33.3
1289;Schermer;Eenpersoonshuishouden;0.5;18.6
1290;Schermer;Meerpers. huishouden met minderj. kind.;0.6;39.3
1291;Schermer;Meerpers. huishouden z. minderj. kind.;0.8;37.1
1292;Wervershoof;Totaal particulier huishouden;3.2;31.1
1293;Wervershoof;Eenpersoonshuishouden;0.8;17.7
1294;Wervershoof;Meerpers. huishouden met minderj. kind.;1.0;36.4
1295;Wervershoof;Meerpers. huishouden z. minderj. kind.;1.3;35.2
1296;Wieringen;Totaal particulier huishouden;3.5;30.7
1297;Wieringen;Eenpersoonshuishouden;1.0;17.1
1298;Wieringen;Meerpers. huishouden met minderj. kind.;1.0;37.2
1299;Wieringen;Meerpers. huishouden z. minderj. kind.;1.5;35.3
1300;Wieringermeer;Totaal particulier huishouden;5.0;29.6
1301;Wieringermeer;Eenpersoonshuishouden;1.2;17.5
1302;Wieringermeer;Meerpers. huishouden met minderj. kind.;1.6;34.6
1303;Wieringermeer;Meerpers. huishouden z. minderj. kind.;2.2;32.7
1304;Wognum;Totaal particulier huishouden;2.9;34.1
1305;Wognum;Eenpersoonshuishouden;0.6;17.0
1306;Wognum;Meerpers. huishouden met minderj. kind.;1.0;39.2
1307;Wognum;Meerpers. huishouden z. minderj. kind.;1.2;38.3
1308;Zandvoort;Totaal particulier huishouden;7.9;30.8
1309;Zandvoort;Eenpersoonshuishouden;3.2;19.5
1310;Zandvoort;Meerpers. huishouden met minderj. kind.;1.6;37.7
1311;Zandvoort;Meerpers. huishouden z. minderj. kind.;3.0;39.2
1312;Zijpe;Totaal particulier huishouden;4.5;30.4
1313;Zijpe;Eenpersoonshuishouden;1.2;16.0
1314;Zijpe;Meerpers. huishouden met minderj. kind.;1.3;35.3
1315;Zijpe;Meerpers. huishouden z. minderj. kind.;2.1;35.3
1316;Zeevang;Totaal particulier huishouden;2.4;35.8
1317;Zeevang;Eenpersoonshuishouden;0.5;19.0
1318;Zeevang;Meerpers. huishouden met minderj. kind.;0.8;39.6
1319;Zeevang;Meerpers. huishouden z. minderj. kind.;1.2;39.9
1320;Zaanstad;Totaal particulier huishouden;59.4;30.2
1321;Zaanstad;Eenpersoonshuishouden;18.8;18.2
1322;Zaanstad;Meerpers. huishouden met minderj. kind.;16.9;36.1
1323;Zaanstad;Meerpers. huishouden z. minderj. kind.;23.7;35.7
1324;Ter Aar;Totaal particulier huishouden;3.2;36.0
1325;Ter Aar;Eenpersoonshuishouden;0.6;18.8
1326;Ter Aar;Meerpers. huishouden met minderj. kind.;1.2;42.2
1327;Ter Aar;Meerpers. huishouden z. minderj. kind.;1.4;37.8
1328;Alblasserdam;Totaal particulier huishouden;7.2;30.7
1329;Alblasserdam;Eenpersoonshuishouden;1.9;16.6
1330;Alblasserdam;Meerpers. huishouden met minderj. kind.;2.3;37.6
1331;Alblasserdam;Meerpers. huishouden z. minderj. kind.;3.0;34.3
1332;Alkemade;Totaal particulier huishouden;5.4;35.0
1333;Alkemade;Eenpersoonshuishouden;1.3;20.6
1334;Alkemade;Meerpers. huishouden met minderj. kind.;1.8;42.2
1335;Alkemade;Meerpers. huishouden z. minderj. kind.;2.3;37.5
1336;Alphen aan den Rijn;Totaal particulier huishouden;28.4;33.3
1337;Alphen aan den Rijn;Eenpersoonshuishouden;8.3;19.3
1338;Alphen aan den Rijn;Meerpers. huishouden met minderj. kind.;8.7;39.3
1339;Alphen aan den Rijn;Meerpers. huishouden z. minderj. kind.;11.4;38.7
1340;Barendrecht;Totaal particulier huishouden;13.8;35.8
1341;Barendrecht;Eenpersoonshuishouden;2.9;19.6
1342;Barendrecht;Meerpers. huishouden met minderj. kind.;5.1;40.5
1343;Barendrecht;Meerpers. huishouden z. minderj. kind.;5.8;39.7
1344;Bergambacht;Totaal particulier huishouden;3.5;33.9
1345;Bergambacht;Eenpersoonshuishouden;0.8;18.5
1346;Bergambacht;Meerpers. huishouden met minderj. kind.;1.1;38.5
1347;Bergambacht;Meerpers. huishouden z. minderj. kind.;1.6;38.3
1348;Bergschenhoek;Totaal particulier huishouden;5.5;39.1
1349;Bergschenhoek;Eenpersoonshuishouden;1.0;20.1
1350;Bergschenhoek;Meerpers. huishouden met minderj. kind.;2.4;44.5
1351;Bergschenhoek;Meerpers. huishouden z. minderj. kind.;2.1;41.7
1352;Berkel en Rodenrijs;Totaal particulier huishouden;6.5;36.3
1353;Berkel en Rodenrijs;Eenpersoonshuishouden;1.5;19.8
1354;Berkel en Rodenrijs;Meerpers. huishouden met minderj. kind.;2.2;43.5
1355;Berkel en Rodenrijs;Meerpers. huishouden z. minderj. kind.;2.8;39.7
1356;Bleiswijk;Totaal particulier huishouden;3.8;36.5
1357;Bleiswijk;Eenpersoonshuishouden;0.7;21.2
1358;Bleiswijk;Meerpers. huishouden met minderj. kind.;1.4;40.1
1359;Bleiswijk;Meerpers. huishouden z. minderj. kind.;1.6;40.0
1360;Bodegraven;Totaal particulier huishouden;7.3;34.8
1361;Bodegraven;Eenpersoonshuishouden;1.7;18.7
1362;Bodegraven;Meerpers. huishouden met minderj. kind.;2.5;40.1
1363;Bodegraven;Meerpers. huishouden z. minderj. kind.;3.0;39.7
1364;Drechterland;Totaal particulier huishouden;3.7;34.7
1365;Drechterland;Eenpersoonshuishouden;0.8;18.1
1366;Drechterland;Meerpers. huishouden met minderj. kind.;1.3;42.1
1367;Drechterland;Meerpers. huishouden z. minderj. kind.;1.6;37.5
1368;Boskoop;Totaal particulier huishouden;5.9;33.9
1369;Boskoop;Eenpersoonshuishouden;1.5;17.2
1370;Boskoop;Meerpers. huishouden met minderj. kind.;1.8;40.2
1371;Boskoop;Meerpers. huishouden z. minderj. kind.;2.6;39.0
1372;Brielle;Totaal particulier huishouden;6.6;33.6
1373;Brielle;Eenpersoonshuishouden;1.7;20.0
1374;Brielle;Meerpers. huishouden met minderj. kind.;1.9;39.1
1375;Brielle;Meerpers. huishouden z. minderj. kind.;3.0;38.0
1376;Capelle aan den IJssel;Totaal particulier huishouden;28.1;31.7
1377;Capelle aan den IJssel;Eenpersoonshuishouden;9.4;19.8
1378;Capelle aan den IJssel;Meerpers. huishouden met minderj. kind.;7.8;38.0
1379;Capelle aan den IJssel;Meerpers. huishouden z. minderj. kind.;10.9;37.6
1380;Delft;Totaal particulier huishouden;41.0;28.6
1381;Delft;Eenpersoonshuishouden;17.4;18.8
1382;Delft;Meerpers. huishouden met minderj. kind.;9.4;36.0
1383;Delft;Meerpers. huishouden z. minderj. kind.;14.3;35.5
1384;Dirksland;Totaal particulier huishouden;3.1;32.9
1385;Dirksland;Eenpersoonshuishouden;0.8;21.2
1386;Dirksland;Meerpers. huishouden met minderj. kind.;1.0;38.5
1387;Dirksland;Meerpers. huishouden z. minderj. kind.;1.4;35.4
1388;Dordrecht;Totaal particulier huishouden;51.6;28.6
1389;Dordrecht;Eenpersoonshuishouden;18.0;17.4
1390;Dordrecht;Meerpers. huishouden met minderj. kind.;14.7;34.3
1391;Dordrecht;Meerpers. huishouden z. minderj. kind.;19.0;34.8
1392;Goedereede;Totaal particulier huishouden;4.3;33.5
1393;Goedereede;Eenpersoonshuishouden;0.9;18.3
1394;Goedereede;Meerpers. huishouden met minderj. kind.;1.4;37.4
1395;Goedereede;Meerpers. huishouden z. minderj. kind.;2.1;37.2
1396;Gorinchem;Totaal particulier huishouden;14.6;29.8
1397;Gorinchem;Eenpersoonshuishouden;5.0;18.1
1398;Gorinchem;Meerpers. huishouden met minderj. kind.;4.0;37.2
1399;Gorinchem;Meerpers. huishouden z. minderj. kind.;5.6;34.9
1400;Gouda;Totaal particulier huishouden;29.9;30.9
1401;Gouda;Eenpersoonshuishouden;10.1;18.5
1402;Gouda;Meerpers. huishouden met minderj. kind.;8.6;38.8
1403;Gouda;Meerpers. huishouden z. minderj. kind.;11.2;36.2
1404;'s-Gravendeel;Totaal particulier huishouden;3.6;32.2
1405;'s-Gravendeel;Eenpersoonshuishouden;0.9;18.3
1406;'s-Gravendeel;Meerpers. huishouden met minderj. kind.;1.0;38.8
1407;'s-Gravendeel;Meerpers. huishouden z. minderj. kind.;1.7;35.1
1408;'s-Gravenhage (gemeente);Totaal particulier huishouden;216.8;27.8
1409;'s-Gravenhage (gemeente);Eenpersoonshuishouden;100.3;19.3
1410;'s-Gravenhage (gemeente);Meerpers. huishouden met minderj. kind.;51.8;33.8
1411;'s-Gravenhage (gemeente);Meerpers. huishouden z. minderj. kind.;64.6;36.2
1412;'s-Gravenzande;Totaal particulier huishouden;7.4;34.4
1413;'s-Gravenzande;Eenpersoonshuishouden;1.6;18.9
1414;'s-Gravenzande;Meerpers. huishouden met minderj. kind.;2.5;40.0
1415;'s-Gravenzande;Meerpers. huishouden z. minderj. kind.;3.3;37.9
1416;Hardinxveld-Giessendam;Totaal particulier huishouden;6.4;33.4
1417;Hardinxveld-Giessendam;Eenpersoonshuishouden;1.4;17.5
1418;Hardinxveld-Giessendam;Meerpers. huishouden met minderj. kind.;2.2;39.5
1419;Hardinxveld-Giessendam;Meerpers. huishouden z. minderj. kind.;2.7;36.7
1420;Noorder-Koggenland;Totaal particulier huishouden;4.1;34.1
1421;Noorder-Koggenland;Eenpersoonshuishouden;0.9;18.8
1422;Noorder-Koggenland;Meerpers. huishouden met minderj. kind.;1.3;38.0
1423;Noorder-Koggenland;Meerpers. huishouden z. minderj. kind.;1.9;39.2
1424;Hellevoetsluis;Totaal particulier huishouden;16.1;31.6
1425;Hellevoetsluis;Eenpersoonshuishouden;4.3;18.1
1426;Hellevoetsluis;Meerpers. huishouden met minderj. kind.;5.1;36.4
1427;Hellevoetsluis;Meerpers. huishouden z. minderj. kind.;6.8;36.6
1428;Hendrik-Ido-Ambacht;Totaal particulier huishouden;8.3;34.1
1429;Hendrik-Ido-Ambacht;Eenpersoonshuishouden;1.8;20.1
1430;Hendrik-Ido-Ambacht;Meerpers. huishouden met minderj. kind.;2.8;39.1
1431;Hendrik-Ido-Ambacht;Meerpers. huishouden z. minderj. kind.;3.7;37.2
1432;Stede Broec;Totaal particulier huishouden;8.1;31.6
1433;Stede Broec;Eenpersoonshuishouden;1.8;17.0
1434;Stede Broec;Meerpers. huishouden met minderj. kind.;2.6;37.0
1435;Stede Broec;Meerpers. huishouden z. minderj. kind.;3.6;34.7
1436;Hillegom;Totaal particulier huishouden;8.5;32.4
1437;Hillegom;Eenpersoonshuishouden;2.6;18.9
1438;Hillegom;Meerpers. huishouden met minderj. kind.;2.5;39.6
1439;Hillegom;Meerpers. huishouden z. minderj. kind.;3.5;37.2
1440;Katwijk;Totaal particulier huishouden;15.5;31.6
1441;Katwijk;Eenpersoonshuishouden;4.3;18.8
1442;Katwijk;Meerpers. huishouden met minderj. kind.;5.2;38.0
1443;Katwijk;Meerpers. huishouden z. minderj. kind.;6.0;35.3
1444;Krimpen aan den IJssel;Totaal particulier huishouden;11.3;34.0
1445;Krimpen aan den IJssel;Eenpersoonshuishouden;2.7;19.1
1446;Krimpen aan den IJssel;Meerpers. huishouden met minderj. kind.;3.4;39.4
1447;Krimpen aan den IJssel;Meerpers. huishouden z. minderj. kind.;5.2;38.2
1448;Leerdam;Totaal particulier huishouden;8.0;31.1
1449;Leerdam;Eenpersoonshuishouden;2.1;17.7
1450;Leerdam;Meerpers. huishouden met minderj. kind.;2.7;36.6
1451;Leerdam;Meerpers. huishouden z. minderj. kind.;3.2;35.4
1452;Leiden;Totaal particulier huishouden;51.8;29.4
1453;Leiden;Eenpersoonshuishouden;22.9;18.9
1454;Leiden;Meerpers. huishouden met minderj. kind.;11.9;38.5
1455;Leiden;Meerpers. huishouden z. minderj. kind.;17.1;37.0
1456;Leiderdorp;Totaal particulier huishouden;11.0;35.0
1457;Leiderdorp;Eenpersoonshuishouden;3.3;20.6
1458;Leiderdorp;Meerpers. huishouden met minderj. kind.;3.3;41.7
1459;Leiderdorp;Meerpers. huishouden z. minderj. kind.;4.4;40.9
1460;De Lier;Totaal particulier huishouden;4.2;34.8
1461;De Lier;Eenpersoonshuishouden;0.9;19.0
1462;De Lier;Meerpers. huishouden met minderj. kind.;1.4;39.0
1463;De Lier;Meerpers. huishouden z. minderj. kind.;1.9;39.0
1464;Lisse;Totaal particulier huishouden;8.9;32.8
1465;Lisse;Eenpersoonshuishouden;2.5;18.1
1466;Lisse;Meerpers. huishouden met minderj. kind.;2.6;39.7
1467;Lisse;Meerpers. huishouden z. minderj. kind.;3.8;37.8
1468;Maasland;Totaal particulier huishouden;2.5;39.3
1469;Maasland;Eenpersoonshuishouden;0.5;21.8
1470;Maasland;Meerpers. huishouden met minderj. kind.;0.9;43.1
1471;Maasland;Meerpers. huishouden z. minderj. kind.;1.1;44.1
1472;Maassluis;Totaal particulier huishouden;13.6;31.4
1473;Maassluis;Eenpersoonshuishouden;4.0;19.1
1474;Maassluis;Meerpers. huishouden met minderj. kind.;3.8;36.3
1475;Maassluis;Meerpers. huishouden z. minderj. kind.;5.9;36.4
1476;Wester-Koggenland;Totaal particulier huishouden;5.2;33.4
1477;Wester-Koggenland;Eenpersoonshuishouden;1.2;18.6
1478;Wester-Koggenland;Meerpers. huishouden met minderj. kind.;1.7;38.8
1479;Wester-Koggenland;Meerpers. huishouden z. minderj. kind.;2.3;37.3
1480;Middelharnis;Totaal particulier huishouden;6.8;30.3
1481;Middelharnis;Eenpersoonshuishouden;1.8;17.8
1482;Middelharnis;Meerpers. huishouden met minderj. kind.;2.1;36.5
1483;Middelharnis;Meerpers. huishouden z. minderj. kind.;2.9;33.7
1484;Monster;Totaal particulier huishouden;8.2;32.0
1485;Monster;Eenpersoonshuishouden;2.5;17.3
1486;Monster;Meerpers. huishouden met minderj. kind.;2.5;39.4
1487;Monster;Meerpers. huishouden z. minderj. kind.;3.2;37.6
1488;Moordrecht;Totaal particulier huishouden;3.0;33.1
1489;Moordrecht;Eenpersoonshuishouden;0.7;16.3
1490;Moordrecht;Meerpers. huishouden met minderj. kind.;1.1;38.2
1491;Moordrecht;Meerpers. huishouden z. minderj. kind.;1.2;37.5
1492;Naaldwijk;Totaal particulier huishouden;10.9;34.6
1493;Naaldwijk;Eenpersoonshuishouden;2.6;18.0
1494;Naaldwijk;Meerpers. huishouden met minderj. kind.;3.5;41.8
1495;Naaldwijk;Meerpers. huishouden z. minderj. kind.;4.7;38.4
1496;Nieuwerkerk aan den IJssel;Totaal particulier huishouden;8.5;36.2
1497;Nieuwerkerk aan den IJssel;Eenpersoonshuishouden;2.0;19.1
1498;Nieuwerkerk aan den IJssel;Meerpers. huishouden met minderj. kind.;3.1;41.3
1499;Nieuwerkerk aan den IJssel;Meerpers. huishouden z. minderj. kind.;3.4;41.2
1500;Bernisse;Totaal particulier huishouden;5.0;34.3
1501;Bernisse;Eenpersoonshuishouden;1.1;18.3
1502;Bernisse;Meerpers. huishouden met minderj. kind.;1.5;40.2
1503;Bernisse;Meerpers. huishouden z. minderj. kind.;2.4;37.5
1504;Nieuwkoop;Totaal particulier huishouden;4.2;35.2
1505;Nieuwkoop;Eenpersoonshuishouden;1.0;19.5
1506;Nieuwkoop;Meerpers. huishouden met minderj. kind.;1.3;38.0
1507;Nieuwkoop;Meerpers. huishouden z. minderj. kind.;1.8;41.4
1508;Nieuw-Lekkerland;Totaal particulier huishouden;3.2;32.7
1509;Nieuw-Lekkerland;Eenpersoonshuishouden;0.6;18.2
1510;Nieuw-Lekkerland;Meerpers. huishouden met minderj. kind.;1.2;37.0
1511;Nieuw-Lekkerland;Meerpers. huishouden z. minderj. kind.;1.3;35.3
1512;Noordwijk;Totaal particulier huishouden;9.9;33.8
1513;Noordwijk;Eenpersoonshuishouden;3.3;20.1
1514;Noordwijk;Meerpers. huishouden met minderj. kind.;2.7;42.1
1515;Noordwijk;Meerpers. huishouden z. minderj. kind.;3.9;39.5
1516;Noordwijkerhout;Totaal particulier huishouden;5.8;33.8
1517;Noordwijkerhout;Eenpersoonshuishouden;1.6;20.2
1518;Noordwijkerhout;Meerpers. huishouden met minderj. kind.;1.8;40.7
1519;Noordwijkerhout;Meerpers. huishouden z. minderj. kind.;2.3;38.0
1520;Oegstgeest;Totaal particulier huishouden;8.3;40.3
1521;Oegstgeest;Eenpersoonshuishouden;2.6;23.3
1522;Oegstgeest;Meerpers. huishouden met minderj. kind.;2.6;49.0
1523;Oegstgeest;Meerpers. huishouden z. minderj. kind.;3.1;46.8
1524;Oostflakkee;Totaal particulier huishouden;4.0;31.0
1525;Oostflakkee;Eenpersoonshuishouden;1.0;17.1
1526;Oostflakkee;Meerpers. huishouden met minderj. kind.;1.2;37.0
1527;Oostflakkee;Meerpers. huishouden z. minderj. kind.;1.8;34.4
1528;Oud-Beijerland;Totaal particulier huishouden;8.9;34.1
1529;Oud-Beijerland;Eenpersoonshuishouden;2.2;19.1
1530;Oud-Beijerland;Meerpers. huishouden met minderj. kind.;3.0;39.9
1531;Oud-Beijerland;Meerpers. huishouden z. minderj. kind.;3.7;38.2
1532;Binnenmaas;Totaal particulier huishouden;7.7;35.6
1533;Binnenmaas;Eenpersoonshuishouden;1.7;19.0
1534;Binnenmaas;Meerpers. huishouden met minderj. kind.;2.3;39.3
1535;Binnenmaas;Meerpers. huishouden z. minderj. kind.;3.8;40.7
1536;Korendijk;Totaal particulier huishouden;4.1;34.0
1537;Korendijk;Eenpersoonshuishouden;0.9;19.5
1538;Korendijk;Meerpers. huishouden met minderj. kind.;1.3;39.4
1539;Korendijk;Meerpers. huishouden z. minderj. kind.;1.9;37.5
1540;Oudewater;Totaal particulier huishouden;3.7;35.1
1541;Oudewater;Eenpersoonshuishouden;1.0;18.2
1542;Oudewater;Meerpers. huishouden met minderj. kind.;1.1;43.3
1543;Oudewater;Meerpers. huishouden z. minderj. kind.;1.5;39.9
1544;Papendrecht;Totaal particulier huishouden;12.4;32.6
1545;Papendrecht;Eenpersoonshuishouden;3.3;18.7
1546;Papendrecht;Meerpers. huishouden met minderj. kind.;3.7;38.0
1547;Papendrecht;Meerpers. huishouden z. minderj. kind.;5.4;37.3
1548;Reeuwijk;Totaal particulier huishouden;4.8;38.2
1549;Reeuwijk;Eenpersoonshuishouden;1.0;20.3
1550;Reeuwijk;Meerpers. huishouden met minderj. kind.;1.6;43.9
1551;Reeuwijk;Meerpers. huishouden z. minderj. kind.;2.2;42.7
1552;Ridderkerk;Totaal particulier huishouden;19.3;31.2
1553;Ridderkerk;Eenpersoonshuishouden;5.5;18.6
1554;Ridderkerk;Meerpers. huishouden met minderj. kind.;5.0;37.8
1555;Ridderkerk;Meerpers. huishouden z. minderj. kind.;8.8;35.3
1556;Rotterdam;Totaal particulier huishouden;279.3;25.6
1557;Rotterdam;Eenpersoonshuishouden;125.1;17.3
1558;Rotterdam;Meerpers. huishouden met minderj. kind.;67.3;31.3
1559;Rotterdam;Meerpers. huishouden z. minderj. kind.;86.9;33.1
1560;Rozenburg;Totaal particulier huishouden;5.6;31.2
1561;Rozenburg;Eenpersoonshuishouden;1.6;18.5
1562;Rozenburg;Meerpers. huishouden met minderj. kind.;1.5;35.5
1563;Rozenburg;Meerpers. huishouden z. minderj. kind.;2.5;36.6
1564;Rijnsburg;Totaal particulier huishouden;5.3;34.6
1565;Rijnsburg;Eenpersoonshuishouden;1.2;18.7
1566;Rijnsburg;Meerpers. huishouden met minderj. kind.;2.0;39.9
1567;Rijnsburg;Meerpers. huishouden z. minderj. kind.;2.1;38.5
1568;Rijswijk (ZH.);Totaal particulier huishouden;23.1;30.8
1569;Rijswijk (ZH.);Eenpersoonshuishouden;9.4;21.4
1570;Rijswijk (ZH.);Meerpers. huishouden met minderj. kind.;4.7;36.2
1571;Rijswijk (ZH.);Meerpers. huishouden z. minderj. kind.;9.0;37.9
1572;Sassenheim;Totaal particulier huishouden;6.0;34.2
1573;Sassenheim;Eenpersoonshuishouden;1.7;19.9
1574;Sassenheim;Meerpers. huishouden met minderj. kind.;1.8;40.6
1575;Sassenheim;Meerpers. huishouden z. minderj. kind.;2.5;39.5
1576;Schiedam;Totaal particulier huishouden;34.0;27.7
1577;Schiedam;Eenpersoonshuishouden;12.7;17.9
1578;Schiedam;Meerpers. huishouden met minderj. kind.;9.0;32.9
1579;Schiedam;Meerpers. huishouden z. minderj. kind.;12.3;34.0
1580;Schipluiden;Totaal particulier huishouden;4.0;37.4
1581;Schipluiden;Eenpersoonshuishouden;0.9;19.2
1582;Schipluiden;Meerpers. huishouden met minderj. kind.;1.5;43.6
1583;Schipluiden;Meerpers. huishouden z. minderj. kind.;1.7;41.6
1584;Schoonhoven;Totaal particulier huishouden;4.9;32.0
1585;Schoonhoven;Eenpersoonshuishouden;1.4;17.8
1586;Schoonhoven;Meerpers. huishouden met minderj. kind.;1.4;38.3
1587;Schoonhoven;Meerpers. huishouden z. minderj. kind.;2.0;37.5
1588;Sliedrecht;Totaal particulier huishouden;9.5;30.5
1589;Sliedrecht;Eenpersoonshuishouden;2.9;17.8
1590;Sliedrecht;Meerpers. huishouden met minderj. kind.;2.7;37.7
1591;Sliedrecht;Meerpers. huishouden z. minderj. kind.;3.9;34.9
1592;Cromstrijen;Totaal particulier huishouden;5.2;34.3
1593;Cromstrijen;Eenpersoonshuishouden;1.2;18.3
1594;Cromstrijen;Meerpers. huishouden met minderj. kind.;1.5;40.1
1595;Cromstrijen;Meerpers. huishouden z. minderj. kind.;2.5;38.2
1596;Spijkenisse;Totaal particulier huishouden;31.1;30.7
1597;Spijkenisse;Eenpersoonshuishouden;8.6;18.4
1598;Spijkenisse;Meerpers. huishouden met minderj. kind.;9.9;35.0
1599;Spijkenisse;Meerpers. huishouden z. minderj. kind.;12.6;35.7
1600;Albrandswaard;Totaal particulier huishouden;7.2;36.7
1601;Albrandswaard;Eenpersoonshuishouden;1.6;20.7
1602;Albrandswaard;Meerpers. huishouden met minderj. kind.;2.4;41.8
1603;Albrandswaard;Meerpers. huishouden z. minderj. kind.;3.2;40.8
1604;Westvoorne;Totaal particulier huishouden;5.8;36.5
1605;Westvoorne;Eenpersoonshuishouden;1.4;21.0
1606;Westvoorne;Meerpers. huishouden met minderj. kind.;1.6;43.5
1607;Westvoorne;Meerpers. huishouden z. minderj. kind.;2.7;40.3
1608;Strijen;Totaal particulier huishouden;3.7;33.4
1609;Strijen;Eenpersoonshuishouden;0.9;18.3
1610;Strijen;Meerpers. huishouden met minderj. kind.;1.1;39.6
1611;Strijen;Meerpers. huishouden z. minderj. kind.;1.7;37.2
1612;Valkenburg (ZH.);Totaal particulier huishouden;1.4;33.4
