ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
8166;42 Civil engineering;2004 4th quarter;19;7;12
8167;42 Civil engineering;2004;74;30;44
8168;42 Civil engineering;2005 January;11;3;8
8169;42 Civil engineering;2005 February;2;0;2
8170;42 Civil engineering;2005 March;6;3;3
8171;42 Civil engineering;2005 1st quarter;19;6;13
8172;42 Civil engineering;2005 April;3;1;2
8173;42 Civil engineering;2005 May;12;3;9
8174;42 Civil engineering;2005 June;7;4;3
8175;42 Civil engineering;2005 2nd quarter;22;8;14
8176;42 Civil engineering;2005 July;3;1;2
8177;42 Civil engineering;2005 August;9;4;5
8178;42 Civil engineering;2005 September;6;3;3
8179;42 Civil engineering;2005 3rd quarter;18;8;10
8180;42 Civil engineering;2005 October;1;1;0
8181;42 Civil engineering;2005 November;5;1;4
8182;42 Civil engineering;2005 December;9;4;5
8183;42 Civil engineering;2005 4th quarter;15;6;9
8184;42 Civil engineering;2005;74;28;46
8185;42 Civil engineering;2006 January;6;1;5
8186;42 Civil engineering;2006 February;3;1;2
8187;42 Civil engineering;2006 March;6;1;5
8188;42 Civil engineering;2006 1st quarter;15;3;12
8189;42 Civil engineering;2006 April;7;3;4
8190;42 Civil engineering;2006 May;4;3;1
8191;42 Civil engineering;2006 June;3;2;1
8192;42 Civil engineering;2006 2nd quarter;14;8;6
8193;42 Civil engineering;2006 July;2;0;2
8194;42 Civil engineering;2006 August;3;1;2
8195;42 Civil engineering;2006 September;4;1;3
8196;42 Civil engineering;2006 3rd quarter;9;2;7
8197;42 Civil engineering;2006 October;2;1;1
8198;42 Civil engineering;2006 November;7;1;6
8199;42 Civil engineering;2006 December;1;0;1
8200;42 Civil engineering;2006 4th quarter;10;2;8
8201;42 Civil engineering;2006;48;15;33
8202;42 Civil engineering;2007 January;2;1;1
8203;42 Civil engineering;2007 February;6;3;3
8204;42 Civil engineering;2007 March;3;1;2
8205;42 Civil engineering;2007 1st quarter;11;5;6
8206;42 Civil engineering;2007 April;5;1;4
8207;42 Civil engineering;2007 May;1;0;1
8208;42 Civil engineering;2007 June;2;0;2
8209;42 Civil engineering;2007 2nd quarter;8;1;7
8210;42 Civil engineering;2007 July;2;2;0
8211;42 Civil engineering;2007 August;6;2;4
8212;42 Civil engineering;2007 September;3;1;2
8213;42 Civil engineering;2007 3rd quarter;11;5;6
8214;42 Civil engineering;2007 October;1;1;0
8215;42 Civil engineering;2007 November;2;0;2
8216;42 Civil engineering;2007 December;4;2;2
8217;42 Civil engineering;2007 4th quarter;7;3;4
8218;42 Civil engineering;2007;37;14;23
8219;42 Civil engineering;2008 January;3;1;2
8220;42 Civil engineering;2008 February;3;2;1
8221;42 Civil engineering;2008 March;3;1;2
8222;42 Civil engineering;2008 1st quarter;9;4;5
8223;42 Civil engineering;2008 April;5;2;3
8224;42 Civil engineering;2008 May;0;0;0
8225;42 Civil engineering;2008 June;1;1;0
8226;42 Civil engineering;2008 2nd quarter;6;3;3
8227;42 Civil engineering;2008 July;0;0;0
8228;42 Civil engineering;2008 August;5;4;1
8229;42 Civil engineering;2008 September;8;1;7
8230;42 Civil engineering;2008 3rd quarter;13;5;8
8231;42 Civil engineering;2008 October;3;2;1
8232;42 Civil engineering;2008 November;3;1;2
8233;42 Civil engineering;2008 December;0;0;0
8234;42 Civil engineering;2008 4th quarter;6;3;3
8235;42 Civil engineering;2008;34;15;19
8236;42 Civil engineering;2009 January;9;4;5
8237;42 Civil engineering;2009 February;1;0;1
8238;42 Civil engineering;2009 March;3;1;2
8239;42 Civil engineering;2009 1st quarter;13;5;8
8240;42 Civil engineering;2009 April;5;0;5
8241;42 Civil engineering;2009 May;5;4;1
8242;42 Civil engineering;2009 June;2;1;1
8243;42 Civil engineering;2009 2nd quarter;12;5;7
8244;42 Civil engineering;2009 July;4;0;4
8245;42 Civil engineering;2009 August;1;0;1
8246;42 Civil engineering;2009 September;5;2;3
8247;42 Civil engineering;2009 3rd quarter;10;2;8
8248;42 Civil engineering;2009 October;11;3;8
8249;42 Civil engineering;2009 November;5;2;3
8250;42 Civil engineering;2009 December;7;2;5
8251;42 Civil engineering;2009 4th quarter;23;7;16
8252;42 Civil engineering;2009;58;19;39
8253;42 Civil engineering;2010 January;2;1;1
8254;42 Civil engineering;2010 February;4;2;2
8255;42 Civil engineering;2010 March;2;1;1
8256;42 Civil engineering;2010 1st quarter;8;4;4
8257;42 Civil engineering;2010 April;3;1;2
8258;42 Civil engineering;2010 May;1;0;1
8259;42 Civil engineering;2010 June;3;2;1
8260;42 Civil engineering;2010 2nd quarter;7;3;4
8261;42 Civil engineering;2010 July;8;2;6
8262;42 Civil engineering;2010 August;10;7;3
8263;42 Civil engineering;2010 September;6;1;5
8264;42 Civil engineering;2010 3rd quarter;24;10;14
8265;42 Civil engineering;2010 October;5;1;4
8266;42 Civil engineering;2010 November;5;0;5
8267;42 Civil engineering;2010 December;8;2;6
8268;42 Civil engineering;2010 4th quarter;18;3;15
8269;42 Civil engineering;2010;57;20;37
8270;42 Civil engineering;2011 January;15;5;10
8271;42 Civil engineering;2011 February;8;0;8
8272;42 Civil engineering;2011 March;5;3;2
8273;42 Civil engineering;2011 1st quarter;28;8;20
8274;42 Civil engineering;2011 April;7;1;6
8275;42 Civil engineering;2011 May;4;1;3
8276;42 Civil engineering;2011 June;4;2;2
8277;42 Civil engineering;2011 2nd quarter;15;4;11
8278;42 Civil engineering;2011 July;6;1;5
8279;42 Civil engineering;2011 August;9;2;7
8280;42 Civil engineering;2011 September;10;1;9
8281;42 Civil engineering;2011 3rd quarter;25;4;21
8282;42 Civil engineering;2011 October;3;1;2
8283;42 Civil engineering;2011 November;8;4;4
8284;42 Civil engineering;2011 December;3;0;3
8285;42 Civil engineering;2011 4th quarter;14;5;9
8286;42 Civil engineering;2011;82;21;61
8287;42 Civil engineering;2012 January;4;0;4
8288;42 Civil engineering;2012 February;10;3;7
8289;42 Civil engineering;2012 March;6;3;3
8290;42 Civil engineering;2012 1st quarter;20;6;14
8291;42 Civil engineering;2012 April;15;3;12
8292;42 Civil engineering;2012 May;9;0;9
8293;42 Civil engineering;2012 June;8;1;7
8294;42 Civil engineering;2012 2nd quarter;32;4;28
8295;42 Civil engineering;2012 July ;10;1;9
8296;42 Civil engineering;2012 August;0;0;0
8297;42 Civil engineering;2012 September;6;0;6
8298;42 Civil engineering;2012 3rd quarter;16;1;15
8299;42 Civil engineering;2012 October;16;1;15
8300;42 Civil engineering;2012 November;7;3;4
8301;42 Civil engineering;2012 December;4;2;2
8302;42 Civil engineering;2012 4th quarter;27;6;21
8303;42 Civil engineering;2012;95;17;78
8304;42 Civil engineering;2013 January;2;0;2
8305;42 Civil engineering;2013 February;20;3;17
8306;42 Civil engineering;2013 March;6;1;5
8307;42 Civil engineering;2013 1st quarter;28;4;24
8308;42 Civil engineering;2013 April;6;1;5
8309;42 Civil engineering;2013 May;10;2;8
8310;42 Civil engineering;2013 June;11;2;9
8311;42 Civil engineering;2013 2nd quarter;27;5;22
8312;42 Civil engineering;2013 July;7;3;4
8313;42 Civil engineering;2013 August;1;1;0
8314;42 Civil engineering;2013 September;7;0;7
8315;42 Civil engineering;2013 3rd quarter;15;4;11
8316;42 Civil engineering;2013 October;7;2;5
8317;42 Civil engineering;2013 November;7;2;5
8318;42 Civil engineering;2013 December;5;1;4
8319;42 Civil engineering;2013 4th quarter;19;5;14
8320;42 Civil engineering;2013;89;18;71
8321;42 Civil engineering;2014 January;2;0;2
8322;42 Civil engineering;2014 February;4;1;3
8323;42 Civil engineering;2014 March;10;1;9
8324;42 Civil engineering;2014 1st quarter;16;2;14
8325;42 Civil engineering;2014 April;8;2;6
8326;43 Specialised construction activities;1993 January;21;14;7
8327;43 Specialised construction activities;1993 February;39;19;20
8328;43 Specialised construction activities;1993 March;51;26;25
8329;43 Specialised construction activities;1993 1st quarter;111;59;52
8330;43 Specialised construction activities;1993 April;32;15;17
8331;43 Specialised construction activities;1993 May;22;9;13
8332;43 Specialised construction activities;1993 June;32;14;18
8333;43 Specialised construction activities;1993 2nd quarter;86;38;48
8334;43 Specialised construction activities;1993 July;32;15;17
8335;43 Specialised construction activities;1993 August;31;16;15
8336;43 Specialised construction activities;1993 September;38;21;17
8337;43 Specialised construction activities;1993 3rd quarter;101;52;49
8338;43 Specialised construction activities;1993 October;32;17;15
8339;43 Specialised construction activities;1993 November;36;25;11
8340;43 Specialised construction activities;1993 December;48;31;17
8341;43 Specialised construction activities;1993 4th quarter;116;73;43
8342;43 Specialised construction activities;1993;414;222;192
8343;43 Specialised construction activities;1994 January;50;19;31
8344;43 Specialised construction activities;1994 February;35;12;23
8345;43 Specialised construction activities;1994 March;52;28;24
8346;43 Specialised construction activities;1994 1st quarter;137;59;78
8347;43 Specialised construction activities;1994 April;33;12;21
8348;43 Specialised construction activities;1994 May;36;22;14
8349;43 Specialised construction activities;1994 June;43;21;22
8350;43 Specialised construction activities;1994 2nd quarter;112;55;57
8351;43 Specialised construction activities;1994 July;24;14;10
8352;43 Specialised construction activities;1994 August;38;24;14
8353;43 Specialised construction activities;1994 September;35;22;13
8354;43 Specialised construction activities;1994 3rd quarter;97;60;37
8355;43 Specialised construction activities;1994 October;31;14;17
8356;43 Specialised construction activities;1994 November;36;17;19
8357;43 Specialised construction activities;1994 December;19;6;13
8358;43 Specialised construction activities;1994 4th quarter;86;37;49
8359;43 Specialised construction activities;1994;432;211;221
8360;43 Specialised construction activities;1995 January;32;18;14
8361;43 Specialised construction activities;1995 February;37;16;21
8362;43 Specialised construction activities;1995 March;38;22;16
8363;43 Specialised construction activities;1995 1st quarter;107;56;51
8364;43 Specialised construction activities;1995 April;40;21;19
8365;43 Specialised construction activities;1995 May;18;7;11
8366;43 Specialised construction activities;1995 June;30;20;10
8367;43 Specialised construction activities;1995 2nd quarter;88;48;40
8368;43 Specialised construction activities;1995 July;28;17;11
8369;43 Specialised construction activities;1995 August;27;15;12
8370;43 Specialised construction activities;1995 September;27;15;12
8371;43 Specialised construction activities;1995 3rd quarter;82;47;35
8372;43 Specialised construction activities;1995 October;31;19;12
8373;43 Specialised construction activities;1995 November;29;18;11
8374;43 Specialised construction activities;1995 December;26;15;11
8375;43 Specialised construction activities;1995 4th quarter;86;52;34
8376;43 Specialised construction activities;1995;363;203;160
8377;43 Specialised construction activities;1996 January;38;19;19
8378;43 Specialised construction activities;1996 February;34;21;13
8379;43 Specialised construction activities;1996 March;32;13;19
8380;43 Specialised construction activities;1996 1st quarter;104;53;51
8381;43 Specialised construction activities;1996 April;37;22;15
8382;43 Specialised construction activities;1996 May;39;25;14
8383;43 Specialised construction activities;1996 June;25;13;12
8384;43 Specialised construction activities;1996 2nd quarter;101;60;41
8385;43 Specialised construction activities;1996 July;26;15;11
8386;43 Specialised construction activities;1996 August;33;21;12
8387;43 Specialised construction activities;1996 September;38;21;17
8388;43 Specialised construction activities;1996 3rd quarter;97;57;40
8389;43 Specialised construction activities;1996 October;21;11;10
8390;43 Specialised construction activities;1996 November;34;16;18
8391;43 Specialised construction activities;1996 December;23;13;10
8392;43 Specialised construction activities;1996 4th quarter;78;40;38
8393;43 Specialised construction activities;1996;380;210;170
8394;43 Specialised construction activities;1997 January;25;14;11
8395;43 Specialised construction activities;1997 February;33;11;22
8396;43 Specialised construction activities;1997 March;22;12;10
8397;43 Specialised construction activities;1997 1st quarter;80;37;43
8398;43 Specialised construction activities;1997 April;23;12;11
8399;43 Specialised construction activities;1997 May;28;14;14
8400;43 Specialised construction activities;1997 June;20;8;12
8401;43 Specialised construction activities;1997 2nd quarter;71;34;37
8402;43 Specialised construction activities;1997 July;29;18;11
8403;43 Specialised construction activities;1997 August;23;12;11
8404;43 Specialised construction activities;1997 September;39;19;20
8405;43 Specialised construction activities;1997 3rd quarter;91;49;42
8406;43 Specialised construction activities;1997 October;28;16;12
8407;43 Specialised construction activities;1997 November;35;18;17
8408;43 Specialised construction activities;1997 December;30;16;14
8409;43 Specialised construction activities;1997 4th quarter;93;50;43
8410;43 Specialised construction activities;1997;335;170;165
8411;43 Specialised construction activities;1998 January;32;17;15
8412;43 Specialised construction activities;1998 February;19;11;8
8413;43 Specialised construction activities;1998 March;33;17;16
8414;43 Specialised construction activities;1998 1st quarter;84;45;39
8415;43 Specialised construction activities;1998 April;32;20;12
8416;43 Specialised construction activities;1998 May;30;16;14
8417;43 Specialised construction activities;1998 June;33;20;13
8418;43 Specialised construction activities;1998 2nd quarter;95;56;39
8419;43 Specialised construction activities;1998 July;26;10;16
8420;43 Specialised construction activities;1998 August;32;21;11
8421;43 Specialised construction activities;1998 September;41;23;18
8422;43 Specialised construction activities;1998 3rd quarter;99;54;45
8423;43 Specialised construction activities;1998 October;20;8;12
8424;43 Specialised construction activities;1998 November;30;7;23
8425;43 Specialised construction activities;1998 December;22;10;12
8426;43 Specialised construction activities;1998 4th quarter;72;25;47
8427;43 Specialised construction activities;1998;350;180;170
8428;43 Specialised construction activities;1999 January;21;11;10
8429;43 Specialised construction activities;1999 February;22;9;13
8430;43 Specialised construction activities;1999 March;36;17;19
8431;43 Specialised construction activities;1999 1st quarter;79;37;42
8432;43 Specialised construction activities;1999 April;29;11;18
8433;43 Specialised construction activities;1999 May;18;7;11
8434;43 Specialised construction activities;1999 June;30;13;17
8435;43 Specialised construction activities;1999 2nd quarter;77;31;46
8436;43 Specialised construction activities;1999 July;13;10;3
8437;43 Specialised construction activities;1999 August;27;14;13
8438;43 Specialised construction activities;1999 September;19;10;9
8439;43 Specialised construction activities;1999 3rd quarter;59;34;25
8440;43 Specialised construction activities;1999 October;20;9;11
8441;43 Specialised construction activities;1999 November;26;10;16
8442;43 Specialised construction activities;1999 December;17;7;10
8443;43 Specialised construction activities;1999 4th quarter;63;26;37
8444;43 Specialised construction activities;1999;278;128;150
8445;43 Specialised construction activities;2000 January;23;9;14
8446;43 Specialised construction activities;2000 February;20;8;12
8447;43 Specialised construction activities;2000 March;29;11;18
8448;43 Specialised construction activities;2000 1st quarter;72;28;44
8449;43 Specialised construction activities;2000 April;21;10;11
8450;43 Specialised construction activities;2000 May;32;14;18
8451;43 Specialised construction activities;2000 June;22;7;15
8452;43 Specialised construction activities;2000 2nd quarter;75;31;44
8453;43 Specialised construction activities;2000 July;16;11;5
8454;43 Specialised construction activities;2000 August;27;13;14
8455;43 Specialised construction activities;2000 September;28;14;14
8456;43 Specialised construction activities;2000 3rd quarter;71;38;33
8457;43 Specialised construction activities;2000 October;34;14;20
8458;43 Specialised construction activities;2000 November;34;16;18
8459;43 Specialised construction activities;2000 December;29;17;12
8460;43 Specialised construction activities;2000 4th quarter;97;47;50
8461;43 Specialised construction activities;2000;315;144;171
8462;43 Specialised construction activities;2001 January;34;12;22
8463;43 Specialised construction activities;2001 February;23;6;17
8464;43 Specialised construction activities;2001 March;37;15;22
8465;43 Specialised construction activities;2001 1st quarter;94;33;61
8466;43 Specialised construction activities;2001 April;42;22;20
8467;43 Specialised construction activities;2001 May;40;18;22
8468;43 Specialised construction activities;2001 June;27;11;16
8469;43 Specialised construction activities;2001 2nd quarter;109;51;58
8470;43 Specialised construction activities;2001 July;31;14;17
8471;43 Specialised construction activities;2001 August;38;20;18
8472;43 Specialised construction activities;2001 September;32;14;18
8473;43 Specialised construction activities;2001 3rd quarter;101;48;53
8474;43 Specialised construction activities;2001 October;28;15;13
8475;43 Specialised construction activities;2001 November;31;12;19
8476;43 Specialised construction activities;2001 December;19;9;10
8477;43 Specialised construction activities;2001 4th quarter;78;36;42
8478;43 Specialised construction activities;2001;382;168;214
8479;43 Specialised construction activities;2002 January;38;20;18
8480;43 Specialised construction activities;2002 February;25;12;13
8481;43 Specialised construction activities;2002 March;20;5;15
8482;43 Specialised construction activities;2002 1st quarter;83;37;46
8483;43 Specialised construction activities;2002 April;28;9;19
8484;43 Specialised construction activities;2002 May;31;14;17
8485;43 Specialised construction activities;2002 June;35;11;24
8486;43 Specialised construction activities;2002 2nd quarter;94;34;60
8487;43 Specialised construction activities;2002 July;29;13;16
8488;43 Specialised construction activities;2002 August;22;12;10
8489;43 Specialised construction activities;2002 September;25;9;16
8490;43 Specialised construction activities;2002 3rd quarter;76;34;42
8491;43 Specialised construction activities;2002 October;35;18;17
8492;43 Specialised construction activities;2002 November;26;8;18
8493;43 Specialised construction activities;2002 December;27;8;19
8494;43 Specialised construction activities;2002 4th quarter;88;34;54
8495;43 Specialised construction activities;2002;341;139;202
8496;43 Specialised construction activities;2003 January;40;17;23
8497;43 Specialised construction activities;2003 February;40;12;28
8498;43 Specialised construction activities;2003 March;45;21;24
8499;43 Specialised construction activities;2003 1st quarter;125;50;75
8500;43 Specialised construction activities;2003 April;59;21;38
8501;43 Specialised construction activities;2003 May;66;18;48
8502;43 Specialised construction activities;2003 June;46;14;32
8503;43 Specialised construction activities;2003 2nd quarter;171;53;118
8504;43 Specialised construction activities;2003 July;35;19;16
8505;43 Specialised construction activities;2003 August;37;20;17
8506;43 Specialised construction activities;2003 September;46;18;28
8507;43 Specialised construction activities;2003 3rd quarter;118;57;61
8508;43 Specialised construction activities;2003 October;42;17;25
8509;43 Specialised construction activities;2003 November;34;18;16
8510;43 Specialised construction activities;2003 December;46;20;26
8511;43 Specialised construction activities;2003 4th quarter;122;55;67
8512;43 Specialised construction activities;2003;536;215;321
8513;43 Specialised construction activities;2004 January;42;15;27
8514;43 Specialised construction activities;2004 February;43;17;26
8515;43 Specialised construction activities;2004 March;61;25;36
8516;43 Specialised construction activities;2004 1st quarter;146;57;89
8517;43 Specialised construction activities;2004 April;43;20;23
8518;43 Specialised construction activities;2004 May;38;18;20
8519;43 Specialised construction activities;2004 June;45;26;19
8520;43 Specialised construction activities;2004 2nd quarter;126;64;62
8521;43 Specialised construction activities;2004 July;31;15;16
8522;43 Specialised construction activities;2004 August;51;16;35
8523;43 Specialised construction activities;2004 September;44;15;29
8524;43 Specialised construction activities;2004 3rd quarter;126;46;80
8525;43 Specialised construction activities;2004 October;31;13;18
8526;43 Specialised construction activities;2004 November;55;23;32
8527;43 Specialised construction activities;2004 December;45;25;20
8528;43 Specialised construction activities;2004 4th quarter;131;61;70
8529;43 Specialised construction activities;2004;529;228;301
8530;43 Specialised construction activities;2005 January;46;22;24
8531;43 Specialised construction activities;2005 February;44;23;21
8532;43 Specialised construction activities;2005 March;60;21;39
8533;43 Specialised construction activities;2005 1st quarter;150;66;84
8534;43 Specialised construction activities;2005 April;38;18;20
8535;43 Specialised construction activities;2005 May;58;33;25
8536;43 Specialised construction activities;2005 June;59;27;32
8537;43 Specialised construction activities;2005 2nd quarter;155;78;77
8538;43 Specialised construction activities;2005 July;40;20;20
8539;43 Specialised construction activities;2005 August;33;18;15
8540;43 Specialised construction activities;2005 September;39;8;31
8541;43 Specialised construction activities;2005 3rd quarter;112;46;66
8542;43 Specialised construction activities;2005 October;38;19;19
8543;43 Specialised construction activities;2005 November;34;16;18
8544;43 Specialised construction activities;2005 December;39;16;23
8545;43 Specialised construction activities;2005 4th quarter;111;51;60
8546;43 Specialised construction activities;2005;528;241;287
8547;43 Specialised construction activities;2006 January;38;21;17
8548;43 Specialised construction activities;2006 February;29;15;14
8549;43 Specialised construction activities;2006 March;48;18;30
8550;43 Specialised construction activities;2006 1st quarter;115;54;61
8551;43 Specialised construction activities;2006 April;28;19;9
8552;43 Specialised construction activities;2006 May;42;21;21
8553;43 Specialised construction activities;2006 June;36;16;20
8554;43 Specialised construction activities;2006 2nd quarter;106;56;50
8555;43 Specialised construction activities;2006 July;48;17;31
8556;43 Specialised construction activities;2006 August;48;29;19
8557;43 Specialised construction activities;2006 September;39;17;22
8558;43 Specialised construction activities;2006 3rd quarter;135;63;72
8559;43 Specialised construction activities;2006 October;29;11;18
8560;43 Specialised construction activities;2006 November;38;10;28
8561;43 Specialised construction activities;2006 December;18;7;11
8562;43 Specialised construction activities;2006 4th quarter;85;28;57
8563;43 Specialised construction activities;2006;441;201;240
8564;43 Specialised construction activities;2007 January;26;8;18
8565;43 Specialised construction activities;2007 February;27;9;18
8566;43 Specialised construction activities;2007 March;48;17;31
8567;43 Specialised construction activities;2007 1st quarter;101;34;67
8568;43 Specialised construction activities;2007 April;25;11;14
8569;43 Specialised construction activities;2007 May;34;12;22
8570;43 Specialised construction activities;2007 June;24;10;14
8571;43 Specialised construction activities;2007 2nd quarter;83;33;50
8572;43 Specialised construction activities;2007 July;31;16;15
8573;43 Specialised construction activities;2007 August;39;16;23
8574;43 Specialised construction activities;2007 September;31;10;21
8575;43 Specialised construction activities;2007 3rd quarter;101;42;59
8576;43 Specialised construction activities;2007 October;29;20;9
8577;43 Specialised construction activities;2007 November;27;12;15
8578;43 Specialised construction activities;2007 December;21;13;8
8579;43 Specialised construction activities;2007 4th quarter;77;45;32
8580;43 Specialised construction activities;2007;362;154;208
8581;43 Specialised construction activities;2008 January;33;9;24
8582;43 Specialised construction activities;2008 February;23;10;13
8583;43 Specialised construction activities;2008 March;24;7;17
8584;43 Specialised construction activities;2008 1st quarter;80;26;54
8585;43 Specialised construction activities;2008 April;39;17;22
8586;43 Specialised construction activities;2008 May;22;11;11
8587;43 Specialised construction activities;2008 June;20;12;8
8588;43 Specialised construction activities;2008 2nd quarter;81;40;41
8589;43 Specialised construction activities;2008 July;30;16;14
8590;43 Specialised construction activities;2008 August;24;10;14
8591;43 Specialised construction activities;2008 September;33;8;25
8592;43 Specialised construction activities;2008 3rd quarter;87;34;53
8593;43 Specialised construction activities;2008 October;34;10;24
8594;43 Specialised construction activities;2008 November;46;9;37
8595;43 Specialised construction activities;2008 December;38;9;29
8596;43 Specialised construction activities;2008 4th quarter;118;28;90
8597;43 Specialised construction activities;2008;366;128;238
8598;43 Specialised construction activities;2009 January;41;16;25
8599;43 Specialised construction activities;2009 February;38;10;28
8600;43 Specialised construction activities;2009 March;54;12;42
8601;43 Specialised construction activities;2009 1st quarter;133;38;95
8602;43 Specialised construction activities;2009 April;44;21;23
8603;43 Specialised construction activities;2009 May;37;18;19
8604;43 Specialised construction activities;2009 June;46;20;26
8605;43 Specialised construction activities;2009 2nd quarter;127;59;68
8606;43 Specialised construction activities;2009 July;44;13;31
8607;43 Specialised construction activities;2009 August;40;11;29
8608;43 Specialised construction activities;2009 September;55;17;38
8609;43 Specialised construction activities;2009 3rd quarter;139;41;98
8610;43 Specialised construction activities;2009 October;39;10;29
8611;43 Specialised construction activities;2009 November;49;12;37
8612;43 Specialised construction activities;2009 December;43;9;34
8613;43 Specialised construction activities;2009 4th quarter;131;31;100
8614;43 Specialised construction activities;2009;530;169;361
8615;43 Specialised construction activities;2010 January;42;18;24
8616;43 Specialised construction activities;2010 February;62;21;41
8617;43 Specialised construction activities;2010 March;88;26;62
8618;43 Specialised construction activities;2010 1st quarter;192;65;127
8619;43 Specialised construction activities;2010 April;51;17;34
8620;43 Specialised construction activities;2010 May;44;18;26
8621;43 Specialised construction activities;2010 June;86;21;65
8622;43 Specialised construction activities;2010 2nd quarter;181;56;125
8623;43 Specialised construction activities;2010 July;41;7;34
8624;43 Specialised construction activities;2010 August;43;10;33
8625;43 Specialised construction activities;2010 September;53;12;41
8626;43 Specialised construction activities;2010 3rd quarter;137;29;108
8627;43 Specialised construction activities;2010 October;48;11;37
8628;43 Specialised construction activities;2010 November;46;12;34
8629;43 Specialised construction activities;2010 December;42;8;34
8630;43 Specialised construction activities;2010 4th quarter;136;31;105
8631;43 Specialised construction activities;2010;646;181;465
8632;43 Specialised construction activities;2011 January;49;16;33
8633;43 Specialised construction activities;2011 February;47;14;33
8634;43 Specialised construction activities;2011 March;49;7;42
8635;43 Specialised construction activities;2011 1st quarter;145;37;108
8636;43 Specialised construction activities;2011 April;47;12;35
8637;43 Specialised construction activities;2011 May;46;13;33
8638;43 Specialised construction activities;2011 June;36;10;26
8639;43 Specialised construction activities;2011 2nd quarter;129;35;94
8640;43 Specialised construction activities;2011 July;37;8;29
8641;43 Specialised construction activities;2011 August;52;16;36
8642;43 Specialised construction activities;2011 September;68;10;58
8643;43 Specialised construction activities;2011 3rd quarter;157;34;123
8644;43 Specialised construction activities;2011 October;72;13;59
8645;43 Specialised construction activities;2011 November;63;17;46
8646;43 Specialised construction activities;2011 December;52;14;38
8647;43 Specialised construction activities;2011 4th quarter;187;44;143
8648;43 Specialised construction activities;2011;618;150;468
8649;43 Specialised construction activities;2012 January;66;16;50
8650;43 Specialised construction activities;2012 February;73;20;53
8651;43 Specialised construction activities;2012 March;65;19;46
8652;43 Specialised construction activities;2012 1st quarter;204;55;149
8653;43 Specialised construction activities;2012 April;53;11;42
8654;43 Specialised construction activities;2012 May;56;12;44
8655;43 Specialised construction activities;2012 June;65;10;55
8656;43 Specialised construction activities;2012 2nd quarter;174;33;141
8657;43 Specialised construction activities;2012 July ;67;15;52
8658;43 Specialised construction activities;2012 August;46;11;35
8659;43 Specialised construction activities;2012 September;56;9;47
8660;43 Specialised construction activities;2012 3rd quarter;169;35;134
8661;43 Specialised construction activities;2012 October;82;26;56
8662;43 Specialised construction activities;2012 November;73;22;51
8663;43 Specialised construction activities;2012 December;63;15;48
8664;43 Specialised construction activities;2012 4th quarter;218;63;155
8665;43 Specialised construction activities;2012;765;186;579
8666;43 Specialised construction activities;2013 January;77;19;58
8667;43 Specialised construction activities;2013 February;89;14;75
8668;43 Specialised construction activities;2013 March;118;22;96
8669;43 Specialised construction activities;2013 1st quarter;284;55;229
8670;43 Specialised construction activities;2013 April;96;15;81
8671;43 Specialised construction activities;2013 May;96;18;78
8672;43 Specialised construction activities;2013 June;84;8;76
8673;43 Specialised construction activities;2013 2nd quarter;276;41;235
8674;43 Specialised construction activities;2013 July;68;15;53
8675;43 Specialised construction activities;2013 August;62;10;52
8676;43 Specialised construction activities;2013 September;70;21;49
8677;43 Specialised construction activities;2013 3rd quarter;200;46;154
8678;43 Specialised construction activities;2013 October;61;13;48
8679;43 Specialised construction activities;2013 November;44;10;34
8680;43 Specialised construction activities;2013 December;42;9;33
8681;43 Specialised construction activities;2013 4th quarter;147;32;115
8682;43 Specialised construction activities;2013;907;174;733
8683;43 Specialised construction activities;2014 January;59;19;40
8684;43 Specialised construction activities;2014 February;51;7;44
8685;43 Specialised construction activities;2014 March;46;3;43
8686;43 Specialised construction activities;2014 1st quarter;156;29;127
8687;43 Specialised construction activities;2014 April;65;15;50
8688;G Wholesale and retail trade;1993 January;124;58;66
8689;G Wholesale and retail trade;1993 February;97;34;63
8690;G Wholesale and retail trade;1993 March;165;62;103
8691;G Wholesale and retail trade;1993 1st quarter;386;154;232
8692;G Wholesale and retail trade;1993 April;139;64;75
8693;G Wholesale and retail trade;1993 May;118;43;75
8694;G Wholesale and retail trade;1993 June;155;71;84
8695;G Wholesale and retail trade;1993 2nd quarter;412;178;234
8696;G Wholesale and retail trade;1993 July;137;55;82
8697;G Wholesale and retail trade;1993 August;143;60;83
8698;G Wholesale and retail trade;1993 September;159;66;93
8699;G Wholesale and retail trade;1993 3rd quarter;439;181;258
8700;G Wholesale and retail trade;1993 October;130;68;62
8701;G Wholesale and retail trade;1993 November;147;72;75
8702;G Wholesale and retail trade;1993 December;134;60;74
8703;G Wholesale and retail trade;1993 4th quarter;411;200;211
8704;G Wholesale and retail trade;1993;1648;713;935
8705;G Wholesale and retail trade;1994 January;132;55;77
8706;G Wholesale and retail trade;1994 February;138;57;81
8707;G Wholesale and retail trade;1994 March;169;78;91
8708;G Wholesale and retail trade;1994 1st quarter;439;190;249
8709;G Wholesale and retail trade;1994 April;116;62;54
8710;G Wholesale and retail trade;1994 May;107;46;61
8711;G Wholesale and retail trade;1994 June;124;51;73
8712;G Wholesale and retail trade;1994 2nd quarter;347;159;188
8713;G Wholesale and retail trade;1994 July;124;53;71
