ID;Persoonskenmerken;Cijfersoort;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Leger_3;Rechters_4;Pers_5;Politie_6;TweedeKamer_7;Ambtenaren_8;Banken_9;GroteBedrijven_10;EuropeseUnie_11
92;Leeftijd: 15 tot 25 jaar;Waarde;2014;60.4;32.8;77.2;79.5;30.1;69.9;44.3;52.7;55.1;60.2;56.4
93;Leeftijd: 15 tot 25 jaar;Waarde;2015;62.0;31.3;74.2;78.5;26.1;70.4;43.2;51.0;52.5;57.2;54.5
94;Leeftijd: 15 tot 25 jaar;Waarde;2016;60.8;30.9;77.3;81.2;26.7;73.6;47.3;53.2;57.1;57.2;57.1
95;Leeftijd: 15 tot 25 jaar;Waarde;2017;63.4;32.2;77.0;83.4;28.0;78.9;54.3;56.9;58.5;57.7;66.5
96;Leeftijd: 15 tot 25 jaar;Waarde;2018;64.0;35.4;76.3;80.3;32.8;79.1;55.5;58.0;66.1;58.3;71.5
97;Leeftijd: 15 tot 25 jaar;Waarde;2019;60.3;35.7;78.5;81.3;31.9;80.1;50.8;59.6;62.8;54.7;69.6
98;Leeftijd: 15 tot 25 jaar;Waarde;2020;61.5;36.7;83.4;85.2;37.1;80.9;68.1;62.5;68.7;56.0;73.6
99;Leeftijd: 15 tot 25 jaar;Waarde;2021;66.9;35.8;84.7;86.8;43.0;81.1;52.5;63.7;71.7;52.9;75.9
100;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2012;56.1;34.9;72.2;76.2;28.5;66.0;43.9;52.3;54.6;61.4;54.3
101;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2013;57.5;30.3;74.4;77.6;27.7;66.4;38.2;50.2;46.2;58.0;51.8
102;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2014;57.5;29.8;74.7;77.0;27.3;67.1;41.2;49.6;52.0;57.2;53.3
103;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2015;59.0;28.4;71.5;75.9;23.4;67.7;40.1;47.9;49.4;54.1;51.4
104;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2016;57.8;27.9;74.7;78.8;24.0;70.9;44.2;50.0;54.1;54.1;54.0
105;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2017;60.5;29.2;74.4;81.1;25.2;76.4;51.2;53.7;55.4;54.6;63.5
106;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2018;61.1;32.3;73.7;77.9;29.9;76.7;52.5;54.9;63.3;55.3;68.7
107;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2019;57.4;32.6;76.0;78.9;29.0;77.7;47.7;56.5;59.9;51.6;66.7
