ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
180;"Overheid; markt";Totaal milieubescherming;2013    ;3352;3352.0;;;;;;;;;;;;
181;"Overheid; markt";Totaal milieubescherming;2014    ;3342;3342.0;;;;;;;;;;;;
182;"Overheid; markt";Totaal milieubescherming;2015    ;2952;2952.0;;;;;;;;;;;;
183;"Overheid; markt";Totaal milieubescherming;2016    ;3116;3116.0;;;;;;;;;;;;
184;"Overheid; markt";Totaal milieubescherming;2017    ;3281;3281.0;;;;;;;;;;;;
185;"Overheid; markt";Totaal milieubescherming;2018    ;3307;3307.0;;;;;;;;;;;;
186;"Overheid; markt";Totaal milieubescherming;2019;3474;3474.0;;;;;;;;;;;;
187;"Overheid; markt";Totaal milieubescherming;2020;3561;3561.0;;;;;;;;;;;;
188;"Overheid; markt";Totaal milieubescherming;2021;3754;3754.0;;;;;;;;;;;;
189;"Overheid; markt";Lucht;2013    ;20;20.0;;;;;;;;;;;;
190;"Overheid; markt";Lucht;2014    ;22;22.0;;;;;;;;;;;;
191;"Overheid; markt";Lucht;2015    ;20;20.0;;;;;;;;;;;;
192;"Overheid; markt";Lucht;2016    ;30;30.0;;;;;;;;;;;;
193;"Overheid; markt";Lucht;2017    ;29;29.0;;;;;;;;;;;;
194;"Overheid; markt";Lucht;2018    ;21;21.0;;;;;;;;;;;;
195;"Overheid; markt";Lucht;2019;30;30.0;;;;;;;;;;;;
196;"Overheid; markt";Lucht;2020;32;32.0;;;;;;;;;;;;
197;"Overheid; markt";Lucht;2021;29;29.0;;;;;;;;;;;;
198;"Overheid; markt";Afvalwater;2013    ;348;348.0;;;;;;;;;;;;
199;"Overheid; markt";Afvalwater;2014    ;326;326.0;;;;;;;;;;;;
200;"Overheid; markt";Afvalwater;2015    ;300;300.0;;;;;;;;;;;;
201;"Overheid; markt";Afvalwater;2016    ;284;284.0;;;;;;;;;;;;
202;"Overheid; markt";Afvalwater;2017    ;282;282.0;;;;;;;;;;;;
203;"Overheid; markt";Afvalwater;2018    ;289;289.0;;;;;;;;;;;;
204;"Overheid; markt";Afvalwater;2019;303;303.0;;;;;;;;;;;;
205;"Overheid; markt";Afvalwater;2020;216;216.0;;;;;;;;;;;;
206;"Overheid; markt";Afvalwater;2021;222;222.0;;;;;;;;;;;;
207;"Overheid; markt";Afval;2013    ;2698;2698.0;;;;;;;;;;;;
208;"Overheid; markt";Afval;2014    ;2686;2686.0;;;;;;;;;;;;
209;"Overheid; markt";Afval;2015    ;2335;2335.0;;;;;;;;;;;;
210;"Overheid; markt";Afval;2016    ;2380;2380.0;;;;;;;;;;;;
211;"Overheid; markt";Afval;2017    ;2472;2472.0;;;;;;;;;;;;
212;"Overheid; markt";Afval;2018    ;2501;2501.0;;;;;;;;;;;;
213;"Overheid; markt";Afval;2019;2635;2635.0;;;;;;;;;;;;
214;"Overheid; markt";Afval;2020;2821;2821.0;;;;;;;;;;;;
215;"Overheid; markt";Afval;2021;3024;3024.0;;;;;;;;;;;;
216;"Overheid; markt";Bodem, grond- en oppervlaktewater;2013    ;26;26.0;;;;;;;;;;;;
217;"Overheid; markt";Bodem, grond- en oppervlaktewater;2014    ;34;34.0;;;;;;;;;;;;
218;"Overheid; markt";Bodem, grond- en oppervlaktewater;2015    ;40;40.0;;;;;;;;;;;;
219;"Overheid; markt";Bodem, grond- en oppervlaktewater;2016    ;49;49.0;;;;;;;;;;;;
220;"Overheid; markt";Bodem, grond- en oppervlaktewater;2017    ;46;46.0;;;;;;;;;;;;
221;"Overheid; markt";Bodem, grond- en oppervlaktewater;2018    ;35;35.0;;;;;;;;;;;;
222;"Overheid; markt";Bodem, grond- en oppervlaktewater;2019;33;33.0;;;;;;;;;;;;
223;"Overheid; markt";Bodem, grond- en oppervlaktewater;2020;35;35.0;;;;;;;;;;;;
