ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
148;Dunne mest rundvee;Kali in getransporteerde mest;2002;13.4;13.0;0.0;0.3;13.3;13.2;0.1;0.0;-0.1;0.1;-0.3;0.1
149;Dunne mest rundvee;Kali in getransporteerde mest;2003;14.4;14.1;0.0;0.3;12.4;12.0;0.1;0.3;2.1;0.1;0.0;2.0
150;Dunne mest rundvee;Kali in getransporteerde mest;2004;10.9;10.7;0.0;0.3;8.9;8.6;0.1;0.3;2.1;0.1;0.0;2.1
151;Dunne mest rundvee;Kali in getransporteerde mest;2005;11.1;10.9;0.0;0.2;9.6;9.5;0.1;0.0;1.4;0.1;-0.2;1.5
152;Dunne mest rundvee;Kali in getransporteerde mest;2006;26.9;26.7;0.0;0.2;25.1;24.8;0.1;0.2;2.0;0.1;0.0;1.9
153;Dunne mest rundvee;Kali in getransporteerde mest;2007;29.3;29.1;0.0;0.2;26.8;26.5;0.1;0.3;2.6;0.1;0.1;2.5
154;Dunne mest rundvee;Kali in getransporteerde mest;2008;32.9;32.7;0.0;0.3;31.0;30.5;0.1;0.4;2.2;0.1;0.1;2.0
155;Dunne mest rundvee;Kali in getransporteerde mest;2009;34.1;33.9;0.0;0.2;31.4;30.8;0.1;0.5;3.1;0.1;0.2;2.8
156;Dunne mest rundvee;Kali in getransporteerde mest;2010;36.0;35.7;0.0;0.3;32.7;32.1;0.1;0.5;3.6;0.1;0.2;3.3
157;Dunne mest rundvee;Kali in getransporteerde mest;2011;36.7;36.5;0.0;0.3;34.1;33.2;0.1;0.8;3.3;0.1;0.5;2.7
158;Dunne mest rundvee;Kali in getransporteerde mest;2012;39.8;39.4;0.0;0.5;35.5;34.5;0.1;0.9;4.9;0.1;0.4;4.4
