ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
321;4622 Groothandel in bloemen en planten;2017 2e kwartaal;123.9;1.9
322;4622 Groothandel in bloemen en planten;2017 3e kwartaal;99.7;3.9
323;4622 Groothandel in bloemen en planten;2017 4e kwartaal;107.1;0.5
324;4622 Groothandel in bloemen en planten;2017;115.8;2.7
325;463 Groothandel in voedingsmiddelen;2005 1e kwartaal;76.3;
326;463 Groothandel in voedingsmiddelen;2005 2e kwartaal;83.8;
327;463 Groothandel in voedingsmiddelen;2005 3e kwartaal;79.4;
328;463 Groothandel in voedingsmiddelen;2005 4e kwartaal;88.4;
329;463 Groothandel in voedingsmiddelen;2005;82.0;
330;463 Groothandel in voedingsmiddelen;2006 1e kwartaal;81.4;6.6
331;463 Groothandel in voedingsmiddelen;2006 2e kwartaal;89.8;7.2
332;463 Groothandel in voedingsmiddelen;2006 3e kwartaal;81.2;2.3
333;463 Groothandel in voedingsmiddelen;2006 4e kwartaal;89.6;1.4
334;463 Groothandel in voedingsmiddelen;2006;85.5;4.3
335;463 Groothandel in voedingsmiddelen;2007 1e kwartaal;83.9;3.0
336;463 Groothandel in voedingsmiddelen;2007 2e kwartaal;94.1;4.8
337;463 Groothandel in voedingsmiddelen;2007 3e kwartaal;89.0;9.6
338;463 Groothandel in voedingsmiddelen;2007 4e kwartaal;98.0;9.4
339;463 Groothandel in voedingsmiddelen;2007;91.3;6.7
340;463 Groothandel in voedingsmiddelen;2008 1e kwartaal;90.8;8.3
341;463 Groothandel in voedingsmiddelen;2008 2e kwartaal;99.6;5.8
342;463 Groothandel in voedingsmiddelen;2008 3e kwartaal;93.0;4.5
343;463 Groothandel in voedingsmiddelen;2008 4e kwartaal;101.4;3.4
344;463 Groothandel in voedingsmiddelen;2008;96.2;5.4
345;463 Groothandel in voedingsmiddelen;2009 1e kwartaal;90.3;-0.6
346;463 Groothandel in voedingsmiddelen;2009 2e kwartaal;97.6;-2.0
347;463 Groothandel in voedingsmiddelen;2009 3e kwartaal;92.1;-1.0
348;463 Groothandel in voedingsmiddelen;2009 4e kwartaal;101.9;0.6
349;463 Groothandel in voedingsmiddelen;2009;95.5;-0.7
350;463 Groothandel in voedingsmiddelen;2010 1e kwartaal;93.3;3.3
351;463 Groothandel in voedingsmiddelen;2010 2e kwartaal;104.3;6.8
352;463 Groothandel in voedingsmiddelen;2010 3e kwartaal;97.1;5.5
353;463 Groothandel in voedingsmiddelen;2010 4e kwartaal;105.3;3.3
354;463 Groothandel in voedingsmiddelen;2010;100.0;4.7
355;463 Groothandel in voedingsmiddelen;2011 1e kwartaal;97.3;4.3
356;463 Groothandel in voedingsmiddelen;2011 2e kwartaal;105.5;1.1
357;463 Groothandel in voedingsmiddelen;2011 3e kwartaal;98.5;1.4
358;463 Groothandel in voedingsmiddelen;2011 4e kwartaal;103.2;-2.0
359;463 Groothandel in voedingsmiddelen;2011;101.1;1.1
360;463 Groothandel in voedingsmiddelen;2012 1e kwartaal;99.0;1.7
361;463 Groothandel in voedingsmiddelen;2012 2e kwartaal;108.6;2.9
362;463 Groothandel in voedingsmiddelen;2012 3e kwartaal;103.6;5.1
363;463 Groothandel in voedingsmiddelen;2012 4e kwartaal;109.2;5.8
364;463 Groothandel in voedingsmiddelen;2012;105.1;3.9
365;463 Groothandel in voedingsmiddelen;2013 1e kwartaal;98.3;-0.7
366;463 Groothandel in voedingsmiddelen;2013 2e kwartaal;111.5;2.7
367;463 Groothandel in voedingsmiddelen;2013 3e kwartaal;106.4;2.7
368;463 Groothandel in voedingsmiddelen;2013 4e kwartaal;108.7;-0.5
369;463 Groothandel in voedingsmiddelen;2013;106.2;1.0
370;463 Groothandel in voedingsmiddelen;2014 1e kwartaal;100.0;1.7
371;463 Groothandel in voedingsmiddelen;2014 2e kwartaal;111.2;-0.2
372;463 Groothandel in voedingsmiddelen;2014 3e kwartaal;105.2;-1.1
373;463 Groothandel in voedingsmiddelen;2014 4e kwartaal;110.1;1.3
374;463 Groothandel in voedingsmiddelen;2014;106.6;0.4
