ID;SIC2008;PersonsEmployed;Periods;Total_1;Births_2;Deaths_3;NewlyBornEnterprisesSurvivingYear1_4;NewlyBornEnterprisesSurvivingYear2_5;NewlyBornEnterprisesSurvivingYear3_6;NewlyBornEnterprisesSurvivingYear4_7;NewlyBornEnterprisesSurvivingYear5_8;PersonsEmployed_9;Employees_10;PersonsEmployed_11;Employees_12;PersonsEmployed_13;Employees_14;k_1Year_15;k_2Years_16;k_3Years_17;k_4Years_18;k_5Years_19;k_1Year_20;k_2Years_21;k_3Years_22;k_4Years_23;k_5Years_24
112;300002;5 to 9 employees;2018;4097.0;40.0;13.0;53.0;49.0;34.0;51.0;51.0;31504.0;27413.0;270.0;257.0;86.0;82.0;675.0;701.0;508.0;511.0;1096.0;359.0;320.0;250.0;357.0;342.0
113;300002;5 to 9 employees;2019;4064.0;41.0;18.0;39.0;50.0;43.0;31.0;45.0;31107.0;27281.0;261.0;250.0;125.0;118.0;666.0;677.0;846.0;524.0;455.0;263.0;340.0;286.0;226.0;321.0
114;300002;5 to 9 employees;2020;4054.0;32.0;;41.0;38.0;46.0;39.0;29.0;30717.0;26929.0;205.0;196.0;;;575.0;591.0;653.0;808.0;504.0;261.0;257.0;314.0;259.0;211.0
115;300002;5 to 9 employees;2021;;;;;;;;;;;;;;;;;;;;;;;;
116;300002;5 to 9 employees;2022;;;;;;;;;;;;;;;;;;;;;;;;
117;300002;10 employees or more;2010;9942.0;57.0;37.0;65.0;86.0;86.0;79.0;28.0;666976.0;659647.0;1873.0;1861.0;1354.0;1343.0;3388.0;2629.0;8085.0;1673.0;507.0;2162.0;1906.0;2150.0;1470.0;511.0
118;300002;10 employees or more;2011;9802.0;73.0;42.0;57.0;63.0;82.0;76.0;74.0;666816.0;659737.0;2552.0;2519.0;1114.0;1100.0;2227.0;3231.0;2628.0;7939.0;1565.0;1873.0;2131.0;1824.0;1972.0;1350.0
119;300002;10 employees or more;2012;9605.0;64.0;34.0;73.0;51.0;56.0;75.0;71.0;661520.0;654841.0;1592.0;1576.0;635.0;;4141.0;1775.0;2912.0;2549.0;7880.0;2552.0;1393.0;1970.0;1682.0;1850.0
120;300002;10 employees or more;2013;9335.0;58.0;38.0;64.0;67.0;46.0;52.0;69.0;652234.0;645814.0;1398.0;1377.0;1367.0;1351.0;2650.0;3671.0;1298.0;2756.0;2410.0;1592.0;2461.0;1202.0;1860.0;1459.0
121;300002;10 employees or more;2014;9144.0;48.0;42.0;56.0;58.0;58.0;40.0;48.0;646463.0;640228.0;1540.0;1531.0;1475.0;1462.0;2223.0;2430.0;;;2691.0;1261.0;1448.0;2178.0;1078.0;1744.0
122;300002;10 employees or more;2015;9094.0;24.0;30.0;45.0;51.0;54.0;51.0;35.0;646241.0;640105.0;646.0;640.0;911.0;901.0;2329.0;1999.0;2328.0;;;1475.0;995.0;1395.0;2022.0;911.0
123;300002;10 employees or more;2016;9198.0;22.0;31.0;22.0;44.0;48.0;53.0;49.0;656273.0;650105.0;686.0;683.0;782.0;771.0;1188.0;2497.0;1894.0;2110.0;;616.0;1456.0;956.0;1361.0;1969.0
124;300002;10 employees or more;2017;9339.0;33.0;17.0;22.0;21.0;44.0;46.0;46.0;666119.0;660130.0;1183.0;1174.0;377.0;367.0;1364.0;1125.0;2582.0;1682.0;2017.0;686.0;606.0;1456.0;906.0;1243.0
