ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
379;Total male and female;Total;Europe (including the Netherlands);Bonaire;2013;545;271;274
380;Total male and female;Total;Europe (including the Netherlands);Bonaire;2014;439;330;109
381;Total male and female;Total;Europe (including the Netherlands);Bonaire;2015;464;360;104
382;Total male and female;Total;Europe (including the Netherlands);Bonaire;2016;509;420;89
383;Total male and female;Total;Europe (including the Netherlands);Bonaire;2017;538;375;163
384;Total male and female;Total;Europe (including the Netherlands);Bonaire;2018;488;400;88
385;Total male and female;Total;Europe (including the Netherlands);Bonaire;2019;549;315;234
386;Total male and female;Total;Europe (including the Netherlands);Bonaire;2020;570;360;210
387;Total male and female;Total;Europe (including the Netherlands);Bonaire;2021;553;323;230
388;Total male and female;Total;Europe (including the Netherlands);Bonaire;2022;909;409;500
389;Total male and female;Total;Europe (including the Netherlands);Bonaire;2023;596;447;149
390;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2011;84;45;39
391;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2012;63;31;32
392;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2013;86;27;59
393;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2014;44;82;-38
394;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2015;34;63;-29
395;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2016;35;33;2
396;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2017;38;37;1
397;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2018;56;74;-18
398;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2019;50;45;5
399;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2020;40;25;15
400;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2021;33;52;-19
401;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2022;38;30;8
402;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2023;29;47;-18
403;Total male and female;Total;Europe (including the Netherlands);Saba;2011;58;26;32
404;Total male and female;Total;Europe (including the Netherlands);Saba;2012;46;31;15
405;Total male and female;Total;Europe (including the Netherlands);Saba;2013;48;47;1
406;Total male and female;Total;Europe (including the Netherlands);Saba;2014;58;35;23
407;Total male and female;Total;Europe (including the Netherlands);Saba;2015;54;32;22
408;Total male and female;Total;Europe (including the Netherlands);Saba;2016;39;36;3
409;Total male and female;Total;Europe (including the Netherlands);Saba;2017;32;19;13
410;Total male and female;Total;Europe (including the Netherlands);Saba;2018;32;53;-21
411;Total male and female;Total;Europe (including the Netherlands);Saba;2019;18;44;-26
412;Total male and female;Total;Europe (including the Netherlands);Saba;2020;33;30;3
413;Total male and female;Total;Europe (including the Netherlands);Saba;2021;49;33;16
414;Total male and female;Total;Europe (including the Netherlands);Saba;2022;30;42;-12
415;Total male and female;Total;Europe (including the Netherlands);Saba;2023;24;28;-4
416;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2011;136;48;88
417;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2012;103;51;52
418;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2013;100;47;53
419;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2014;75;94;-19
420;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2015;71;54;17
421;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2016;72;101;-29
422;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2017;71;42;29
423;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2018;74;102;-28
424;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2019;80;53;27
425;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2020;58;30;28
426;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2021;62;35;27
427;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2022;91;42;49
428;Total male and female;Total;Europe (excluding the Netherlands);Caribbean Netherlands;2023;71;45;26
429;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2011;64;22;42
430;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2012;56;25;31
431;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2013;62;10;52
432;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2014;40;22;18
433;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2015;35;16;19
434;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2016;49;82;-33
435;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2017;51;26;25
436;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2018;39;27;12
437;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2019;54;23;31
438;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2020;44;16;28
439;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2021;34;21;13
440;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2022;70;19;51
441;Total male and female;Total;Europe (excluding the Netherlands);Bonaire;2023;57;26;31
442;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2011;33;7;26
443;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2012;21;6;15
444;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2013;14;6;8
445;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2014;9;49;-40
446;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2015;11;22;-11
447;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2016;8;1;7
448;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2017;6;11;-5
449;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2018;20;37;-17
450;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2019;17;13;4
451;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2020;7;4;3
452;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2021;5;4;1
453;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2022;9;10;-1
454;Total male and female;Total;Europe (excluding the Netherlands);St Eustatius;2023;10;8;2
455;Total male and female;Total;Europe (excluding the Netherlands);Saba;2011;39;19;20
456;Total male and female;Total;Europe (excluding the Netherlands);Saba;2012;26;20;6
457;Total male and female;Total;Europe (excluding the Netherlands);Saba;2013;24;31;-7
458;Total male and female;Total;Europe (excluding the Netherlands);Saba;2014;26;23;3
459;Total male and female;Total;Europe (excluding the Netherlands);Saba;2015;25;16;9
460;Total male and female;Total;Europe (excluding the Netherlands);Saba;2016;15;18;-3
461;Total male and female;Total;Europe (excluding the Netherlands);Saba;2017;14;5;9
462;Total male and female;Total;Europe (excluding the Netherlands);Saba;2018;15;38;-23
463;Total male and female;Total;Europe (excluding the Netherlands);Saba;2019;9;17;-8
464;Total male and female;Total;Europe (excluding the Netherlands);Saba;2020;7;10;-3
465;Total male and female;Total;Europe (excluding the Netherlands);Saba;2021;23;10;13
466;Total male and female;Total;Europe (excluding the Netherlands);Saba;2022;12;13;-1
467;Total male and female;Total;Europe (excluding the Netherlands);Saba;2023;4;11;-7
468;Total male and female;Total;Oceania;Caribbean Netherlands;2011;2;4;-2
469;Total male and female;Total;Oceania;Caribbean Netherlands;2012;2;0;2
470;Total male and female;Total;Oceania;Caribbean Netherlands;2013;4;2;2
471;Total male and female;Total;Oceania;Caribbean Netherlands;2014;2;1;1
472;Total male and female;Total;Oceania;Caribbean Netherlands;2015;2;5;-3
473;Total male and female;Total;Oceania;Caribbean Netherlands;2016;1;3;-2
474;Total male and female;Total;Oceania;Caribbean Netherlands;2017;2;3;-1
475;Total male and female;Total;Oceania;Caribbean Netherlands;2018;0;2;-2
476;Total male and female;Total;Oceania;Caribbean Netherlands;2019;4;2;2
477;Total male and female;Total;Oceania;Caribbean Netherlands;2020;4;1;3
478;Total male and female;Total;Oceania;Caribbean Netherlands;2021;2;3;-1
479;Total male and female;Total;Oceania;Caribbean Netherlands;2022;4;5;-1
480;Total male and female;Total;Oceania;Caribbean Netherlands;2023;1;2;-1
481;Total male and female;Total;Oceania;Bonaire;2011;2;1;1
482;Total male and female;Total;Oceania;Bonaire;2012;0;0;0
483;Total male and female;Total;Oceania;Bonaire;2013;2;0;2
484;Total male and female;Total;Oceania;Bonaire;2014;1;0;1
485;Total male and female;Total;Oceania;Bonaire;2015;1;1;0
486;Total male and female;Total;Oceania;Bonaire;2016;0;1;-1
487;Total male and female;Total;Oceania;Bonaire;2017;2;3;-1
488;Total male and female;Total;Oceania;Bonaire;2018;0;1;-1
489;Total male and female;Total;Oceania;Bonaire;2019;4;1;3
490;Total male and female;Total;Oceania;Bonaire;2020;1;1;0
491;Total male and female;Total;Oceania;Bonaire;2021;1;3;-2
492;Total male and female;Total;Oceania;Bonaire;2022;4;2;2
493;Total male and female;Total;Oceania;Bonaire;2023;1;1;0
494;Total male and female;Total;Oceania;St Eustatius;2011;0;0;0
495;Total male and female;Total;Oceania;St Eustatius;2012;0;0;0
496;Total male and female;Total;Oceania;St Eustatius;2013;0;0;0
497;Total male and female;Total;Oceania;St Eustatius;2014;0;0;0
498;Total male and female;Total;Oceania;St Eustatius;2015;0;4;-4
499;Total male and female;Total;Oceania;St Eustatius;2016;0;0;0
500;Total male and female;Total;Oceania;St Eustatius;2017;0;0;0
501;Total male and female;Total;Oceania;St Eustatius;2018;0;0;0
502;Total male and female;Total;Oceania;St Eustatius;2019;0;0;0
503;Total male and female;Total;Oceania;St Eustatius;2020;0;0;0
504;Total male and female;Total;Oceania;St Eustatius;2021;0;0;0
505;Total male and female;Total;Oceania;St Eustatius;2022;0;0;0
506;Total male and female;Total;Oceania;St Eustatius;2023;0;0;0
507;Total male and female;Total;Oceania;Saba;2011;0;3;-3
508;Total male and female;Total;Oceania;Saba;2012;2;0;2
509;Total male and female;Total;Oceania;Saba;2013;2;2;0
510;Total male and female;Total;Oceania;Saba;2014;1;1;0
511;Total male and female;Total;Oceania;Saba;2015;1;0;1
512;Total male and female;Total;Oceania;Saba;2016;1;2;-1
513;Total male and female;Total;Oceania;Saba;2017;0;0;0
514;Total male and female;Total;Oceania;Saba;2018;0;1;-1
515;Total male and female;Total;Oceania;Saba;2019;0;1;-1
516;Total male and female;Total;Oceania;Saba;2020;3;0;3
517;Total male and female;Total;Oceania;Saba;2021;1;0;1
518;Total male and female;Total;Oceania;Saba;2022;0;3;-3
519;Total male and female;Total;Oceania;Saba;2023;0;1;-1
520;Total male and female;Total;Central and South America;Caribbean Netherlands;2011;864;676;188
521;Total male and female;Total;Central and South America;Caribbean Netherlands;2012;983;624;359
522;Total male and female;Total;Central and South America;Caribbean Netherlands;2013;1071;535;536
523;Total male and female;Total;Central and South America;Caribbean Netherlands;2014;864;598;266
524;Total male and female;Total;Central and South America;Caribbean Netherlands;2015;844;842;2
525;Total male and female;Total;Central and South America;Caribbean Netherlands;2016;877;871;6
526;Total male and female;Total;Central and South America;Caribbean Netherlands;2017;966;754;212
527;Total male and female;Total;Central and South America;Caribbean Netherlands;2018;867;804;63
528;Total male and female;Total;Central and South America;Caribbean Netherlands;2019;1029;600;429
529;Total male and female;Total;Central and South America;Caribbean Netherlands;2020;880;477;403
530;Total male and female;Total;Central and South America;Caribbean Netherlands;2021;1159;590;569
531;Total male and female;Total;Central and South America;Caribbean Netherlands;2022;1385;542;843
532;Total male and female;Total;Central and South America;Caribbean Netherlands;2023;1371;713;658
533;Total male and female;Total;Central and South America;Bonaire;2011;675;520;155
534;Total male and female;Total;Central and South America;Bonaire;2012;801;484;317
535;Total male and female;Total;Central and South America;Bonaire;2013;810;372;438
536;Total male and female;Total;Central and South America;Bonaire;2014;685;425;260
537;Total male and female;Total;Central and South America;Bonaire;2015;667;382;285
538;Total male and female;Total;Central and South America;Bonaire;2016;691;751;-60
539;Total male and female;Total;Central and South America;Bonaire;2017;727;634;93
540;Total male and female;Total;Central and South America;Bonaire;2018;715;449;266
541;Total male and female;Total;Central and South America;Bonaire;2019;832;409;423
542;Total male and female;Total;Central and South America;Bonaire;2020;776;318;458
543;Total male and female;Total;Central and South America;Bonaire;2021;956;493;463
544;Total male and female;Total;Central and South America;Bonaire;2022;1198;427;771
545;Total male and female;Total;Central and South America;Bonaire;2023;1143;471;672
546;Total male and female;Total;Central and South America;St Eustatius;2011;128;86;42
547;Total male and female;Total;Central and South America;St Eustatius;2012;119;80;39
548;Total male and female;Total;Central and South America;St Eustatius;2013;188;122;66
549;Total male and female;Total;Central and South America;St Eustatius;2014;105;120;-15
550;Total male and female;Total;Central and South America;St Eustatius;2015;116;439;-323
551;Total male and female;Total;Central and South America;St Eustatius;2016;126;73;53
552;Total male and female;Total;Central and South America;St Eustatius;2017;184;81;103
553;Total male and female;Total;Central and South America;St Eustatius;2018;98;261;-163
554;Total male and female;Total;Central and South America;St Eustatius;2019;137;139;-2
