ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
507;Total sales;052 Lignite;2000 January;;;
508;Total sales;052 Lignite;2000 February;;;
509;Total sales;052 Lignite;2000 March;;;
510;Total sales;052 Lignite;2000 April;;;
511;Total sales;052 Lignite;2000 May;;;
512;Total sales;052 Lignite;2000 June;;;
513;Total sales;052 Lignite;2000 July;;;
514;Total sales;052 Lignite;2000 August;;;
515;Total sales;052 Lignite;2000 September;;;
516;Total sales;052 Lignite;2000 October;;;
517;Total sales;052 Lignite;2000 November;;;
518;Total sales;052 Lignite;2000 December;;;
519;Total sales;052 Lignite;2000;;;
520;Total sales;052 Lignite;2001 January;;;
521;Total sales;052 Lignite;2001 February;;;
522;Total sales;052 Lignite;2001 March;;;
523;Total sales;052 Lignite;2001 April;;;
524;Total sales;052 Lignite;2001 May;;;
525;Total sales;052 Lignite;2001 June;;;
526;Total sales;052 Lignite;2001 July;;;
527;Total sales;052 Lignite;2001 August;;;
528;Total sales;052 Lignite;2001 September;;;
529;Total sales;052 Lignite;2001 October;;;
530;Total sales;052 Lignite;2001 November;;;
531;Total sales;052 Lignite;2001 December;;;
532;Total sales;052 Lignite;2001;;;
533;Total sales;052 Lignite;2002 January;;;
534;Total sales;052 Lignite;2002 February;;;
535;Total sales;052 Lignite;2002 March;;;
536;Total sales;052 Lignite;2002 April;;;
537;Total sales;052 Lignite;2002 May;;;
538;Total sales;052 Lignite;2002 June;;;
539;Total sales;052 Lignite;2002 July;;;
540;Total sales;052 Lignite;2002 August;;;
541;Total sales;052 Lignite;2002 September;;;
542;Total sales;052 Lignite;2002 October;;;
543;Total sales;052 Lignite;2002 November;;;
544;Total sales;052 Lignite;2002 December;;;
545;Total sales;052 Lignite;2002;;;
546;Total sales;052 Lignite;2003 January;;;
547;Total sales;052 Lignite;2003 February;;;
548;Total sales;052 Lignite;2003 March;;;
549;Total sales;052 Lignite;2003 April;;;
550;Total sales;052 Lignite;2003 May;;;
551;Total sales;052 Lignite;2003 June;;;
552;Total sales;052 Lignite;2003 July;;;
553;Total sales;052 Lignite;2003 August;;;
554;Total sales;052 Lignite;2003 September;;;
555;Total sales;052 Lignite;2003 October;;;
556;Total sales;052 Lignite;2003 November;;;
557;Total sales;052 Lignite;2003 December;;;
558;Total sales;052 Lignite;2003;;;
559;Total sales;052 Lignite;2004 January;;;
560;Total sales;052 Lignite;2004 February;;;
561;Total sales;052 Lignite;2004 March;;;
562;Total sales;052 Lignite;2004 April;;;
563;Total sales;052 Lignite;2004 May;;;
564;Total sales;052 Lignite;2004 June;;;
565;Total sales;052 Lignite;2004 July;;;
566;Total sales;052 Lignite;2004 August;;;
567;Total sales;052 Lignite;2004 September;;;
568;Total sales;052 Lignite;2004 October;;;
569;Total sales;052 Lignite;2004 November;;;
570;Total sales;052 Lignite;2004 December;;;
571;Total sales;052 Lignite;2004;;;
572;Total sales;052 Lignite;2005 January;;;
573;Total sales;052 Lignite;2005 February;;;
574;Total sales;052 Lignite;2005 March;;;
575;Total sales;052 Lignite;2005 April;;;
576;Total sales;052 Lignite;2005 May;;;
577;Total sales;052 Lignite;2005 June;;;
578;Total sales;052 Lignite;2005 July;;;
579;Total sales;052 Lignite;2005 August;;;
580;Total sales;052 Lignite;2005 September;;;
581;Total sales;052 Lignite;2005 October;;;
582;Total sales;052 Lignite;2005 November;;;
583;Total sales;052 Lignite;2005 December;;;
584;Total sales;052 Lignite;2005;;;
585;Total sales;052 Lignite;2006 January;;;
586;Total sales;052 Lignite;2006 February;;;
587;Total sales;052 Lignite;2006 March;;;
588;Total sales;052 Lignite;2006 April;;;
589;Total sales;052 Lignite;2006 May;;;
590;Total sales;052 Lignite;2006 June;;;
591;Total sales;052 Lignite;2006 July;;;
592;Total sales;052 Lignite;2006 August;;;
593;Total sales;052 Lignite;2006 September;;;
594;Total sales;052 Lignite;2006 October;;;
595;Total sales;052 Lignite;2006 November;;;
596;Total sales;052 Lignite;2006 December;;;
597;Total sales;052 Lignite;2006;;;
598;Total sales;052 Lignite;2007 January;;;
599;Total sales;052 Lignite;2007 February;;;
600;Total sales;052 Lignite;2007 March;;;
601;Total sales;052 Lignite;2007 April;;;
602;Total sales;052 Lignite;2007 May;;;
603;Total sales;052 Lignite;2007 June;;;
604;Total sales;052 Lignite;2007 July;;;
605;Total sales;052 Lignite;2007 August;;;
606;Total sales;052 Lignite;2007 September;;;
607;Total sales;052 Lignite;2007 October;;;
608;Total sales;052 Lignite;2007 November;;;
609;Total sales;052 Lignite;2007 December;;;
610;Total sales;052 Lignite;2007;;;
611;Total sales;052 Lignite;2008 January;;;
612;Total sales;052 Lignite;2008 February;;;
613;Total sales;052 Lignite;2008 March;;;
614;Total sales;052 Lignite;2008 April;;;
615;Total sales;052 Lignite;2008 May;;;
616;Total sales;052 Lignite;2008 June;;;
617;Total sales;052 Lignite;2008 July;;;
618;Total sales;052 Lignite;2008 August;;;
619;Total sales;052 Lignite;2008 September;;;
620;Total sales;052 Lignite;2008 October;;;
621;Total sales;052 Lignite;2008 November;;;
622;Total sales;052 Lignite;2008 December;;;
623;Total sales;052 Lignite;2008;;;
624;Total sales;052 Lignite;2009 January;;;
625;Total sales;052 Lignite;2009 February;;;
626;Total sales;052 Lignite;2009 March;;;
627;Total sales;052 Lignite;2009 April;;;
628;Total sales;052 Lignite;2009 May;;;
629;Total sales;052 Lignite;2009 June;;;
630;Total sales;052 Lignite;2009 July;;;
631;Total sales;052 Lignite;2009 August;;;
632;Total sales;052 Lignite;2009 September;;;
633;Total sales;052 Lignite;2009 October;;;
634;Total sales;052 Lignite;2009 November;;;
635;Total sales;052 Lignite;2009 December;;;
636;Total sales;052 Lignite;2009;;;
637;Total sales;052 Lignite;2010 January;;;
638;Total sales;052 Lignite;2010 February;;;
639;Total sales;052 Lignite;2010 March;;;
640;Total sales;052 Lignite;2010 April;;;
641;Total sales;052 Lignite;2010 May;;;
642;Total sales;052 Lignite;2010 June;;;
643;Total sales;052 Lignite;2010 July;;;
644;Total sales;052 Lignite;2010 August;;;
645;Total sales;052 Lignite;2010 September;;;
646;Total sales;052 Lignite;2010 October;;;
647;Total sales;052 Lignite;2010 November;;;
648;Total sales;052 Lignite;2010 December;;;
649;Total sales;052 Lignite;2010;;;
650;Total sales;052 Lignite;2011 January;;;
651;Total sales;052 Lignite;2011 February;;;
652;Total sales;052 Lignite;2011 March;;;
653;Total sales;052 Lignite;2011 April;;;
654;Total sales;052 Lignite;2011 May;;;
655;Total sales;052 Lignite;2011 June;;;
656;Total sales;052 Lignite;2011 July;;;
657;Total sales;052 Lignite;2011 August;;;
658;Total sales;052 Lignite;2011 September;;;
659;Total sales;052 Lignite;2011 October;;;
660;Total sales;052 Lignite;2011 November;;;
661;Total sales;052 Lignite;2011 December;;;
662;Total sales;052 Lignite;2011;;;
663;Total sales;052 Lignite;2012 January;;;
664;Total sales;052 Lignite;2012 February;;;
665;Total sales;052 Lignite;2012 March;;;
666;Total sales;052 Lignite;2012 April;;;
667;Total sales;052 Lignite;2012 May;;;
668;Total sales;052 Lignite;2012 June;;;
669;Total sales;052 Lignite;2012 July;;;
670;Total sales;052 Lignite;2012 August;;;
671;Total sales;052 Lignite;2012 September;;;
672;Total sales;052 Lignite;2012 October;;;
673;Total sales;052 Lignite;2012 November;;;
674;Total sales;052 Lignite;2012 December;;;
675;Total sales;052 Lignite;2012;;;
676;Total sales;06 Crude petroleum, natural gas...;2000 January;54.1;;
677;Total sales;06 Crude petroleum, natural gas...;2000 February;55.1;1.8;
678;Total sales;06 Crude petroleum, natural gas...;2000 March;56.0;1.6;
679;Total sales;06 Crude petroleum, natural gas...;2000 April;63.0;12.7;
680;Total sales;06 Crude petroleum, natural gas...;2000 May;65.9;4.4;
681;Total sales;06 Crude petroleum, natural gas...;2000 June;66.6;1.2;
682;Total sales;06 Crude petroleum, natural gas...;2000 July;72.0;8.1;
683;Total sales;06 Crude petroleum, natural gas...;2000 August;73.1;1.5;
684;Total sales;06 Crude petroleum, natural gas...;2000 September;73.9;1.1;
685;Total sales;06 Crude petroleum, natural gas...;2000 October;76.9;4.1;
686;Total sales;06 Crude petroleum, natural gas...;2000 November;77.4;0.6;
687;Total sales;06 Crude petroleum, natural gas...;2000 December;78.6;1.5;
688;Total sales;06 Crude petroleum, natural gas...;2000;67.7;;
689;Total sales;06 Crude petroleum, natural gas...;2001 January;82.3;4.8;52.2
690;Total sales;06 Crude petroleum, natural gas...;2001 February;85.0;3.2;54.4
691;Total sales;06 Crude petroleum, natural gas...;2001 March;85.0;0.1;52.0
692;Total sales;06 Crude petroleum, natural gas...;2001 April;81.1;-4.6;28.6
693;Total sales;06 Crude petroleum, natural gas...;2001 May;81.7;0.7;24.0
694;Total sales;06 Crude petroleum, natural gas...;2001 June;82.7;1.2;24.1
695;Total sales;06 Crude petroleum, natural gas...;2001 July;81.1;-1.9;12.6
696;Total sales;06 Crude petroleum, natural gas...;2001 August;78.1;-3.8;6.8
697;Total sales;06 Crude petroleum, natural gas...;2001 September;76.1;-2.5;2.9
698;Total sales;06 Crude petroleum, natural gas...;2001 October;73.8;-3.0;-4.1
699;Total sales;06 Crude petroleum, natural gas...;2001 November;72.3;-2.0;-6.6
700;Total sales;06 Crude petroleum, natural gas...;2001 December;71.3;-1.3;-9.2
701;Total sales;06 Crude petroleum, natural gas...;2001;79.2;;17.0
702;Total sales;06 Crude petroleum, natural gas...;2002 January;69.1;-3.1;-16.1
703;Total sales;06 Crude petroleum, natural gas...;2002 February;70.0;1.2;-17.7
704;Total sales;06 Crude petroleum, natural gas...;2002 March;69.2;-1.1;-18.7
705;Total sales;06 Crude petroleum, natural gas...;2002 April;69.5;0.6;-14.2
706;Total sales;06 Crude petroleum, natural gas...;2002 May;69.2;-0.5;-15.3
707;Total sales;06 Crude petroleum, natural gas...;2002 June;67.6;-2.3;-18.2
708;Total sales;06 Crude petroleum, natural gas...;2002 July;70.7;4.6;-12.8
709;Total sales;06 Crude petroleum, natural gas...;2002 August;70.5;-0.3;-9.6
710;Total sales;06 Crude petroleum, natural gas...;2002 September;70.1;-0.7;-7.9
711;Total sales;06 Crude petroleum, natural gas...;2002 October;73.3;4.7;-0.6
712;Total sales;06 Crude petroleum, natural gas...;2002 November;74.3;1.3;2.7
713;Total sales;06 Crude petroleum, natural gas...;2002 December;76.5;2.9;7.2
714;Total sales;06 Crude petroleum, natural gas...;2002;70.8;;-10.6
715;Total sales;06 Crude petroleum, natural gas...;2003 January;79.1;3.5;14.5
716;Total sales;06 Crude petroleum, natural gas...;2003 February;79.5;0.5;13.7
717;Total sales;06 Crude petroleum, natural gas...;2003 March;78.9;-0.8;14.1
718;Total sales;06 Crude petroleum, natural gas...;2003 April;80.0;1.4;15.1
719;Total sales;06 Crude petroleum, natural gas...;2003 May;81.3;1.6;17.5
720;Total sales;06 Crude petroleum, natural gas...;2003 June;81.7;0.4;20.7
721;Total sales;06 Crude petroleum, natural gas...;2003 July;73.0;-10.6;3.3
722;Total sales;06 Crude petroleum, natural gas...;2003 August;72.3;-1.0;2.6
723;Total sales;06 Crude petroleum, natural gas...;2003 September;71.1;-1.8;1.4
724;Total sales;06 Crude petroleum, natural gas...;2003 October;71.2;0.3;-2.8
725;Total sales;06 Crude petroleum, natural gas...;2003 November;71.9;0.9;-3.2
726;Total sales;06 Crude petroleum, natural gas...;2003 December;74.6;3.8;-2.4
727;Total sales;06 Crude petroleum, natural gas...;2003;76.2;;7.6
728;Total sales;06 Crude petroleum, natural gas...;2004 January;72.9;-2.2;-7.9
729;Total sales;06 Crude petroleum, natural gas...;2004 February;73.4;0.6;-7.7
730;Total sales;06 Crude petroleum, natural gas...;2004 March;73.0;-0.6;-7.6
731;Total sales;06 Crude petroleum, natural gas...;2004 April;71.8;-1.7;-10.3
732;Total sales;06 Crude petroleum, natural gas...;2004 May;71.0;-1.0;-12.6
733;Total sales;06 Crude petroleum, natural gas...;2004 June;71.7;0.9;-12.2
734;Total sales;06 Crude petroleum, natural gas...;2004 July;73.0;1.9;0.0
735;Total sales;06 Crude petroleum, natural gas...;2004 August;72.6;-0.6;0.3
736;Total sales;06 Crude petroleum, natural gas...;2004 September;73.8;1.7;3.9
737;Total sales;06 Crude petroleum, natural gas...;2004 October;79.9;8.2;12.1
738;Total sales;06 Crude petroleum, natural gas...;2004 November;81.3;1.8;13.1
739;Total sales;06 Crude petroleum, natural gas...;2004 December;81.7;0.5;9.5
740;Total sales;06 Crude petroleum, natural gas...;2004;74.7;;-2.0
741;Total sales;06 Crude petroleum, natural gas...;2005 January;87.7;7.4;20.3
742;Total sales;06 Crude petroleum, natural gas...;2005 February;88.1;0.4;20.0
743;Total sales;06 Crude petroleum, natural gas...;2005 March;88.8;0.8;21.8
744;Total sales;06 Crude petroleum, natural gas...;2005 April;93.1;4.8;29.8
745;Total sales;06 Crude petroleum, natural gas...;2005 May;92.7;-0.4;30.5
746;Total sales;06 Crude petroleum, natural gas...;2005 June;95.2;2.7;32.9
747;Total sales;06 Crude petroleum, natural gas...;2005 July;99.7;4.7;36.5
748;Total sales;06 Crude petroleum, natural gas...;2005 August;102.9;3.2;41.8
749;Total sales;06 Crude petroleum, natural gas...;2005 September;104.9;2.0;42.2
750;Total sales;06 Crude petroleum, natural gas...;2005 October;113.1;7.8;41.6
751;Total sales;06 Crude petroleum, natural gas...;2005 November;113.3;0.2;39.4
752;Total sales;06 Crude petroleum, natural gas...;2005 December;120.3;6.2;47.3
753;Total sales;06 Crude petroleum, natural gas...;2005;100.0;;33.9
754;Total sales;06 Crude petroleum, natural gas...;2006 January;125.6;4.4;43.2
755;Total sales;06 Crude petroleum, natural gas...;2006 February;125.6;0.0;42.6
756;Total sales;06 Crude petroleum, natural gas...;2006 March;127.2;1.2;43.2
757;Total sales;06 Crude petroleum, natural gas...;2006 April;131.2;3.2;40.9
758;Total sales;06 Crude petroleum, natural gas...;2006 May;136.8;4.3;47.6
759;Total sales;06 Crude petroleum, natural gas...;2006 June;136.5;-0.2;43.4
760;Total sales;06 Crude petroleum, natural gas...;2006 July;135.7;-0.6;36.1
761;Total sales;06 Crude petroleum, natural gas...;2006 August;135.6;-0.1;31.8
762;Total sales;06 Crude petroleum, natural gas...;2006 September;136.6;0.7;30.2
763;Total sales;06 Crude petroleum, natural gas...;2006 October;135.8;-0.6;20.1
764;Total sales;06 Crude petroleum, natural gas...;2006 November;134.4;-1.0;18.6
765;Total sales;06 Crude petroleum, natural gas...;2006 December;134.9;0.4;12.1
766;Total sales;06 Crude petroleum, natural gas...;2006;133.0;;33.0
767;Total sales;06 Crude petroleum, natural gas...;2007 January;136.0;0.8;8.3
768;Total sales;06 Crude petroleum, natural gas...;2007 February;133.8;-1.6;6.5
769;Total sales;06 Crude petroleum, natural gas...;2007 March;134.6;0.6;5.9
770;Total sales;06 Crude petroleum, natural gas...;2007 April;133.8;-0.6;1.9
771;Total sales;06 Crude petroleum, natural gas...;2007 May;131.8;-1.5;-3.7
772;Total sales;06 Crude petroleum, natural gas...;2007 June;129.6;-1.7;-5.1
773;Total sales;06 Crude petroleum, natural gas...;2007 July;136.0;5.0;0.2
774;Total sales;06 Crude petroleum, natural gas...;2007 August;134.6;-1.1;-0.8
775;Total sales;06 Crude petroleum, natural gas...;2007 September;132.3;-1.7;-3.2
776;Total sales;06 Crude petroleum, natural gas...;2007 October;134.7;1.8;-0.8
777;Total sales;06 Crude petroleum, natural gas...;2007 November;135.2;0.4;0.6
778;Total sales;06 Crude petroleum, natural gas...;2007 December;136.4;0.9;1.1
779;Total sales;06 Crude petroleum, natural gas...;2007;134.1;;0.8
780;Total sales;06 Crude petroleum, natural gas...;2008 January;142.5;4.5;4.8
781;Total sales;06 Crude petroleum, natural gas...;2008 February;146.7;2.9;9.6
782;Total sales;06 Crude petroleum, natural gas...;2008 March;150.0;2.3;11.4
783;Total sales;06 Crude petroleum, natural gas...;2008 April;157.0;4.6;17.4
784;Total sales;06 Crude petroleum, natural gas...;2008 May;167.7;6.8;27.3
785;Total sales;06 Crude petroleum, natural gas...;2008 June;177.1;5.6;36.7
786;Total sales;06 Crude petroleum, natural gas...;2008 July;193.0;9.0;41.9
787;Total sales;06 Crude petroleum, natural gas...;2008 August;196.0;1.6;45.7
788;Total sales;06 Crude petroleum, natural gas...;2008 September;189.8;-3.1;43.5
789;Total sales;06 Crude petroleum, natural gas...;2008 October;193.9;2.1;43.9
790;Total sales;06 Crude petroleum, natural gas...;2008 November;186.1;-4.0;37.7
791;Total sales;06 Crude petroleum, natural gas...;2008 December;185.6;-0.3;36.1
792;Total sales;06 Crude petroleum, natural gas...;2008;173.8;;29.6
793;Total sales;06 Crude petroleum, natural gas...;2009 January;167.0;-10.0;17.1
794;Total sales;06 Crude petroleum, natural gas...;2009 February;162.1;-2.9;10.5
795;Total sales;06 Crude petroleum, natural gas...;2009 March;155.1;-4.3;3.4
796;Total sales;06 Crude petroleum, natural gas...;2009 April;131.0;-15.5;-16.5
797;Total sales;06 Crude petroleum, natural gas...;2009 May;124.1;-5.3;-26.0
798;Total sales;06 Crude petroleum, natural gas...;2009 June;120.7;-2.7;-31.8
799;Total sales;06 Crude petroleum, natural gas...;2009 July;111.1;-7.9;-42.4
800;Total sales;06 Crude petroleum, natural gas...;2009 August;108.5;-2.4;-44.6
801;Total sales;06 Crude petroleum, natural gas...;2009 September;108.2;-0.2;-43.0
802;Total sales;06 Crude petroleum, natural gas...;2009 October;114.2;5.5;-41.1
803;Total sales;06 Crude petroleum, natural gas...;2009 November;118.0;3.3;-36.6
804;Total sales;06 Crude petroleum, natural gas...;2009 December;117.4;-0.5;-36.7
805;Total sales;06 Crude petroleum, natural gas...;2009;128.1;;-26.3
806;Total sales;06 Crude petroleum, natural gas...;2010 January;114.8;-2.3;-31.3
807;Total sales;06 Crude petroleum, natural gas...;2010 February;117.5;2.4;-27.5
808;Total sales;06 Crude petroleum, natural gas...;2010 March;119.6;1.8;-22.9
809;Total sales;06 Crude petroleum, natural gas...;2010 April;122.5;2.4;-6.5
810;Total sales;06 Crude petroleum, natural gas...;2010 May;123.1;0.5;-0.8
811;Total sales;06 Crude petroleum, natural gas...;2010 June;130.3;5.8;7.9
812;Total sales;06 Crude petroleum, natural gas...;2010 July;141.2;8.4;27.1
813;Total sales;06 Crude petroleum, natural gas...;2010 August;141.6;0.3;30.5
814;Total sales;06 Crude petroleum, natural gas...;2010 September;138.2;-2.4;27.7
