ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
303;"59 Film- en tv-productie; geluidsopname";2008 4e kwartaal;113.8;1.5;;
304;"59 Film- en tv-productie; geluidsopname";2008;93.6;1.5;;
305;"59 Film- en tv-productie; geluidsopname";2009 1e kwartaal;87.8;1.4;;
306;"59 Film- en tv-productie; geluidsopname";2009 2e kwartaal;89.0;1.2;;
307;"59 Film- en tv-productie; geluidsopname";2009 3e kwartaal;85.6;-0.5;;
308;"59 Film- en tv-productie; geluidsopname";2009 4e kwartaal;109.5;-3.8;;
309;"59 Film- en tv-productie; geluidsopname";2009;93.0;-0.7;;
310;"59 Film- en tv-productie; geluidsopname";2010 1e kwartaal;79.0;-10.0;;
311;"59 Film- en tv-productie; geluidsopname";2010 2e kwartaal;75.2;-15.5;;
312;"59 Film- en tv-productie; geluidsopname";2010 3e kwartaal;81.4;-4.8;;
313;"59 Film- en tv-productie; geluidsopname";2010 4e kwartaal;106.7;-2.6;;
314;"59 Film- en tv-productie; geluidsopname";2010;85.6;-7.9;;
315;"59 Film- en tv-productie; geluidsopname";2011 1e kwartaal;83.1;5.2;;
316;"59 Film- en tv-productie; geluidsopname";2011 2e kwartaal;87.9;16.9;;
317;"59 Film- en tv-productie; geluidsopname";2011 3e kwartaal;80.1;-1.6;;
318;"59 Film- en tv-productie; geluidsopname";2011 4e kwartaal;107.3;0.5;;
319;"59 Film- en tv-productie; geluidsopname";2011;89.6;4.7;;
320;"59 Film- en tv-productie; geluidsopname";2012 1e kwartaal;80.7;-2.8;;
321;"59 Film- en tv-productie; geluidsopname";2012 2e kwartaal;83.1;-5.4;;
322;"59 Film- en tv-productie; geluidsopname";2012 3e kwartaal;84.3;5.2;;
323;"59 Film- en tv-productie; geluidsopname";2012 4e kwartaal;107.1;-0.1;;
324;"59 Film- en tv-productie; geluidsopname";2012;88.8;-0.9;;
325;"59 Film- en tv-productie; geluidsopname";2013 1e kwartaal;82.8;2.5;88.6;
326;"59 Film- en tv-productie; geluidsopname";2013 2e kwartaal;87.5;5.2;90.9;2.6
327;"59 Film- en tv-productie; geluidsopname";2013 3e kwartaal;81.8;-3.0;89.9;-1.1
328;"59 Film- en tv-productie; geluidsopname";2013 4e kwartaal;107.2;0.1;89.7;-0.3
329;"59 Film- en tv-productie; geluidsopname";2013;89.8;1.1;89.8;
