ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
398;Scherpenzeel;6639;40.4;2684;2681;3;594;10;7;70;5;123;5;289;43;1054;481;22.2;0.4;0.3;2.6;0.2;4.6;0.2;10.8;1.6;39.3;17.9;0279;2;25;13;07
399;Schiedam;55796;23.9;13333;13285;48;2751;176;115;716;197;1612;27;3524;1119;589;2459;20.7;1.3;0.9;5.4;1.5;12.1;0.2;26.5;8.4;4.4;18.5;0606;3;28;29;14
400;Schiermonnikoog;817;49.2;402;402;0;97;0;1;20;1;62;0;101;13;14;93;24.1;0.0;0.2;5.0;0.2;15.4;0.0;25.1;3.2;3.5;23.1;0088;1;21;04;02
401;Schijndel;17229;26.8;4621;4604;17;1689;29;36;150;11;327;11;863;717;23;748;36.7;0.6;0.8;3.3;0.2;7.1;0.2;18.7;15.6;0.5;16.2;0844;4;30;35;18
402;Schinnen;10482;33.8;3541;3521;20;1872;6;10;170;23;420;2;451;155;21;391;53.2;0.2;0.3;4.8;0.7;11.9;0.1;12.8;4.4;0.6;11.1;0962;4;31;39;19
403;Schipluiden;7599;36.8;2794;2785;9;1190;4;19;147;5;248;3;306;55;171;637;42.7;0.1;0.7;5.3;0.2;8.9;0.1;11.0;2.0;6.1;22.9;0607;3;28;27;14
404;Schoonhoven;8825;34.1;3005;2991;14;689;14;21;163;7;337;12;533;104;517;594;23.0;0.5;0.7;5.4;0.2;11.3;0.4;17.8;3.5;17.3;19.9;0608;3;28;28;15
405;Schoorl;5217;35.0;1828;1822;6;334;17;12;124;3;295;6;396;97;20;518;18.3;0.9;0.7;6.8;0.2;16.2;0.3;21.7;5.3;1.1;28.4;0444;3;27;19;11
406;Schouwen-Duiveland;25764;37.6;9700;9662;38;2033;22;47;421;40;718;17;1831;260;2031;2242;21.0;0.2;0.5;4.4;0.4;7.4;0.2;19.0;2.7;21.0;23.2;1676;3;29;32;16
407;Sevenum;5510;29.2;1607;1600;7;1004;3;5;51;0;99;2;184;75;8;169;62.8;0.2;0.3;3.2;0.0;6.2;0.1;11.5;4.7;0.5;10.6;0964;4;31;37;19
408;Simpelveld;8735;29.8;2607;2592;15;1399;17;4;77;11;171;9;485;151;7;261;54.0;0.7;0.2;3.0;0.4;6.6;0.3;18.7;5.8;0.3;10.1;0965;4;31;39;19
409;Sint Anthonis;8461;40.6;3434;3417;17;2223;10;24;91;6;254;4;324;128;11;342;65.1;0.3;0.7;2.7;0.2;7.4;0.1;9.5;3.7;0.3;10.0;1702;4;30;35;18
410;Sint-Michielsgestel;20948;28.3;5931;5903;28;2317;19;41;300;12;518;4;1096;461;51;1084;39.3;0.3;0.7;5.1;0.2;8.8;0.1;18.6;7.8;0.9;18.4;0845;4;30;35;18
411;Sint-Oedenrode;12876;31.8;4097;4081;16;1901;10;21;165;10;394;1;732;247;18;582;46.6;0.2;0.5;4.0;0.2;9.7;0.0;17.9;6.1;0.4;14.3;0846;4;30;35;18
412;Sittard;37940;27.9;10599;10545;54;4235;53;28;640;147;1426;26;1784;544;73;1589;40.2;0.5;0.3;6.1;1.4;13.5;0.2;16.9;5.2;0.7;15.1;0968;4;31;39;19
413;Skarsterlân;19850;34.9;6919;6903;16;2683;12;73;219;12;564;8;1638;220;280;1194;38.9;0.2;1.1;3.2;0.2;8.2;0.1;23.7;3.2;4.1;17.3;0051;1;21;06;02
414;Sliedrecht;17880;32.9;5885;5881;4;997;29;33;155;5;332;3;1069;217;2345;696;17.0;0.5;0.6;2.6;0.1;5.6;0.1;18.2;3.7;39.9;11.8;0610;3;28;30;14
415;Slochteren;11254;33.9;3811;3802;9;793;14;41;157;3;306;8;934;163;806;577;20.9;0.4;1.1;4.1;0.1;8.0;0.2;24.6;4.3;21.2;15.2;0040;1;20;03;01
416;Sluis-Aardenburg;4711;29.9;1409;1406;3;466;8;8;190;21;82;1;212;30;22;366;33.1;0.6;0.6;13.5;1.5;5.8;0.1;15.1;2.1;1.6;26.0;1698;3;29;31;16
417;Smallingerland;39184;35.4;13863;13843;20;4306;49;78;449;14;1302;8;3500;644;1781;1712;31.1;0.4;0.6;3.2;0.1;9.4;0.1;25.3;4.7;12.9;12.4;0090;1;21;06;02
418;Sneek;23676;28.6;6763;6737;26;2130;13;57;282;13;668;8;1767;302;346;1151;31.6;0.2;0.8;4.2;0.2;9.9;0.1;26.2;4.5;5.1;17.1;0091;1;21;05;02
419;Soest;33308;33.1;11038;11005;33;2369;36;69;734;52;1375;24;1651;449;894;3352;21.5;0.3;0.6;6.7;0.5;12.5;0.2;15.0;4.1;8.1;30.5;0342;3;26;17;08
420;Someren;13371;28.4;3793;3776;17;1635;17;12;113;5;294;10;432;162;18;1078;43.3;0.5;0.3;3.0;0.1;7.8;0.3;11.4;4.3;0.5;28.5;0847;4;30;36;18
421;Son en Breugel;11158;33.9;3784;3775;9;1175;15;26;247;6;404;6;516;167;53;1160;31.1;0.4;0.7;6.5;0.2;10.7;0.2;13.7;4.4;1.4;30.7;0848;4;30;36;18
422;Spijkenisse;53642;19.5;10478;10427;51;1648;88;122;634;93;1095;25;2980;781;565;2396;15.8;0.8;1.2;6.1;0.9;10.5;0.2;28.6;7.5;5.4;23.0;0612;3;28;29;14
423;Stad Delden;5768;40.4;2329;2315;14;971;4;13;116;10;192;6;376;70;33;524;41.9;0.2;0.6;5.0;0.4;8.3;0.3;16.2;3.0;1.4;22.6;0179;2;23;12;04
424;Stadskanaal;25714;28.5;7316;7296;20;2611;26;57;177;10;362;12;1703;266;1289;783;35.8;0.4;0.8;2.4;0.1;5.0;0.2;23.3;3.6;17.7;10.7;0037;1;20;01;01
425;Staphorst;10385;48.8;5070;5068;2;835;12;4;78;10;74;2;358;30;3224;441;16.5;0.2;0.1;1.5;0.2;1.5;0.0;7.1;0.6;63.6;8.7;0180;2;23;10;04
426;Stede Broec;15826;23.4;3699;3676;23;1007;22;43;215;18;479;11;858;161;82;780;27.4;0.6;1.2;5.8;0.5;13.0;0.3;23.3;4.4;2.2;21.2;0532;3;27;18;11
427;Steenbergen;18036;29.0;5231;5226;5;1034;37;24;2078;15;205;13;628;134;246;812;19.8;0.7;0.5;39.8;0.3;3.9;0.2;12.0;2.6;4.7;15.5;0851;4;30;33;17
428;Steenderen;3720;42.0;1564;1558;6;756;2;6;56;0;125;0;257;57;29;270;48.5;0.1;0.4;3.6;0.0;8.0;0.0;16.5;3.7;1.9;17.3;0280;2;25;14;07
429;Steenwijk;17350;35.0;6072;6048;24;1797;26;29;242;10;477;13;1632;256;534;1032;29.7;0.4;0.5;4.0;0.2;7.9;0.2;27.0;4.2;8.8;17.1;0181;2;23;10;04
430;Stein;20743;25.3;5255;5236;19;2726;23;21;208;69;501;10;829;270;22;557;52.1;0.4;0.4;4.0;1.3;9.6;0.2;15.8;5.2;0.4;10.6;0971;4;31;39;19
431;Strijen;7206;29.9;2151;2145;6;488;18;18;95;8;213;6;422;59;370;448;22.8;0.8;0.8;4.4;0.4;9.9;0.3;19.7;2.8;17.2;20.9;0617;3;28;29;14
432;Susteren;10119;32.5;3287;3246;41;1793;17;16;151;17;224;1;540;123;11;353;55.2;0.5;0.5;4.7;0.5;6.9;0.0;16.6;3.8;0.3;10.9;0974;4;31;39;19
433;Swalmen;6594;26.9;1771;1764;7;947;11;7;52;11;153;3;293;64;7;216;53.7;0.6;0.4;2.9;0.6;8.7;0.2;16.6;3.6;0.4;12.2;0975;4;31;38;19
434;Tegelen;13892;26.4;3671;3650;21;1824;72;22;131;17;344;1;631;126;18;464;50.0;2.0;0.6;3.6;0.5;9.4;0.0;17.3;3.5;0.5;12.7;0976;4;31;37;19
435;Terneuzen;25913;25.8;6677;6658;19;1460;56;39;866;67;447;16;1175;208;1342;982;21.9;0.8;0.6;13.0;1.0;6.7;0.2;17.6;3.1;20.2;14.7;0715;3;29;31;16
436;Terschelling;3809;37.9;1443;1439;4;298;4;11;78;6;195;3;389;43;36;376;20.7;0.3;0.8;5.4;0.4;13.6;0.2;27.0;3.0;2.5;26.1;0093;1;21;04;02
437;Texel;10146;38.3;3889;3868;21;1069;9;22;212;11;553;17;801;152;133;889;27.6;0.2;0.6;5.5;0.3;14.3;0.4;20.7;3.9;3.4;23.0;0448;3;27;18;11
438;Tholen;17089;32.4;5533;5524;9;857;21;14;356;37;218;4;849;128;2325;715;15.5;0.4;0.3;6.4;0.7;3.9;0.1;15.4;2.3;42.1;12.9;0716;3;29;32;16
439;Thorn;2102;33.7;708;693;15;410;2;0;26;2;62;1;103;21;2;64;59.2;0.3;0.0;3.8;0.3;8.9;0.1;14.9;3.0;0.3;9.2;0977;4;31;38;19
440;Tiel;27181;24.0;6513;6501;12;1383;50;28;357;17;785;10;1726;236;269;1640;21.3;0.8;0.4;5.5;0.3;12.1;0.2;26.5;3.6;4.1;25.2;0281;2;25;16;06
441;Tilburg;145022;22.8;33086;32917;169;9504;214;232;2010;113;5093;69;6418;3027;398;5839;28.9;0.7;0.7;6.1;0.3;15.5;0.2;19.5;9.2;1.2;17.7;0855;4;30;34;17
442;Tubbergen;14691;35.0;5145;5139;6;3810;22;3;88;8;178;5;440;70;38;477;74.1;0.4;0.1;1.7;0.2;3.5;0.1;8.6;1.4;0.7;9.3;0183;2;23;12;04
443;Tytsjerksteradiel;23651;35.2;8331;8310;21;3431;32;38;269;8;812;12;1667;283;575;1183;41.3;0.4;0.5;3.2;0.1;9.8;0.1;20.1;3.4;6.9;14.2;0737;1;21;04;02
444;Ubbergen;7404;34.9;2585;2580;5;877;7;11;152;6;386;5;430;142;17;547;34.0;0.3;0.4;5.9;0.2;15.0;0.2;16.7;5.5;0.7;21.2;0282;2;25;15;06
445;Uden;29879;27.8;8310;8299;11;3066;26;117;375;32;607;15;1224;1030;64;1743;36.9;0.3;1.4;4.5;0.4;7.3;0.2;14.7;12.4;0.8;21.0;0856;4;30;35;18
446;Uitgeest;8332;27.6;2296;2286;10;500;6;22;162;87;316;12;564;99;32;486;21.9;0.3;1.0;7.1;3.8;13.8;0.5;24.7;4.3;1.4;21.3;0450;3;27;20;11
447;Uithoorn;19576;30.9;6052;6046;6;1311;36;58;378;58;779;33;1170;185;140;1898;21.7;0.6;1.0;6.3;1.0;12.9;0.5;19.4;3.1;2.3;31.4;0451;3;27;23;10
448;Urk;9250;43.2;3998;3998;0;1147;14;1;9;1;19;0;23;21;2720;43;28.7;0.4;0.0;0.2;0.0;0.5;0.0;0.6;0.5;68.0;1.1;0184;2;24;40;05
449;Utrecht;177396;32.3;57355;56920;435;8094;285;338;5442;146;14900;111;12710;3923;1862;9109;14.2;0.5;0.6;9.6;0.3;26.2;0.2;22.3;6.9;3.3;16.0;0344;3;26;17;08
450;Vaals;6670;29.8;1990;1984;6;933;9;5;55;18;153;0;522;86;15;188;47.0;0.5;0.3;2.8;0.9;7.7;0.0;26.3;4.3;0.8;9.5;0981;4;31;39;19
451;Valburg;9855;31.9;3148;3134;14;970;10;33;163;3;375;6;470;170;395;539;31.0;0.3;1.1;5.2;0.1;12.0;0.2;15.0;5.4;12.6;17.2;0283;2;25;15;07
452;Valkenburg;2616;32.8;857;855;2;280;3;8;25;3;74;1;91;11;209;150;32.7;0.4;0.9;2.9;0.4;8.7;0.1;10.6;1.3;24.4;17.5;0619;3;28;25;15
453;Valkenburg aan de Geul;14153;32.2;4561;4545;16;2531;24;9;139;18;338;11;425;462;29;559;55.7;0.5;0.2;3.1;0.4;7.4;0.2;9.4;10.2;0.6;12.3;0994;4;31;39;19
454;Valkenswaard;23968;27.3;6555;6531;24;2129;24;33;356;20;618;13;1283;549;75;1431;32.6;0.4;0.5;5.5;0.3;9.5;0.2;19.6;8.4;1.1;21.9;0858;4;30;36;18
455;Veendam;21813;27.9;6076;6047;29;1192;27;75;266;15;481;16;2215;253;296;1211;19.7;0.4;1.2;4.4;0.2;8.0;0.3;36.6;4.2;4.9;20.0;0047;1;20;01;01
456;Veenendaal;42365;34.9;14800;14770;30;3050;60;46;463;36;1121;24;1683;357;5636;2294;20.6;0.4;0.3;3.1;0.2;7.6;0.2;11.4;2.4;38.2;15.5;0345;3;26;17;08
457;Veere;16536;42.1;6966;6945;21;1872;27;20;332;24;525;5;792;152;2095;1101;27.0;0.4;0.3;4.8;0.3;7.6;0.1;11.4;2.2;30.2;15.9;0717;3;29;32;16
458;Veghel;26376;29.5;7779;7752;27;3771;36;54;303;23;542;13;1133;431;48;1398;48.6;0.5;0.7;3.9;0.3;7.0;0.2;14.6;5.6;0.6;18.0;0860;4;30;35;18
459;Veldhoven;31438;28.6;8982;8947;35;2971;61;59;569;21;875;14;1529;852;145;1851;33.2;0.7;0.7;6.4;0.2;9.8;0.2;17.1;9.5;1.6;20.7;0861;4;30;36;18
460;Velsen;50141;25.5;12787;12738;49;2515;81;92;723;70;1667;59;3169;555;678;3129;19.7;0.6;0.7;5.7;0.5;13.1;0.5;24.9;4.4;5.3;24.6;0453;3;27;20;10
461;Venhuizen;5598;32.5;1822;1811;11;502;3;15;110;4;157;4;369;49;27;571;27.7;0.2;0.8;6.1;0.2;8.7;0.2;20.4;2.7;1.5;31.5;0454;3;27;18;11
462;Venlo;48056;24.6;11825;11770;55;5435;89;43;419;30;1343;26;1752;506;80;2047;46.2;0.8;0.4;3.6;0.3;11.4;0.2;14.9;4.3;0.7;17.4;0983;4;31;37;19
463;Venray;27796;28.4;7892;7863;29;4033;38;36;362;20;606;18;1202;369;37;1142;51.3;0.5;0.5;4.6;0.3;7.7;0.2;15.3;4.7;0.5;14.5;0984;4;31;37;19
464;Vianen;14301;28.5;4077;4071;6;985;17;22;208;21;449;9;821;177;567;795;24.2;0.4;0.5;5.1;0.5;11.0;0.2;20.2;4.3;13.9;19.5;0620;3;28;30;14
465;Vlaardingen;56787;25.8;14648;14592;56;2918;131;108;667;89;1653;44;3555;1307;1522;2598;20.0;0.9;0.7;4.6;0.6;11.3;0.3;24.4;9.0;10.4;17.8;0622;3;28;29;14
466;Vlagtwedde;12854;26.9;3453;3447;6;1165;12;37;84;6;227;7;1039;141;173;556;33.8;0.3;1.1;2.4;0.2;6.6;0.2;30.1;4.1;5.0;16.1;0048;1;20;01;01
467;Vleuten-De Meern;14806;31.9;4723;4701;22;1483;23;29;285;25;505;13;661;215;258;1204;31.5;0.5;0.6;6.1;0.5;10.7;0.3;14.1;4.6;5.5;25.6;0347;3;26;17;08
468;Vlieland;853;39.6;338;336;2;49;0;3;10;2;43;0;83;3;13;130;14.6;0.0;0.9;3.0;0.6;12.8;0.0;24.7;0.9;3.9;38.7;0096;1;21;04;02
469;Vlissingen;33776;24.0;8092;8072;20;1583;52;54;596;32;862;19;1875;715;844;1440;19.6;0.6;0.7;7.4;0.4;10.7;0.2;23.2;8.9;10.5;17.8;0718;3;29;32;16
470;Vlist;7408;37.1;2751;2738;13;663;17;14;104;7;160;3;426;76;730;538;24.2;0.6;0.5;3.8;0.3;5.8;0.1;15.6;2.8;26.7;19.6;0623;3;28;28;15
471;Voerendaal;10197;29.9;3048;3036;12;1545;9;5;136;14;267;3;450;192;23;392;50.9;0.3;0.2;4.5;0.5;8.8;0.1;14.8;6.3;0.8;12.9;0986;4;31;39;19
472;Voorburg;30531;36.3;11075;10977;98;2306;62;108;1018;73;1350;32;1804;552;463;3209;21.0;0.6;1.0;9.3;0.7;12.3;0.3;16.4;5.0;4.2;29.2;0624;3;28;26;15
473;Voorhout;9126;33.2;3034;3019;15;834;7;22;201;14;312;5;423;200;76;925;27.6;0.2;0.7;6.7;0.5;10.3;0.2;14.0;6.6;2.5;30.6;0625;3;28;25;15
474;Voorschoten;16835;39.0;6572;6543;29;1610;16;31;547;34;905;14;913;175;207;2091;24.6;0.2;0.5;8.4;0.5;13.8;0.2;14.0;2.7;3.2;32.0;0626;3;28;25;15
475;Voorst;17874;36.1;6456;6426;30;2274;13;26;291;10;479;4;1308;123;314;1584;35.4;0.2;0.4;4.5;0.2;7.5;0.1;20.4;1.9;4.9;24.6;0285;2;25;13;07
476;Vorden;6648;40.8;2713;2701;12;1007;5;5;121;6;195;5;530;58;80;689;37.3;0.2;0.2;4.5;0.2;7.2;0.2;19.6;2.1;3.0;25.5;0286;2;25;14;07
477;Vriezenveen;14713;34.6;5093;5075;18;2144;14;9;91;10;235;6;776;99;1189;502;42.2;0.3;0.2;1.8;0.2;4.6;0.1;15.3;2.0;23.4;9.9;0186;2;23;12;04
478;Vught;18981;32.6;6195;6165;30;1875;26;30;435;28;746;8;1109;218;73;1617;30.4;0.4;0.5;7.1;0.5;12.1;0.1;18.0;3.5;1.2;26.2;0865;4;30;35;18
479;Waalre;12339;35.3;4352;4333;19;1225;18;36;328;23;478;5;607;172;33;1408;28.3;0.4;0.8;7.6;0.5;11.0;0.1;14.0;4.0;0.8;32.5;0866;4;30;36;18
480;Waalwijk;34511;25.7;8881;8854;27;3208;77;52;306;42;674;26;1349;448;978;1694;36.2;0.9;0.6;3.5;0.5;7.6;0.3;15.2;5.1;11.0;19.1;0867;4;30;34;17
481;Waddinxveen;19510;33.2;6487;6461;26;1276;30;40;342;26;471;14;893;152;1818;1399;19.7;0.5;0.6;5.3;0.4;7.3;0.2;13.8;2.4;28.1;21.7;0627;3;28;28;15
482;Wageningen;25712;42.0;10787;10656;131;1669;22;90;843;24;2882;34;2154;504;700;1734;15.7;0.2;0.8;7.9;0.2;27.0;0.3;20.2;4.7;6.6;16.3;0289;2;25;13;07
483;Warmond;4099;35.1;1437;1431;6;493;5;12;90;7;146;8;192;45;33;400;34.5;0.3;0.8;6.3;0.5;10.2;0.6;13.4;3.1;2.3;28.0;0628;3;28;25;15
484;Warnsveld;6738;36.8;2480;2460;20;565;4;10;157;4;326;6;599;109;114;566;23.0;0.2;0.4;6.4;0.2;13.3;0.2;24.3;4.4;4.6;23.0;0291;2;25;14;07
485;Wassenaar;18371;38.8;7125;7099;26;1656;23;78;402;36;411;13;669;131;162;3518;23.3;0.3;1.1;5.7;0.5;5.8;0.2;9.4;1.8;2.3;49.6;0629;3;28;26;15
486;Wateringen;11203;27.9;3124;3091;33;1358;28;19;138;10;253;3;364;94;85;739;43.9;0.9;0.6;4.5;0.3;8.2;0.1;11.8;3.0;2.7;23.9;0630;3;28;27;14
487;Waterland;13269;31.8;4221;4203;18;956;28;30;244;25;599;44;959;152;142;1024;22.7;0.7;0.7;5.8;0.6;14.3;1.0;22.8;3.6;3.4;24.4;0852;3;27;23;11
488;Weerselo;6769;39.4;2667;2658;9;1897;6;12;58;3;139;3;204;42;21;273;71.4;0.2;0.5;2.2;0.1;5.2;0.1;7.7;1.6;0.8;10.3;0188;2;23;12;04
489;Weert;36132;26.6;9596;9561;35;4309;119;34;424;52;739;20;1655;501;57;1651;45.1;1.2;0.4;4.4;0.5;7.7;0.2;17.3;5.2;0.6;17.3;0988;4;31;38;19
490;Weesp;13835;29.0;4017;4001;16;773;27;29;292;38;638;44;958;160;144;898;19.3;0.7;0.7;7.3;0.9;15.9;1.1;23.9;4.0;3.6;22.4;0457;3;27;24;10
491;Wehl;5206;27.9;1452;1445;7;797;10;13;30;2;116;1;262;42;9;163;55.2;0.7;0.9;2.1;0.1;8.0;0.1;18.1;2.9;0.6;11.3;0292;2;25;14;07
492;Werkendam;19253;30.4;5844;5830;14;2002;33;39;166;13;301;5;756;128;1577;810;34.3;0.6;0.7;2.8;0.2;5.2;0.1;13.0;2.2;27.0;13.9;0870;4;30;34;17
493;Wervershoof;6180;24.7;1526;1522;4;617;9;12;68;3;144;4;258;51;18;338;40.5;0.6;0.8;4.5;0.2;9.5;0.3;17.0;3.4;1.2;22.2;0459;3;27;18;11
494;West Maas en Waal;13937;27.7;3867;3861;6;1699;17;22;162;3;304;4;706;174;30;740;44.0;0.4;0.6;4.2;0.1;7.9;0.1;18.3;4.5;0.8;19.2;0668;2;25;16;06
495;Wester-Koggenland;9944;30.3;3009;2997;12;1058;4;39;131;9;278;19;560;118;26;755;35.3;0.1;1.3;4.4;0.3;9.3;0.6;18.7;3.9;0.9;25.2;0558;3;27;18;11
496;Westerveld;14726;38.8;5707;5696;11;1138;26;33;357;11;579;10;1669;205;146;1522;20.0;0.5;0.6;6.3;0.2;10.2;0.2;29.3;3.6;2.6;26.7;1701;1;22;09;03
497;Westervoort;11523;26.6;3060;3049;11;763;14;13;194;5;496;3;806;145;94;516;25.0;0.5;0.4;6.4;0.2;16.3;0.1;26.4;4.8;3.1;16.9;0293;2;25;15;07
498;Weststellingwerf;19327;29.9;5787;5772;15;1666;35;56;208;10;565;11;1697;206;200;1118;28.9;0.6;1.0;3.6;0.2;9.8;0.2;29.4;3.6;3.5;19.4;0098;1;21;06;02
499;Westvoorne;10836;30.6;3318;3308;10;595;12;23;212;11;294;10;677;156;120;1198;18.0;0.4;0.7;6.4;0.3;8.9;0.3;20.5;4.7;3.6;36.2;0614;3;28;29;14
500;Wierden;17375;41.8;7256;7245;11;3345;28;20;138;11;350;9;736;122;1497;989;46.2;0.4;0.3;1.9;0.2;4.8;0.1;10.2;1.7;20.7;13.7;0189;2;23;12;04
501;Wieringen;6501;24.0;1559;1554;5;250;15;10;88;6;128;11;465;100;17;464;16.1;1.0;0.6;5.7;0.4;8.2;0.7;29.9;6.4;1.1;29.9;0462;3;27;18;11
502;Wieringermeer;9227;28.2;2598;2590;8;902;8;18;87;9;168;6;505;87;180;620;34.8;0.3;0.7;3.4;0.3;6.5;0.2;19.5;3.4;6.9;23.9;0463;3;27;18;11
503;Wijchen;28234;28.1;7928;7907;21;2892;39;45;400;24;891;15;1574;489;93;1445;36.6;0.5;0.6;5.1;0.3;11.3;0.2;19.9;6.2;1.2;18.3;0296;2;25;15;06
504;Wijhe;5710;34.7;1980;1977;3;862;4;3;69;0;161;1;474;59;70;274;43.6;0.2;0.2;3.5;0.0;8.1;0.1;24.0;3.0;3.5;13.9;0190;2;23;10;04
505;Wijk bij Duurstede;16683;28.8;4808;4791;17;1060;20;29;297;13;693;7;926;205;417;1124;22.1;0.4;0.6;6.2;0.3;14.5;0.1;19.3;4.3;8.7;23.5;0352;3;26;17;08
506;Winschoten;14803;29.7;4397;4389;8;812;23;24;168;8;486;10;1674;209;226;749;18.5;0.5;0.5;3.8;0.2;11.1;0.2;38.1;4.8;5.1;17.1;0052;1;20;01;01
507;Winsum;10201;43.2;4405;4391;14;1305;8;21;141;13;533;6;1053;154;578;579;29.7;0.2;0.5;3.2;0.3;12.1;0.1;24.0;3.5;13.2;13.2;0053;1;20;03;01
508;Winterswijk;21874;32.6;7134;7114;20;1905;12;37;305;14;579;7;2138;243;168;1706;26.8;0.2;0.5;4.3;0.2;8.1;0.1;30.1;3.4;2.4;24.0;0294;2;25;14;07
509;Wisch;15151;29.7;4502;4495;7;1796;29;17;165;6;396;6;964;126;119;871;40.0;0.6;0.4;3.7;0.1;8.8;0.1;21.4;2.8;2.6;19.4;0295;2;25;14;07
510;Woensdrecht;15628;23.7;3708;3698;10;1218;41;66;259;12;292;12;647;124;44;983;32.9;1.1;1.8;7.0;0.3;7.9;0.3;17.5;3.4;1.2;26.6;0873;4;30;33;17
511;Woerden;27820;35.2;9793;9777;16;2841;44;67;587;36;1028;22;1397;370;1498;1887;29.1;0.5;0.7;6.0;0.4;10.5;0.2;14.3;3.8;15.3;19.3;0632;3;26;17;08
512;Wognum;5750;29.6;1700;1695;5;710;9;6;119;3;151;5;254;45;14;379;41.9;0.5;0.4;7.0;0.2;8.9;0.3;15.0;2.7;0.8;22.4;0466;3;27;18;11
513;De Wolden;17869;39.3;7014;7000;14;1957;16;34;326;14;550;8;1574;184;377;1960;28.0;0.2;0.5;4.7;0.2;7.9;0.1;22.5;2.6;5.4;28.0;1690;1;22;09;03
514;Wormerland;11560;28.0;3238;3224;14;609;26;19;184;14;553;26;775;183;109;726;18.9;0.8;0.6;5.7;0.4;17.2;0.8;24.0;5.7;3.4;22.5;0880;3;27;22;11
515;Woudenberg;7888;41.9;3309;3296;13;694;2;12;101;10;226;7;321;86;1248;589;21.1;0.1;0.4;3.1;0.3;6.9;0.2;9.7;2.6;37.9;17.9;0351;3;26;17;08
516;Woudrichem;10575;31.3;3315;3315;0;1223;5;12;79;10;164;9;388;72;893;460;36.9;0.2;0.4;2.4;0.3;4.9;0.3;11.7;2.2;26.9;13.9;0874;4;30;34;17
517;Wûnseradiel;8619;36.0;3103;3093;10;1369;8;31;93;4;272;6;614;146;105;445;44.3;0.3;1.0;3.0;0.1;8.8;0.2;19.9;4.7;3.4;14.4;0710;1;21;05;02
518;Wymbritseradiel;11441;36.2;4138;4132;6;2112;7;31;105;5;390;2;593;142;206;539;51.1;0.2;0.8;2.5;0.1;9.4;0.0;14.4;3.4;5.0;13.0;0683;1;21;05;02
519;Zaanstad;101931;24.8;25312;25210;102;4206;182;176;1408;142;4035;374;6911;1765;1011;5000;16.7;0.7;0.7;5.6;0.6;16.0;1.5;27.4;7.0;4.0;19.8;0479;3;27;22;11
520;Zaltbommel;18485;35.2;6502;6502;0;1190;30;28;268;6;567;13;1095;205;1983;1117;18.3;0.5;0.4;4.1;0.1;8.7;0.2;16.8;3.2;30.5;17.2;0297;2;25;16;06
521;Zandvoort;12690;25.8;3271;3260;11;422;17;22;212;30;336;14;638;165;45;1359;12.9;0.5;0.7;6.5;0.9;10.3;0.4;19.6;5.1;1.4;41.7;0473;3;27;21;10
522;Zederik;9962;46.0;4578;4568;10;1441;20;12;105;20;157;4;665;79;1564;501;31.5;0.4;0.3;2.3;0.4;3.4;0.1;14.6;1.7;34.2;11.0;0707;3;28;30;14
523;Zeevang;4786;29.3;1401;1394;7;155;7;22;120;1;177;2;331;54;8;517;11.1;0.5;1.6;8.6;0.1;12.7;0.1;23.7;3.9;0.6;37.1;0478;3;27;23;11
524;Zeewolde;10928;36.1;3948;3937;11;880;7;23;196;8;367;8;515;93;704;1136;22.4;0.2;0.6;5.0;0.2;9.3;0.2;13.1;2.4;17.9;28.9;0050;2;24;40;05
525;Zeist;45650;34.3;15672;15618;54;2693;65;130;1133;58;2299;23;2504;769;1812;4132;17.2;0.4;0.8;7.3;0.4;14.7;0.1;16.0;4.9;11.6;26.5;0355;3;26;17;08
526;Zelhem;8864;33.4;2964;2955;9;1068;6;6;105;3;205;3;730;80;211;538;36.1;0.2;0.2;3.6;0.1;6.9;0.1;24.7;2.7;7.1;18.2;0298;2;25;14;07
527;Zevenaar;20663;27.9;5766;5749;17;1818;27;39;336;7;658;10;1367;292;96;1099;31.6;0.5;0.7;5.8;0.1;11.4;0.2;23.8;5.1;1.7;19.1;0299;2;25;15;07
528;Zevenhuizen-Moerkapelle;7158;40.0;2860;2853;7;516;7;14;114;11;138;9;396;53;992;603;18.1;0.2;0.5;4.0;0.4;4.8;0.3;13.9;1.9;34.8;21.1;1666;3;28;28;15
529;Zijpe;8490;30.1;2553;2537;16;618;13;36;138;6;255;13;574;100;46;738;24.4;0.5;1.4;5.4;0.2;10.1;0.5;22.6;3.9;1.8;29.1;0476;3;27;18;11
530;Zoetermeer;79901;27.7;22133;22017;116;3689;99;174;1895;133;2649;78;4655;1809;1613;5223;16.8;0.4;0.8;8.6;0.6;12.0;0.4;21.1;8.2;7.3;23.7;0637;3;28;26;15
531;Zoeterwoude;6354;29.7;1886;1878;8;632;3;15;119;7;275;9;279;67;49;423;33.7;0.2;0.8;6.3;0.4;14.6;0.5;14.9;3.6;2.6;22.5;0638;3;28;25;15
