ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
340;Men;35 - 39 yrs;2004;664;618;590;28.0;45.0;93.2;89.0;4.5;500.0;478.0;22.0;89.0;;7.0;47.0;535.0;;5.0;91.0;113.0;103.0;39.0;35.0;10.0;96.0;68.0;27.0;3.0
341;Men;35 - 39 yrs;2005;660;609;584;26.0;50.0;92.4;88.5;4.2;495.0;472.0;23.0;88.0;;9.0;55.0;520.0;;3.0;91.0;113.0;97.0;39.0;40.0;9.0;93.0;58.0;32.0;7.0
342;Men;35 - 39 yrs;2006;653;610;590;20.0;43.0;93.4;90.4;3.2;489.0;467.0;22.0;100.0;;7.0;50.0;533.0;;2.0;100.0;113.0;98.0;35.0;37.0;9.0;94.0;62.0;31.0;9.0
343;Men;40 - 44 yrs;2000;615;577;566;11.0;38.0;93.8;92.0;1.9;485.0;465.0;19.0;80.0;;6.0;53.0;506.0;;4.0;110.0;117.0;91.0;39.0;25.0;10.0;83.0;51.0;26.0;10.0
344;Men;40 - 44 yrs;2001;626;587;578;9.0;39.0;93.8;92.3;1.6;500.0;484.0;16.0;77.0;;6.0;52.0;520.0;;6.0;112.0;114.0;89.0;43.0;31.0;8.0;90.0;52.0;27.0;8.0
345;Men;40 - 44 yrs;2002;636;590;579;11.0;46.0;92.8;91.1;1.8;496.0;481.0;15.0;83.0;;8.0;61.0;511.0;;5.0;124.0;112.0;85.0;36.0;27.0;10.0;90.0;54.0;29.0;8.0
346;Men;40 - 44 yrs;2003;645;597;580;17.0;48.0;92.6;89.9;2.9;498.0;476.0;22.0;81.0;;9.0;58.0;512.0;;5.0;115.0;115.0;89.0;34.0;27.0;9.0;81.0;60.0;36.0;10.0
347;Men;40 - 44 yrs;2004;654;602;579;23.0;51.0;92.1;88.6;3.8;486.0;466.0;20.0;92.0;;9.0;58.0;513.0;;4.0;91.0;111.0;104.0;41.0;30.0;11.0;92.0;62.0;30.0;3.0
348;Men;40 - 44 yrs;2005;659;605;581;24.0;54.0;91.9;88.2;4.0;478.0;457.0;21.0;102.0;;10.0;54.0;516.0;;4.0;101.0;107.0;91.0;42.0;35.0;8.0;93.0;62.0;32.0;7.0
349;Men;40 - 44 yrs;2006;660;603;585;18.0;57.0;91.4;88.8;2.9;478.0;458.0;20.0;106.0;;8.0;58.0;519.0;;4.0;101.0;104.0;96.0;39.0;37.0;9.0;91.0;62.0;34.0;8.0
350;Men;45 - 49 yrs;2000;572;529;519;9.0;44.0;92.4;90.8;1.8;437.0;420.0;17.0;82.0;;8.0;45.0;466.0;;3.0;103.0;121.0;73.0;35.0;23.0;8.0;75.0;48.0;21.0;8.0
351;Men;45 - 49 yrs;2001;577;533;525;8.0;44.0;92.3;90.9;1.5;447.0;432.0;15.0;77.0;;8.0;47.0;470.0;;4.0;118.0;109.0;71.0;35.0;20.0;6.0;76.0;50.0;25.0;10.0
352;Men;45 - 49 yrs;2002;583;537;526;11.0;46.0;92.2;90.3;2.0;447.0;432.0;15.0;79.0;;5.0;51.0;469.0;;4.0;108.0;115.0;77.0;30.0;22.0;6.0;81.0;51.0;24.0;8.0
353;Men;45 - 49 yrs;2003;588;541;524;17.0;47.0;92.0;89.1;3.1;440.0;424.0;17.0;83.0;;7.0;54.0;463.0;;4.0;114.0;108.0;81.0;32.0;25.0;8.0;73.0;48.0;23.0;8.0
354;Men;45 - 49 yrs;2004;596;548;525;23.0;48.0;92.0;88.1;4.2;445.0;431.0;14.0;80.0;;8.0;54.0;463.0;;5.0;82.0;116.0;92.0;39.0;27.0;8.0;80.0;51.0;23.0;2.0
355;Men;45 - 49 yrs;2005;605;547;530;18.0;57.0;90.5;87.6;3.2;437.0;421.0;16.0;92.0;;8.0;55.0;466.0;;4.0;92.0;114.0;84.0;38.0;27.0;7.0;82.0;51.0;25.0;6.0
356;Men;45 - 49 yrs;2006;614;559;540;19.0;55.0;91.1;87.9;3.5;442.0;425.0;17.0;97.0;;6.0;55.0;477.0;;4.0;99.0;116.0;83.0;35.0;26.0;8.0;77.0;57.0;27.0;8.0
357;Men;50 - 54 yrs;2000;587;516;506;10.0;71.0;87.9;86.2;1.9;418.0;401.0;16.0;89.0;;12.0;46.0;448.0;;5.0;109.0;108.0;74.0;30.0;20.0;8.0;71.0;52.0;23.0;7.0
358;Men;50 - 54 yrs;2001;587;520;511;9.0;67.0;88.7;87.1;1.7;433.0;419.0;15.0;77.0;;13.0;52.0;447.0;;4.0;109.0;111.0;75.0;31.0;18.0;6.0;72.0;50.0;26.0;9.0
359;Men;50 - 54 yrs;2002;571;501;492;9.0;70.0;87.8;86.2;1.8;415.0;400.0;15.0;77.0;;10.0;45.0;437.0;;4.0;99.0;110.0;65.0;31.0;20.0;7.0;76.0;50.0;23.0;7.0
360;Men;50 - 54 yrs;2003;562;498;482;16.0;64.0;88.7;85.8;3.3;402.0;388.0;14.0;80.0;;11.0;49.0;422.0;;3.0;96.0;104.0;72.0;30.0;19.0;6.0;72.0;47.0;23.0;11.0
361;Men;50 - 54 yrs;2004;558;485;467;18.0;73.0;86.8;83.7;3.7;390.0;377.0;13.0;77.0;;12.0;50.0;404.0;;2.0;78.0;105.0;74.0;36.0;19.0;8.0;70.0;48.0;24.0;2.0
362;Men;50 - 54 yrs;2005;559;494;473;20.0;65.0;88.3;84.7;4.1;392.0;378.0;13.0;82.0;;11.0;50.0;413.0;;3.0;77.0;110.0;74.0;30.0;24.0;6.0;75.0;46.0;23.0;7.0
363;Men;50 - 54 yrs;2006;563;499;486;14.0;64.0;88.7;86.2;2.7;402.0;386.0;16.0;83.0;;13.0;51.0;422.0;;2.0;84.0;105.0;74.0;35.0;23.0;9.0;74.0;46.0;28.0;7.0
364;Men;55 - 59 yrs;2000;437;307;300;8.0;130.0;70.3;68.6;2.5;243.0;230.0;14.0;56.0;;14.0;45.0;240.0;;;74.0;62.0;37.0;20.0;12.0;4.0;40.0;28.0;17.0;5.0
365;Men;55 - 59 yrs;2001;464;340;335;5.0;124.0;73.3;72.3;1.4;272.0;259.0;13.0;62.0;;16.0;50.0;269.0;;;74.0;68.0;47.0;25.0;12.0;6.0;49.0;33.0;17.0;5.0
366;Men;55 - 59 yrs;2002;504;381;375;7.0;123.0;75.6;74.3;1.8;308.0;294.0;14.0;67.0;;21.0;49.0;303.0;2.0;;79.0;85.0;48.0;22.0;14.0;7.0;58.0;35.0;19.0;5.0
367;Men;55 - 59 yrs;2003;534;405;392;13.0;129.0;75.9;73.5;3.1;328.0;314.0;13.0;64.0;;19.0;62.0;310.0;;;82.0;87.0;55.0;28.0;17.0;6.0;53.0;38.0;20.0;6.0
368;Men;55 - 59 yrs;2004;552;424;406;18.0;128.0;76.7;73.5;4.3;332.0;320.0;12.0;74.0;;21.0;55.0;329.0;;;67.0;96.0;61.0;31.0;16.0;6.0;61.0;47.0;20.0;
369;Men;55 - 59 yrs;2005;567;441;421;20.0;127.0;77.6;74.2;4.5;344.0;329.0;15.0;76.0;;21.0;64.0;336.0;;;70.0;98.0;61.0;33.0;21.0;6.0;62.0;43.0;22.0;5.0
370;Men;55 - 59 yrs;2006;566;445;427;18.0;121.0;78.7;75.5;4.1;350.0;333.0;17.0;77.0;;24.0;69.0;334.0;;;75.0;96.0;53.0;30.0;19.0;7.0;66.0;44.0;31.0;5.0
371;Men;60 - 64 yrs;2000;360;98;96;2.0;262.0;27.3;26.6;2.5;56.0;49.0;7.0;40.0;;16.0;24.0;56.0;;;31.0;20.0;10.0;5.0;4.0;;10.0;6.0;5.0;2.0
372;Men;60 - 64 yrs;2001;369;96;94;3.0;273.0;26.1;25.4;2.9;61.0;51.0;10.0;33.0;;20.0;18.0;55.0;;;24.0;21.0;11.0;5.0;4.0;3.0;8.0;9.0;8.0;2.0
373;Men;60 - 64 yrs;2002;378;119;116;3.0;260.0;31.4;30.6;2.5;72.0;62.0;10.0;44.0;;25.0;23.0;67.0;;;27.0;29.0;15.0;6.0;5.0;3.0;13.0;9.0;8.0;
374;Men;60 - 64 yrs;2003;389;121;117;3.0;269.0;31.0;30.1;2.8;73.0;62.0;11.0;44.0;;24.0;26.0;67.0;;;32.0;29.0;16.0;6.0;5.0;2.0;10.0;10.0;5.0;2.0
375;Men;60 - 64 yrs;2004;403;130;124;6.0;273.0;32.3;30.9;4.3;83.0;72.0;11.0;41.0;;24.0;24.0;75.0;;;25.0;33.0;16.0;8.0;7.0;3.0;14.0;11.0;8.0;
376;Men;60 - 64 yrs;2005;414;128;120;7.0;286.0;30.8;29.1;5.8;76.0;66.0;10.0;44.0;;25.0;25.0;70.0;;;26.0;33.0;16.0;5.0;5.0;2.0;14.0;10.0;7.0;2.0
377;Men;60 - 64 yrs;2006;439;151;142;9.0;288.0;34.5;32.3;6.2;94.0;80.0;14.0;47.0;;26.0;29.0;85.0;;;31.0;34.0;17.0;8.0;6.0;3.0;19.0;13.0;10.0;2.0
378;Men;65 - 69 yrs;2000;291;28;28;;263.0;9.7;9.7;;12.0;5.0;8.0;16.0;;14.0;6.0;9.0;;;10.0;3.0;3.0;;;;2.0;3.0;;3.0
379;Men;65 - 69 yrs;2001;301;30;29;;271.0;9.9;9.8;;12.0;4.0;8.0;17.0;;14.0;8.0;7.0;;;8.0;7.0;3.0;;2.0;;3.0;4.0;2.0;
380;Men;65 - 69 yrs;2002;305;33;33;;272.0;11.0;10.7;;12.0;4.0;9.0;20.0;;18.0;5.0;8.0;;;12.0;9.0;4.0;;;;2.0;2.0;;
381;Men;65 - 69 yrs;2003;314;37;35;;278.0;11.7;11.2;;16.0;9.0;7.0;20.0;;18.0;9.0;8.0;;;11.0;6.0;4.0;2.0;2.0;;2.0;4.0;3.0;
382;Men;65 - 69 yrs;2004;323;39;38;;283.0;12.2;11.9;;15.0;7.0;8.0;23.0;;20.0;8.0;10.0;;;10.0;11.0;4.0;;2.0;;2.0;4.0;2.0;
383;Men;65 - 69 yrs;2005;323;41;40;;283.0;12.6;12.5;;19.0;9.0;9.0;21.0;;20.0;8.0;12.0;;;13.0;8.0;4.0;2.0;3.0;;3.0;3.0;3.0;
384;Men;65 - 69 yrs;2006;340;46;44;2.0;295.0;13.4;12.8;4.3;19.0;7.0;12.0;24.0;;19.0;12.0;12.0;;;15.0;9.0;4.0;;3.0;;4.0;4.0;2.0;
385;Men;70 - 74 yrs;2000;253;15;15;;238.0;5.8;5.8;;6.0;;5.0;9.0;;9.0;3.0;2.0;;;3.0;4.0;;;;;;;;3.0
386;Men;70 - 74 yrs;2001;251;10;10;;240.0;4.1;4.1;;5.0;;4.0;5.0;;6.0;2.0;2.0;;;4.0;2.0;2.0;;;;;;;
387;Men;70 - 74 yrs;2002;254;14;14;;240.0;5.4;5.3;;5.0;;4.0;8.0;;7.0;3.0;3.0;;;4.0;4.0;2.0;;;;;;;
388;Men;70 - 74 yrs;2003;254;14;14;;240.0;5.7;5.5;;6.0;2.0;4.0;8.0;;7.0;3.0;3.0;;;5.0;2.0;2.0;;;;;;2.0;
389;Men;70 - 74 yrs;2004;257;13;12;;244.0;5.0;4.9;;5.0;2.0;3.0;7.0;;6.0;3.0;3.0;;;4.0;3.0;;;;;;2.0;;
390;Men;70 - 74 yrs;2005;268;21;21;;247.0;7.9;7.7;;7.0;3.0;5.0;13.0;;12.0;4.0;4.0;;;4.0;4.0;4.0;;2.0;;;;2.0;
391;Men;70 - 74 yrs;2006;263;24;23;;239.0;9.0;8.8;;10.0;2.0;7.0;14.0;;14.0;4.0;5.0;;;5.0;4.0;3.0;2.0;2.0;;;4.0;;
392;Men;75 yrs and older;2000;310;4;4;;305.0;1.3;1.3;;;;;3.0;;;;2.0;;;;;;;;;;;;
393;Men;75 yrs and older;2001;317;7;7;;310.0;2.2;2.2;;;;;6.0;;4.0;;2.0;;;2.0;2.0;;;;;;;;
394;Men;75 yrs and older;2002;325;7;7;;318.0;2.3;2.3;;2.0;;2.0;5.0;;5.0;;;;;3.0;2.0;;;;;;;;
395;Men;75 yrs and older;2003;333;7;7;;325.0;2.2;2.2;;2.0;;2.0;5.0;;4.0;2.0;;;;3.0;2.0;;;;;;;;
396;Men;75 yrs and older;2004;342;9;9;;333.0;2.6;2.6;;3.0;;2.0;6.0;;5.0;2.0;2.0;;;2.0;2.0;3.0;;;;;;;
397;Men;75 yrs and older;2005;350;8;8;;342.0;2.2;2.2;;3.0;;2.0;5.0;;4.0;2.0;;;;2.0;2.0;;;;;;;;
398;Men;75 yrs and older;2006;357;8;8;;349.0;2.1;2.1;;2.0;;2.0;5.0;;5.0;;;;;3.0;;;;;;;;;
399;Men;Single person households;2000;1024;675;638;37.0;349.0;65.9;62.3;5.5;562.0;483.0;79.0;75.0;;69.0;79.0;490.0;;3.0;73.0;130.0;112.0;53.0;49.0;16.0;78.0;53.0;54.0;17.0
400;Men;Single person households;2001;1056;688;659;30.0;367.0;65.2;62.4;4.3;585.0;515.0;70.0;73.0;;65.0;73.0;520.0;;3.0;80.0;144.0;106.0;56.0;47.0;13.0;83.0;62.0;51.0;15.0
401;Men;Single person households;2002;1039;686;650;36.0;353.0;66.0;62.5;5.3;578.0;510.0;68.0;71.0;;65.0;74.0;510.0;;4.0;66.0;151.0;110.0;50.0;51.0;11.0;89.0;60.0;51.0;8.0
402;Men;Single person households;2003;1061;694;633;61.0;368.0;65.4;59.7;8.7;552.0;485.0;68.0;80.0;;54.0;88.0;491.0;;4.0;77.0;132.0;104.0;51.0;50.0;14.0;75.0;56.0;54.0;15.0
403;Men;Single person households;2004;1067;695;633;62.0;372.0;65.2;59.3;9.0;547.0;468.0;79.0;84.0;;62.0;90.0;481.0;;2.0;56.0;146.0;113.0;56.0;56.0;12.0;79.0;61.0;47.0;3.0
404;Men;Single person households;2005;1089;670;613;57.0;419.0;61.6;56.3;8.5;530.0;458.0;71.0;83.0;;59.0;83.0;470.0;;3.0;60.0;129.0;103.0;52.0;54.0;12.0;81.0;54.0;57.0;8.0
405;Men;Single person households;2006;1121;693;649;44.0;428.0;61.8;57.9;6.4;560.0;487.0;73.0;88.0;;61.0;84.0;502.0;;2.0;70.0;135.0;98.0;55.0;58.0;15.0;86.0;63.0;58.0;10.0
406;Men;Partner in a couple (no children);2000;2153;1253;1239;15.0;899.0;58.2;57.5;1.2;1052.0;983.0;68.0;184.0;2.0;60.0;122.0;1056.0;;10.0;234.0;256.0;197.0;77.0;75.0;17.0;177.0;111.0;55.0;29.0
407;Men;Partner in a couple (no children);2001;2130;1216;1201;15.0;914.0;57.1;56.4;1.3;1026.0;963.0;63.0;172.0;3.0;62.0;120.0;1019.0;;8.0;221.0;254.0;194.0;85.0;72.0;15.0;172.0;104.0;57.0;20.0
408;Men;Partner in a couple (no children);2002;2121;1204;1185;19.0;917.0;56.8;55.9;1.6;995.0;931.0;63.0;188.0;2.0;69.0;122.0;990.0;3.0;9.0;220.0;258.0;195.0;68.0;67.0;18.0;171.0;102.0;55.0;21.0
409;Men;Partner in a couple (no children);2003;2170;1233;1199;33.0;937.0;56.8;55.3;2.7;1010.0;943.0;67.0;186.0;3.0;71.0;134.0;991.0;3.0;8.0;222.0;252.0;218.0;71.0;72.0;16.0;161.0;106.0;54.0;20.0
410;Men;Partner in a couple (no children);2004;2162;1210;1171;39.0;952.0;56.0;54.2;3.3;984.0;919.0;64.0;185.0;2.0;77.0;120.0;970.0;4.0;9.0;169.0;260.0;209.0;84.0;69.0;18.0;183.0;114.0;52.0;5.0
411;Men;Partner in a couple (no children);2005;2144;1186;1145;41.0;958.0;55.3;53.4;3.4;953.0;880.0;73.0;190.0;2.0;85.0;124.0;934.0;2.0;11.0;171.0;257.0;200.0;81.0;76.0;16.0;164.0;100.0;57.0;13.0
412;Men;Partner in a couple (no children);2006;2152;1199;1164;35.0;953.0;55.7;54.1;3.0;958.0;882.0;75.0;203.0;4.0;85.0;142.0;934.0;2.0;9.0;177.0;258.0;199.0;80.0;79.0;16.0;165.0;105.0;62.0;15.0
413;Men;Partner in a couple with children;2000;2059;1879;1856;23.0;180.0;91.2;90.1;1.2;1567.0;1504.0;63.0;285.0;3.0;23.0;140.0;1693.0;;13.0;401.0;341.0;275.0;110.0;86.0;30.0;304.0;195.0;72.0;28.0
414;Men;Partner in a couple with children;2001;2077;1903;1882;21.0;174.0;91.6;90.6;1.1;1601.0;1545.0;56.0;277.0;3.0;23.0;146.0;1713.0;;16.0;405.0;327.0;279.0;112.0;86.0;23.0;323.0;196.0;85.0;30.0
415;Men;Partner in a couple with children;2002;2100;1916;1886;30.0;184.0;91.2;89.8;1.5;1590.0;1536.0;54.0;294.0;2.0;32.0;165.0;1689.0;;12.0;411.0;359.0;267.0;98.0;89.0;24.0;317.0;195.0;89.0;26.0
416;Men;Partner in a couple with children;2003;2073;1895;1852;43.0;178.0;91.4;89.3;2.3;1560.0;1505.0;55.0;290.0;2.0;29.0;163.0;1658.0;2.0;12.0;393.0;350.0;275.0;101.0;99.0;24.0;298.0;189.0;82.0;28.0
417;Men;Partner in a couple with children;2004;2081;1890;1837;54.0;191.0;90.8;88.3;2.8;1536.0;1483.0;53.0;299.0;2.0;29.0;162.0;1644.0;2.0;15.0;306.0;359.0;315.0;121.0;100.0;28.0;302.0;203.0;80.0;7.0
418;Men;Partner in a couple with children;2005;2078;1899;1847;52.0;179.0;91.4;88.9;2.7;1529.0;1466.0;63.0;316.0;3.0;32.0;175.0;1639.0;;12.0;319.0;363.0;291.0;118.0;108.0;20.0;316.0;195.0;84.0;20.0
419;Men;Partner in a couple with children;2006;2062;1894;1850;43.0;168.0;91.8;89.7;2.3;1515.0;1447.0;68.0;333.0;2.0;31.0;166.0;1650.0;3.0;12.0;346.0;352.0;290.0;108.0;104.0;24.0;311.0;186.0;92.0;27.0
420;Men;Single parent;2000;61;45;43;;17.0;72.6;70.6;;38.0;36.0;2.0;5.0;;;9.0;33.0;;;8.0;9.0;6.0;3.0;3.0;;5.0;5.0;3.0;2.0
421;Men;Single parent;2001;58;40;38;2.0;18.0;68.8;66.0;4.1;32.0;30.0;;6.0;;;5.0;31.0;;;9.0;8.0;5.0;2.0;;;6.0;3.0;2.0;
422;Men;Single parent;2002;65;45;44;;20.0;68.9;67.7;;36.0;34.0;2.0;8.0;;3.0;7.0;34.0;;;7.0;11.0;7.0;2.0;;;7.0;4.0;2.0;
423;Men;Single parent;2003;71;51;48;3.0;20.0;72.2;68.0;5.9;39.0;37.0;2.0;9.0;;2.0;11.0;35.0;;;7.0;9.0;9.0;3.0;2.0;;6.0;5.0;5.0;2.0
424;Men;Single parent;2004;63;46;43;3.0;17.0;73.4;68.9;6.1;36.0;33.0;2.0;8.0;;2.0;7.0;35.0;;;6.0;9.0;7.0;2.0;4.0;;7.0;5.0;3.0;
425;Men;Single parent;2005;73;55;51;4.0;18.0;75.3;70.1;7.0;43.0;41.0;2.0;8.0;;2.0;8.0;41.0;;;7.0;12.0;7.0;3.0;2.0;;9.0;4.0;3.0;
426;Men;Single parent;2006;81;61;58;3.0;20.0;74.9;71.2;4.9;45.0;42.0;3.0;13.0;;2.0;8.0;48.0;;;10.0;13.0;9.0;3.0;2.0;;9.0;6.0;4.0;
427;Men;Child aged >= 18 years;2000;622;509;493;16.0;113.0;81.8;79.3;3.1;465.0;363.0;103.0;23.0;5.0;104.0;49.0;340.0;;7.0;26.0;24.0;55.0;42.0;56.0;22.0;118.0;57.0;70.0;17.0
428;Men;Child aged >= 18 years;2001;627;514;494;20.0;113.0;81.9;78.7;3.9;467.0;356.0;111.0;25.0;2.0;100.0;55.0;338.0;;9.0;24.0;25.0;53.0;38.0;67.0;22.0;121.0;55.0;70.0;10.0
429;Men;Child aged >= 18 years;2002;677;553;528;26.0;124.0;81.7;78.0;4.6;500.0;385.0;115.0;25.0;3.0;118.0;66.0;342.0;;6.0;24.0;25.0;60.0;42.0;80.0;24.0;116.0;53.0;88.0;10.0
430;Men;Child aged >= 18 years;2003;634;520;491;29.0;114.0;82.0;77.4;5.6;466.0;354.0;112.0;23.0;2.0;114.0;66.0;309.0;2.0;7.0;20.0;23.0;56.0;42.0;75.0;23.0;108.0;52.0;77.0;8.0
431;Men;Child aged >= 18 years;2004;657;531;487;44.0;126.0;80.8;74.1;8.4;458.0;339.0;119.0;25.0;3.0;124.0;63.0;298.0;2.0;7.0;21.0;21.0;50.0;41.0;75.0;22.0;107.0;55.0;84.0;2.0
432;Men;Child aged >= 18 years;2005;655;520;479;41.0;135.0;79.4;73.1;7.9;453.0;325.0;128.0;23.0;3.0;126.0;59.0;292.0;2.0;8.0;15.0;21.0;46.0;41.0;76.0;20.0;104.0;50.0;91.0;6.0
433;Men;Child aged >= 18 years;2006;655;522;490;32.0;133.0;79.7;74.8;6.1;462.0;320.0;141.0;24.0;4.0;128.0;66.0;292.0;3.0;10.0;20.0;19.0;50.0;35.0;82.0;24.0;101.0;45.0;97.0;7.0
434;Men;Child aged < 18 years;2000;276;147;132;15.0;129.0;53.2;47.7;10.3;128.0;55.0;73.0;3.0;;105.0;11.0;16.0;;;;;;7.0;16.0;11.0;15.0;4.0;62.0;15.0
435;Men;Child aged < 18 years;2001;282;150;138;12.0;131.0;53.4;49.2;8.0;133.0;62.0;71.0;4.0;;105.0;15.0;18.0;;;;;2.0;7.0;17.0;11.0;15.0;7.0;76.0;2.0
436;Men;Child aged < 18 years;2002;289;153;137;17.0;135.0;53.2;47.3;11.0;131.0;57.0;74.0;5.0;;110.0;14.0;12.0;;;;;;5.0;20.0;11.0;14.0;5.0;75.0;4.0
437;Men;Child aged < 18 years;2003;291;152;134;18.0;139.0;52.2;46.0;11.7;128.0;63.0;64.0;5.0;2.0;109.0;13.0;11.0;;;;;;6.0;19.0;12.0;13.0;4.0;77.0;2.0
438;Men;Child aged < 18 years;2004;294;147;131;16.0;147.0;50.0;44.7;10.6;126.0;55.0;72.0;5.0;;107.0;13.0;10.0;;;;;;6.0;16.0;11.0;13.0;4.0;79.0;
439;Men;Child aged < 18 years;2005;298;147;130;17.0;151.0;49.3;43.6;11.4;125.0;53.0;72.0;5.0;;110.0;9.0;10.0;;;;;;5.0;16.0;10.0;13.0;4.0;78.0;
440;Men;Child aged < 18 years;2006;302;161;143;18.0;141.0;53.3;47.3;11.3;137.0;56.0;81.0;5.0;;121.0;10.0;11.0;;;;;2.0;6.0;17.0;10.0;12.0;3.0;91.0;
441;Men;Other member household;2000;93;62;59;3.0;31.0;66.6;63.2;5.1;52.0;37.0;15.0;6.0;;12.0;6.0;41.0;;;5.0;5.0;7.0;5.0;7.0;2.0;10.0;6.0;8.0;3.0
442;Men;Other member household;2001;109;72;69;2.0;37.0;66.0;63.8;3.3;60.0;47.0;13.0;9.0;;14.0;7.0;49.0;;;9.0;7.0;8.0;5.0;5.0;3.0;13.0;6.0;11.0;
443;Men;Other member household;2002;91;60;57;3.0;30.0;66.4;62.7;5.5;50.0;38.0;13.0;7.0;;12.0;8.0;36.0;;;5.0;4.0;8.0;5.0;9.0;2.0;8.0;6.0;9.0;2.0
444;Men;Other member household;2003;112;77;69;8.0;35.0;68.4;61.2;10.5;61.0;45.0;16.0;8.0;;18.0;11.0;40.0;;;5.0;6.0;9.0;7.0;10.0;2.0;9.0;7.0;11.0;2.0
445;Men;Other member household;2004;112;73;62;11.0;39.0;65.2;55.6;14.7;56.0;42.0;14.0;6.0;;13.0;10.0;39.0;;;4.0;6.0;8.0;7.0;7.0;3.0;9.0;6.0;11.0;
446;Men;Other member household;2005;124;83;72;10.0;41.0;66.9;58.6;12.5;64.0;47.0;17.0;8.0;;15.0;13.0;43.0;;;7.0;6.0;9.0;6.0;12.0;3.0;10.0;6.0;13.0;
447;Men;Other member household;2006;110;72;66;6.0;39.0;64.9;59.6;8.2;58.0;40.0;18.0;8.0;;14.0;10.0;42.0;;;4.0;5.0;8.0;8.0;10.0;2.0;9.0;8.0;10.0;
448;Men;Pre-primary education;2000;102;34;30;3.0;68.0;33.3;29.9;10.2;28.0;23.0;4.0;2.0;;2.0;4.0;24.0;;;2.0;;;3.0;2.0;3.0;4.0;7.0;7.0;
449;Men;Pre-primary education;2001;110;38;36;2.0;72.0;34.6;32.6;5.6;34.0;28.0;5.0;2.0;;3.0;4.0;29.0;;;3.0;;;;2.0;3.0;8.0;7.0;9.0;2.0
450;Men;Pre-primary education;2002;105;37;35;2.0;68.0;35.1;33.6;4.3;30.0;27.0;3.0;5.0;;2.0;4.0;29.0;;;4.0;;;;;2.0;7.0;7.0;10.0;2.0
451;Men;Pre-primary education;2003;100;33;29;4.0;67.0;32.7;29.0;11.3;26.0;20.0;5.0;3.0;;2.0;3.0;23.0;;;3.0;;;;3.0;3.0;6.0;8.0;5.0;
452;Men;Pre-primary education;2004;96;29;26;4.0;66.0;30.7;27.0;12.3;24.0;21.0;3.0;2.0;;2.0;4.0;20.0;;;;;;;2.0;2.0;4.0;8.0;8.0;
453;Men;Pre-primary education;2005;94;24;21;3.0;70.0;25.7;22.4;12.6;19.0;16.0;2.0;2.0;;2.0;4.0;15.0;;;2.0;;;;2.0;;2.0;5.0;6.0;
454;Men;Pre-primary education;2006;84;31;28;3.0;54.0;36.4;33.1;9.1;25.0;21.0;4.0;2.0;;;4.0;22.0;;;2.0;;;;;2.0;5.0;5.0;10.0;
455;Men;Primary education;2000;650;356;335;20.0;295.0;54.7;51.6;5.7;304.0;251.0;54.0;30.0;;57.0;27.0;252.0;;;28.0;2.0;10.0;20.0;23.0;19.0;74.0;75.0;69.0;15.0
456;Men;Primary education;2001;647;336;315;20.0;311.0;51.9;48.8;6.1;284.0;225.0;58.0;31.0;;55.0;27.0;233.0;;;29.0;4.0;8.0;15.0;21.0;18.0;68.0;68.0;78.0;7.0
457;Men;Primary education;2002;640;339;316;23.0;301.0;53.0;49.4;6.7;287.0;234.0;54.0;28.0;;63.0;29.0;223.0;;;23.0;3.0;12.0;13.0;19.0;16.0;66.0;73.0;82.0;8.0
458;Men;Primary education;2003;602;309;283;26.0;293.0;51.3;47.0;8.4;252.0;206.0;46.0;30.0;;53.0;32.0;197.0;;;28.0;3.0;11.0;14.0;19.0;18.0;54.0;59.0;72.0;5.0
459;Men;Primary education;2004;536;270;241;29.0;266.0;50.4;45.1;10.7;218.0;178.0;39.0;23.0;;43.0;24.0;173.0;;;16.0;;7.0;15.0;17.0;14.0;49.0;56.0;64.0;
460;Men;Primary education;2005;535;264;239;26.0;271.0;49.3;44.6;9.7;210.0;168.0;42.0;28.0;;46.0;22.0;170.0;;;17.0;;8.0;15.0;15.0;13.0;51.0;51.0;64.0;4.0
461;Men;Primary education;2006;536;270;244;27.0;266.0;50.4;45.5;9.8;212.0;165.0;47.0;31.0;;46.0;27.0;170.0;;;19.0;;8.0;11.0;15.0;14.0;56.0;47.0;67.0;4.0
462;Men;Lower secondary education;2000;1564;1036;1007;30.0;527.0;66.3;64.4;2.9;896.0;776.0;120.0;108.0;3.0;116.0;84.0;807.0;;8.0;119.0;21.0;69.0;74.0;76.0;37.0;259.0;178.0;138.0;27.0
